,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,2,461f63,FIN43D,60.37413024902344,25.075630977235992,118.32222212,845.82,0.5495410167819624,34610D,285.72964,-5.669358,2.25388,118.61355302299825,68557.8755970872,0.2648678093821391,1.3622544802577916,81.73526881546749,131199.61707984266,2686.147730890117,2023-08-06 07:02:00,0.0096841519373742,0.9156803740577508,0.8672270695313566,0.6811272401288958,0.9350457393956512,0.0171784134721839,0.0003399844308554,7.373518012004789e-05,3.0534908437367095e-05,1536347113055062.5,258.20171418806177,101.1065275247333,0.0980823225785609,0.0020016800526236,0.0016347053763093,1.4040822429722044,0.0277887188490438,0.006026764768269,0.0024957789493838,1.2557374427942296e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.89433565772149,2.651174731393101,0.3500369339000604,65.59980853992133,17.178413472183962,30.534908437367093,1536347113055062.5,35.3010006428052,859.20250797916,1473.9147788151,0.968415193737,0.0259971428221507,0.60471495962024,65.5989644071049,23.2608238434955,23.037723033349398,12.476387260053443,0.879144937230208,2.1319481516923586,1166429715635285.2,20.97167992029564,,
1,3,461f63,FIN43D,60.429134045617054,25.12445722307477,130.668888776,1653.5400000000002,0.5510819348113067,34610D,281.96402,-3.6177466,4.817027,136.41791845525412,68476.14032827174,0.2792121959738022,1.0981082514307303,65.88649508584383,96936.5544403187,1552.766075342914,2023-08-06 07:03:00,0.0069774032059665,0.8297478838491327,0.754254595574582,0.5490541257153653,0.79752827243476,0.0152516108215713,0.0003598316584474,7.730494430537464e-05,2.3936227056278367e-05,1488521954313553.0,208.13543797618067,81.50159442118883,0.0790637941030125,0.0016135468184288,0.0013177299017168,1.0048751814466623,0.0237080467960322,0.0050933518330874,0.0015770741063171,9.807349442805058e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.339069069775405,2.7659238779384507,0.4052581754100767,48.468277220159344,15.251610821571337,23.93622705627837,1488521954313553.0,29.2568470762053,833.758250262822,1361.97828760115,0.697740320597,0.0237607603461038,0.464452155085037,48.4683492883866,19.5470240985448,19.41158166639283,14.946573442356534,0.7839370309198479,1.399944650802136,921471109288276.6,14.710636965914393,31.06220309338064,1844208836438709.2
2,4,461f63,FIN43D,60.486236572265625,25.02050991716056,151.76111098,2118.36,0.5516241930585393,34610D,279.86505,-1.1309483,5.7252545,157.73574909197131,68410.2538331859,0.2908325546442548,1.1008591431498802,66.05154858899282,87543.53863621716,1557.9007880176398,2023-08-06 07:04:00,0.0061379576652178,0.7833368200305779,0.7374924109949306,0.5504295715749401,0.832624171166817,0.0155308628061394,0.0003722960044578,8.051148833362143e-05,2.5109249794968865e-05,1543888926661392.8,208.6568419926283,81.70576560458412,0.0792618583067913,0.0016175889450365,0.0013210309717798,1.0258375392686987,0.0245907276279337,0.0053179084836403,0.0016585048328655,1.0197625445538294e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.928443867661592,2.7230845930210794,0.4703411774939284,43.771769318108575,15.530862806139412,25.10924979496886,1543888926661392.8,28.5580067007863,836.258044379323,1357.22155832393,0.613795766522,0.0235442355417165,0.449619340929972,43.7714883261892,19.0967908103587,18.980290590242262,14.960702522633367,0.7932819631039153,1.4254298125116616,851797452478444.5,13.660207323705174,31.42532808638962,1779589177061362.5
3,5,,,60.54089218520622,24.86228326150616,156.5968887536,2583.378890701468,0.551833719635368,34610D,277.40915,0.6185624,6.853627,173.7982790667741,68344.20228459689,0.3012714285617046,1.1667391712231845,70.00435027339105,87229.96775313906,1709.0780488516946,2023-08-06 07:05:00,0.0054768443500743,0.7390320336720873,0.7539257297922881,0.5833695856115921,0.9135861879946584,0.0170428241096302,0.0003837490792829,8.322677426915121e-05,2.9364235352046207e-05,1553934790171841.2,221.14374251364237,86.59538128818474,0.0840052203280692,0.0017143922515932,0.0014000870054678,1.19307182861835,0.0268641049632163,0.0058262362580621,0.0020556242170949,1.08782195353198e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.28481233708033,2.6425787794215414,0.5205258221360591,43.61498387656953,17.042824109630246,29.36423535204621,1553934790171841.2,29.3718458815302,847.517892460361,1389.04952874749,0.547684435007,0.0240949176933569,0.471119625121669,43.6150202281544,19.5526555067486,19.44615195925984,14.136896249035253,0.8352436380123623,1.668766522040015,872557661349234.9,14.25710738708716,31.36504746078264,1721404420844630.8
4,6,,,60.58972609021037,24.6648793684984,161.4326665272,3092.041859706362,0.551832207813149,34610D,275.00595,2.4053338,7.1680875,187.9932786758393,68274.1979343235,0.3087164779350368,1.1549610144181874,69.29766086509125,81802.06586839656,1715.694321014834,2023-08-06 07:06:00,0.0045693962615635,0.6929154882889377,0.7156435878618556,0.5774805072090937,0.9423430754831958,0.0176534578443872,0.0003982175397791,8.636466660752836e-05,3.103105897428454e-05,1528893165788282.5,218.9113106728232,85.72120649011788,0.0831571930381094,0.0016970855722063,0.0013859532173018,1.223343334796529,0.0275955440221494,0.0059848693772951,0.0021503798010846,1.0594872010175213e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.315684736850443,2.5182304854245894,0.5654946326851893,40.90103293419828,17.6534578443872,31.03105897428454,1528893165788282.5,28.703851020283,850.326961665253,1397.09771480939,0.456939626156,0.0241216650234288,0.461334491018572,40.9004112429566,19.1253170363857,19.03832339264889,13.684104820739254,0.845772039209469,1.8100369548375086,826964772805133.4,13.570339853714602,30.96444238265263,1663245226711772.2
5,7,,,60.63855999521452,24.467475475490644,166.2684443008,3600.7048287112566,0.5518290341055563,34610D,272.7494,4.5033464,7.722372,197.9285138019107,68204.90027345842,0.313772225111204,1.1214664357335449,67.28798614401269,76678.19342865617,1722.3988758717849,2023-08-06 07:07:00,0.0043519387736509,0.649157329138443,0.7681625670476461,0.5607332178667724,0.9537376274547024,0.0176287597467155,0.0004141988401507,8.983066079580982e-05,3.186317023359444e-05,1516391892514397.5,212.56274822893607,83.23523886014371,0.0807455833728152,0.0016478690484248,0.0013457597228802,1.1862037415731224,0.0278706058169314,0.0060445242589359,0.0021440085571824,1.0203495665240195e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.840301495278265,2.4527572632544654,0.5978382270506598,38.339096714328086,17.628759746715517,31.86317023359444,1516391892514397.5,27.7149730066172,850.934403437467,1393.75813543433,0.435193877365,0.0240329621619668,0.443842436546444,38.3382785646373,18.4680703758126,18.388046722310076,13.774061785931767,0.8480579459392508,1.7830404389906902,776576094085534.9,12.755125698451016,30.02059272308016,1613331732232029.5
6,8,,,60.68739390021867,24.270071582482885,171.1042220744,4109.367797716151,0.5518241988999716,34610D,270.32166,8.600616,10.870559,203.76006855781944,68137.6122873144,0.3162807206308735,1.0562866776612485,63.37720065967491,70715.54650252695,1727.824945255276,2023-08-06 07:08:00,0.0045986749709524,0.6076641582646767,0.9302173381841116,0.5281433388306243,0.9321961606236232,0.0167605622734791,0.0004301849477904,9.329769757530793e-05,3.111113310131821e-05,1527690167351455.8,200.20857688391305,78.39759721601787,0.0760526407916099,0.0015520947100328,0.0012675440131934,1.062237518375266,0.0272639177568893,0.0059129469003159,0.001971736525312,9.682072628204557e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.42424185888369,2.3881065288792365,0.6182097467983219,35.357773251263474,16.760562273479163,31.111133101318213,1527690167351455.8,26.1757975361582,846.524991716795,1376.80486791424,0.459867497095,0.0236880189357285,0.414208303235218,35.3580757352533,17.4859832879681,17.405939031796656,14.179934679432913,0.8315559097352383,1.6257417828488145,719685198199069.8,11.741159660584572,28.52800825841155,1571717947186590.8
7,9,,,60.736227805222825,24.07266768947513,175.939999848,4618.030766721044,0.5518177025885433,34610D,267.61386,10.926944,12.699932,204.94740085551564,68074.23508665472,0.3189084537858211,1.0341557115568882,62.049342693413294,69404.72055356968,1731.8559693885145,2023-08-06 07:09:00,0.0041878101934878,0.5683451722472721,0.997226607723244,0.5170778557784441,0.9407541496570944,0.0167782513185941,0.0004455118371944,9.66217643510564e-05,3.271212163001051e-05,1503637620433467.5,196.01387356849256,76.75503691175226,0.0744592112320959,0.0015195757394305,0.0012409868538682,1.0410794658636648,0.027643716660048,0.0059953169678609,0.0020297656452491,9.329972599698474e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.195384588048444,2.3614844915419813,0.6249500564380471,34.702360276784844,16.778251318594197,32.71212163001051,1503637620433467.5,25.5049428815605,847.02436823204,1377.20697326232,0.418781019349,0.023827622233622,0.404871716633302,34.7021097691774,16.9916961358405,16.92083489100164,14.374856512986502,0.8334106418503405,1.5888100274200125,703237154003678.8,11.481738007966584,26.43084721045386,1539061991168635.8
8,10,,,60.78506171022698,23.87526379646737,180.7757776216,5126.693735725938,0.5518095455681858,34610D,264.71436,12.9221325,14.546328,205.8505530232139,68012.18574396131,0.3211997201701808,1.0173732762896883,61.0423965773813,68467.25304157333,1734.8826666380958,2023-08-06 07:10:00,0.0036453654420722,0.5311121215722205,1.0432595563975098,0.5086866381448442,0.9516841788598276,0.0169014742824576,0.0004605333929719,9.98796109476026e-05,3.461157248035289e-05,1475101106974754.5,192.8329307879475,75.50944456622067,0.0732508758928575,0.0014949158345481,0.0012208479315476,1.0317064958921902,0.0281120620109214,0.0060968908214581,0.0021127733335124,9.004370676368712e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,15.902256529985948,2.327368943092514,0.6311324081391156,34.233626520786665,16.901474282457638,34.61157248035288,1475101106974754.5,24.9137933034657,847.480573634942,1379.73427030739,0.364536544207,0.0240072912854743,0.397421697081415,34.2334318707393,16.5542081509994,16.494081197403652,14.474864456615382,0.8351050323272938,1.5764437755273908,692491655232089.6,11.314277694904753,24.476010103140815,1491974720033322.8
9,11,,,60.833895615231135,23.677859903459616,185.6115553952,5635.356704730832,0.5517997282405767,34610D,261.6699,14.874163,16.415083,206.768042535849,67951.14334738393,0.3230617476409251,1.0195032075759731,61.1701924545584,68702.12597514207,1737.6719055802423,2023-08-06 07:11:00,0.0030271900727528,0.4958792701339632,1.0598512241075195,0.5097516037879867,0.9791210126828868,0.0174034449134211,0.0004754328572291,0.0001031109785662,3.628235539e-05,1450000000000000.0,193.23663796395,75.66752806628875,0.07340423094547,0.0014980455294993,0.0012234038490911,1.0645720747262746,0.0290823193759295,0.0063073184030731,0.0022193986619109,8.869677905910968e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,15.58745189139147,2.290931604083588,0.6376226619544523,34.351062987571034,17.403444913421108,36.28235539,1450000000000000.0,24.6371977155381,849.922617724014,1389.94936487692,0.302719007275,0.0243467201856362,0.397062811715005,34.3500973987974,16.3086776653087,16.259457197890896,14.392559622500478,0.8442510375498423,1.6231054322422258,691535563511900.2,11.341029166328703,22.861864321293204,1404644223601830.0
