,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,1,3c49c8,EWG1VT,51.27375198622881,6.7395782470703125,79.73888882,480.06,0.2402699279292597,34610D,272.7953,-2.894717,-5.746326,77.94179358662083,68481.48486235116,0.22113873901331552,1.166347219989002,68.50006897290403,145.9387859785716,1609.6636209199576,0.0025271312825542,95689.25477700024,0.6550356172300024,0.5708339081075336,0.6204627803488287,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.2354014671453591,72.96927416915774,16.851590037043067,20.186512959048056,1311534492872335.0,34.6748757827332,814.003604519466,1655.79285247535,0.252713128255,0.024998398807323,0.583173609994501,72.9693929892858,23.3284385327778,23.269633114999326,0.2527131282554199,0.7290344572460465,1019941168794974.6,,,0.01977272342672319,1.2487769700222857e-05,2.8440000000000003,35.8,2023-02-06 09:01:00,0.002527131282554252,0.6550358289091991,0.0,0,956.8925477700022,0.002527131282554252,-2.894717,-5.746326,0.6550358289091991,0.001670034,0.0,1.2219930546728508,336.42772532420804,4127.628640220178,0.35801318508346286,-0.9337165304879176,6.180727373832827,246.15108784740184,0.6527261636552302,inf,0.0,238.78239170790349,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.002500791,5.815401e-07,6715.882,0.6500149,-231.33855,0.0,0.0,0.9999999999999999,-7.405764938650384e-13,7.139314e-12,2.5576454e-16,0.0,0.0,0.0,7.48e-16,8.418735253792837e-14,6.398737537956704e-12,515.1595027484024,8.854007740692438e-12,1.4887106623495463e-13,9.924737748996974e-15,0.0,0.002500791,5.815401e-07,6715.882,0.6500149,-231.33855,0.0,0.0,0.0,-7.405764938650384e-13,7.139314e-12,2.5576454e-16,0.0,0.0,0.0,7.48e-16,8.418735253792837e-14,6.398737537956704e-12,515.1595027484024,8.854007740692438e-12,1.4887106623495463e-13,9.924737748996974e-15,0.0
1,1,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,0.2414598092349048,34610D,271.83868,-4.7913623,-7.5114956,104.56642775805244,68412.98479337826,0.2685734558881067,0.96044506607,61.12687784605975,108.7907029508092,1546.6431507650448,0.0014047088917306,89976.97737353944,0.3706069197834589,0.5093906487171646,0.5862352127592442,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.3163689552884616,54.395075991419056,16.36015849605712,18.17642445954726,1216657803190417.5,29.583489046994,793.540532698691,1599.67162994583,0.140470889173,0.0236568799480756,0.480222533035,54.3953514754046,20.2994872565206,20.27101238517876,0.14047088917306,0.6530966286878411,710639837478785.0,19.92897239961093,1478434002335454.2,0.01833292287029641,7.956950974875776e-06,2.8440000000000003,35.8,2023-02-06 09:02:00,0.0014047088917306333,0.3706068337390851,0.0,1,899.7697737353944,0.0014047088917306333,-4.7913623,-7.5114956,0.3706068337390851,0.0016529018,0.0,1.153088380390533,338.0937256198993,6667.509382517012,0.9966805091004685,0.0814123011542548,6.182689734271235,246.15494317637823,0.36589113987853317,inf,0.0,236.88971280565278,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0013691218,3.7468558e-07,11524.715,0.35928524,-231.43207,0.0,0.0,1.0000000000000002,-7.261064620434399e-13,6.7603852e-12,2.398195e-16,0.0,0.0,0.0,7.48e-16,7.943344397217377e-14,6.034278803793241e-12,514.8698859477937,6.375009902223691e-12,1.2258997886349025e-13,8.172665257566015e-15,0.0,0.0013691218,3.7468558e-07,11524.715,0.35928524,-231.43207,0.0,0.0,0.0,-7.261064620434399e-13,6.7603852e-12,2.398195e-16,0.0,0.0,0.0,7.48e-16,7.943344397217377e-14,6.034278803793241e-12,514.8698859477937,6.375009902223691e-12,1.2258997886349025e-13,8.172665257566015e-15,0.0
2,2,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,0.2424806943843983,34610D,269.73026,-6.5551386,-9.034808,125.19838258704414,68351.85791553221,0.2979738101150419,1.245520480323388,84.77908284664905,130.731031015818,2603.6893264285786,0.0015915416143754,84781.45509278591,0.4721215898701125,0.7064923570554087,0.8452309987045249,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.3802691462231064,65.36496099410948,18.86143357977721,31.68180610549991,1519116627340447.0,35.9727389570631,838.572348381606,1712.41175705312,0.159154161438,0.0262125910082769,0.622760240161694,65.365515507909,23.7580573383628,23.7203054850776,0.15915416143754,0.8295223477169218,1211816254189528.2,19.83110633398173,1461568041097724.0,0.021639791678864255,1.6167691992262082e-05,2.8440000000000003,35.8,2023-02-06 09:03:00,0.0015915416143754593,0.4721215403660525,0.0,2,847.814550927859,0.0015915416143754593,-6.5551386,-9.034808,0.4721215403660525,0.0020262774,0.0,1.0949988014650913,339.5230955709479,7473.160672911053,0.9768031916927631,0.2141390312363241,6.070636369884037,245.93303817816377,0.456664702577289,inf,0.0,237.2030219710969,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0015546896,4.1698615e-07,16160.313,0.44964683,-231.54163,0.0,0.0,1.0,-7.118476062792731e-13,6.247838e-12,2.430802e-16,0.0,0.0,0.0,7.479999999999999e-16,7.295895946066121e-14,5.5359907137538e-12,513.5596513547928,8.952628268191626e-12,1.5897663984226242e-13,1.0598442656150826e-14,0.0,0.0015546896,4.1698615e-07,16160.313,0.44964683,-231.54163,0.0,0.0,0.0,-7.118476062792731e-13,6.247838e-12,2.430802e-16,0.0,0.0,0.0,7.479999999999999e-16,7.295895946066121e-14,5.5359907137538e-12,513.5596513547928,8.952628268191626e-12,1.5897663984226242e-13,1.0598442656150826e-14,0.0
3,3,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,0.2435183065774802,34610D,267.3429,-8.342423,-14.442159,148.5578652421904,68267.07883268555,0.327872328122161,1.196013440756244,84.01169385499823,116.4108906602604,2717.668458871292,0.0005895268206882,76639.32731338663,0.193758085975034,0.7000974487916519,0.9067465902144084,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4532298845280358,58.20539874621754,20.07094312955894,35.31307632002749,1464562022081557.8,34.4992949711682,844.882342235847,1721.31419979565,0.0589526820688,0.0263126754660558,0.598006720378122,58.2054453301302,22.7269447057777,22.71355445623259,0.05895268206882,0.856092581228432,1139301045673032.0,19.03697731310152,1395551366053185.2,0.022156649170042723,1.57444505408515e-05,2.8440000000000003,35.8,2023-02-06 09:04:00,0.000589526820688242,0.1937582486194345,0.0,3,766.3932731338663,0.000589526820688242,-8.342423,-14.442159,0.1937582486194345,0.0024790866,0.0,0.9986779892992086,340.9758861548262,8125.8125102326585,0.8201398934232258,0.5721630495022725,5.726794158870322,245.2286477864287,0.18310648604554977,inf,0.0,235.15830789547445,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00057892106,4.3856903e-07,23980.156,0.18032147,-231.66031,0.0,0.0,1.0,-6.881108918403414e-13,5.594487e-12,2.4474387e-16,0.0,0.0,0.0,7.480000000000001e-16,6.4775632826884e-14,4.90637607385179e-12,512.1251783179974,7.801034985197522e-12,1.5265762468092287e-13,1.0177174978728189e-14,0.0,0.00057892106,4.3856903e-07,23980.156,0.18032147,-231.66031,0.0,0.0,0.0,-6.881108918403414e-13,5.594487e-12,2.4474387e-16,0.0,0.0,0.0,7.480000000000001e-16,6.4775632826884e-14,4.90637607385179e-12,512.1251783179974,7.801034985197522e-12,1.5265762468092287e-13,1.0177174978728189e-14,0.0
4,4,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,0.2449109346994706,34610D,262.46542,-7.3156624,-16.809082,165.93085984184796,68183.06713883055,0.3474990128059095,0.918494527532622,65.15483349760765,84.8303818425682,1743.2404967292223,0.0008054162314772,68873.98399781724,0.364730548982054,0.5429569458133972,0.7377906541052864,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5109146252418029,42.41470285401188,16.95309854483626,25.49869395602654,1562270790358578.5,28.0446586536223,812.207557946441,1629.13835174301,0.0805416231477,0.0241090674721598,0.459247263766311,42.4151909212841,19.0487360946927,19.03340628033422,0.08054162314772,0.7220906379900921,699075428586927.4,17.78765177515517,1316524908632435.2,0.01908714592201016,8.498488865099917e-06,2.8440000000000003,35.8,2023-02-06 09:05:00,0.0008054162314772509,0.3647307075827798,0.0,4,688.7398399781724,0.0008054162314772509,-7.3156624,-16.809082,0.3647307075827798,0.0027018983,1.07959925e-08,0.9141670449672203,342.92577149734984,9048.399248069316,0.8267242315425097,0.5626073630698827,5.302327164218129,244.3053747660839,0.3286216813429832,inf,0.0,235.00768507512763,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0007904489,3.6793628e-07,32108.111,0.35938764,-231.72879,0.0,0.0,0.9999999999999998,-6.635693181828638e-13,4.695593e-12,2.3929925e-16,0.0,0.0,0.0,7.48e-16,5.340360664772758e-14,4.0320236457112435e-12,510.8152507392725,4.241230613765786e-12,1.1723546582126864e-13,7.815697721417908e-15,0.0,0.0007904489,3.6793628e-07,32108.111,0.35938764,-231.72879,0.0,0.0,0.0,-6.635693181828638e-13,4.695593e-12,2.3929925e-16,0.0,0.0,0.0,7.48e-16,5.340360664772758e-14,4.0320236457112435e-12,510.8152507392725,4.241230613765786e-12,1.1723546582126864e-13,7.815697721417908e-15,0.0
5,5,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,0.2462309611433122,34610D,259.98685,-7.8736577,-17.852242,177.59461977832927,68117.91230533295,0.36043472763288675,0.956377591492032,68.61683264112594,85.6001750238926,1952.0337316388204,0.0014338923641244,64250.40779201729,0.7573420455327908,0.5718069386760495,0.8099998527203891,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5494286742614611,42.79986452733137,17.12261908048062,30.20555775332784,1541295132755613.5,28.6878249099885,823.140738556638,1657.92469060995,0.143389236412,0.0247886178618662,0.478188795746016,42.8000875119463,19.2906598669884,19.26303874282523,0.14338923641244,0.7652328092338079,775190011613723.5,17.144237612960012,1270036417587814.5,0.019505249698938944,9.82289337704659e-06,2.8440000000000003,35.8,2023-02-06 09:06:00,0.0014338923641244792,0.7573417232075734,0.0,5,642.5040779201729,0.0014338923641244792,-7.8736577,-17.852242,0.7573417232075734,0.0018945138,1.9779206e-08,0.8609282427922276,344.77399862776457,9736.546908630891,0.796178705015712,0.6050615420595693,5.049155007206804,243.72297166848887,0.6659603185030268,inf,0.0,236.634014639947,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0014060149,7.0287007e-07,37311.68,0.72635376,-231.6802,0.0,0.0,1.0,-6.477476036389778e-13,4.2463264e-12,2.6511708e-16,0.0,0.0,0.0,7.48e-16,4.7794642101239153e-14,3.5985788487104322e-12,509.3380398295359,4.02775624327122e-12,1.2207081161472587e-13,8.13805410764839e-15,0.0,0.0014060149,7.0287007e-07,37311.68,0.72635376,-231.6802,0.0,0.0,0.0,-6.477476036389778e-13,4.2463264e-12,2.6511708e-16,0.0,0.0,0.0,7.48e-16,4.7794642101239153e-14,3.5985788487104322e-12,509.3380398295359,4.02775624327122e-12,1.2207081161472587e-13,8.13805410764839e-15,0.0
6,6,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,0.2475760111743925,34610D,258.45465,-8.993049,-17.800386,187.5570567655744,68049.29547269183,0.37052526149122866,0.96925275399839,70.23623207368286,84.4442133734158,1897.7794982585165,0.0016324419752243,59404.634976163914,0.9171907239224472,0.5853019339473572,0.8833114909178366,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5819671243239523,42.221690061881006,17.716932521596533,34.941097568809,1470150467099015.5,28.6460901816805,834.178004910241,1684.512340477,0.163244197522,0.0253864098690774,0.484626376999195,42.2221066867079,19.0899926180388,19.058880102159268,0.16324419752243,0.8108292408398905,821562747379366.8,16.124690930034696,1200539147184631.0,0.01997942557073277,1.0809778698740776e-05,2.8440000000000003,35.8,2023-02-06 09:07:00,0.001632441975224334,0.9171909098246117,0.0,6,594.0463497616391,0.001632441975224334,-8.993049,-17.800386,0.9171909098246117,0.0,0.0,0.8007158589360565,346.657263040385,10422.131734241842,0.7498966969135705,0.661554944020613,4.743992494746661,242.98551608106814,0.7944606034787702,inf,0.0,237.1979684956469,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.001596229,1.0536017e-06,43143.523,0.8798382,-231.54616,0.0,0.0,1.0000000000000002,-6.30107114083745e-13,3.9103373e-12,2.9215262e-16,0.0,0.0,0.0,7.48e-16,4.3683145281543004e-14,3.280230203876711e-12,507.8064065581609,3.811321764571647e-12,1.2371418087682939e-13,8.24761205845529e-15,0.0,0.001596229,1.0536017e-06,43143.523,0.8798382,-231.54616,0.0,0.0,0.0,-6.30107114083745e-13,3.9103373e-12,2.9215262e-16,0.0,0.0,0.0,7.48e-16,4.3683145281543004e-14,3.280230203876711e-12,507.8064065581609,3.811321764571647e-12,1.2371418087682939e-13,8.24761205845529e-15,0.0
7,7,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,0.2489877542312653,34610D,257.8053,-8.461003,-21.191418,198.54919498152955,67979.05924061814,0.3802787034192299,1.005650462690006,73.74247434724391,84.9433469241436,1918.6686382133428,0.0015734583708936,55026.440867802725,0.8694783317481344,0.614520619560366,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6168498209393041,42.47156145733858,19.82096850217156,36.28235539,1450000000000000.0,29.0075163472864,851.382602783587,1727.84327048337,0.157345837089,0.0263838060592567,0.502825231345003,42.4716734620718,19.0581006476352,19.028160629010777,0.1573458370893599,0.8841853764032538,854407828100712.1,15.320319498391491,1144288229570382.2,0.021040261217891997,1.2959134535537376e-05,2.8440000000000003,35.8,2023-02-06 09:08:00,0.0015734583708936786,0.8694780993053994,0.0,7,550.2644086780273,0.0015734583708936786,-8.461003,-21.191418,0.8694780993053994,5.2181285e-06,4.04701e-11,0.7435702933276535,348.63391046845175,10810.56932148757,0.7487558998275375,0.6628458361289257,4.463287941417507,242.26905007557122,0.7483341717088575,inf,0.0,236.0276950076163,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0015381225,1.0809434e-06,48788.395,0.8378225,-231.34134,0.0,0.0,0.9999999999999999,-6.130807015904642e-13,3.6843558e-12,2.9426023e-16,0.0,0.0,0.0,7.479999999999998e-16,4.096883694654209e-14,3.0712751329928966e-12,506.2619071572305,3.8991339842976434e-12,1.283599378251601e-13,8.557329188344006e-15,0.0,0.0015381225,1.0809434e-06,48788.395,0.8378225,-231.34134,0.0,0.0,0.0,-6.130807015904642e-13,3.6843558e-12,2.9426023e-16,0.0,0.0,0.0,7.479999999999998e-16,4.096883694654209e-14,3.0712751329928966e-12,506.2619071572305,3.8991339842976434e-12,1.283599378251601e-13,8.557329188344006e-15,0.0
8,8,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,0.2503686423233298,34610D,256.53467,-11.507541,-25.111975,210.66915925134617,67905.3167662709,0.3904036207345239,0.970551641793766,68.83176438343843,79.3194986711578,1852.0066293794184,0.0009673798961734,50913.27576770084,0.5566459219886785,0.5735980365286536,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6561227936808146,39.65985706282812,19.42937883177424,36.28235539,1450000000000000.0,27.9135753454087,856.404002724614,1736.70023137146,0.0967379896173,0.0265302350736066,0.485275820896883,39.6597493355789,18.2914255961364,18.273747939751743,0.09673798961734,0.9080158100174563,778608012379643.8,14.715638478876604,1100061484103424.0,0.02142995068766837,1.273415560402952e-05,2.8440000000000003,35.8,2023-02-06 09:09:00,0.000967379896173461,0.5566457723758365,0.0,8,509.1327576770084,0.000967379896173461,-11.507541,-25.111975,0.5566457723758365,0.0,0.0,0.6913968906612659,350.56735368894476,11147.298906109525,0.7476758120633196,0.6640639126284876,4.196060832821333,241.54887405625288,0.47313010460670624,inf,0.0,233.27446647293738,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00094362715,4.808454e-07,54570.188,0.5310858,-231.09346,0.0,0.0,1.0,-5.957023801062808e-13,3.4174157e-12,2.4800267e-16,0.0,0.0,0.0,7.479999999999999e-16,3.767827494885043e-14,2.8217132528916978e-12,504.6621185471971,3.521307474775464e-12,1.238799692524548e-13,8.258664616830317e-15,0.0,0.00094362715,4.808454e-07,54570.188,0.5310858,-231.09346,0.0,0.0,0.0,-5.957023801062808e-13,3.4174157e-12,2.4800267e-16,0.0,0.0,0.0,7.479999999999999e-16,3.767827494885043e-14,2.8217132528916978e-12,504.6621185471971,3.521307474775464e-12,1.238799692524548e-13,8.258664616830317e-15,0.0
9,9,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,0.2517189723000185,34610D,252.84883,-14.658918,-26.955034,219.6098989521783,67836.48500188746,0.39894769581991746,0.920033608392856,66.82727310876248,73.7082632874256,1646.4196383448077,0.0005709043572451,47200.44144697906,0.4319748343150964,0.5568939425730207,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6889356243866273,36.85393599917589,19.289879970125497,36.28235539,1450000000000000.0,26.6304607792799,851.682277940482,1725.41235029516,0.0570904357245,0.0262635740690282,0.460016804196428,36.8541316437128,17.515392344826,17.505398436583246,0.05709043572451,0.885623296566276,750168056503112.1,13.998228664870224,1049637310045428.4,0.02092486677639709,1.1430973209902229e-05,2.8440000000000003,35.8,2023-02-06 09:10:00,0.0005709043572451004,0.43197532482457396,0.0,9,472.0044144697906,0.0005709043572451004,-14.658918,-26.955034,0.43197532482457396,0.0,0.0,0.6503206743070062,352.4580083824982,11484.907125089065,0.7476053739662908,0.6641432110747819,3.944014351961577,240.8313653636697,0.3540531131020381,inf,0.0,231.96499938243448,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00055544113,1.7732188e-07,60141.316,0.3918939,-230.75752,0.0,0.0,1.0,-5.790030579973979e-13,3.007908e-12,2.2460606e-16,0.0,0.0,0.0,7.48e-16,3.254837004483778e-14,2.4289049222631795e-12,503.01176365897976,2.805615545291028e-12,1.174319121322454e-13,7.828794142149693e-15,0.0,0.00055544113,1.7732188e-07,60141.316,0.3918939,-230.75752,0.0,0.0,0.0,-5.790030579973979e-13,3.007908e-12,2.2460606e-16,0.0,0.0,0.0,7.48e-16,3.254837004483778e-14,2.4289049222631795e-12,503.01176365897976,2.805615545291028e-12,1.174319121322454e-13,7.828794142149693e-15,0.0
