Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,1,801733.0,IGO1004,1.4106889349229954,104.0191171175605,120.379999896,586.74,0.6877042235379661,34610D,297.40823,1.3465086,0.11909696,118.17510279959949,69491.52216200223,0.2905477499262892,0.499216182867396,36.86338689109043,53.0781875175652,50.97436401278391,0.0183494604064199,94472.02900687772,0.7302561485170941,0.3071948907590869,0.4754195252306138,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.16695259344802,2.39168911169842,0.3418272622324262,26.53813854691745,9.544027871219551,7.179806993744983,697614655034110.8,18.0108654176345,760.89193223582,1162.88051346328,1.83494604064,0.0201101675528881,0.249608091433698,26.5390937587826,12.4120343988805,12.18838412692525,21.457638325298173,0.5468730302789316,392622403511658.7,,,0.0004495085114303,4.899077009979762e-06,3.0968000000000004,35.8,2023-05-05 02:01:00,0.0183494604064199,0.7302567075753684,0.0,0,944.7202900687772,0.0183494604064199,1.3465086,0.11909696,0.7302567075753684,2.2133176,0.0,1.106605207026707,919.4978866730316,7614.667628717853,0.93203951281371,0.3623566565608839,6.3816218272854845,246.540245064896,0.9191035061574392,inf,0.0,242.50487799144852,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0179434,4.3775295e-08,5714.903,0.8970851,-220.79857,0.0,0.0,1.0,-1.0214776802867036e-12,1.0928482e-11,2.1431184000000001e-16,0.0,0.0,0.0,7.48e-16,1.2975337210477373e-13,9.907004635216895e-12,1315.9595602140066,7.614667628717854,1.3338905362300744e-13,0.0179434,4.3775295e-08,5714.903,0.8970851,-220.79857,0.0,0.0,0.0,-1.0214776802867036e-12,1.0928482e-11,2.1431184000000001e-16,0.0,0.0,0.0,7.48e-16,1.2975337210477373e-13,9.907004635216895e-12,1315.9595602140066,7.614667628717854,0.0
1,1,2,801733.0,,1.4745127782828862,104.04393870359776,133.41259247733333,601.5917197452229,0.6912351361766736,34610D,297.402,1.4101402,0.14522398,133.02270283374008,69454.65877511115,0.3136683940016199,0.888470101167742,62.296410339000886,90.5990641077042,1530.408584910332,0.0181668663252861,94303.56884702292,0.7220104916951544,0.5191367528250074,0.8098343560505951,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.276301895365965,2.409422150851207,0.3847787131355474,45.29951157301962,12.136734971791933,20.809659625515064,1340947174411180.0,27.7944043645695,835.424302820209,1381.64367441448,1.81668663253,0.023868245876481,0.444235050583871,45.2995320538521,18.6119689265312,18.279880776030883,14.99741893801778,0.8161034805316552,829770324686824.0,,,0.001076528045693,1.287069517666629e-05,3.0968000000000004,35.8,2023-05-05 02:02:00,0.0181668663252861,0.7220120325129932,0.0,1,943.035688470229,0.0181668663252861,1.4101402,0.14522398,0.7220120325129932,1.8477933,0.0,1.1046550762070404,924.218590582749,8116.674608168534,0.8118862591610064,-0.583815640579753,6.583817475364198,246.9210863433865,0.9086743273218576,inf,0.0,242.6506871904845,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.017773205,3.531219e-08,5872.401,0.8864417,-223.42137,0.0,0.0,1.0,-1.0206909846720673e-12,1.0914664e-11,2.1365948000000002e-16,0.0,0.0,0.0,7.479999999999999e-16,1.2958331037050612e-13,9.893973145377479e-12,1316.3428677202933,8.116674608168534,5.677931433095519e-13,0.017773205,3.531219e-08,5872.401,0.8864417,-223.42137,0.0,0.0,0.0,-1.0206909846720673e-12,1.0914664e-11,2.1365948000000002e-16,0.0,0.0,0.0,7.479999999999999e-16,1.2958331037050612e-13,9.893973145377479e-12,1316.3428677202933,8.116674608168534,0.0
2,2,3,801733.0,,1.5336845271932014,104.00137361944992,146.44518505866665,1047.1433121019109,0.6939387186754125,34610D,294.7332,2.898448,0.4484543,147.20677620359896,69392.36236477214,0.353141724194293,0.839516779140094,64.21377042526863,87.0936543343762,1531.599970137459,0.0152271136188936,89361.70680416205,0.690999671014209,0.5351147535439053,0.8572213192945906,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,30.74690129434899,4.143848634714389,0.4277307615694931,43.54714638095589,13.09800390324876,22.79329600721332,1434575317388410.8,28.7226835016547,853.315318541252,1247.79058339883,1.52271136189,0.0228148630672662,0.419758389570047,43.5468271671881,18.3984619295085,18.12250843451676,24.388467775730344,0.8933863158009734,657100623102719.9,31.353023821515084,1763796646620038.8,0.0005840461804462,1.179641200293105e-05,3.0968000000000004,35.8,2023-05-05 02:03:00,0.0152271136188936,0.6909989614715791,0.0,2,893.6170680416205,0.0152271136188936,2.898448,0.4484543,0.6909989614715791,1.4952128,0.0,1.0562454340896978,927.8331066893148,8116.598342372834,0.8118941346415219,-0.5838046883459348,6.602985902002273,246.9566492845571,0.8483592437321177,inf,0.0,241.6523670595988,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.014896546,3.5231498e-08,10494.236,0.8258149,-223.01126,0.0,0.0,1.0,-9.938176832558825e-13,1.0133725e-11,2.1365326e-16,0.0,0.0,0.0,7.48e-16,1.1978043831538957e-13,9.139906542621022e-12,1316.6948589946724,8.116598342372834,2.688868566211776e-13,0.014896546,3.5231498e-08,10494.236,0.8258149,-223.01126,0.0,0.0,0.0,-9.938176832558825e-13,1.0133725e-11,2.1365326e-16,0.0,0.0,0.0,7.48e-16,1.1978043831538957e-13,9.139906542621022e-12,1316.6948589946724,8.116598342372834,0.0
3,3,4,801733.0,IGO1004,1.5928562761035163,103.95880853530213,159.47777764,1492.6949044585988,0.6966324286742468,34610D,291.79413,3.3795888,0.99672496,160.8059914698958,69328.14859434687,0.3671942983392143,0.911150063933352,73.14648875838944,89.9745150092944,7045.3738708646815,0.012922133579553,84631.66762616119,0.6847120294379312,0.6095540729865786,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.712498722100847,2.565069400220924,0.4695925293978688,98.90307633966356,16.22130310360081,29.437896174996727,1552828142392495.8,29.02392632967695,867.609759582371,1348.458020475995,1.1072633278475,0.0244059774703144,0.455575031966676,44.9872575046472,18.650127948866547,18.447217670728627,19.71430011581328,0.9623167507791311,634983307429993.6,30.83491579128108,1718177133039539.0,0.0008521405247897,1.3806767091101297e-05,3.0968000000000004,35.8,2023-05-05 02:04:00,0.012922133579553,0.6847117025792395,0.0,3,846.3166762616119,0.012922133579553,3.3795888,0.99672496,0.6847117025792395,1.1833186,0.0,1.0104127001405916,931.434420256086,9154.654061101975,0.7626660465466881,-0.6467924716977193,6.379806077203261,246.53677675881332,0.8178724367974012,inf,0.0,240.83501429563,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.01262955,5.6894088e-08,15105.662,0.7948212,-221.15147,0.0,0.0,1.0,-9.669927992547205e-13,9.352277e-12,2.153231e-16,0.0,0.0,0.0,7.48e-16,1.0997201242448169e-13,8.385283794954826e-12,1317.0442950032957,9.154654061101976,3.90634094070625e-13,0.01262955,5.6894088e-08,15105.662,0.7948212,-221.15147,0.0,0.0,0.0,-9.669927992547205e-13,9.352277e-12,2.153231e-16,0.0,0.0,0.0,7.48e-16,1.0997201242448169e-13,8.385283794954826e-12,1317.0442950032957,9.154654061101976,0.0
4,4,5,801733.0,IGO1004,1.6540695966300318,103.90687330057575,173.367777628,3529.5840000000003,0.699216348605171,34610D,281.3649,-0.09488127,1.6170377,169.38148418057415,69255.00210558849,0.3700660924221364,0.98278334872661,64.59115543997922,92.8553756842126,2278.926869000112,0.0069181529380497,65513.72471949614,0.6184861453444604,0.5382596286664935,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.824579535079515,2.693455610043765,0.5037188349360477,46.426768635463,16.943253580788475,33.13402575015952,1497299118649781.8,29.3251691576992,881.90420062349,1449.12545755316,0.691815293805,0.0259970918733626,0.491391674363305,46.4276878421063,18.9017939682246,18.771926906940493,15.040132455896204,1.0,627065613454041.6,22.74603788283577,1462599082101041.5,0.0015729604357684,1.5030012376843914e-05,3.0968000000000004,35.8,2023-05-05 02:05:00,0.0069181529380497,0.6184861794913155,0.0,4,655.1372471949613,0.0069181529380497,-0.09488127,1.6170377,0.6184861794913155,0.8990126,0.0,0.8111568156863,934.8889362670052,10937.230704101195,0.7001003970091046,-0.714044420262279,4.935739727198062,243.4536269572185,0.6693008266365126,inf,0.0,236.4112067890802,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.006760325,1.7977924e-07,36270.062,0.65044355,-219.27974,0.0,0.0,1.0,-8.434354273112408e-13,6.5989198e-12,2.2479548e-16,0.0,0.0,0.0,7.479999999999999e-16,7.579408905306388e-14,5.755484120793309e-12,1317.4057874180594,10.937230704101196,5.338370342820805e-13,0.006760325,1.7977924e-07,36270.062,0.65044355,-219.27974,0.0,0.0,0.0,-8.434354273112408e-13,6.5989198e-12,2.2479548e-16,0.0,0.0,0.0,7.479999999999999e-16,7.579408905306388e-14,5.755484120793309e-12,1317.4057874180594,10.937230704101196,0.0
5,5,6,801733.0,IGO1004,1.7228052171610169,103.83673569251752,186.743333172,4183.38,0.7016136061364673,34610D,277.6529,-3.8050225,0.13601246,178.5668807330536,69190.4109501485,0.3818683643469893,1.014672203444734,62.006168318453554,93.837068833558,2278.8519154874484,0.0048254161611426,60181.00734168642,0.5305059425323595,0.5167180693204463,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.948715960722804,2.750871953878647,0.5345730109403349,46.91828765306879,17.257456541676735,34.05287246480778,1483494770074862.0,29.7498493453443,894.127753024791,1471.93485856414,0.482541616114,0.0267485264338188,0.507336101722367,46.918534416779,18.9668803990986,18.875796824049388,15.05608242883269,1.0,595190457443354.9,21.24154636833676,1373448281301506.8,0.0017132324972596,1.4266003030652003e-05,3.0968000000000004,35.8,2023-05-05 02:06:00,0.0048254161611426,0.530505753246597,0.0,5,601.8100734168642,0.0048254161611426,-3.8050225,0.13601246,0.530505753246597,0.63744575,4.8714444e-08,0.7550916848672518,938.0938725690564,11369.69839384247,0.7009670382757435,-0.7131936702263506,4.6122563357212325,242.65409090933616,0.5540157294208837,inf,0.0,234.8042061347232,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.004708703,6.399559e-08,43097.23,0.5363823,-217.3793,0.0,0.0,1.0,-8.036288588191027e-13,5.8086565e-12,2.158705e-16,0.0,0.0,0.0,7.479999999999998e-16,6.60292302495801e-14,5.005027673367972e-12,1317.8117024253206,11.36969839384247,5.220352151123229e-13,0.004708703,6.399559e-08,43097.23,0.5363823,-217.3793,0.0,0.0,0.0,-8.036288588191027e-13,5.8086565e-12,2.158705e-16,0.0,0.0,0.0,7.479999999999998e-16,6.60292302495801e-14,5.005027673367972e-12,1317.8117024253206,11.36969839384247,0.0
6,6,7,801733.0,IGO1004,1.7943572998046875,103.76389842922404,194.974444276,4835.3133333333335,0.70398421098129,34610D,273.90106,-3.7647216,-0.29651916,190.3474706650612,69128.40478183005,0.3906580353046475,1.066737718049978,59.39461360346771,94.676720064182,2550.831600369226,0.0034782795805222,55219.038742685225,0.4750534193400727,0.4949551133622309,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.87080604408536,2.47193952644271,0.5737298622603262,47.338495439694896,17.32937118879145,34.75416043441997,1472958928318459.0,30.087150797626,905.749664995875,1533.10627510557,0.347827958052,0.0279448537654803,0.533368859024989,47.338360032091,19.0864788021846,19.02032080870072,13.344136229109028,1.0,590363560289037.1,20.05527219986692,1301167602148568.5,0.0022830759982348,1.4150308081966278e-05,3.0968000000000004,35.8,2023-05-05 02:07:00,0.0034782795805222,0.4750539240649615,0.0,6,552.1903874268522,0.0034782795805222,-3.7647216,-0.29651916,0.4750539240649615,0.5220546,3.1799843e-07,0.7023241107060484,941.2631706526372,11931.049130967078,0.7011438520440351,-0.7130198445631456,4.288050293264291,241.801257364519,0.4784732056782005,inf,0.0,233.5384458536302,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0033950496,-1.06635385e-08,49927.363,0.464576,-216.34903,0.0,0.0,1.0,-7.637875541878164e-13,5.0877375e-12,2.1308165000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,5.717243205508742e-14,4.32395003107052e-12,1318.2297978130628,11.93104913096708,6.318441029011567e-13,0.0033950496,-1.06635385e-08,49927.363,0.464576,-216.34903,0.0,0.0,0.0,-7.637875541878164e-13,5.0877375e-12,2.1308165000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,5.717243205508742e-14,4.32395003107052e-12,1318.2297978130628,11.93104913096708,0.0
7,7,8,801733.0,IGO1004,1.869444766287076,103.68749684300916,200.63333316,5562.6,0.7063215291342613,34610D,269.93054,-3.3915915,-0.053404927,200.3550065793222,69069.01016822658,0.4052050765148601,0.893182634140488,56.47668534833664,78.1179522693344,1993.915096671956,0.002554101447183,50079.94046965324,0.4400427033132348,0.470639044569472,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.999742607289884,2.359096425345647,0.6083190499024667,39.05893390475933,17.18841392494919,35.66440377880596,1459283832991253.0,26.3691581213576,886.479853855661,1466.91392930764,0.255410144718,0.0263182256095577,0.446591317070244,39.0589761346672,16.9688991839959,16.925669307523016,14.193390277043646,1.0,530413149625666.8,18.55659180025172,1211678803291795.0,0.0018652453940155,1.2713368477984356e-05,3.0968000000000004,35.8,2023-05-05 02:08:00,0.002554101447183,0.4400431269113841,0.0,7,500.7994046965324,0.002554101447183,-3.3915915,-0.053404927,0.4400431269113841,0.47304904,3.87951e-07,0.6463298730160838,944.38796055053,12344.213494269052,0.7006804692162174,-0.7134752133458749,3.980919248610974,240.93891736916356,0.4264664183690358,inf,0.0,232.44685752125417,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0024961964,3.6268336e-08,57561.875,0.4166065,-215.7509,0.0,0.0,1.0,-7.192249876077143e-13,4.3849768e-12,2.1375577000000002e-16,0.0,0.0,0.0,7.480000000000001e-16,4.8616530032341384e-14,3.665751866459885e-12,1318.6656868841287,12.344213494269052,3.6642961106412993e-13,0.0024961964,3.6268336e-08,57561.875,0.4166065,-215.7509,0.0,0.0,0.0,-7.192249876077143e-13,4.3849768e-12,2.1375577000000002e-16,0.0,0.0,0.0,7.480000000000001e-16,4.8616530032341384e-14,3.665751866459885e-12,1318.6656868841287,12.344213494269052,0.0
8,8,9,801733.0,IGO1004,1.9471435546875,103.6083317126258,208.34999982,6129.528,0.7086308634282957,34610D,266.39102,-4.1872797,-0.2945699,206.0242032359893,69012.53348287825,0.4093884671955304,0.843729853623266,54.667548743274246,72.5031170681988,1760.7745884185977,0.0023813329668288,46348.6728707049,0.5138580055550055,0.455562906193952,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,14.003245623644949,2.067140453100555,0.6296738625357076,36.25171783371284,16.94222358099127,36.28235538999999,1450000000000000.2,24.8147190646477,879.522916751392,1476.18694295828,0.238133296683,0.0261915827013571,0.421864926811633,36.2515585340994,16.1068894393226,16.06862469360811,13.10258493779213,1.0,524654629088589.0,17.294332547593072,1137213268416158.5,0.0020698585026317,1.2575343631640372e-05,3.0968000000000004,35.8,2023-05-05 02:09:00,0.0023813329668288,0.5138582784471228,0.0,8,463.48672870704905,0.0023813329668288,-4.1872797,-0.2945699,0.5138582784471228,0.42127547,1.6202112e-07,0.6061221726510229,947.4753324647148,12641.761182441607,0.7011874084713596,-0.71297701099069,3.709860811472499,240.12743888531665,0.4811182740599134,inf,0.0,232.0132849494551,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0023282254,4.9779754e-08,63597.086,0.48596722,-216.03789,0.0,0.0,1.0,-6.839958315112412e-13,3.872577e-12,2.1477468e-16,0.0,0.0,0.0,7.479999999999999e-16,4.241433221376982e-14,3.1885813483000082e-12,1319.116734899002,12.641761182441607,3.341125780309546e-13,0.0023282254,4.9779754e-08,63597.086,0.48596722,-216.03789,0.0,0.0,0.0,-6.839958315112412e-13,3.872577e-12,2.1477468e-16,0.0,0.0,0.0,7.479999999999999e-16,4.241433221376982e-14,3.1885813483000082e-12,1319.116734899002,12.641761182441607,0.0
9,9,10,801733.0,IGO1004,2.02679443359375,103.5272889218088,212.979999816,6629.400000000001,0.7109195942029924,34610D,263.309,-4.8399634,-0.4937281,211.08416220611045,68957.86593413497,0.4158172124843269,0.685122682297626,52.79507362423932,58.3648079685912,1021.2684041151614,0.0021007416844337,43248.54735942331,0.5541743920170047,0.439958946868661,0.9950852620851142,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,12.76172003919478,1.8874489286278069,0.6489033185877159,29.18307963636105,16.663778000145562,36.28235539,1450000000000000.2,21.2535587395115,852.974630777912,1404.00129492143,0.210074168443,0.0242953036299973,0.342561341148813,29.1824039842956,14.0998995676619,14.070341414937328,13.62445320137897,0.8917867411450726,514638144675853.44,16.239607873043013,1074734996317131.2,0.001682028339142,9.195670223918532e-06,3.0968000000000004,35.8,2023-05-05 02:10:00,0.0021007416844337,0.5541736705796118,0.0,9,432.4854735942332,0.0021007416844337,-4.8399634,-0.4937281,0.5541736705796118,0.36889738,2.7673012e-08,0.5722005487532444,950.535154318046,12914.546795885111,0.6657696000138174,-0.7461573826596113,3.498969018300301,239.4589316756769,0.5034551890878962,inf,0.0,231.53070309993063,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0020541532,3.5128835e-08,68894.516,0.51916397,-217.0508,0.0,0.0,1.0,-6.530651118254069e-13,3.4697828e-12,2.1411435000000002e-16,0.0,0.0,0.0,7.48e-16,3.757944486107325e-14,2.8167177315872028e-12,1319.5764226673552,12.914546795885112,1.9475841551279999e-13,0.0020541532,3.5128835e-08,68894.516,0.51916397,-217.0508,0.0,0.0,0.0,-6.530651118254069e-13,3.4697828e-12,2.1411435000000002e-16,0.0,0.0,0.0,7.48e-16,3.757944486107325e-14,2.8167177315872028e-12,1319.5764226673552,12.914546795885112,0.0
