,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,1,407463.0,BAW680,51.464630126953125,-0.5077465160472912,76.652222156,586.74,0.2875172671438102,34610D,276.15732,0.5094598,1.4314175,95.710660026803,68789.28011174589,0.252370542457109,1.178407466873862,71.53629584907729,133.7073478823296,1853.1078567075497,0.0008511920121953,94472.02900687772,0.1655955365564669,0.5961357987423107,0.6913251447927694,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.2873023905193169,66.85408000116985,17.77540090588198,22.13449958110599,1403479958105043.5,34.1088695030758,823.218552670908,1667.53054184857,0.0851192012195,0.0257820263831595,0.589203733436931,66.8536739411648,22.8532747845527,22.83383880335553,0.0851192012195299,0.7655459288080702,1545122102037681.0,,,0.020777351867565533,2.443637307617926e-05,3.16,35.8,2023-02-06 10:01:00,0.0008511920121953354,0.16559541687238824,0.0,0,944.7202900687771,0.0008511920121953354,0.5094598,1.4314175,0.16559541687238824,0.002945451,0.0,1.191760898934696,402.57805932027685,6244.71057557348,-0.3973546157043629,-0.9176651401129052,5.854409502402831,245.4943530726886,0.17046123819040057,inf,0.0,235.34319297629864,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00082687393,3.676612e-07,7900.7407,0.16581905,-233.77844,0.0,0.0,0.9999999999999999,-7.356108541499228e-13,7.577023e-12,2.3927805e-16,0.0,0.0,0.0,7.479999999999999e-16,8.992563686581706e-14,6.841412217088141e-12,510.9633339585236,6.24471057557348,1.0050384792701883e-11,0.00082687393,3.676612e-07,7900.7407,0.16581905,-233.77844,0.0,0.0,0.0,-7.356108541499228e-13,7.577023e-12,2.3927805e-16,0.0,0.0,0.0,7.479999999999999e-16,8.992563686581706e-14,6.841412217088141e-12,510.9633339585236,6.24471057557348
1,1,2,407463.0,BAW680,51.4423828125,-0.5900697450380221,127.582222112,1165.86,0.2888022458803915,34610D,274.8088,1.7061146,-0.22847779,122.37607418128732,68717.74381589681,0.29035500695772365,1.46761281533824,96.0,149.8393004454368,3282.365338486134,0.0008050081409534,88080.9851588033,0.1628540713036591,0.8,0.9871398992827618,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.3682463009351687,74.92047366915511,22.661103867582185,36.28235539,1450000000000000.0,39.8612985929841,867.300431186586,1780.71265196565,0.0805008140953,0.0285091730030097,0.73380640766912,74.9196502227184,25.7393088039296,25.7186051174361,0.0805008140953399,0.9608086130251636,1499727848111222.2,31.97908670332515,1896550416065752.0,0.024955849706436432,3.392558787149366e-05,3.16,35.8,2023-02-06 10:02:00,0.0008050081409534522,0.16285428001884528,0.0,1,880.8098515880331,0.0008050081409534522,1.7061146,-0.22847779,0.16285428001884528,0.0029077637,0.0,1.1165906234126466,404.3771742511047,7487.371314157589,-0.9834465679946758,-0.18119836616121401,5.750293225256244,245.27796683895352,0.16547205700522954,inf,0.0,235.12567596521657,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00078632083,2.9746963e-07,13461.254,0.16411662,-233.9554,0.0,0.0,1.0,-7.192275346659048e-13,7.0867747e-12,2.3386746e-16,0.0,0.0,0.0,7.479999999999999e-16,8.375998237971778e-14,6.367547301873747e-12,511.45240770061156,7.487371314157589,1.399288571508516e-11,0.00078632083,2.9746963e-07,13461.254,0.16411662,-233.9554,0.0,0.0,0.0,-7.192275346659048e-13,7.0867747e-12,2.3386746e-16,0.0,0.0,0.0,7.479999999999999e-16,8.375998237971778e-14,6.367547301873747e-12,511.45240770061156,7.487371314157589
2,2,3,407463.0,BAW680,51.3767720885196,-0.60943603515625,148.674444316,2179.32,0.2910500485509938,34610D,272.63675,-1.0898764,-7.764324,143.91549602016053,68621.74381589681,0.3183746980955331,1.407276116422414,87.52154667163401,133.9651217677054,3239.0912880803457,0.0004281660954553,77740.93610102212,0.0913532174882022,0.7293462222636168,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.4347830031069915,66.98242531996802,22.030917509786047,36.28235539,1450000000000000.0,37.8337677376869,877.531612011322,1802.96850332239,0.0428166095455,0.0290013667530978,0.703638058211207,66.9825608838527,24.2622378524987,24.25185403085076,0.0428166095455299,1.0,1254990511811912.8,29.490279045040506,1794633710478646.8,0.02562189625007622,3.141803833018789e-05,3.16,35.8,2023-02-06 10:03:00,0.0004281660954553951,0.09135329850624135,0.0,2,777.4093610102212,0.0004281660954553951,-1.0898764,-7.764324,0.09135329850624135,0.003284734,0.0,0.9933626313527423,407.5244216401118,9260.126126310186,-0.8537826424343427,0.5206296183255725,5.282164757206641,244.25990696814998,0.0908914531851261,inf,0.0,233.89363243402667,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00041879178,1.5299746e-07,23296.693,0.09123499,-234.27808,0.0,0.0,0.9999999999999999,-6.903655611716202e-13,6.2973767e-12,2.2273105e-16,0.0,0.0,0.0,7.480000000000001e-16,7.386187437627387e-14,5.607011024934706e-12,512.8947607704978,9.260126126310187,1.2130347596794242e-11,0.00041879178,1.5299746e-07,23296.693,0.09123499,-234.27808,0.0,0.0,0.0,-6.903655611716202e-13,6.2973767e-12,2.2273105e-16,0.0,0.0,0.0,7.480000000000001e-16,7.386187437627387e-14,5.607011024934706e-12,512.8947607704978,9.260126126310187
3,3,4,407463.0,BAW680,51.306060791015625,-0.5404828045819272,162.564444304,3169.92,0.2938703981449536,34610D,267.07553,-1.7415866,-15.147247,163.98639493168022,68534.22226922518,0.3440401422308641,1.00269815512025,68.9984574808422,90.5217528007236,1324.8566051665634,0.0007881782163265,68606.54157738572,0.2372964884044472,0.574987145673685,0.8362587714587114,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5005505900287472,45.26074584565948,17.391448850103522,29.74072483018422,1548278577978715.8,29.072376231611,832.581334712194,1676.24321953891,0.0788178216327,0.0258169270842048,0.501349077560125,45.2608764003618,19.4193939474252,19.404100058451707,0.07881782163265,0.804053197724862,1188602642080055.0,27.486001107145533,1676941394283321.0,0.02029668949006973,1.9158071038285197e-05,3.16,35.8,2023-02-06 10:04:00,0.0007881782163265585,0.23729645529156027,0.0,3,686.0654157738572,0.0007881782163265585,-1.7415866,-15.147247,0.23729645529156027,0.0038244633,0.0,0.8948987000038743,411.4733399564827,11144.044635122638,-0.8974772760506166,0.441060697606084,4.8454145026889694,243.23516358113625,0.2236669615196381,inf,0.0,233.53234649021584,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0007710043,4.6136515e-07,32974.06,0.22226226,-234.68251,0.0,0.0,1.0,-6.619027636248607e-13,5.1874035e-12,2.4650107e-16,0.0,0.0,0.0,7.480000000000001e-16,5.982601144723594e-14,4.525500799059264e-12,514.4492422766152,11.144044635122638,5.526031037794544e-12,0.0007710043,4.6136515e-07,32974.06,0.22226226,-234.68251,0.0,0.0,0.0,-6.619027636248607e-13,5.1874035e-12,2.4650107e-16,0.0,0.0,0.0,7.480000000000001e-16,5.982601144723594e-14,4.525500799059264e-12,514.4492422766152,11.144044635122638
4,4,5,407463.0,BAW680,51.216156005859375,-0.469962455130883,203.719999824,3573.78,0.2969574731965488,34610D,265.3328,-3.4606872,-13.384537,187.94475042722624,68465.22381174433,0.36647818364916995,1.37585377542396,79.02860657748475,115.4440741971834,2766.6224013805254,0.0004378044364934,65141.597694892014,0.1455778188183148,0.6585717214790396,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.57556176128667,57.72278744742394,21.049832373813985,36.28235539,1450000000000000.0,36.6013262365939,888.904628673573,1826.6309761355,0.0437804436493,0.0295274320274478,0.68792688771198,57.7220370985917,23.2978908247932,23.28769536844519,0.04378044364934,1.0,1097047047691705.4,28.642484653055952,1635308419424782.8,0.02639034015920797,2.7464005400833728e-05,3.16,35.8,2023-02-06 10:05:00,0.00043780443649340937,0.14557778500684584,0.0,4,651.4159769489202,0.00043780443649340937,-3.4606872,-13.384537,0.14557778500684584,0.004405641,2.0677451e-10,0.8552831475751866,415.79572166778826,12591.815562360232,-0.88754484275893,0.4607213388720196,4.762207565894519,243.0306983109091,0.13490024385749794,inf,0.0,232.9633522768737,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00043149418,7.388343e-07,36893.53,0.13780837,-235.30588,0.0,0.0,1.0000000000000002,-6.506621700599923e-13,4.8346045e-12,2.678893e-16,0.0,0.0,0.0,7.480000000000002e-16,5.5407136947230215e-14,4.1839421268717955e-12,516.4243346373609,12.591815562360232,9.114947825010849e-12,0.00043149418,7.388343e-07,36893.53,0.13780837,-235.30588,0.0,0.0,0.0,-6.506621700599923e-13,4.8346045e-12,2.678893e-16,0.0,0.0,0.0,7.480000000000002e-16,5.5407136947230215e-14,4.1839421268717955e-12,516.4243346373609,12.591815562360232
5,5,6,407463.0,BAW680,51.11584679555085,-0.3870391845703125,211.436666484,4411.9800000000005,0.3002508416549977,34610D,262.2295,-8.108622,-13.192659,210.9897815083696,68386.19520516685,0.38754090043479755,1.12036048508322,72.75262688431101,88.55138196224419,1493.8660535855238,0.0005908219247747,58401.6359568902,0.2317030593213319,0.6062718907025918,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.649946886256386,44.27567447661487,20.240699288813687,36.28235539,1450000000000000.0,31.2429954053589,868.358092537295,1754.59653588367,0.0590821924775,0.0275403171314738,0.56018024254161,44.275690981122096,20.340370078797,20.32835963822803,0.05908219247747,0.9658338269361878,973519902494490.4,28.067626751319526,1543104498900391.8,0.02338053582704566,2.2316465027315898e-05,3.16,35.8,2023-02-06 10:06:00,0.0005908219247747081,0.23170312599409895,0.0,5,584.016359568902,0.0005908219247747081,-8.108622,-13.192659,0.23170312599409895,0.0031338234,3.620361e-08,0.775864560271374,420.40695041117993,13209.052642457104,-0.8883960114481767,0.4590779093388955,4.41689124557887,242.14680127942282,0.20828162750551496,inf,0.0,232.47599997069347,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00057581346,2.7832843e-07,45205.99,0.23272409,-236.14317,0.0,0.0,1.0,-6.26230264139885e-13,4.217014e-12,2.3239199e-16,0.0,0.0,0.0,7.48e-16,4.766058180855166e-14,3.5907838325578737e-12,518.6255424557246,13.209052642457104,5.643554902591325e-12,0.00057581346,2.7832843e-07,45205.99,0.23272409,-236.14317,0.0,0.0,0.0,-6.26230264139885e-13,4.217014e-12,2.3239199e-16,0.0,0.0,0.0,7.48e-16,4.766058180855166e-14,3.5907838325578737e-12,518.6255424557246,13.209052642457104
6,6,7,407463.0,BAW680,51.010345458984375,-0.3004166886613006,233.557777576,4861.56,0.3036278533857169,34610D,260.3927,-10.768379,-12.516543,230.7204182702889,68313.44257828254,0.4025157224799861,1.111356775967328,69.19944549019895,83.4318279736668,2006.79042629708,0.0013742284105104,55026.440867802725,0.5991268083605569,0.5766620457516579,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7132287316783155,41.71593365399186,19.570990802738148,36.28235539,1450000000000000.0,30.9632927378691,874.075292059827,1761.22436349481,0.137422841051,0.0276346626249362,0.555678387983664,41.7159139868334,20.1080214195286,20.080426327174635,0.13742284105104,0.9926492338194436,889031580386090.8,29.06539256475552,1477998193610207.5,0.023420278180047813,2.1845238786597573e-05,3.16,35.8,2023-02-06 10:07:00,0.00137422841051042,0.5991269445674119,0.0,6,550.2644086780273,0.00137422841051042,-10.768379,-12.516543,0.5991269445674119,0.00013739908,1.1610439e-09,0.736181784444893,425.13529305053964,14441.476617147115,-0.8882530904374696,0.4593543809830104,4.268811153657036,241.74887199751768,0.5289410378007698,inf,0.0,233.8031493076258,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0013452744,3.8613206e-07,49600.855,0.56973594,-237.05669,0.0,0.0,1.0,-6.134799837472157e-13,3.8937334e-12,2.4070186e-16,0.0,0.0,0.0,7.48e-16,4.363199565020835e-14,3.2802533691203782e-12,520.9406874577006,14.441476617147115,5.122762144384035e-12,0.0013452744,3.8613206e-07,49600.855,0.56973594,-237.05669,0.0,0.0,0.0,-6.134799837472157e-13,3.8937334e-12,2.4070186e-16,0.0,0.0,0.0,7.48e-16,4.363199565020835e-14,3.2802533691203782e-12,520.9406874577006,14.441476617147115
7,7,8,407463.0,BAW680,50.89504953158104,-0.2059173583984375,245.389999788,5463.54,0.3071763582051706,34610D,256.9902,-11.504773,-11.3910265,246.31488009090825,68244.24313279234,0.4134972995258238,1.02025648493905,66.55688527183321,73.700906837297,1575.816878423747,0.0011602780249406,50756.176244006965,0.6378883929674454,0.5546407105986101,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7664601333528652,36.85045942833181,19.444804627750383,36.28235539,1450000000000000.0,28.89558867182,867.321527029778,1737.36219658329,0.116027802494,0.0269759742893547,0.510128242469525,36.8504534186485,18.9104659204406,18.88854995100945,0.11602780249406,0.960911466296972,845696558826882.1,28.86697462419246,1412072321093079.5,0.02250933849048519,1.9135855174265056e-05,3.16,35.8,2023-02-06 10:08:00,0.0011602780249406741,0.6378887147463789,0.0,7,507.56176244006963,0.0011602780249406741,-11.504773,-11.3910265,0.6378887147463789,0.0,0.0,0.6880417363443515,430.10375550509616,15212.014781554939,-0.8893115744758581,0.4573017860267661,4.01052126089603,241.02455034345576,0.544622698021853,inf,0.0,233.23605214826844,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0011351493,2.2426994e-07,55626.4,0.614318,-238.86101,0.0,0.0,1.0,-5.957714963638279e-13,3.4293308e-12,2.2822498e-16,0.0,0.0,0.0,7.479999999999999e-16,3.781249538067521e-14,2.8335592624615764e-12,523.4666017661498,15.21201478155494,3.9044120681160655e-12,0.0011351493,2.2426994e-07,55626.4,0.614318,-238.86101,0.0,0.0,0.0,-5.957714963638279e-13,3.4293308e-12,2.2822498e-16,0.0,0.0,0.0,7.479999999999999e-16,3.781249538067521e-14,2.8335592624615764e-12,523.4666017661498,15.21201478155494
8,8,9,407463.0,BAW680,50.77340853416313,-0.1070404052734375,261.852221996,5935.9800000000005,0.3108280912428153,34610D,253.57764,-12.66357,-11.159067,259.1601364524745,68177.68624752051,0.42398011876889713,1.06615360409587,65.25172328870376,75.0548066335772,1674.6895099516755,0.0008582385379361,47596.28928252322,0.6106092663161183,0.543764360739198,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.8118390286177145,37.52754648351351,19.40128472650673,36.28235539,1450000000000000.0,29.6843637815443,876.452949145759,1764.85909097893,0.0858238537936,0.0276799686668424,0.533076802047935,37.5274033167886,19.2585767875707,19.24206250797698,0.0858238537936099,1.0,815289057341872.1,28.963857893968417,1358125793069105.5,0.0235451511737676,2.0410339849317212e-05,3.16,35.8,2023-02-06 10:09:00,0.0008582385379361258,0.6106094361518984,0.0,8,475.96289282523225,0.0008582385379361258,-12.66357,-11.159067,0.6106094361518984,0.0,0.0,0.6538898387369173,435.21675417262566,16064.88552763422,-0.8897878447223443,0.4563743982569195,3.8282872654820763,240.48822499378323,0.5040786879221327,inf,0.0,232.48405029378705,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00083791383,1.8621421e-07,60368.332,0.56501204,-240.60123,0.0,0.0,0.9999999999999998,-5.818624210228518e-13,3.0567766e-12,2.2529152e-16,0.0,0.0,0.0,7.48e-16,3.3147176405700435e-14,2.4749142225025354e-12,526.1310912821647,16.06488552763422,3.7276288507067645e-12,0.00083791383,1.8621421e-07,60368.332,0.56501204,-240.60123,0.0,0.0,0.0,-5.818624210228518e-13,3.0567766e-12,2.2529152e-16,0.0,0.0,0.0,7.48e-16,3.3147176405700435e-14,2.4749142225025354e-12,526.1310912821647,16.06488552763422
9,9,10,407463.0,BAW680,50.6448778055482,-0.0031177417652088,273.684444208,6438.900000000001,0.3145941939206925,34610D,249.70541,-13.847687,-10.446267,270.5987496600984,68112.43452423181,0.4326849093906012,1.104387658905382,64.08667746572428,75.9886881270746,1745.528008869509,0.0005462531539226,44409.53957525199,0.5282431191428862,0.5340556455477024,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.8542185437291242,37.99429722953039,19.323350147867604,36.28235538999999,1450000000000000.0,30.2116809178687,883.694792693482,1791.18387959131,0.0546253153923,0.0284028746579344,0.552193829452691,37.9943440635373,19.4414768259534,19.43086265594416,0.05462531539226,1.0,817231717992352.0,28.76525985562102,1305683781847543.5,0.02440311573467018,2.04589733538775e-05,3.16,35.8,2023-02-06 10:10:00,0.0005462531539226666,0.5282434527034632,0.0,9,444.0953957525199,0.0005462531539226666,-13.847687,-10.446267,0.5282434527034632,0.0,0.0,0.6195705519893225,440.48988899553774,16696.494033359326,-0.8904087613594637,0.4551617709060216,3.625801564394314,239.86511351036117,0.41971177910154356,inf,0.0,231.4240057155049,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000533455,2.3169869e-07,65319.367,0.50665873,-241.08313,0.0,0.0,1.0000000000000002,-5.672481338625581e-13,2.6777805e-12,2.287976e-16,0.0,0.0,0.0,7.48e-16,2.8413718773647964e-14,2.1105323972451986e-12,528.942281110655,16.696494033359325,3.412794184108932e-12,0.000533455,2.3169869e-07,65319.367,0.50665873,-241.08313,0.0,0.0,0.0,-5.672481338625581e-13,2.6777805e-12,2.287976e-16,0.0,0.0,0.0,7.48e-16,2.8413718773647964e-14,2.1105323972451986e-12,528.942281110655,16.696494033359325
