,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,1,407463.0,BAW680,51.464630126953125,-0.5077465160472912,76.652222156,586.74,0.2875172671438102,34610D,276.15732,0.5094598,1.4314175,95.710660026803,68789.28011174589,0.26434565614993105,1.108491289914588,71.53629584907729,133.7079338110364,1853.1078567075497,0.0008511920121953,94472.02900687772,0.1655955365564669,0.5961357987423107,0.6913251447927694,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,25.7223863393246,1.9072842856627088,0.2873023905193169,66.85408000116985,17.77540090588198,22.13449958110599,1403479958105043.5,34.3339693182406,824.619768460808,1470.15598131984,0.0851192012195,0.0242256365671611,0.554245644957294,66.8539669055182,22.8784760070494,22.859018593016405,8.428803239542148,0.771184341526622,1007845989267445.6,,,0.004166445080414713,1.3624719031777614e-05,2.9704000000000006,35.8,2023-02-06 10:01:00,0.0008511920121953354,0.16559541687238824,0.0,0,944.7202900687771,0.0008511920121953354,0.5094598,1.4314175,0.16559541687238824,0.002945451,0.0,1.191760898934696,402.57805932027685,6244.71057557348,-0.3973546157043629,-0.9176651401129052,6.25893410103266,246.30390089781758,0.17046123819040057,inf,0.0,236.0755449318925,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00082687393,3.676612e-07,7900.7407,0.16581905,-233.77844,0.0,0.0,0.9999999999999999,-7.356108541499228e-13,7.577023e-12,2.3927805e-16,0.0,0.0,0.0,7.479999999999999e-16,8.992563686581706e-14,6.841412217088141e-12,510.9633339585236,6.24471057557348,1.895810637439716e-12,0.00082687393,3.676612e-07,7900.7407,0.16581905,-233.77844,0.0,0.0,0.0,-7.356108541499228e-13,7.577023e-12,2.3927805e-16,0.0,0.0,0.0,7.479999999999999e-16,8.992563686581706e-14,6.841412217088141e-12,510.9633339585236,6.24471057557348
1,1,2,407463.0,BAW680,51.4423828125,-0.5900697450380221,127.582222112,1165.86,0.2888022458803915,34610D,274.8088,1.7061146,-0.22847779,122.37607418128732,68717.74381589681,0.30122809707386056,1.393846338660398,96.0,149.8396968067604,3282.365338486134,0.0008050081409534,88080.9851588033,0.1628540713036591,0.8,0.9871398992827618,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,24.25520999526648,1.7996151081382608,0.3682463009351687,74.92047366915511,22.661103867582185,36.28235539,1450000000000000.0,39.8911450027388,867.271539091563,1599.27977443262,0.0805008140953,0.0270317763852281,0.696923169330199,74.9198484033802,25.7816267565398,25.760889031151525,7.066343212477105,0.9606677489470864,1194955626791488.5,22.93199490692421,1571653244467119.0,0.006406012581243989,2.373066344293323e-05,2.9704000000000006,35.8,2023-02-06 10:02:00,0.0008050081409534522,0.16285428001884528,0.0,1,880.8098515880331,0.0008050081409534522,1.7061146,-0.22847779,0.16285428001884528,0.0029077637,0.0,1.1165906234126466,404.3771742511047,7487.371314157589,-0.9834465679946758,-0.18119836616121401,6.143281002378064,246.07731020512506,0.16547205700522954,inf,0.0,235.84868624131306,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00078632083,2.9746963e-07,13461.254,0.16411662,-233.9554,0.0,0.0,1.0,-7.192275346659048e-13,7.0867747e-12,2.3386746e-16,0.0,0.0,0.0,7.479999999999999e-16,8.375998237971778e-14,6.367547301873747e-12,511.45240770061156,7.487371314157589,3.4113487147966545e-12,0.00078632083,2.9746963e-07,13461.254,0.16411662,-233.9554,0.0,0.0,0.0,-7.192275346659048e-13,7.0867747e-12,2.3386746e-16,0.0,0.0,0.0,7.479999999999999e-16,8.375998237971778e-14,6.367547301873747e-12,511.45240770061156,7.487371314157589
2,2,3,407463.0,BAW680,51.3767720885196,-0.60943603515625,148.674444316,2179.32,0.2910500485509938,34610D,272.63675,-1.0898764,-7.764324,143.91549602016053,68621.74381589681,0.3282814241856269,1.34474407031482,87.52154667163401,133.9650200925198,3239.0912880803457,0.0004281660954553,77740.93610102212,0.0913532174882022,0.7293462222636168,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,19.40748575950509,1.447251804562628,0.4347830031069915,66.98242531996802,22.030917509786047,36.28235539,1450000000000000.0,37.7146251981575,876.305623909061,1642.47159946829,0.0428166095455,0.0276409026449768,0.67237203515741,66.9825100462599,24.3252560813024,24.31484528893344,5.99494909225281,1.0,1056459416962269.8,20.93998845839649,1474725325937872.5,0.008036834500050187,2.3342543747363885e-05,2.9704000000000006,35.8,2023-02-06 10:03:00,0.0004281660954553951,0.09135329850624135,0.0,2,777.4093610102212,0.0004281660954553951,-1.0898764,-7.764324,0.09135329850624135,0.003284734,0.0,0.9933626313527423,407.5244216401118,9260.126126310186,-0.8537826424343427,0.5206296183255725,5.638647800240536,245.04203433137198,0.0908914531851261,inf,0.0,234.59917536455168,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00041879178,1.5299746e-07,23296.693,0.09123499,-234.27808,0.0,0.0,0.9999999999999999,-6.903655611716202e-13,6.2973767e-12,2.2273105e-16,0.0,0.0,0.0,7.480000000000001e-16,7.386187437627387e-14,5.607011024934706e-12,512.8947607704978,9.260126126310187,3.6358614338181252e-12,0.00041879178,1.5299746e-07,23296.693,0.09123499,-234.27808,0.0,0.0,0.0,-6.903655611716202e-13,6.2973767e-12,2.2273105e-16,0.0,0.0,0.0,7.480000000000001e-16,7.386187437627387e-14,5.607011024934706e-12,512.8947607704978,9.260126126310187
3,3,4,407463.0,BAW680,51.306060791015625,-0.5404828045819272,162.564444304,3169.92,0.2938703981449536,34610D,267.07553,-1.7415866,-15.147247,163.98639493168022,68534.22226922518,0.3620042913315677,0.938936927002894,68.9984574808422,90.5222511346596,1324.8566051665634,0.0007881782163265,68606.54157738572,0.2372964884044472,0.574987145673685,0.8362587714587114,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,23.29063170939529,1.7284402096468168,0.5005505900287472,45.26074584565948,17.391448850103522,29.74072483018422,1548278577978715.8,29.3096435068272,834.602388810376,1466.35943501603,0.0788178216327,0.0241703248851304,0.469468463501447,45.2611255673298,19.4233410486867,19.40804405114408,8.984610724266377,0.8126252018157822,798694983593555.2,19.37848566312825,1369669387352858.0,0.0036964758504193433,1.109857199511117e-05,2.9704000000000006,35.8,2023-02-06 10:04:00,0.0007881782163265585,0.23729645529156027,0.0,3,686.0654157738572,0.0007881782163265585,-1.7415866,-15.147247,0.23729645529156027,0.0038244633,0.0,0.8948987000038743,411.4733399564827,11144.044635122638,-0.8974772760506166,0.441060697606084,5.240770251024931,244.16607463272535,0.2236669615196381,inf,0.0,234.37708359110812,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0007710043,4.6136515e-07,32974.06,0.22226226,-234.68251,0.0,0.0,1.0,-6.619027636248607e-13,5.1874035e-12,2.4650107e-16,0.0,0.0,0.0,7.480000000000001e-16,5.982601144723594e-14,4.525500799059264e-12,514.4492422766152,11.144044635122638,9.42414998092286e-13,0.0007710043,4.6136515e-07,32974.06,0.22226226,-234.68251,0.0,0.0,0.0,-6.619027636248607e-13,5.1874035e-12,2.4650107e-16,0.0,0.0,0.0,7.480000000000001e-16,5.982601144723594e-14,4.525500799059264e-12,514.4492422766152,11.144044635122638
4,4,5,407463.0,BAW680,51.216156005859375,-0.469962455130883,203.719999824,3573.78,0.2969574731965488,34610D,265.3328,-3.4606872,-13.384537,187.94475042722624,68465.22381174433,0.3795128905709109,1.309079064692542,79.02860657748475,115.4450284718136,2766.6224013805254,0.0004378044364934,65141.597694892014,0.1455778188183148,0.6585717214790396,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,20.33155458576677,1.515965349134051,0.57556176128667,57.72278744742394,21.049832373813985,36.28235539,1450000000000000.0,36.5423589229738,888.329744208297,1650.65475069983,0.0437804436493,0.0280421066324201,0.654539532346271,57.7225142359068,23.3413110122598,23.331096554679903,6.541397671288685,1.0,910429142626908.0,20.818933671308155,1370944543318818.8,0.007465965021617418,2.0115994755151657e-05,2.9704000000000006,35.8,2023-02-06 10:05:00,0.00043780443649340937,0.14557778500684584,0.0,4,651.4159769489202,0.00043780443649340937,-3.4606872,-13.384537,0.14557778500684584,0.004405641,2.0677451e-10,0.8552831475751866,415.79572166778826,12591.815562360232,-0.88754484275893,0.4607213388720196,5.114954951425902,243.8767876092975,0.13490024385749794,inf,0.0,233.7283475693691,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00043149418,7.388343e-07,36893.53,0.13780837,-235.30588,0.0,0.0,1.0000000000000002,-6.506621700599923e-13,4.8346045e-12,2.678893e-16,0.0,0.0,0.0,7.480000000000002e-16,5.5407136947230215e-14,4.1839421268717955e-12,516.4243346373609,12.591815562360232,2.4535151694145448e-12,0.00043149418,7.388343e-07,36893.53,0.13780837,-235.30588,0.0,0.0,0.0,-6.506621700599923e-13,4.8346045e-12,2.678893e-16,0.0,0.0,0.0,7.480000000000002e-16,5.5407136947230215e-14,4.1839421268717955e-12,516.4243346373609,12.591815562360232
5,5,6,407463.0,BAW680,51.11584679555085,-0.3870391845703125,211.436666484,4411.9800000000005,0.3002508416549977,34610D,262.2295,-8.108622,-13.192659,210.9897815083696,68386.19520516685,0.4038879954246788,1.059194089145798,72.75262688431101,88.5499044274458,1493.8660535855238,0.0005908219247747,58401.6359568902,0.2317030593213319,0.6062718907025918,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,20.083696760937244,1.4944113686934046,0.649946886256386,44.27567447661487,20.240699288813687,36.28235539,1450000000000000.0,31.2983140620705,868.654552495791,1566.78354098121,0.0590821924775,0.0260015735475374,0.529597044572899,44.2749522137229,20.3678844130208,20.35585772597869,7.400513778463632,0.9672129656238704,769026381458629.1,20.679339839666746,1308768234187272.2,0.005643302311880749,1.555148116982445e-05,2.9704000000000006,35.8,2023-02-06 10:06:00,0.0005908219247747081,0.23170312599409895,0.0,5,584.016359568902,0.0005908219247747081,-8.108622,-13.192659,0.23170312599409895,0.0031338234,3.620361e-08,0.775864560271374,420.40695041117993,13209.052642457104,-0.8883960114481767,0.4590779093388955,4.773870245053459,243.05954705206523,0.20828162750551496,inf,0.0,233.30417384042354,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00057581346,2.7832843e-07,45205.99,0.23272409,-236.14317,0.0,0.0,1.0,-6.26230264139885e-13,4.217014e-12,2.3239199e-16,0.0,0.0,0.0,7.48e-16,4.766058180855166e-14,3.5907838325578737e-12,518.6255424557246,13.209052642457104,1.2878028327699937e-12,0.00057581346,2.7832843e-07,45205.99,0.23272409,-236.14317,0.0,0.0,0.0,-6.26230264139885e-13,4.217014e-12,2.3239199e-16,0.0,0.0,0.0,7.48e-16,4.766058180855166e-14,3.5907838325578737e-12,518.6255424557246,13.209052642457104
6,6,7,407463.0,BAW680,51.010345458984375,-0.3004166886613006,233.557777576,4861.56,0.3036278533857169,34610D,260.3927,-10.768379,-12.516543,230.7204182702889,68313.44257828254,0.418498098359058,1.05320193722004,69.19944549019895,83.4318999114606,2006.79042629708,0.0013742284105104,55026.440867802725,0.5991268083605569,0.5766620457516579,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.89212233806735,1.3909470841032403,0.7132287316783155,41.71593365399186,19.570990802738148,36.28235539,1450000000000000.0,30.9696777680796,873.863482032305,1581.93628217192,0.137422841051,0.026138772541993,0.52660096861002,41.7159499557303,20.1463541474265,20.11870644944096,7.051123220341037,0.9916575080093464,724187880231065.1,22.029841392660423,1284482665766752.2,0.00602486205172452,1.5649698944278545e-05,2.9704000000000006,35.8,2023-02-06 10:07:00,0.00137422841051042,0.5991269445674119,0.0,6,550.2644086780273,0.00137422841051042,-10.768379,-12.516543,0.5991269445674119,0.00013739908,1.1610439e-09,0.736181784444893,425.13529305053964,14441.476617147115,-0.8882530904374696,0.4593543809830104,4.614099607976481,242.6587858157738,0.5289410378007698,inf,0.0,234.6426539954929,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0013452744,3.8613206e-07,49600.855,0.56973594,-237.05669,0.0,0.0,1.0,-6.134799837472157e-13,3.8937334e-12,2.4070186e-16,0.0,0.0,0.0,7.48e-16,4.363199565020835e-14,3.2802533691203782e-12,520.9406874577006,14.441476617147115,1.2488704720920241e-12,0.0013452744,3.8613206e-07,49600.855,0.56973594,-237.05669,0.0,0.0,0.0,-6.134799837472157e-13,3.8937334e-12,2.4070186e-16,0.0,0.0,0.0,7.48e-16,4.363199565020835e-14,3.2802533691203782e-12,520.9406874577006,14.441476617147115
7,7,8,407463.0,BAW680,50.89504953158104,-0.2059173583984375,245.389999788,5463.54,0.3071763582051706,34610D,256.9902,-11.504773,-11.3910265,246.31488009090825,68244.24313279234,0.4319922806654733,0.962220429085984,66.55688527183321,73.7009246565598,1575.816878423747,0.0011602780249406,50756.176244006965,0.6378883929674454,0.5546407105986101,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,19.2453119473314,1.421068483514238,0.7664601333528652,36.85045942833181,19.444804627750383,36.28235539,1450000000000000.0,28.9619012143241,867.67954477665,1547.09715968541,0.116027802494,0.0254067191801485,0.481110214542992,36.8504623282799,18.9363377117541,18.91439175864143,7.629187631516814,0.9626569901092225,660724260635101.2,22.19304452065951,1242352453791877.0,0.005209660923881228,1.3194051346137404e-05,2.9704000000000006,35.8,2023-02-06 10:08:00,0.0011602780249406741,0.6378887147463789,0.0,7,507.56176244006963,0.0011602780249406741,-11.504773,-11.3910265,0.6378887147463789,0.0,0.0,0.6880417363443515,430.10375550509616,15212.014781554939,-0.8893115744758581,0.4573017860267661,4.356335126988092,241.98552134386566,0.544622698021853,inf,0.0,234.1238881564537,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0011351493,2.2426994e-07,55626.4,0.614318,-238.86101,0.0,0.0,1.0,-5.957714963638279e-13,3.4293308e-12,2.2822498e-16,0.0,0.0,0.0,7.479999999999999e-16,3.781249538067521e-14,2.8335592624615764e-12,523.4666017661498,15.21201478155494,8.52251121650495e-13,0.0011351493,2.2426994e-07,55626.4,0.614318,-238.86101,0.0,0.0,0.0,-5.957714963638279e-13,3.4293308e-12,2.2822498e-16,0.0,0.0,0.0,7.479999999999999e-16,3.781249538067521e-14,2.8335592624615764e-12,523.4666017661498,15.21201478155494
8,8,9,407463.0,BAW680,50.77340853416313,-0.1070404052734375,261.852221996,5935.9800000000005,0.3108280912428153,34610D,253.57764,-12.66357,-11.159067,259.1601364524745,68177.68624752051,0.44307276244925964,1.005213971290366,65.25172328870376,75.0547866532348,1674.6895099516755,0.0008582385379361,47596.28928252322,0.6106092663161183,0.543764360739198,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,19.433967962871147,1.440868616964584,0.8118390286177145,37.52754648351351,19.40128472650673,36.28235539,1450000000000000.0,29.7358956298571,876.810307929497,1571.73226268625,0.0858238537936,0.0260675759845821,0.502606985645183,37.5273933266174,19.2809253128275,19.26439186931535,7.565263779741254,1.0,657847768416830.9,22.618216049317315,1211145154287651.5,0.005512740198336213,1.4535191855764391e-05,2.9704000000000006,35.8,2023-02-06 10:09:00,0.0008582385379361258,0.6106094361518984,0.0,8,475.96289282523225,0.0008582385379361258,-12.66357,-11.159067,0.6106094361518984,0.0,0.0,0.6538898387369173,435.21675417262566,16064.88552763422,-0.8897878447223443,0.4563743982569195,4.165318492978696,241.46343582695314,0.5040786879221327,inf,0.0,233.38308420207642,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00083791383,1.8621421e-07,60368.332,0.56501204,-240.60123,0.0,0.0,0.9999999999999998,-5.818624210228518e-13,3.0567766e-12,2.2529152e-16,0.0,0.0,0.0,7.48e-16,3.3147176405700435e-14,2.4749142225025354e-12,526.1310912821647,16.06488552763422,8.228817748430005e-13,0.00083791383,1.8621421e-07,60368.332,0.56501204,-240.60123,0.0,0.0,0.0,-5.818624210228518e-13,3.0567766e-12,2.2529152e-16,0.0,0.0,0.0,7.48e-16,3.3147176405700435e-14,2.4749142225025354e-12,526.1310912821647,16.06488552763422
9,9,10,407463.0,BAW680,50.6448778055482,-0.0031177417652088,273.684444208,6438.900000000001,0.3145941939206925,34610D,249.70541,-13.847687,-10.446267,270.5987496600984,68112.43452423181,0.4515570064135089,1.042674932238076,64.08667746572428,75.9886550388702,1745.528008869509,0.0005462531539226,44409.53957525199,0.5282431191428862,0.5340556455477024,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.72617114096856,1.3942336055259923,0.8542185437291242,37.99429722953039,19.323350147867604,36.28235538999999,1450000000000000.0,30.2203908792182,883.649958218216,1601.24887077849,0.0546253153923,0.0267770351325716,0.521337466119038,37.9943275194351,19.4695739665697,19.45894445678817,7.219626524076113,1.0,663212191686900.6,22.735903663047,1176618133031449.5,0.006084288694205344,1.4653719158233836e-05,2.9704000000000006,35.8,2023-02-06 10:10:00,0.0005462531539226666,0.5282434527034632,0.0,9,444.0953957525199,0.0005462531539226666,-13.847687,-10.446267,0.5282434527034632,0.0,0.0,0.6195705519893225,440.48988899553774,16696.494033359326,-0.8904087613594637,0.4551617709060216,3.945495534048403,240.83569910600536,0.41971177910154356,inf,0.0,232.31491501185357,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000533455,2.3169869e-07,65319.367,0.50665873,-241.08313,0.0,0.0,1.0000000000000002,-5.672481338625581e-13,2.6777805e-12,2.287976e-16,0.0,0.0,0.0,7.48e-16,2.8413718773647964e-14,2.1105323972451986e-12,528.942281110655,16.696494033359325,8.033448588472555e-13,0.000533455,2.3169869e-07,65319.367,0.50665873,-241.08313,0.0,0.0,0.0,-5.672481338625581e-13,2.6777805e-12,2.287976e-16,0.0,0.0,0.0,7.48e-16,2.8413718773647964e-14,2.1105323972451986e-12,528.942281110655,16.696494033359325
