,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,0,e80338,SKX5563,-23.425689697265625,-46.31471391157669,139.928888768,2362.2000000000003,-0.9918169391792891,34610D,284.30405,-0.6385594,2.9035656,121.8978449224329,74202.21929088817,0.267792278835963,1.1380932823497396,68.28559694098438,107834.90036835396,1878.9269032269829,2023-05-05 03:00:00,0.0066240877636871,0.75984452880696,0.5481948205305058,0.5690466411748698,0.9250621350070032,0.0164820997012591,0.0004045107943525,8.772953575268505e-05,3.0372773331026183e-05,1538782959522684.0,215.71420073656964,84.46928341599768,0.0819427163291812,0.0016723003332485,0.0013657119388196,1.1254900169412998,0.027622261061436,0.0059906637182275,0.0020740229576623,1.0507671295362109e+17,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.3606298918049703,53.91745018417697,16.482099701259127,30.37277333102618,1538782959522684.0,28.7515478353602,831.944943574496,1541.42460187552,0.662408776369,0.0213830431638037,0.516052607695613,53.9173642569774,24.1337308138238,23.974918847252322,0.66240877636871,0.791148467458595,20.767983581620335,1223772032291053.0,19.605462927616852
1,1,e80338,SKX5563,-23.478062516551915,-46.31746927897135,152.275555424,2910.84,-0.9917215229827372,34610D,281.48807,-1.2978687,3.858413,132.4323451609117,74133.93369394718,0.2375523398844965,1.186390416503885,71.1834249902331,151155.109430693,3489.434781778695,2023-05-05 03:01:00,0.0061115108278768,0.7090683156080404,0.5857321199155613,0.5931952082519425,1.0,0.017900316425907,0.0004200504525149,9.109974741420814e-05,3.5524613757286e-05,1461383976740578.8,224.8684395441464,88.05389671291836,0.0854201099882797,0.0017432675507812,0.0014236684998046,1.2742058316049885,0.0299006298787087,0.0064847920366884,0.0025287636786987,1.0402631669024157e+17,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.3937506361677491,75.57755471534651,17.900316425906997,35.524613757286,1461383976740578.8,37.8522418828294,920.282188505629,1746.72717251721,0.611151082788,0.0259254148934387,0.767359251393671,75.5766979233902,29.5987259817345,29.41893186112069,0.6111510827876799,1.057359145979515,33.16039115026888,1126440780633555.5,28.199862301377973
2,2,e80338,SKX5563,-23.51553706799524,-46.394907633463504,150.732222092,3924.3,-0.9916427704003078,34610D,276.68677,1.290549,1.6296304,146.2782862265446,74062.75026895695,0.2510240379373724,1.1036361202005145,66.21816721203086,123504.6693960258,2745.6656466636928,2023-05-05 03:02:00,0.0030428058016286,0.6225043576468452,0.3738111293072363,0.5518180601002571,1.0,0.0182672124342822,0.0004532332234586,9.829636399533188e-05,3.628235539e-05,1450000000000000.0,209.18319022280548,81.91187284128219,0.079461800654437,0.0016216694011109,0.0013243633442406,1.2096213274709926,0.0300122733770321,0.0065090050673775,0.0024025510760613,9.601634245744477e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.4386750009468974,61.7523346980129,18.267212434282268,36.28235539,1450000000000000.0,32.8983410725721,899.10323834375,1695.55413519234,0.304280580163,0.0246562852151683,0.645849979535291,61.7528052727789,26.1941315935934,26.114669725046415,0.30428058016285997,0.9997651552157948,30.58697939368237,1006784651861949.2,25.18938256955478
3,3,e80338,SKX5563,-23.552313335871304,-46.47906033497935,159.992222084,4716.780000000001,-0.991557452077725,34610D,272.58676,4.1195483,-0.6289659,160.58015404903537,73996.53210174492,0.2613968477708008,1.0435642605905049,62.61385563543029,128738.14684158834,3121.161962004853,2023-05-05 03:03:00,0.0012239382419133,0.5609564736871223,0.1892106345878984,0.5217821302952524,1.0,0.0183789235637616,0.0004797812488328,0.0001040540495101,3.628235539e-05,1450000000000000.0,197.79716995232428,77.45333942102728,0.0751366267625163,0.0015334005461738,0.0012522771127086,1.150775266755977,0.0300409538510063,0.0065152252343101,0.0022717781625028,9.079009067137392e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.4851730973459678,64.36907342079417,18.3789235637616,36.28235538999999,1450000000000000.0,35.0773971638583,951.453097728847,1815.35708504074,0.122393824191,0.0273275432105273,0.734878007950767,64.3686056714378,26.8914773014675,26.858604028872158,0.12239382419133,1.1403846786812728,41.04354075991024,880030336698027.8,22.031104291129935
4,4,e80338,SKX5563,-23.588763738082665,-46.56394526643573,159.47777764,5615.9400000000005,-0.9914651544687204,34610D,266.0912,5.7916355,-0.05877006,177.25884902773868,73933.91824610949,0.2934141433215925,1.001929930377474,60.11579582264845,88397.0814725539,1811.1763822317505,2023-05-05 03:04:00,0.0007146268040939,0.4971884686406126,0.1697767442663463,0.500964965188737,1.0,0.0181583806465089,0.0005011115879555,0.0001086801331024,3.628235539e-05,1450000000000000.0,189.9057990037464,74.36323943261613,0.0721389549871781,0.0014722235711669,0.0012023159164529,1.091605503415461,0.0301247219058992,0.0065333926915678,0.00218114266859,8.716790394284024e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5420631414200454,44.19854073627695,18.15838064650892,36.28235539,1450000000000000.0,26.7248426239061,865.596424070819,1613.54203324349,0.0714626804094,0.0227287916871344,0.497773986920198,44.1990526611511,21.9005917152191,21.88495214181225,0.07146268040938998,0.9031958308251514,26.004531011542937,925598733234369.1,17.85990763597547
5,5,e80338,SKX5563,-23.626355833926453,-46.65137093022184,175.425555404,6137.91,-0.9913628686019368,34610D,262.61368,8.311936,1.2189652,188.51171042087464,73873.80245028684,0.303068562026531,0.9723825444371836,58.34295266623101,81079.6648561673,1693.060486893094,2023-05-05 03:05:00,0.0005055125531329,0.4629524664715891,0.1518521324531956,0.4861912722185917,1.0,0.0179649978122021,0.0005160424069936,0.0001119183008866,3.628235539e-05,1450000000000000.0,184.30538747262372,72.17023244812776,0.0700115431994772,0.0014288070040709,0.0011668590533246,1.048131017006254,0.0301074377250003,0.0065296441311158,0.0021168197431381,8.459728136603498e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5802790500708512,40.539832428083656,17.964997812202153,36.28235538999999,1450000000000000.0,25.5034905909032,860.112080757256,1598.66138209919,0.0505512553133,0.0223740887135869,0.470071939387278,40.5400496200025,21.0096574392244,20.99904215980885,0.05055125531329,0.8861892891442388,25.115416933098178,900183248482494.0,16.527971520556434
6,6,e80338,SKX5563,-23.62904189804854,-46.75574200708161,191.887777612,6625.59,-0.9913358878413514,34610D,259.41748,10.931759,1.1886127,197.2531214020964,73815.45949762061,0.2937590679345128,0.9452395126860736,56.71437076116442,85597.91411139692,1866.764555925953,2023-05-05 03:06:00,0.0003542401935013,0.4327152378881695,0.1327229632729903,0.4726197563430368,1.0,0.017761916820846,0.0005309535663512,0.0001151522049165,3.628235539e-05,1450000000000000.0,179.16069723451838,70.1556766315604,0.0680572449133972,0.0013889233655795,0.0011342874152232,1.0073559360064237,0.0301126974190044,0.0065307848436001,0.0020577309556767,8.22358376036884e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.610915945444687,42.79895705569846,17.761916820846015,36.28235538999999,1450000000000000.0,26.8569707970719,888.60938254479,1664.5084487251,0.0354240193501,0.0238094854797485,0.514929214126943,42.798613983288,21.6270618096692,21.619403348043807,0.03542401935013,0.969497739990927,28.909891765242463,795282652989054.8,18.40697342300838
7,7,e80338,SKX5563,-23.59291076660156,-46.86345418294269,199.089999828,7162.8,-0.991392406879085,34610D,256.04834,13.832183,0.3292317,208.0268439179488,73758.74512685945,0.3035888663480242,0.9125301672263632,54.7518100335818,78511.14594038414,1721.426254328648,2023-05-05 03:07:00,0.0002197958091143,0.4012788685142464,0.1043264285765285,0.4562650836131816,1.0,0.0175089933367581,0.0005492026352778,0.0001191100284584,3.628235539e-05,1450000000000000.0,172.9609678960849,67.72798901154069,0.0657021720402981,0.0013408606538836,0.0010950362006716,0.9586490770534298,0.0300698383566749,0.0065214896512506,0.0019865246298841,7.93901245486936e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6485084074337367,39.25557297019207,17.508993336758113,36.28235539,1450000000000000.0,25.49924232292,882.035418090299,1647.70721194692,0.0219795809114,0.0234158199098502,0.4835777295586,39.2554853829648,20.651753020836,20.647214849542188,0.02197958091143,0.9506936801337625,27.697022813622343,771427687387179.2,16.98590476643075
8,8,e80338,SKX5563,-23.55821228027344,-46.975962320963504,206.292222044,7658.1,-0.9914409968096788,34610D,252.39651,14.802742,0.60068214,216.27682637167356,73703.99331682587,0.2944395703601348,0.8908512296730945,53.45107378038567,81203.99660641894,2007.0071643826957,2023-05-05 03:08:00,0.0003407810037449,0.3739586563801814,0.2133945754549783,0.4454256148365472,1.0,0.0172559554173862,0.0005628339752581,0.0001220663676831,3.628235539e-05,1450000000000000.0,168.85194207223833,66.11897826633708,0.0641412885364628,0.0013090058884992,0.0010690214756077,0.92234934616576,0.0300840803376332,0.0065245784251353,0.001939330854877,7.750405698155922e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.679087161158462,40.60199830320947,17.255955417386282,36.28235538999999,1450000000000000.0,26.4452833347784,910.214089943921,1714.96053755066,0.0340781003745,0.0249414781808745,0.522228951970298,40.6011175635533,20.9381716746344,20.931038774231496,0.03407810037449,1.0304475648588662,31.767581621641447,690437977802467.1,17.2847576511928
9,9,e80338,SKX5563,-23.52314758300781,-47.09089799360794,207.321110932,8237.220000000001,-0.9914856281809132,34610D,247.22195,16.751667,1.6586438,223.54362542296107,73650.54224304548,0.3017916875821311,0.8790724330218068,52.744345981308406,73146.51252561613,1764.257665612951,2023-05-05 03:09:00,0.0007099230489083,0.3439455476608665,0.6810054124231973,0.4395362165109034,1.0,0.0169905180289241,0.0005724704360696,0.0001241563050719,3.628235539e-05,1450000000000000.0,166.61938895495325,65.2447559788785,0.06329321517757,0.00129169826893,0.0010548869196261,0.8961537613192346,0.0301945787441269,0.0065485431104748,0.0019136891057069,7.647930167289718e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7092118447929383,36.57325626280807,16.99051802892417,36.28235539,1450000000000000.0,24.5132856600705,891.19054336783,1672.76181280564,0.0709923048908,0.0240304401744497,0.472866874368362,36.5735443870308,19.6778282434933,19.663868410078283,0.07099230489083,0.9769236525336841,28.239899552466618,698681102355362.5,16.487439272829874
