Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,1,a35da8,FFT4000,37.64968096199682,-122.33503258746605,94.657777696,632.46,0.697213773958913,34610D,279.86606,1.6804024,1.4375359,105.6699606943911,68182.41322627018,0.2585321560194553,1.061766345625701,63.705980737542056,112039.57063331656,1847.386834335044,2023-05-05 17:01:00,0.005631703513509,0.9395421408487008,0.8115337671582192,0.5308831728128505,0.653420738022944,0.0154406428310975,0.0003092761886716,6.44483209827919e-05,1.921746927365588e-05,1265795383848026.2,201.2471931498953,78.80429817233953,0.0764471768850504,0.0015601464670418,0.0012741196147508,0.9836612947731684,0.0197027429180976,0.0041057434950966,0.0012242677273718,8.063873634109202e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,25.29790046140949,3.652214794298503,0.3150892779289029,56.01978531665828,15.440642831097566,19.21746927365588,1265795383848026.2,30.9123880831979,815.177344609183,1277.0675669777,0.563170351351,0.0220864079215956,0.455317648339895,56.0196973698409,20.6152874635035,20.49983845127111,18.37899267102408,0.7336291617983162,0.9499257188076102,641390408786954.1,7.88924085778467,,
1,2,a35da8,FFT4000,37.68706240896451,-122.27317478345788,134.784444328,1203.96,0.7000716500846067,34610D,276.18582,4.7985725,1.0543439,121.77889739082352,68118.70724553263,0.2573055635652457,1.5836152424699652,95.01691454819792,148696.67032764663,3399.5898057263475,2023-05-05 17:02:00,0.0045765233220882,0.8767312586169648,0.8243702831117149,0.7918076212349826,1.0,0.021191637788613,0.0003177064409281,6.890357181413384e-05,3.628235539e-05,1450000000000000.0,300.1584330577572,117.53592329612084,0.1140202974578375,0.0023269448460783,0.0019003382909639,2.0135640368970105,0.0301874857490812,0.0065470047951291,0.0034474374616989,1.3777452609488698e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,23.2386812275324,3.379449817517483,0.3655346640866413,74.34833516382331,21.191637788613075,36.28235539,1450000000000000.0,39.3820642744846,867.893013620803,1469.89116860484,0.457652332209,0.0260134879149231,0.663505571102734,74.3486266152136,25.5062132872271,25.390015290103765,13.767805078885925,0.9636702688968035,2.006565603523539,1034385058187024.2,19.959061610189202,20.51935133344576,1489263372031380.2
2,3,a35da8,FFT4000,37.72793527376854,-122.1945389457371,140.443333212,2255.52,0.70305777280346,34610D,269.53543,3.5579154,3.092485,140.16428933904356,68023.69033098443,0.2744800858674734,1.5001362298089995,90.00817378853998,126702.04352224576,3051.444436452639,2023-05-05 17:03:00,0.0034278668295613,0.770051164429154,0.9389245518530368,0.7500681149044998,0.9925472833485228,0.0209194033598291,0.0003346321979161,7.257439796648862e-05,3.628235539e-05,1450000000000000.0,284.33582099799776,111.34011097642396,0.1080098085462479,0.0022042818070662,0.0018001634757707,1.882917293164072,0.0301196330252762,0.0065322890247663,0.0032657085494006,1.3051185199338296e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.81768189339697,2.904719909608372,0.4258794212982557,63.35102176112288,20.91940335982918,36.28235538999999,1450000000000000.0,35.706914104809,856.022608458423,1462.9423433082,0.342786682956,0.0254922579325453,0.597039391418808,63.3507350060989,23.4204201526057,23.340412327400323,12.78781065624042,0.9061959201081025,2.17111876982073,987001539482958.1,16.051471680418,18.296332956635315,1360774383300483.0
3,4,a35da8,FFT4000,37.77085643703654,-122.11112644361413,151.246666536,3192.78,0.7060606347347212,34610D,267.2072,3.8946285,3.3752832,157.2535224078866,67933.6821571959,0.2945449052060094,1.197824153297871,71.86944919787226,96766.19340375085,2249.950373936234,2023-05-05 17:04:00,0.0017578085031699,0.684065121293734,0.5217275990620324,0.5989120766489355,0.8716998915748055,0.0177001962351901,0.0003669314533982,7.957939938588967e-05,3.248045913915139e-05,1507118015720920.5,227.0355900160785,88.902508657768,0.0862433390374467,0.0017600681436213,0.0014373889839574,1.2721033541173683,0.0263711614491062,0.0057193276013613,0.0023343527080248,1.0831574166605274e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.730143054715136,3.073081836473762,0.4798809501635784,48.38309670187542,17.700196235190152,32.480459139151385,1507118015720920.5,30.1176709004197,839.696260930447,1360.26679555705,0.175780850317,0.0235730653946113,0.468886501101426,48.3831867309064,19.890773357317,19.85587053924527,15.652724207697336,0.8342160539068079,1.4126785235233115,730916850815134.0,9.784537774335632,16.60479923537113,1245593376144811.8
4,5,a35da8,FFT4000,37.81915283203125,-122.01690673828124,175.425555404,3878.58,0.7091239423490812,34610D,263.11725,6.343493,1.9823354,169.47747466298205,67861.81270799802,0.2957312874296972,1.3228673681410514,79.37204208846309,103532.86105859102,2749.7904484564115,2023-05-05 17:05:00,0.0016444550507339,0.6262153768428498,0.638906958107189,0.6614336840705257,1.0,0.0204438099734757,0.0003816101115862,8.276287900196619e-05,3.628235539e-05,1450000000000000.0,250.73628095745488,98.18321606342884,0.0952464505061557,0.0019438051123705,0.0015874408417692,1.6226669456632592,0.0302891738382049,0.0065690587155064,0.0028798046390836,1.1508946102827149e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.547910897533225,2.9000409738232378,0.5211881410992342,51.76643052929551,20.443809973475755,36.28235538999999,1450000000000000.0,31.9505992816126,859.461719291673,1435.490791198,0.164445505073,0.0252097476557285,0.525018079280905,51.7657175499801,20.8259950258409,20.79180383900398,14.11244634366808,0.9226506110138021,1.8433787608901737,795285084122609.5,13.603477634503614,15.531831589706432,1171330660366119.0
5,6,a35da8,FFT4000,37.84593200683594,-121.895823377244,188.286666504,4716.780000000001,0.7124869789136975,34610D,257.27322,5.4341917,0.66621315,181.3191448723772,67782.44066590955,0.3036210345818826,1.2786861828240572,76.72117096944343,93906.88306608288,2470.933845547061,2023-05-05 17:06:00,0.0013008537819499,0.5609564736871223,0.7698692280074007,0.6393430914120286,1.0,0.0201891100013493,0.0003964420500571,8.597960175579489e-05,3.628235539e-05,1450000000000000.0,242.3621790924718,94.90408848920154,0.0920654051633321,0.0018788858196598,0.0015344234193888,1.5489321601344257,0.0304154983019082,0.0065964557261909,0.0027836247910502,1.1124569790569298e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.121229042935024,2.843310433324221,0.5639019199994053,46.95344153304144,20.18911000134937,36.28235539,1450000000000000.0,30.0268074783496,852.981506778335,1413.8193877662,0.130085378195,0.0248409534761862,0.487314217322732,46.9533370475731,19.6173716838163,19.591885505460997,14.64277958790586,0.8918190248875312,1.665131296409741,756717443706374.9,11.761912825637037,14.09153029236797,1073103186238048.4
6,7,a35da8,FFT4000,37.87001037597656,-121.76807809383313,198.06111094,5471.16,0.7158955433779155,34610D,251.96716,5.6224403,0.99510294,191.91019657973192,67705.71949494012,0.3051951024226494,1.2396415209798486,74.37849125879092,91053.89170966067,2514.255675211504,2023-05-05 17:07:00,0.000730965127257,0.5070389705154055,0.6469323003679283,0.6198207604899243,1.0,0.0200618241086115,0.0004102779775088,8.898031152421471e-05,3.628235539e-05,1450000000000000.0,234.96165388652048,92.00619368712437,0.089254189510549,0.0018215140716438,0.0014875698251758,1.4921682090977633,0.030515856963813,0.0066182213229082,0.0026986268532234,1.0784881232524685e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.16349128695323,2.7112468143229846,0.6030916012083726,45.526945854830345,20.06182410861153,36.28235539,1450000000000000.0,29.4552142195906,855.707550557498,1433.04680128626,0.0730965127257,0.0253273554461789,0.485759318900282,45.5267745589075,19.179235666058,19.1652265537912,14.219794996635118,0.9046982021914163,1.780846563139359,751476522473234.0,12.164300300419914,12.913170381019642,991928288857043.2
7,8,a35da8,FFT4000,37.8944091796875,-121.63641747007978,204.234444268,6240.780000000001,0.7193127128398441,34610D,246.07689,4.618603,2.8557205,201.1586656468792,67631.34100368133,0.3096586056014554,1.209827613109165,72.5896567865499,84157.02814930966,2255.8263852929867,2023-05-05 17:08:00,0.0003553406272176,0.4564361268941082,0.5078859748315488,0.6049138065545825,1.0,0.0199128444822885,0.0004224267788069,9.161512056445596e-05,3.628235539e-05,1450000000000000.0,229.3107257887111,89.79340544496223,0.0871075881438598,0.0017777058804869,0.0014517931357309,1.445466546613268,0.0306638148910421,0.0066503101582322,0.0026337237251677,1.0525500234049734e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.11860760812369,2.56170820445399,0.6396767048660775,42.07851407465483,19.912844482288524,36.28235539,1450000000000000.0,27.8645843763302,848.981099036403,1425.27201671561,0.0355340627218,0.0251404060337581,0.457966504987701,42.0781725713529,18.2163527658524,18.20988205494144,14.103215537675872,0.8733577379914933,1.7489101106964182,734570439538606.8,10.755049289911648,11.69776897920925,908452978363932.4
8,9,a35da8,FFT4000,37.9200439453125,-121.49616647273936,209.893333152,6934.200000000001,0.7227766255341221,34610D,240.45044,2.0852108,4.720209,209.76541227425108,67558.75134689477,0.3163180561481418,1.177172529125598,70.63035174753588,76561.36715454466,1973.3825864980413,2023-05-05 17:09:00,0.000205491108292,0.4144216772350145,0.4786939934623444,0.588586264562799,0.9905877642610016,0.0195309721018351,0.0004318952245117,9.366861915479666e-05,3.628235539e-05,1450000000000000.0,223.12128117046583,87.36974511170189,0.084756422097043,0.0017297228999396,0.0014126070349507,1.379479429523926,0.0305049116253429,0.0066158475186092,0.0025626355234248,1.0241401003392702e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.931929216587616,2.3865155126961954,0.6748050277622684,38.28068357727233,19.530972101835136,36.28235538999999,1450000000000000.0,26.04162888862,837.584249533961,1408.40532929679,0.0205491108292,0.0246613708863741,0.42343541599674,38.2805086404055,17.1699869381834,17.16645938341925,13.92274908924341,0.8253033295369263,1.7047474172245771,672958345915516.2,8.950925320947041,10.735251159370664,841363475130167.0
9,10,a35da8,FFT4000,37.94581604003906,-121.35457140334108,218.6388887,7543.8,0.7262239739376072,34610D,235.32518,1.3382881,5.181528,216.8928923509481,67488.12099514724,0.3250077922946858,1.0536923560698452,63.22154136419071,68099.1578133748,1840.5167661872244,2023-05-05 17:10:00,0.0001616223293536,0.3801254249929331,0.6029300384344868,0.5268461780349226,0.8982130684679014,0.0172730722902882,0.000439304391855,9.527550535022662e-05,3.628235539e-05,1450000000000000.0,199.71684916947845,78.20504666750392,0.0758658496370288,0.0015482826456536,0.0012644308272838,1.0920302542871136,0.0277735007811362,0.0060234643024935,0.0022938264320791,9.167123497807651e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,14.966150932054216,2.242503775633036,0.7052909423092287,34.0495789066874,17.273072290288226,36.28235539,1450000000000000.0,23.9234404417774,821.043172691558,1373.22388209857,0.0161622329354,0.0237685294693008,0.379681400611406,34.0491480603468,15.974122467349,15.971541109671486,14.05678461392212,0.7568620201998927,1.5690246739516194,545604091463173.1,6.8616090151328315,9.928447969627763,784864361324262.6
