,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,-0.8940759771244182,34610D,279.26544,15.523237,1.6972388,115.3206744838582,68383.28148503162,0.2935792888116008,0.87209780944529,59.02121834179677,96.960860601073,1624.8589037396594,0.0024574313734478,93181.80291069952,0.3681732851001233,0.4918434861816397,0.6077566143343132,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,22.648283416699563,1.6429646540295313,0.3442356137745579,48.48081001945183,15.86815377348033,17.04296568420181,1163158259999954.0,28.2679978135927,798.707319543886,1405.15452376657,0.245743137345,0.0226336820680439,0.436048904722645,48.4804303005365,19.2654868709274,19.218259317537427,8.794720580532159,0.6716074061180864,671971864231553.6,,,0.0033558100665464796,8.349851259479182e-06,2.9704000000000006,35.8,2023-02-06 05:02:00,0.0024574313734478347,0.36817355814700753,0.0,0,931.8180291069953,0.0024574313734478347,15.523237,1.6972388,0.36817355814700753,1.2148776,0.0,1.1624020418791656,0.0,7725.93080288237,-0.8195006120311534,-0.5730783078084224,6.437829434581542,246.64717732775193,0.39049179443521587,inf,0.0,237.47400899963057,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00240197,5.7375183e-07,6909.189,0.38202384,-215.20894,0.0,0.0,1.0,-8.04901147728065e-13,8.099482e-12,2.551642e-16,0.0,0.0,0.0,7.479999999999999e-16,9.583271909619207e-14,7.294581145191253e-12,704.4958766721334,7.725930802882369,1.280896910806069e-12,0.00240197,5.7375183e-07,6909.189,0.38202384,-215.20894,0.0,0.0,0.0,-8.04901147728065e-13,8.099482e-12,2.551642e-16,0.0,0.0,0.0,7.479999999999999e-16,9.583271909619207e-14,7.294581145191253e-12,704.4958766721334,7.725930802882369
1,1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,-0.8944725428294524,34610D,276.05963,14.99707,1.5347245,128.8321517451813,68324.26026668983,0.3024311522083038,1.628881872021638,94.87807519683652,166.9955426305576,3596.018619596332,0.0025125543080915,87673.12586169648,0.4572113790735262,0.7906506266403043,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.182316229922048,1.3179896602695798,0.3867942589574444,83.49867103024043,22.0558106760931,36.28235538999999,1450000000000000.0,43.7101493380382,892.725419949398,1720.24296910993,0.251255430809,0.0292179077668407,0.814440936010819,83.4977713152788,27.8747178788457,27.804856666442564,4.991397327890929,1.0,1221477200002885.0,23.40009967728685,1571997878330335.5,0.01040350476499134,2.698862305516576e-05,2.9704000000000006,35.8,2023-02-06 05:03:00,0.0025125543080915616,0.4572117704729048,0.0,1,876.7312586169647,0.0025125543080915616,14.99707,1.5347245,0.4572117704729048,1.3517448,0.0,1.1063843862837306,0.0,8772.56839360524,-0.9285345241436924,0.3712460605491279,6.134395874668121,246.05974593105788,0.47020330676948474,inf,0.0,237.40162226760808,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0024551803,2.8726456e-07,11786.183,0.46349347,-215.0815,0.0,0.0,0.9999999999999999,-7.874126995545424e-13,7.358111e-12,2.330808e-16,0.0,0.0,0.0,7.48e-16,8.640015065714859e-14,6.57069767990901e-12,705.6502173970034,8.772568393605239,6.680854237420804e-12,0.0024551803,2.8726456e-07,11786.183,0.46349347,-215.0815,0.0,0.0,0.0,-7.874126995545424e-13,7.358111e-12,2.330808e-16,0.0,0.0,0.0,7.48e-16,8.640015065714859e-14,6.57069767990901e-12,705.6502173970034,8.772568393605239
2,2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,-0.8949546286824815,34610D,269.1728,17.30387,12.377269,162.7575921740357,68229.38219149299,0.35507447600266706,1.162089155185686,84.40958509582445,110.721171552208,2418.9209257780176,0.0017035988913088,76420.53006165694,0.4775351777271127,0.7034132091318704,0.9450730105002562,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,21.151681435729927,1.5503421266365178,0.4948605930653426,55.35963156350902,20.370827118327725,35.81439305336474,1457030460153868.0,34.5218384040846,850.569510325697,1551.01227602735,0.170359889131,0.0255599703966345,0.581044577592843,55.360585776104,22.7325997869446,22.693938418615215,7.001885109825118,0.8804165462137035,1051629296519905.6,22.646486619945875,1478958676058790.8,0.00572961455496335,1.6480941887664866e-05,2.9704000000000006,35.8,2023-02-06 05:04:00,0.0017035988913088054,0.4775351287564194,0.0,2,764.2053006165694,0.0017035988913088054,17.30387,12.377269,0.4775351287564194,1.6482015,6.800392e-09,0.989057002993802,0.0,9611.468894653619,-0.8690383133027305,0.49474479280932826,5.77950150226759,245.33901944843572,0.45940229957354267,inf,0.0,236.67444548009658,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0016693902,5.316983e-07,22559.102,0.45299235,-211.31215,0.0,0.0,1.0000000000000002,-7.48330793617855e-13,5.889283e-12,2.5192258e-16,0.0,0.0,0.0,7.48e-16,6.783230207633086e-14,5.140952268540388e-12,707.1238157797329,9.611468894653619,2.053807224679833e-12,0.0016693902,5.316983e-07,22559.102,0.45299235,-211.31215,0.0,0.0,0.0,-7.48330793617855e-13,5.889283e-12,2.5192258e-16,0.0,0.0,0.0,7.48e-16,6.783230207633086e-14,5.140952268540388e-12,707.1238157797329,9.611468894653619
3,3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,-0.895427289870123,34610D,265.29205,19.505613,17.752586,183.71019772910776,68144.97260639716,0.376537087188396,0.819509083665668,61.69548988928678,73.3569542793938,1311.2777145126895,0.0010983964778968,69546.28509278147,0.3913224956518912,0.5141290824107232,0.7286557296791858,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,20.557901270758904,1.5192618689581656,0.5626370952744237,36.67847553127652,16.553584639901636,23.42405578833968,1464347339880267.2,26.7623820357391,811.386141106049,1414.46869202935,0.10983964779,0.0224979201919861,0.409754541832834,36.6784771396969,18.2129965052855,18.19301336348472,8.460638048276117,0.7189285904419233,607323297274941.6,22.289403947527564,1419353700216686.5,0.003704738587182415,7.884515454151932e-06,2.9704000000000006,35.8,2023-02-06 05:05:00,0.0010983964778968243,0.39132287829309015,0.0,3,695.4628509278148,0.0010983964778968243,19.505613,17.752586,0.39132287829309015,2.0017893,2.440755e-09,0.9132551914064004,0.0,11080.285114414322,-0.8202005681753433,0.5720760683378078,5.437844410029058,244.60705714166346,0.3624764770973514,inf,0.0,235.4583496096654,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.001074488,3.9597916e-07,29806.434,0.37121126,-206.13174,0.0,0.0,0.9999999999999999,-7.221128623414945e-13,5.1080203e-12,2.414609e-16,0.0,0.0,0.0,7.48e-16,5.800625915211483e-14,4.385907557507288e-12,708.6412365348265,11.080285114414322,7.98954532235405e-13,0.001074488,3.9597916e-07,29806.434,0.37121126,-206.13174,0.0,0.0,0.0,-7.221128623414945e-13,5.1080203e-12,2.414609e-16,0.0,0.0,0.0,7.48e-16,5.800625915211483e-14,4.385907557507288e-12,708.6412365348265,11.080285114414322
4,4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,-0.8959214526138095,34610D,263.0319,22.663593,16.692762,192.51739465741096,68083.27711650787,0.3890353767282765,1.061696917462304,79.54247515491201,93.6985136770056,2576.206484943039,0.0010803631147912,66042.770723412,0.4460469044906228,0.6628539596242667,0.9641741891110184,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,22.26559944084127,1.6458650256984946,0.5921380838720199,46.84865776827353,20.35109249139001,36.28235538999999,1450000000000000.0,32.1952998661624,850.246611841757,1520.24752444757,0.108036311479,0.0250468920316089,0.530848458731152,46.8492568385028,21.1941848138774,21.171312109182907,7.882070425239183,0.8789797249426642,912997462787518.4,21.82003110680437,1385935627328930.8,0.0048111632572891,1.424378314065796e-05,2.9704000000000006,35.8,2023-02-06 05:06:00,0.0010803631147912021,0.44604671346249475,0.0,4,660.42770723412,0.0010803631147912021,22.663593,16.692762,0.44604671346249475,2.3917232,9.421999e-09,0.874700373259883,0.0,12201.84212776877,-0.8219449188493326,0.5695669849787328,5.269457875634422,244.23117281628092,0.40412527376332325,inf,0.0,235.3402277884565,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.001056138,2.9605712e-07,33772.67,0.4220093,-199.83287,0.0,0.0,1.0,-7.079355198901784e-13,4.701923e-12,2.3375857e-16,0.0,0.0,0.0,7.480000000000001e-16,5.2903592029879726e-14,3.993987189422234e-12,710.2963474268029,12.20184212776877,1.2240765227456133e-12,0.001056138,2.9605712e-07,33772.67,0.4220093,-199.83287,0.0,0.0,0.0,-7.079355198901784e-13,4.701923e-12,2.3375857e-16,0.0,0.0,0.0,7.480000000000001e-16,5.2903592029879726e-14,3.993987189422234e-12,710.2963474268029,12.20184212776877
5,5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,-0.8964506188701038,34610D,258.23038,27.670462,13.402908,199.6714998560076,68003.73464135296,0.39689923580617703,1.05166704035791,79.29223126062033,91.296782295595,1238.5861614524035,0.0011254197371503,59583.07384093393,0.6474628153250064,0.6607685938385027,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,20.40926413667192,1.5077258215702674,0.6198257819783763,45.64891865612837,20.761684602316564,36.28235539,1450000000000000.0,31.3846924666597,852.568425741395,1542.43263735226,0.112541973715,0.0255168070483206,0.525833520178955,45.6483911477975,20.6073400634804,20.5841742275318,7.437226485730335,0.8898752666112847,899106901388549.1,19.462799246180293,1311977070745026.8,0.005223464268290399,1.4512324441107079e-05,2.9704000000000006,35.8,2023-02-06 05:07:00,0.0011254197371503988,0.6474622423441336,0.0,5,595.8307384093393,0.0011254197371503988,27.670462,13.402908,0.6474622423441336,2.7414877,1.6148213e-07,0.803818539776955,0.0,12801.950611483831,-0.8650897885852082,0.5016170428579952,4.816223181449531,243.16378835860968,0.5595882264521848,inf,0.0,235.31299806309886,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0011001076,3.0258875e-07,41501.68,0.62415874,-192.93547,0.0,0.0,0.9999999999999999,-6.79865343762196e-13,3.9379784e-12,2.3426205e-16,0.0,0.0,0.0,7.48e-16,4.3337731464002386e-14,3.25811303179329e-12,712.1179724158935,12.801950611483832,1.0738763765115835e-12,0.0011001076,3.0258875e-07,41501.68,0.62415874,-192.93547,0.0,0.0,0.0,-6.79865343762196e-13,3.9379784e-12,2.3426205e-16,0.0,0.0,0.0,7.48e-16,4.3337731464002386e-14,3.25811303179329e-12,712.1179724158935,12.801950611483832
6,6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,-0.8970298617511268,34610D,255.48456,27.559761,13.553658,229.0549985972295,67924.44241009235,0.41804571903808085,1.211166044629998,76.75467823524279,96.5385383704458,2768.5015790024845,0.0010310976124819,56665.10718470681,0.7287279793963571,0.6396223186270232,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.280363001832782,1.352178386490966,0.7148495335498627,48.26960848059839,20.69289445304696,36.28235539,1450000000000000.0,34.5014335086625,876.164058217486,1625.83649921933,0.103109761248,0.0271038516131852,0.605583022314999,48.2692691852229,22.3430614570071,22.320047309515772,6.161243813296044,1.0,893533939174498.4,22.7916654045809,1305206199280238.5,0.0074864665020009874,1.9742694068559765e-05,2.9704000000000006,35.8,2023-02-06 05:08:00,0.0010310976124819173,0.7287290096001177,0.0,6,566.6510718470681,0.0010310976124819173,27.559761,13.553658,0.7287290096001177,3.026307,5.1449695e-07,0.7726690283748047,0.0,12932.714296879942,-0.96828920219839,-0.24983198535416845,4.7464086319179675,242.9915181120502,0.6130164629838449,inf,0.0,235.53569350548875,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0010082168,3.1939197e-07,45279.527,0.714757,-186.03479,0.0,0.0,1.0,-6.663396942128637e-13,3.5722991e-12,2.355573e-16,0.0,0.0,0.0,7.48e-16,3.8761030185233105e-14,2.905959452378494e-12,714.1298650364331,12.932714296879942,1.58096178760753e-12,0.0010082168,3.1939197e-07,45279.527,0.714757,-186.03479,0.0,0.0,0.0,-6.663396942128637e-13,3.5722991e-12,2.355573e-16,0.0,0.0,0.0,7.48e-16,3.8761030185233105e-14,2.905959452378494e-12,714.1298650364331,12.932714296879942
7,7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,-0.8977569230107946,34610D,249.19853,28.141788,13.997706,241.98993434349848,67847.6877318571,0.4320193545293701,1.063175975713062,74.48013262163089,82.8941880615072,2072.805420344404,0.0008659155250448,50547.32103053465,1.0020771396953727,0.620667771846924,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,17.98334783487791,1.3331790275333415,0.7646835654057851,41.44715248669305,20.506957246997835,36.28235539,1450000000000000.0,31.2296291981479,860.005163162566,1575.11375240856,0.0865915525045,0.0259704271202071,0.531587987856531,41.4470940307536,20.4689736289671,20.45126456147652,6.60540129908912,0.9252725872097372,852945872945361.5,21.385610624216344,1236454050296587.8,0.006304663903642891,1.5312871919687057e-05,2.9704000000000006,35.8,2023-02-06 05:09:00,0.0008659158515167714,1.0020781124777187,1.0,7,505.4732103053465,0.0008659158515167714,28.141788,13.997706,1.0020781124777187,3.2331321,2.1495634e-05,0.7066349535680927,0.0,12430.578898437592,-0.7042767810084202,-0.7099255001283007,4.337515678007295,241.93499465062982,0.7922118087513802,inf,0.0,236.18198955017976,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0008463714,8.58982e-07,53570.46,0.9794028,-181.3323,0.0,0.0,1.0,-6.360880038432906e-13,2.8307545e-12,2.771507e-16,0.0,-0.0,0.0,7.479999999999998e-16,2.9555814311609314e-14,2.1946664321544216e-12,716.4001107997703,12.430578898437592,8.826466262245871e-13,0.0008463714,8.58982e-07,53570.46,0.9794028,-181.3323,0.0,0.0,0.0,-6.360880038432906e-13,2.8307545e-12,2.771507e-16,0.0,-0.0,0.0,7.479999999999998e-16,2.9555814311609314e-14,2.1946664321544216e-12,716.4001107997703,12.430578898437592
8,8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,-0.8982599833773344,34610D,245.03448,29.35386,15.520207,242.68762399000727,67773.20759923547,0.4373799696162352,0.898944559988114,69.46819800025294,70.755009653142,1923.7752208915915,0.0006690615607355,46319.52510881937,1.079353672933791,0.5789016500021078,0.963676579058248,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.5254519667448,1.3770142296996586,0.7733769856598242,35.37790293576707,19.228065376813586,36.28235539,1450000000000000.0,27.5623319032437,839.469967019995,1503.83376968865,0.0669061560736,0.0245468824102726,0.449472279994057,35.377504826571,18.3107684504146,18.29852561031061,7.592180372285576,0.8332710007268985,759599213251427.4,18.72625188471548,1176586915273873.8,0.004739287058815886,1.0687691077257655e-05,2.9704000000000006,35.8,2023-02-06 05:10:00,0.0006690621391167963,1.0793560753942402,1.0,8,463.1952510881937,0.0006690621391167963,29.35386,15.520207,1.0793560753942402,2.9337287,5.1916715e-05,0.6585357348953615,0.0,12894.637238011368,-0.7060505909466769,-0.7081613961688737,4.011914479803679,241.02856685318883,0.818853328574845,inf,0.0,235.64214968081188,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00063580216,8.9163217e-07,59821.33,1.0144655,-181.27011,0.0,0.0,1.0000000000000002,-6.13171369732347e-13,2.422102e-12,2.796675e-16,0.0,-0.0,0.0,7.48e-16,2.454376556668801e-14,1.808930622190518e-12,717.9853682660939,12.894637238011368,4.624013404937353e-13,0.00063580216,8.9163217e-07,59821.33,1.0144655,-181.27011,0.0,0.0,0.0,-6.13171369732347e-13,2.422102e-12,2.796675e-16,0.0,-0.0,0.0,7.48e-16,2.454376556668801e-14,1.808930622190518e-12,717.9853682660939,12.894637238011368
9,9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,-0.8987831703718704,34610D,241.03284,30.829672,17.468092,240.8573663967113,67703.73940123522,0.4384770286616759,0.913061009247398,70.65804765026354,72.5938342875582,2192.1419270289034,0.0005040134358525,42654.61853884109,1.136003730290234,0.5888170637521961,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,17.61285447392768,1.3120869702460007,0.77388961513538,36.29669720047077,19.84936172558569,36.28235539,1450000000000000.0,27.3079380275034,842.519846456447,1531.48227631316,0.0504013435853,0.0253439537985061,0.456530504623699,36.2969171437791,18.0133892388412,18.004314822267457,7.338026466776452,0.8460837882652829,808544668758892.2,16.084997562976497,1119111427417226.2,0.005012812895052939,1.1460456251937171e-05,2.9704000000000006,35.8,2023-02-06 05:11:00,0.0005040136393189684,1.1360049110853678,1.0,9,426.54618538841095,0.0005040136393189684,30.829672,17.468092,1.1360049110853678,2.44259,5.6828172e-05,0.6164988818908064,0.0,13073.016020263154,-0.7085019961968824,-0.7057088077847923,3.7011739548956846,240.10057479505903,0.8283466397398174,inf,0.0,234.88271735410368,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000469736,6.222814e-07,65624.22,1.023586,-180.8195,0.0,0.0,0.9999999999999999,-5.918580417082849e-13,2.1014113e-12,2.5890502e-16,0.0,-0.0,0.0,7.48e-16,2.0631096744230804e-14,1.509553209475648e-12,719.6344112399382,13.073016020263154,4.1455386478090444e-13,0.000469736,6.222814e-07,65624.22,1.023586,-180.8195,0.0,0.0,0.0,-5.918580417082849e-13,2.1014113e-12,2.5890502e-16,0.0,-0.0,0.0,7.48e-16,2.0631096744230804e-14,1.509553209475648e-12,719.6344112399382,13.073016020263154
