Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,-0.8940759771244182,34610D,279.26544,15.523237,1.6972388,115.3206744838582,68383.28148503162,0.2533266357406995,1.02575762909551,59.02121834179677,96.9616229874684,1624.8589037396594,0.0024574313734478,93181.80291069952,0.3681732851001233,0.4918434861816397,0.6077566143343132,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3442356137745579,48.48081001945183,15.86815377348033,17.04296568420181,1163158259999954.0,22.5375866532446,760.343371750951,1519.61068360682,0.245743137345,0.0225543675865194,0.512878814547755,48.4808114937342,22.7396672764303,22.68392309215077,0.2457431373447799,0.6628554322533825,1153939431625016.2,,,0.0154245840210075,1.7072324050032476e-05,3.16,35.8,2023-02-06 05:02:00,0.0024574313734478,0.3681735581470075,0.0,0,931.8180291069953,0.0024574313734478,15.523237,1.6972388,0.3681735581470075,1.2148776,0.0,1.1624020418791656,0.0,7725.93080288237,-0.8195006120311534,-0.5730783078084224,5.789853163875848,245.36059129790783,0.3904917944352158,inf,0.0,236.2979707047979,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00240197,5.7375183e-07,6909.189,0.38202384,-215.20894,0.0,0.0,1.0,-8.04901147728065e-13,8.099482e-12,2.551642e-16,0.0,0.0,0.0,7.479999999999999e-16,9.583271909619209e-14,7.294581145191253e-12,704.4958766721334,7.725930802882369,6.924841324235002e-12,0.00240197,5.7375183e-07,6909.189,0.38202384,-215.20894,0.0,0.0,0.0,-8.04901147728065e-13,8.099482e-12,2.551642e-16,0.0,0.0,0.0,7.479999999999999e-16,9.583271909619209e-14,7.294581145191253e-12,704.4958766721334,7.725930802882369,0.0
1,1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,-0.8944725428294524,34610D,276.05963,14.99707,1.5347245,128.8321517451813,68324.26026668983,0.2728576812321993,1.832374892418938,94.87807519683652,166.9966252808448,3596.018619596332,0.0025125543080915,87673.12586169648,0.4572113790735262,0.7906506266403043,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3867942589574444,83.49867103024043,22.0558106760931,36.28235538999999,1450000000000000.0,34.8313222573307,852.999439579653,1762.91061588439,0.251255430809,0.0283393472598594,0.916187446209469,83.4983126404224,32.3291654464879,32.24814024279293,0.2512554308091499,1.0,1414659089473483.2,32.41240345935616,1886042392988876.8,0.0230499470017292,3.541525858474996e-05,3.16,35.8,2023-02-06 05:03:00,0.0025125543080915,0.4572117704729048,0.0,1,876.7312586169647,0.0025125543080915,14.99707,1.5347245,0.4572117704729048,1.3517448,0.0,1.1063843862837306,0.0,8772.56839360524,-0.9285345241436924,0.3712460605491279,5.594158601910127,244.9468617412666,0.4702033067694847,inf,0.0,236.3797337251718,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0024551803,2.8726456e-07,11786.183,0.46349347,-215.0815,0.0,0.0,1.0,-7.874126995545425e-13,7.358111e-12,2.330808e-16,0.0,0.0,0.0,7.48e-16,8.64001506571486e-14,6.570697679909009e-12,705.6502173970034,8.772568393605239,1.6651256065461284e-11,0.0024551803,2.8726456e-07,11786.183,0.46349347,-215.0815,0.0,0.0,0.0,-7.874126995545425e-13,7.358111e-12,2.330808e-16,0.0,0.0,0.0,7.48e-16,8.64001506571486e-14,6.570697679909009e-12,705.6502173970034,8.772568393605239,0.0
2,2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,-0.8949546286824815,34610D,269.1728,17.30387,12.377269,162.7575921740357,68229.38219149299,0.3142032390650484,1.332807064181058,84.40958509582445,110.7179729984468,2418.9209257780176,0.0017035988913088,76420.53006165694,0.4775351777271127,0.7034132091318704,0.9450730105002562,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4948605930653426,55.35963156350902,20.370827118327725,35.81439305336474,1457030460153868.0,27.3456906857219,810.984952981195,1640.10770377136,0.170359889131,0.0252040568214826,0.666403532090529,55.3589864992234,26.4403281110889,26.3953610033479,0.17035988913088,0.8788669075251001,1413077140811323.5,31.068923785379766,1759884335277768.8,0.0188321048123895,2.5385080447781268e-05,3.16,35.8,2023-02-06 05:04:00,0.0017035988913088,0.4775351287564194,0.0,2,764.2053006165694,0.0017035988913088,17.30387,12.377269,0.4775351287564194,1.6482015,6.800392e-09,0.989057002993802,0.0,9611.46889465362,-0.8690383133027305,0.4947447928093282,5.166540471417518,243.99615322651937,0.4594022995735426,inf,0.0,235.44188916743536,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0016693902,5.316983e-07,22559.102,0.45299235,-211.31215,0.0,0.0,1.0000000000000002,-7.48330793617855e-13,5.889283e-12,2.5192258000000004e-16,0.0,0.0,0.0,7.48e-16,6.783230207633086e-14,5.140952268540388e-12,707.1238157797329,9.61146889465362,7.742139113169914e-12,0.0016693902,5.316983e-07,22559.102,0.45299235,-211.31215,0.0,0.0,0.0,-7.48330793617855e-13,5.889283e-12,2.5192258000000004e-16,0.0,0.0,0.0,7.48e-16,6.783230207633086e-14,5.140952268540388e-12,707.1238157797329,9.61146889465362,0.0
3,3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,-0.895427289870123,34610D,265.29205,19.505613,17.752586,183.71019772910776,68144.97260639716,0.3265282653613666,0.95911801328608,61.69548988928678,73.3569055481548,1311.2777145126895,0.0010983964778968,69546.28509278147,0.3913224956518912,0.5141290824107232,0.7286557296791858,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5626370952744237,36.67847553127652,16.553584639901636,23.42405578833968,1464347339880267.2,21.1735290168,772.090842735831,1529.45517613008,0.10983964779,0.0225245942124947,0.47955900664304,36.6784527740774,21.2904615336876,21.267101823949105,0.10983964778968,0.709132480395626,997276587715876.6,30.31661840195962,1676514704757940.2,0.0159549029473994,1.5257433487927852e-05,3.16,35.8,2023-02-06 05:05:00,0.0010983964778968,0.3913228782930901,0.0,3,695.4628509278148,0.0010983964778968,19.505613,17.752586,0.3913228782930901,2.0017893,2.440755e-09,0.9132551914064004,0.0,11080.285114414322,-0.8202005681753433,0.5720760683378078,4.785346031057671,243.0878725819593,0.3624764770973514,inf,0.0,234.0708269124685,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.001074488,3.9597916e-07,29806.434,0.37121126,-206.13174,0.0,0.0,1.0,-7.221128623414945e-13,5.1080203e-12,2.414609e-16,0.0,0.0,0.0,7.48e-16,5.800625915211483e-14,4.385907557507288e-12,708.6412365348265,11.080285114414322,4.026956501640833e-12,0.001074488,3.9597916e-07,29806.434,0.37121126,-206.13174,0.0,0.0,0.0,-7.221128623414945e-13,5.1080203e-12,2.414609e-16,0.0,0.0,0.0,7.48e-16,5.800625915211483e-14,4.385907557507288e-12,708.6412365348265,11.080285114414322,0.0
4,4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,-0.8959214526138095,34610D,263.0319,22.663593,16.692762,192.51739465741096,68083.27711650787,0.3420518441361562,1.225508707990104,79.54247515491201,93.6957303450736,2576.206484943039,0.0010803631147912,66042.770723412,0.4460469044906228,0.6628539596242667,0.9641741891110184,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5921380838720199,46.84865776827353,20.35109249139001,36.28235538999999,1450000000000000.0,25.3685277114438,810.00096909982,1630.87390131277,0.108036311479,0.0248973313513119,0.612754353995052,46.8478651725368,24.6112462957908,24.58468590794713,0.1080363114791199,0.8737617049175296,1259698723126863.5,29.65237365310221,1635818423083866.5,0.0185711401763118,2.22844366134758e-05,3.16,35.8,2023-02-06 05:06:00,0.0010803631147912,0.4460467134624947,0.0,4,660.42770723412,0.0010803631147912,22.663593,16.692762,0.4460467134624947,2.3917232,9.421999e-09,0.874700373259883,0.0,12201.84212776877,-0.8219449188493326,0.5695669849787328,4.6514209673842615,242.75348943201337,0.4041252737633232,inf,0.0,233.9874823909045,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.001056138,2.9605712e-07,33772.67,0.4220093,-199.83287,0.0,0.0,1.0,-7.079355198901785e-13,4.701923e-12,2.3375857000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,5.2903592029879726e-14,3.993987189422234e-12,710.2963474268029,12.20184212776877,5.453971793540166e-12,0.001056138,2.9605712e-07,33772.67,0.4220093,-199.83287,0.0,0.0,0.0,-7.079355198901785e-13,4.701923e-12,2.3375857000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,5.2903592029879726e-14,3.993987189422234e-12,710.2963474268029,12.20184212776877,0.0
5,5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,-0.8964506188701038,34610D,258.23038,27.670462,13.402908,199.6714998560076,68003.73464135296,0.3512165366856561,1.20620526439946,79.29223126062033,91.29805683688,1238.5861614524035,0.0011254197371503,59583.07384093393,0.6474628153250064,0.6607685938385027,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6198257819783763,45.64891865612837,20.761684602316564,36.28235539,1450000000000000.0,24.7408710133707,811.943737976329,1641.90821839704,0.112541973715,0.0252236088192516,0.60310263219973,45.64902841844,23.9102436341076,23.88336482394517,0.11254197371503,0.8835559300796728,1217628551555540.8,26.98992699661179,1575637431321679.8,0.0185348818686845,2.218243354002768e-05,3.16,35.8,2023-02-06 05:07:00,0.0011254197371503,0.6474622423441336,0.0,5,595.8307384093393,0.0011254197371503,27.670462,13.402908,0.6474622423441336,2.7414877,1.6148213e-07,0.803818539776955,0.0,12801.950611483831,-0.8650897885852082,0.5016170428579952,4.25590602710385,241.7136159077867,0.5595882264521848,inf,0.0,233.9725624560805,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0011001076,3.0258875e-07,41501.68,0.62415874,-192.93547,0.0,0.0,1.0,-6.79865343762196e-13,3.9379784e-12,2.3426205e-16,0.0,0.0,0.0,7.48e-16,4.333773146400239e-14,3.2581130317932897e-12,712.1179724158935,12.801950611483832,4.370472977422186e-12,0.0011001076,3.0258875e-07,41501.68,0.62415874,-192.93547,0.0,0.0,0.0,-6.79865343762196e-13,3.9379784e-12,2.3426205e-16,0.0,0.0,0.0,7.48e-16,4.333773146400239e-14,3.2581130317932897e-12,712.1179724158935,12.801950611483832,0.0
6,6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,-0.8970298617511268,34610D,255.48456,27.559761,13.553658,229.0549985972295,67924.44241009235,0.3747393197874261,1.371299163681544,76.75467823524279,96.5390765842504,2768.5015790024845,0.0010310976124819,56665.10718470681,0.7287279793963571,0.6396223186270232,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7148495335498627,48.26960848059839,20.69289445304696,36.28235539,1450000000000000.0,27.2601740550132,835.40353180739,1698.61263606025,0.103109761248,0.0265247463972334,0.685649581840772,48.2695382921252,25.8494302479849,25.82280441600397,0.1031097612481899,1.0,1072953457637510.8,29.882438133959745,1493738571275616.5,0.0206955158182958,2.686083483602872e-05,3.16,35.8,2023-02-06 05:08:00,0.0010310976124819,0.7287290096001177,0.0,6,566.6510718470681,0.0010310976124819,27.559761,13.553658,0.7287290096001177,3.026307,5.1449695e-07,0.7726690283748047,0.0,12932.714296879942,-0.96828920219839,-0.2498319853541684,4.199409175801266,241.5581461650686,0.6130164629838449,inf,0.0,234.20581126967173,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0010082168,3.1939197e-07,45279.527,0.714757,-186.03479,0.0,0.0,1.0,-6.663396942128637e-13,3.5722991e-12,2.355573e-16,0.0,0.0,0.0,7.48e-16,3.876103018523311e-14,2.905959452378494e-12,714.1298650364331,12.932714296879942,4.948223038650312e-12,0.0010082168,3.1939197e-07,45279.527,0.714757,-186.03479,0.0,0.0,0.0,-6.663396942128637e-13,3.5722991e-12,2.355573e-16,0.0,0.0,0.0,7.48e-16,3.876103018523311e-14,2.905959452378494e-12,714.1298650364331,12.932714296879942,0.0
7,7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,-0.8977569230107946,34610D,249.19853,28.141788,13.997706,241.98993434349848,67847.6877318571,0.3856594697008038,1.208746406856438,74.48013262163089,82.8940450747248,2072.805420344404,0.0008659155250448,50547.32103053465,1.0020771396953727,0.620667771846924,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7646835654057851,41.44715248669305,20.506957246997835,36.28235539,1450000000000000.0,24.6204261972001,819.516662846704,1657.21061678602,0.0865915525045,0.0255306622287546,0.604373203428219,41.4470225373624,23.6724452351857,23.651964631813204,0.08659155250448,0.9210856311021856,1101126549286734.8,28.132674233492207,1419135303876073.2,0.0190714724633081,2.2354367246986117e-05,3.16,35.8,2023-02-06 05:09:00,0.0008659158515167,1.0020781124777187,1.0,7,505.4732103053465,0.0008659158515167,28.141788,13.997706,1.0020781124777187,3.2331321,2.1495634e-05,0.7066349535680927,0.0,12430.578898437592,-0.7042767810084202,-0.7099255001283007,3.812068933600208,240.43940472441275,0.7922118087513802,inf,0.0,234.77171562004364,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0008463714,8.58982e-07,53570.46,0.9794028,-181.3323,0.0,0.0,1.0,-6.360880038432907e-13,2.8307545e-12,2.771507e-16,0.0,-0.0,0.0,7.479999999999998e-16,2.9555814311609314e-14,2.1946664321544216e-12,716.4001107997703,12.430578898437592,3.0355625953930837e-12,0.0008463714,8.58982e-07,53570.46,0.9794028,-181.3323,0.0,0.0,0.0,-6.360880038432907e-13,2.8307545e-12,2.771507e-16,0.0,-0.0,0.0,7.479999999999998e-16,2.9555814311609314e-14,2.1946664321544216e-12,716.4001107997703,12.430578898437592,0.0
8,8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,-0.8982599833773344,34610D,245.03448,29.35386,15.520207,242.68762399000727,67773.20759923547,0.3865975828951929,1.032204514631532,69.46819800025294,70.7552545375044,1923.7752208915915,0.0006690615607355,46319.52510881937,1.079353672933791,0.5789016500021078,0.963676579058248,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7733769856598242,35.37790293576707,19.228065376813586,36.28235539,1450000000000000.0,21.6621821835547,799.298240550928,1606.37335613726,0.0669061560736,0.0243496033910553,0.516102257315766,35.3776272687522,21.1955098005971,21.18133818141498,0.06690615607355,0.8245637487494405,1073693974776864.0,25.353525390506974,1384291996893679.2,0.0173496537745618,1.746459214604669e-05,3.16,35.8,2023-02-06 05:10:00,0.0006690621391167,1.0793560753942402,1.0,8,463.1952510881937,0.0006690621391167,29.35386,15.520207,1.0793560753942402,2.9337287,5.1916715e-05,0.6585357348953615,0.0,12894.637238011368,-0.7060505909466769,-0.7081613961688737,3.4979749319030446,239.45569697568183,0.818853328574845,inf,0.0,234.1537439847513,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00063580216,8.9163217e-07,59821.33,1.0144655,-181.27011,0.0,0.0,1.0000000000000002,-6.13171369732347e-13,2.422102e-12,2.796675e-16,0.0,-0.0,0.0,7.48e-16,2.4543765566688013e-14,1.808930622190518e-12,717.9853682660939,12.894637238011368,1.943702207385546e-12,0.00063580216,8.9163217e-07,59821.33,1.0144655,-181.27011,0.0,0.0,0.0,-6.13171369732347e-13,2.422102e-12,2.796675e-16,0.0,-0.0,0.0,7.48e-16,2.4543765566688013e-14,1.808930622190518e-12,717.9853682660939,12.894637238011368,0.0
9,9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,-0.8987831703718704,34610D,241.03284,30.829672,17.468092,240.8573663967113,67703.73940123522,0.3896430401796626,1.042814590724958,70.65804765026354,72.5931309131972,2192.1419270289034,0.0005040134358525,42654.61853884109,1.136003730290234,0.5888170637521961,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.77388961513538,36.29669720047077,19.84936172558569,36.28235539,1450000000000000.0,21.4681405393127,801.683692175981,1627.4813498407,0.0504013435853,0.0250006872860476,0.521407295362479,36.2965654565986,20.8557184607267,20.84521219370788,0.05040134358525,0.8353293611784126,1118096710299733.2,22.544642722115007,1356315140221069.0,0.0174634664821564,1.8269729090280825e-05,3.16,35.8,2023-02-06 05:11:00,0.0005040136393189,1.1360049110853678,1.0,9,426.54618538841095,0.0005040136393189,30.829672,17.468092,1.1360049110853678,2.44259,5.6828172e-05,0.6164988818908064,0.0,13073.016020263154,-0.7085019961968824,-0.7057088077847923,3.23681921001542,238.576338372812,0.8283466397398174,inf,0.0,233.43787950174172,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000469736,6.222814e-07,65624.22,1.023586,-180.8195,0.0,0.0,1.0,-5.918580417082849e-13,2.1014113e-12,2.5890502e-16,0.0,-0.0,0.0,7.48e-16,2.0631096744230804e-14,1.509553209475648e-12,719.6344112399382,13.073016020263154,1.6494426889313593e-12,0.000469736,6.222814e-07,65624.22,1.023586,-180.8195,0.0,0.0,0.0,-5.918580417082849e-13,2.1014113e-12,2.5890502e-16,0.0,-0.0,0.0,7.48e-16,2.0631096744230804e-14,1.509553209475648e-12,719.6344112399382,13.073016020263154,0.0
