,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,1,a35da8,FFT4000,37.64968096199682,-122.33503258746605,94.657777696,632.46,-0.9281921813670736,34610D,286.36752,7.041589,5.3946915,99.00736364760856,67804.4573012219,0.2598270869805969,1.03575697873617,64.17651178517727,117.5467693745378,1892.1798645682568,0.0098313740461756,93954.21408487008,0.8611746502468464,0.5348042648764773,0.7162477345802438,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.291852110015094,58.77269880330928,14.300467502938462,20.521368500709404,1327339759815738.0,29.681521608799,800.449119556496,1486.02430827432,0.983137404618,0.0203798506718659,0.517878489368085,58.7733846872689,25.4112995088334,25.163903758521418,0.98313740461756,0.6808260558016236,1216825234145829.2,0.0176287460918801,1.7465891241277545e-05,3.0968000000000004,35.8,2023-11-06 08:01:00,0.009831374046175694,0.861174826394152,0.0,0,939.5421408487008,0.009831374046175694,7.041589,5.3946915,0.861174826394152,0.019317262,0.0,1.1429703236751707,0.0,6873.929756898064,0.6070791771393887,0.7946413484609033,6.039228880702544,245.8701878535822,0.9773735194102257,inf,0.0,243.61581544911667,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.009591546,1.820799e-07,6233.5957,0.9514621,-242.22601,0.0,0.0,0.9999999999999999,-8.451849162990378e-13,9.2111015e-12,2.2497282e-16,0.0,0.0,0.0,7.479999999999999e-16,1.0972988938516294e-13,8.365916658660435e-12,814.0259290136622,9.165244920971675e-12,1.439540456633477e-13,1.1927620926391668e-13,0.0,0.009591546,1.820799e-07,6233.5957,0.9514621,-242.22601,0.0,0.0,0.0,-8.451849162990378e-13,9.2111015e-12,2.2497282e-16,0.0,0.0,0.0,7.479999999999999e-16,1.0972988938516294e-13,8.365916658660435e-12,814.0259290136622,9.165244920971675e-12,1.439540456633477e-13,1.1927620926391668e-13,0.0
1,1,2,a35da8,FFT4000,37.68706240896451,-122.27317478345788,134.784444328,1203.96,-0.9277978747210152,34610D,283.16675,9.021584,8.462964,114.18676064240518,67740.28078943673,0.2854796126957606,1.40494436615467,86.74792846161972,151.8988111389878,3503.9634187617867,0.0069085030495261,87673.12586169648,0.71941691083451,0.722899403846831,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.3384946786203524,75.9495357969635,19.455146749256617,35.77925257969841,1457558395161791.0,37.7131950941268,857.927780019734,1605.93007437808,0.690850304953,0.0227146652329232,0.702472183077335,75.9494055694939,30.9259315897447,30.71374558471036,0.69085030495261,0.8793726288635928,1524411604233947.0,0.024804307548315526,2.6253739931346572e-05,3.0968000000000004,35.8,2023-11-06 08:02:00,0.006908503049526103,0.7194165895642092,0.0,1,876.7312586169647,0.006908503049526103,9.021584,8.462964,0.7194165895642092,0.021161113,0.0,1.0786155659704533,0.0,8343.905703079294,0.5494398083303564,0.8355333009652584,5.8232202578006635,245.42989280874818,0.7920289581012049,inf,0.0,239.4723962851251,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0067785336,3.5709354e-07,11924.055,0.7689023,-241.60492,0.0,0.0,1.0,-8.218929163986609e-13,8.364198e-12,2.3846344e-16,0.0,0.0,0.0,7.48e-16,9.903642775262916e-14,7.542304946221672e-12,813.3153520852231,1.5770358737931085e-11,1.9526532728427732e-13,1.6179127117840122e-13,0.0,0.0067785336,3.5709354e-07,11924.055,0.7689023,-241.60492,0.0,0.0,0.0,-8.218929163986609e-13,8.364198e-12,2.3846344e-16,0.0,0.0,0.0,7.48e-16,9.903642775262916e-14,7.542304946221672e-12,813.3153520852231,1.5770358737931085e-11,1.9526532728427732e-13,1.6179127117840122e-13,0.0
2,2,3,a35da8,FFT4000,37.72793527376854,-122.1945389457371,140.443333212,2255.52,-0.9273480561823432,34610D,279.30914,10.914991,15.536061,127.40210704009785,67653.5328609751,0.30558148455836504,1.292457453569216,79.78865801147863,134.0610395392744,3151.035290139468,0.0043150977706699,77005.1164429154,0.5324220153991494,0.6649054834289886,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.3802692896116409,67.03044576715892,19.567103559163687,36.28235539,1450000000000000.0,34.7193899087707,859.301005719486,1608.3726107941,0.431509777067,0.0226959323501122,0.646228726784608,67.0305197696372,28.4733280314616,28.35099073454668,0.43150977706699,0.8836608722581539,1340455461241144.8,0.0255493088625456,2.33831817696558e-05,3.0968000000000004,35.8,2023-11-06 08:03:00,0.00431509777066995,0.5324226354998467,0.0,2,770.051164429154,0.00431509777066995,10.914991,15.536061,0.5324226354998467,0.024341235,0.0,0.9604546933367849,0.0,8800.317831566796,0.5458182071071531,0.8379036250013081,5.251009805351228,244.18934650187535,0.5649342375386848,inf,0.0,236.29750690743558,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0042326734,4.3746786e-07,22431.291,0.5538511,-240.6112,0.0,0.0,1.0000000000000002,-7.791144975553574e-13,7.1934125e-12,2.4465898e-16,0.0,0.0,0.0,7.48e-16,8.437853176800941e-14,6.414297906668221e-12,812.5384074486481,1.2708543763553899e-11,1.796314030305261e-13,1.4883744822529308e-13,0.0,0.0042326734,4.3746786e-07,22431.291,0.5538511,-240.6112,0.0,0.0,0.0,-7.791144975553574e-13,7.1934125e-12,2.4465898e-16,0.0,0.0,0.0,7.48e-16,8.437853176800941e-14,6.414297906668221e-12,812.5384074486481,1.2708543763553899e-11,1.796314030305261e-13,1.4883744822529308e-13,0.0
3,3,4,a35da8,FFT4000,37.77085643703654,-122.11112644361413,151.246666536,3192.78,-0.9268564334878154,34610D,274.95132,14.135169,14.081412,142.89168656592884,67573.74420296363,0.32756159605649826,1.00835632940868,70.24822074746419,99.9622323982126,2318.0819905171384,0.0006797813137749,68406.5121293734,0.105572758014944,0.5854018395622016,0.9411417690682062,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.4298691377206628,49.98112981015976,18.861169235409303,34.2782481706714,1480108824677809.5,28.5213120710389,828.598166636116,1532.98776090566,0.0679781313775,0.0209482438710419,0.50417816470434,49.9811161991063,24.0678009960204,24.051451268878647,0.06797813137749,0.779234937385446,1066330437622034.4,0.02289302030896385,1.6254087046371563e-05,3.0968000000000004,35.8,2023-11-06 08:04:00,0.0006797813137749219,0.10557271068844729,0.0,3,684.065121293734,0.0006797813137749219,14.135169,14.081412,0.10557271068844729,0.03142902,2.7041745e-08,0.8667305153641589,0.0,9892.240424891224,0.5446328920346316,0.8386745572115523,4.8020935070403885,243.12910228876527,0.10741749420587496,inf,0.0,232.93962478917186,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000701063,9.926731e-07,31871.229,0.09751579,-239.39491,0.0,0.0,1.0000000000000002,-7.407006527606479e-13,6.1368844e-12,2.8745604e-16,0.0,0.0,0.0,7.48e-16,7.118584467631567e-14,5.396183740671951e-12,811.7212371965223,7.474034559082023e-12,1.4014578329536648e-13,1.1612079187330366e-13,0.0,0.000701063,9.926731e-07,31871.229,0.09751579,-239.39491,0.0,0.0,0.0,-7.407006527606479e-13,6.1368844e-12,2.8745604e-16,0.0,0.0,0.0,7.48e-16,7.118584467631567e-14,5.396183740671951e-12,811.7212371965223,7.474034559082023e-12,1.4014578329536648e-13,1.1612079187330366e-13,0.0
4,4,5,a35da8,FFT4000,37.81915283203125,-122.01690673828124,175.425555404,3878.58,-0.9262956784812538,34610D,271.4321,20.26382,11.853028,153.52208305346744,67503.49598221616,0.34143282662547364,1.044534427172912,71.3097453810774,100.459978082994,2839.8096238394373,0.000399887880461,62621.53768428498,0.0759560007478354,0.5942478781756451,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.4648335310556999,50.22998418692668,19.885517071075547,36.28235539,1450000000000000.0,28.972802355669,842.190886836731,1564.51155014024,0.0399887880461,0.0216093797718544,0.522267213586456,50.229989041497,24.168542507948,24.15888166396509,0.0399887880460999,0.827745611791645,1088920015319166.2,0.024374060718946277,1.6976263411678867e-05,3.0968000000000004,35.8,2023-11-06 08:05:00,0.00039988788046108113,0.07595596041266067,0.0,4,626.2153768428498,0.00039988788046108113,20.26382,11.853028,0.07595596041266067,0.0396829,1.042963e-08,0.8037203591968132,0.0,11075.049151884847,0.2702733522962196,0.9627836283602684,4.487500629835948,242.33240065773927,0.07469421976438537,inf,0.0,232.08989706925135,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00038981668,4.969297e-07,38817.527,0.074336074,-237.79639,0.0,0.0,0.9999999999999999,-7.123957600249275e-13,5.406753e-12,2.492425e-16,0.0,0.0,0.0,7.480000000000001e-16,6.202388612631616e-14,4.694357202216665e-12,810.800193110777,7.170972061333761e-12,1.4517397392742008e-13,1.2028700696843378e-13,0.0,0.00038981668,4.969297e-07,38817.527,0.074336074,-237.79639,0.0,0.0,0.0,-7.123957600249275e-13,5.406753e-12,2.492425e-16,0.0,0.0,0.0,7.480000000000001e-16,6.202388612631616e-14,4.694357202216665e-12,810.800193110777,7.170972061333761e-12,1.4517397392742008e-13,1.2028700696843378e-13,0.0
5,5,6,a35da8,FFT4000,37.84593200683594,-121.895823377244,188.286666504,4716.780000000001,-0.9258247207463476,34610D,265.9943,26.930115,13.000597,157.66962176704655,67432.18623683508,0.34817022657444924,1.000602597186076,68.75742637769585,95.5522969934424,2559.313308660858,0.0023721811677892,56095.647368712234,0.6412239602306844,0.5729785531474654,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.4822464724970741,47.77629342414596,18.72357378580588,36.28235539,1450000000000000.0,27.5426771293668,841.64194878614,1569.3955023214,0.237218116779,0.0218341088878561,0.500301298593038,47.7761484967212,22.9137493617292,22.85952243310872,0.23721811677892,0.8257693662750825,1046417579960391.4,0.023078285167781667,1.62998375285319e-05,3.0968000000000004,35.8,2023-11-06 08:06:00,0.002372181167789295,0.6412244176019977,0.0,5,560.9564736871223,0.002372181167789295,26.930115,13.000597,0.6412244176019977,0.050475657,4.7148882e-07,0.7346818026261106,0.0,11555.269067995321,0.2328721522021101,0.9725073576733275,4.068307628951363,241.19011480452033,0.5980473398032486,inf,0.0,233.75536652983808,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0023486246,3.0365695e-07,47311.2,0.6458798,-235.92574,0.0,0.0,1.0,-6.779700393704248e-13,4.49403e-12,2.343444e-16,0.0,0.0,0.0,7.48e-16,5.0591125420023386e-14,3.816060078966732e-12,810.2894965965195,5.287271539362937e-12,1.3906813559870693e-13,1.1522788378178576e-13,0.0,0.0023486246,3.0365695e-07,47311.2,0.6458798,-235.92574,0.0,0.0,0.0,-6.779700393704248e-13,4.49403e-12,2.343444e-16,0.0,0.0,0.0,7.48e-16,5.0591125420023386e-14,3.816060078966732e-12,810.2894965965195,5.287271539362937e-12,1.3906813559870693e-13,1.1522788378178576e-13,0.0
6,6,7,a35da8,FFT4000,37.87001037597656,-121.76807809383313,198.06111094,5471.16,-0.9253333761354352,34610D,261.4604,30.849215,14.973489,164.32169462841586,67363.4288104574,0.3546186422873749,1.000995995079252,66.02118731066028,93.4189322123378,2614.552241201716,0.0023236964897931,50703.897051540545,0.8476710344637638,0.550176560922169,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5069313774940764,46.709715476137376,18.311572820114044,36.28235538999999,1450000000000000.0,27.0809832327885,852.286801762238,1596.0112611723,0.232369648979,0.0224284224409855,0.500497997539626,46.7094661061689,22.315345577985,22.26361170162382,0.2323696489793099,0.8617033110558889,1004468363150204.0,0.023992981112541764,1.639309831480965e-05,3.0968000000000004,35.8,2023-11-06 08:07:00,0.0023236964897931944,0.8476706942156195,0.0,6,507.03897051540554,0.0023236964897931944,30.849215,14.973489,0.8476706942156195,0.038118828,1.8145317e-07,0.675581685393523,0.0,11894.554073287172,0.22926335038196238,0.9733644313265396,3.7138607201481184,240.13978987905924,0.7562562817372899,inf,0.0,234.10769694971765,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0022549278,4.5705133e-07,54971.7,0.7975875,-233.87167,0.0,0.0,1.0,-6.469479880186863e-13,3.814062e-12,2.4616853e-16,0.0,0.0,0.0,7.48e-16,4.216665206044542e-14,3.167114117127486e-12,809.8303062264353,4.563851602484435e-12,1.391228117625569e-13,1.1527318688897573e-13,0.0,0.0022549278,4.5705133e-07,54971.7,0.7975875,-233.87167,0.0,0.0,0.0,-6.469479880186863e-13,3.814062e-12,2.4616853e-16,0.0,0.0,0.0,7.48e-16,4.216665206044542e-14,3.167114117127486e-12,809.8303062264353,4.563851602484435e-12,1.391228117625569e-13,1.1527318688897573e-13,0.0
7,7,8,a35da8,FFT4000,37.8944091796875,-121.63641747007978,204.234444268,6240.780000000001,-0.9248031010906466,34610D,256.45126,34.292248,12.900019,170.04174516441535,67297.40762314673,0.3630567874556619,0.90019796511423,63.66461945877146,83.1175886377502,2354.416119130477,0.0016562156291604,45643.61268941082,0.8610609960730748,0.5305384954897622,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5296760659605017,41.55846867192878,18.14712773135012,36.28235539,1450000000000000.0,24.7087207234365,840.131446744753,1570.73134436874,0.165621562916,0.0219049718809625,0.450098982557115,41.5587943188751,20.5478000612406,20.51382474408559,0.16562156291604,0.820338136026542,917797792846372.8,0.02252243212279604,1.4262703967130388e-05,3.0968000000000004,35.8,2023-11-06 08:08:00,0.0016562156291604834,0.86106195113283,0.0,7,456.4361268941082,0.0016562156291604834,34.292248,12.900019,0.86106195113283,0.030703,3.304491e-08,0.6200370239842697,0.0,12650.034778877194,0.22641163287106575,0.9740317102131005,3.3855589167793076,239.0845460410317,0.7312722599433003,inf,0.0,232.87472613254096,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0016095602,3.4621374e-07,62801.42,0.8230934,-232.73615,0.0,0.0,0.9999999999999998,-6.152671289436224e-13,3.1966953e-12,2.376248e-16,0.0,0.0,0.0,7.48e-16,3.4544189713612095e-14,2.581428069937465e-12,809.3650049578896,3.1402526601541364e-12,1.2511345965945475e-13,1.0366543800354824e-13,0.0,0.0016095602,3.4621374e-07,62801.42,0.8230934,-232.73615,0.0,0.0,0.0,-6.152671289436224e-13,3.1966953e-12,2.376248e-16,0.0,0.0,0.0,7.48e-16,3.4544189713612095e-14,2.581428069937465e-12,809.3650049578896,3.1402526601541364e-12,1.2511345965945475e-13,1.0366543800354824e-13,0.0
8,8,9,a35da8,FFT4000,37.9200439453125,-121.49616647273936,209.893333152,6934.200000000001,-0.9242217628471924,34610D,251.33951,38.524193,11.175931,172.78275286885088,67233.74300368795,0.36710541287973997,0.84589518938346,62.21346690128991,77.7218009756224,2066.3969834579334,0.0010822278551543,41442.16772350145,0.8320721193603386,0.5184455575107493,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5436597790720078,38.86084100510027,18.0544301958719,36.28235539,1450000000000000.0,23.2556229903829,835.28068748641,1564.44946367377,0.108222785515,0.0218177665019717,0.42294759469173,38.8609004878112,19.3854670987293,19.36451028629605,0.10822278551543,0.8029853384112962,857323480280918.5,0.02197539943041792,1.3219137473138653e-05,3.0968000000000004,35.8,2023-11-06 08:09:00,0.0010822278551543241,0.832072635914786,0.0,8,414.42167723501456,0.0010822278551543241,38.524193,11.175931,0.832072635914786,0.030354403,1.1423323e-10,0.5744128526281715,0.0,12759.689666409362,0.22559693948978718,0.9742207249349817,3.0920563405944024,238.0614752419986,0.6718845355049107,inf,0.0,231.40305354861823,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0010526129,3.545549e-07,69883.875,0.7809929,-231.70898,0.0,0.0,1.0,-5.866242085294023e-13,2.7067554e-12,2.3826777e-16,0.0,0.0,0.0,7.480000000000001e-16,2.85479734305976e-14,2.120131204054558e-12,808.8761330809933,2.364652465352103e-12,1.1756622182502357e-13,9.741201236930525e-14,0.0,0.0010526129,3.545549e-07,69883.875,0.7809929,-231.70898,0.0,0.0,0.0,-5.866242085294023e-13,2.7067554e-12,2.3826777e-16,0.0,0.0,0.0,7.480000000000001e-16,2.85479734305976e-14,2.120131204054558e-12,808.8761330809933,2.364652465352103e-12,1.1756622182502357e-13,9.741201236930525e-14,0.0
9,9,10,a35da8,FFT4000,37.94581604003906,-121.35457140334108,218.6388887,7543.8,-0.9236029630521368,34610D,246.86157,41.664967,10.21055,176.41312140313258,67171.52953678666,0.37101964331955795,0.821868888398618,60.87806860970386,74.748840685527,1933.281959778756,0.0006528053158801,38012.54249929331,0.7176924488987741,0.5073172384141988,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5600945613156401,37.37472879102602,17.942224563929603,36.28235539,1450000000000000.0,22.4298812768709,837.325377200808,1573.29429229354,0.065280531588,0.0220465596150453,0.410934444199309,37.3744203427635,18.6393909695948,18.627231014168625,0.0652805315880099,0.8102654793641448,830064205017925.2,0.022073475116596852,1.2841600330547949e-05,3.0968000000000004,35.8,2023-11-06 08:10:00,0.000652805315880142,0.717692924921551,0.0,9,380.1254249929332,0.000652805315880142,41.664967,10.21055,0.717692924921551,0.033367716,3.1707185e-11,0.5364334867834228,0.0,13320.675217992797,0.22390606277383615,0.9746107300112795,2.852761143585271,237.16166378021344,0.5544157560272749,inf,0.0,229.72332136906186,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0007162028,3.3622524e-07,76082.69,0.7698951,-231.2945,0.0,0.0,1.0,-5.615690291297043e-13,2.3524336e-12,2.3685487e-16,0.0,0.0,0.0,7.479999999999999e-16,2.4266092988196457e-14,1.7908644713007217e-12,808.3846422476142,1.9493383323938457e-12,1.1422694118284667e-13,9.464517983721583e-14,0.0,0.0007162028,3.3622524e-07,76082.69,0.7698951,-231.2945,0.0,0.0,0.0,-5.615690291297043e-13,2.3524336e-12,2.3685487e-16,0.0,0.0,0.0,7.479999999999999e-16,2.4266092988196457e-14,1.7908644713007217e-12,808.3846422476142,1.9493383323938457e-12,1.1422694118284667e-13,9.464517983721583e-14,0.0
