,Unnamed: 0,index,longitude,latitude,altitude,groundspeed,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,0,-4.458446502685547,36.64544677734375,624.84,100.831111024,34610D,295.0791,1.2606021,1.7037115,110.41911986560208,66646.07842391136,0.26095732771928426,1.466483422386316,79.74857143642382,149.1364537651126,2781.242317853452,0.0086940605178519,94040.35659516814,0.4051960526589045,0.6645714286368651,1.0,climb,0,GTF2035_wi,0,43031,1.237,3.16,3.16,0,0.3206507460676785,74.56837728613968,18.209601267464823,30.839551193717703,1531770294383954.8,36.4995626426395,883.264328362329,1820.66413333134,0.869406051785,0.0297452672516154,0.733241711193158,74.5682268825563,24.6507017398991,24.43823425235965,0.86940605178519,0.966293659620424,1228507480399522.5,,,0.023213603855272328,2.819577858081187e-05,3.16,35.8,2024-06-07 09:23:00,0.008694060517851957,0.40519649944182806,0.0,0,940.4035659516813,0.008694060517851957,1.2606021,1.7037115,0.40519649944182806,1.2584623,0.0,1.110243568122773,1014.9134328244254,7015.014079391221,-0.6572896549879692,0.7536380493617586,5.935221353334227,245.659963344551,0.49907577720245994,inf,0.0,237.21481388967973,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.008542442,-3.4569373e-07,6253.6772,0.4902864,-225.96382,0.0,0.0,1.0,-1.0195190754882544e-12,1.0547481e-11,2.3758472e-16,0.0,0.0,0.0,7.480000000000001e-16,1.2484909111544212e-13,9.527962030157622e-12,1319.3985326824331,1.9461261798319823e-11,2.079778521495653e-13,0.0,0.008542442,-3.4569373e-07,6253.6772,0.4902864,-225.96382,0.0,0.0,0.0,-1.0195190754882544e-12,1.0547481e-11,2.3758472e-16,0.0,0.0,0.0,7.480000000000001e-16,1.2484909111544212e-13,9.527962030157622e-12,1319.3985326824331,1.9461261798319823e-11,2.079778521495653e-13,0.0
1,1,1,-4.399623870849609,36.604248046875,1440.18,118.32222212,34610D,290.1539,-12.254487,3.8107622,139.5428945628349,66566.32985247493,0.3011072469311687,1.114100847892972,71.60021764982794,103.4473629494616,2671.6419100154026,0.0080546383807015,85178.39178058632,0.4837089400015892,0.5966684804152328,0.9418300354805904,climb,0,GTF2035_wi,0,43031,1.237,3.16,3.16,0,0.4086492514735346,51.723981842754185,16.79157083189689,28.015289689147053,1574200756020579.0,29.5603995319271,846.882496812038,1714.91306973588,0.80546383807,0.0269728262606222,0.557050423946486,51.7236814747308,20.6522823586984,20.487264848930607,0.8054638380701499,0.8328837178343724,1171042503187299.2,31.997061597269184,1860494484385016.5,0.019266840009114775,1.9115375558631522e-05,3.16,35.8,2024-06-07 09:24:00,0.008054638380701525,0.48370945091657713,0.0,1,851.7839178058632,0.008054638380701525,-12.254487,3.8107622,0.48370945091657713,1.2512788,0.0,1.0226887357773704,1018.6026078873053,7154.666527832962,-0.24911119964419656,0.9684748887874323,5.681634043825204,245.13336087391798,0.5689515273708706,inf,0.0,237.19796337916046,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.008022023,2.7163645e-07,14581.286,0.5661671,-228.24629,0.0,0.0,1.0,-9.708737355102766e-13,9.157152e-12,2.6518717e-16,0.0,0.0,0.0,7.48e-16,1.0743479741819405e-13,8.186277710703602e-12,1319.6353501935578,1.05432066695138e-11,1.5800267352885962e-13,0.0,0.008022023,2.7163645e-07,14581.286,0.5661671,-228.24629,0.0,0.0,0.0,-9.708737355102766e-13,9.157152e-12,2.6518717e-16,0.0,0.0,0.0,7.48e-16,1.0743479741819405e-13,8.186277710703602e-12,1319.6353501935578,1.05432066695138e-11,1.5800267352885962e-13,0.0
2,2,2,-4.322477300116361,36.58828993975106,2217.42,135.298888772,34610D,288.72867,-5.7371736,10.223558,145.63907830634687,66494.72963482511,0.30928208484046343,1.190878943802414,70.13768454253938,108.8243038638898,3005.4719928579057,0.0056536427838742,77372.3179826334,0.3423094915327815,0.5844807045211615,1.0,climb,0,GTF2035_wi,0,43031,1.237,3.16,3.16,0,0.4275531962324992,54.41239618029441,18.10369700070769,31.60183637637858,1520318057348993.5,30.5046742671121,870.412239952949,1778.37398565997,0.565364278387,0.0284881918934486,0.595439471901207,54.4121519319449,20.9012728546714,20.7837688498915,0.56536427838742,0.920118124604794,1029911672906580.0,28.9908522541864,1769978257152380.0,0.022226063548237748,2.085196413615612e-05,3.16,35.8,2024-06-07 09:25:00,0.0056536427838742125,0.3423095976321985,0.0,2,773.723179826334,0.0056536427838742125,-5.7371736,10.223558,0.3423095976321985,1.2396055,0.0,0.9335512106121732,1022.4329422493857,8222.004453059662,0.33662085790962526,0.9416402699652282,5.21128850785392,244.09884429414777,0.39726561184349785,inf,0.0,235.18130664128196,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.005533301,1.3061687e-06,22645.295,0.383683,-230.54301,0.0,0.0,1.0,-9.237153372270566e-13,8.386471e-12,3.1162133e-16,0.0,0.0,0.0,7.48e-16,9.807544715423275e-14,7.462755832302e-12,1319.727080185437,1.1851700038128846e-11,1.6889140451321342e-13,0.0,0.005533301,1.3061687e-06,22645.295,0.383683,-230.54301,0.0,0.0,0.0,-9.237153372270566e-13,8.386471e-12,3.1162133e-16,0.0,0.0,0.0,7.48e-16,9.807544715423275e-14,7.462755832302e-12,1319.727080185437,1.1851700038128846e-11,1.6889140451321342e-13,0.0
3,3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,152.275555424,34610D,282.65594,-5.027167,11.661943,152.15103563929642,66424.59195028257,0.3191618960262477,1.091146285211916,67.86278720634367,98.4919057551504,2287.210523828943,0.0030542816214399,69344.03928345334,0.2616115053279639,0.5655232267195306,1.0,climb,0,GTF2035_wi,0,43031,1.237,3.16,3.16,0,0.4514431324406882,49.2460295533564,18.62878593587003,33.766942614562964,1487790454281846.2,28.2137140479864,861.38916150327,1760.63572519088,0.305428162144,0.0280332531418445,0.545573142605958,49.2459528775752,19.4616422091803,19.402381870820097,0.30542816214399,0.8870863793767795,1012606259826654.0,26.234537288261404,1619013540661793.0,0.02204369205968421,1.8641553555108652e-05,3.16,35.8,2024-06-07 09:26:00,0.0030542816214399818,0.2616115451016594,0.0,3,693.4403928345334,0.0030542816214399818,-5.027167,11.661943,0.2616115451016594,1.2340837,0.0,0.8546601759616732,1026.2575422343016,9734.594086991396,0.8806545008221959,0.4737590634295125,4.727760112514586,242.94512212424942,0.2866173277151089,inf,0.0,233.56134142434126,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0029637958,1.9844164e-07,31659.031,0.2732792,-232.23616,0.0,0.0,0.9999999999999999,-8.709343973207238e-13,7.0369552e-12,2.2623403e-16,0.0,0.0,0.0,7.48e-16,8.113250557549909e-14,6.166020887658261e-12,1319.5849896787622,8.898638329021587e-12,1.5474723908578212e-13,0.0,0.0029637958,1.9844164e-07,31659.031,0.2732792,-232.23616,0.0,0.0,0.0,-8.709343973207238e-13,7.0369552e-12,2.2623403e-16,0.0,0.0,0.0,7.48e-16,8.113250557549909e-14,6.166020887658261e-12,1319.5849896787622,8.898638329021587e-12,1.5474723908578212e-13,0.0
4,4,4,-4.184622257313833,36.68991347490731,3749.04,174.91111096,34610D,276.65546,-3.87753,9.268916,166.0471201986012,66356.72916307622,0.3361285106843324,1.06001080003661,67.02204012543218,92.3348679137636,2094.6824127800937,0.0021319589428569,63682.73221635501,0.2686130664519654,0.5585170010452682,1.0,climb,0,GTF2035_wi,0,43031,1.237,3.16,3.16,0,0.4979880645262577,46.16828442767831,18.80649025320089,35.451900834086466,1462476383691320.2,27.5113359363514,858.23542686823,1754.01533042203,0.213195894286,0.0278599524633848,0.530005400018305,46.1674339568818,19.0239161647842,18.983444241068227,0.21319589428569,0.8755912072332964,1002629766035665.8,24.961329213171403,1543934747547453.8,0.02206236361489058,1.7835094703783767e-05,3.16,35.8,2024-06-07 09:27:00,0.0021319589428569364,0.2686133014723838,0.0,4,636.8273221635501,0.0021319589428569364,-3.87753,9.268916,0.2686133014723838,1.2752519,0.0,0.801908636736368,1029.5417489564836,11300.750988592325,0.9530471581850851,0.30282191841961104,4.4492118852329146,242.23208108542644,0.2778367665594604,inf,0.0,232.87046008108558,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.002044994,3.114354e-07,38533.082,0.26310974,-231.8907,0.0,0.0,1.0,-8.306118935378993e-13,5.969717e-12,2.3494396e-16,0.0,0.0,0.0,7.480000000000001e-16,6.779130906827444e-14,5.139105007705613e-12,1319.1429303246628,7.211092563122373e-12,1.503315796698321e-13,0.0,0.002044994,3.114354e-07,38533.082,0.26310974,-231.8907,0.0,0.0,0.0,-8.306118935378993e-13,5.969717e-12,2.3494396e-16,0.0,0.0,0.0,7.480000000000001e-16,6.779130906827444e-14,5.139105007705613e-12,1319.1429303246628,7.211092563122373e-12,1.503315796698321e-13,0.0
5,5,5,-4.146251678466797,36.78662109375,4358.64,191.887777612,34610D,271.73248,-3.3809345,8.6471,180.8822615701432,66289.70712295079,0.3523998404759785,1.158338904983208,65.58675010807045,97.1084016125126,2666.167768617944,0.0013023387647952,58812.9611839903,0.2265838299223821,0.546556250900587,1.0,climb,0,GTF2035_wi,0,43031,1.237,3.16,3.16,0,0.5473718088144719,48.55438108820092,18.89730089979476,36.28235538999999,1450000000000000.0,29.1773659292684,875.996046070898,1805.50830748295,0.13023387648,0.0291681580729127,0.579169452491604,48.5542008062563,19.8562230444525,19.83039714952339,0.13023387647952,0.9407223451499854,951800530153619.2,24.05637473229162,1487925948139879.2,0.02432175092096003,2.039981991261613e-05,3.16,35.8,2024-06-07 09:28:00,0.0013023387647952656,0.22658397444462786,0.0,5,588.129611839903,0.0013023387647952656,-3.3809345,8.6471,0.22658397444462786,1.3723526,0.0,0.7540045084462788,1032.601136410205,11778.588841101398,0.9546314067902358,0.2977899883637715,4.209215889927836,241.5852649342128,0.2234705108918493,inf,0.0,232.0332703987902,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012347103,6.015728e-07,44811.246,0.20979781,-231.3603,0.0,0.0,1.0,-7.937712734278991e-13,5.147136e-12,2.5730873e-16,0.0,0.0,0.0,7.480000000000002e-16,5.759905216461036e-14,4.353364878831282e-12,1318.5833600806757,7.358796605507937e-12,1.642765501758426e-13,0.0,0.0012347103,6.015728e-07,44811.246,0.20979781,-231.3603,0.0,0.0,0.0,-7.937712734278991e-13,5.147136e-12,2.5730873e-16,0.0,0.0,0.0,7.480000000000002e-16,5.759905216461036e-14,4.353364878831282e-12,1318.5833600806757,7.358796605507937e-12,1.642765501758426e-13,0.0
6,6,6,-4.106899829621,36.88751220703125,5135.88,197.546666496,34610D,266.2956,-2.7179775,9.725347,192.632960463874,66224.12037284272,0.36516409188176696,0.985473685727624,63.27840160327113,80.3866511830086,2038.6405323978831,0.0006416318735281,53045.83483154943,0.1597770398778528,0.5273200133605928,1.0,climb,0,GTF2035_wi,0,43031,1.237,3.16,3.16,0,0.5888515233194277,40.19234841062551,18.77048883340473,36.28235538999999,1450000000000000.0,25.6922882492401,854.539127313282,1746.43517956327,0.0641631873528,0.0276518962294307,0.492736842863812,40.1933255915043,17.8192786048205,17.807852519045195,0.06416318735281,0.8616692505830309,949228988455068.8,22.409981326904585,1393359689731814.5,0.021911200026344394,1.618250804139324e-05,3.16,35.8,2024-06-07 09:29:00,0.0006416318735281302,0.1597769593783936,0.0,6,530.4583483154943,0.0006416318735281302,-2.7179775,9.725347,0.1597769593783936,1.543782,0.0,0.6939525034621659,1035.6319483317973,12089.376452152546,0.9540632768454985,0.2996051798197582,3.8705939464476513,240.61471962728925,0.14945757114522026,inf,0.0,230.836255804799,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0006245945,8.648917e-07,52815.74,0.15130723,-231.74538,0.0,0.0,0.9999999999999999,-7.46858874136769e-13,4.3027873e-12,2.7760623e-16,0.0,0.0,0.0,7.48e-16,4.725267435346152e-14,3.5559283163750463e-12,1317.9932876110029,4.60697062985745e-12,1.397606664888402e-13,0.0,0.0006245945,8.648917e-07,52815.74,0.15130723,-231.74538,0.0,0.0,0.0,-7.46858874136769e-13,4.3027873e-12,2.7760623e-16,0.0,0.0,0.0,7.48e-16,4.725267435346152e-14,3.5559283163750463e-12,1317.9932876110029,4.60697062985745e-12,1.397606664888402e-13,0.0
7,7,7,-4.066168602476694,36.99110412597656,5730.240000000001,208.864444264,34610D,262.36072,-1.3935978,10.899328,201.10255422872052,66160.84197123945,0.3741516872050472,0.963584073286454,61.3401541475504,77.1438258257008,2170.201654730888,0.0004540332073505,48952.1716698911,0.1475082932588005,0.5111679512295867,1.0,climb,0,GTF2035_wi,0,43031,1.237,3.16,3.16,0,0.619334686555496,38.57186107850213,18.531162154439983,36.28235539,1450000000000000.0,25.0171349861346,855.079646509464,1751.48454152582,0.0454033207351,0.0278103011240187,0.481792036643227,38.5719129128504,17.3242294103433,17.316367204601733,0.04540332073505,0.8637171722030338,922376505449133.2,21.17938914946157,1322715151760385.0,0.02184804004894212,1.5824413409046653e-05,3.16,35.8,2024-06-07 09:30:00,0.00045403320735059693,0.1475083366508295,0.0,7,489.52171669891106,0.00045403320735059693,-1.3935978,10.899328,0.1475083366508295,1.7334057,0.0,0.6500033545123957,1038.641099479913,12806.645201236752,0.9543698592134923,0.29862714515733363,3.6226005116103206,239.85501791750508,0.13276834649261113,inf,0.0,230.07981591585477,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00044586993,1.0531733e-06,58906.406,0.14303713,-232.16083,0.0,0.0,1.0,-7.111606934152039e-13,3.7539164e-12,2.9211961e-16,0.0,0.0,0.0,7.48e-16,4.0595946924377726e-14,3.0427559475826005e-12,1317.3874191904629,3.8434431950067285e-12,1.3665626414074355e-13,0.0,0.00044586993,1.0531733e-06,58906.406,0.14303713,-232.16083,0.0,0.0,0.0,-7.111606934152039e-13,3.7539164e-12,2.9211961e-16,0.0,0.0,0.0,7.48e-16,4.0595946924377726e-14,3.0427559475826005e-12,1317.3874191904629,3.8434431950067285e-12,1.3665626414074355e-13,0.0
8,8,8,-4.023099858710111,37.10087585449219,6362.700000000001,215.037777592,34610D,258.16962,0.8116654,12.407049,205.7208375478123,66099.50181709189,0.37987162889277326,0.902864976997746,59.49727413067431,71.7402392491514,1882.539808898431,0.00034891820141,44880.94387389205,0.1520535425624175,0.4958106177556192,1.0,climb,0,GTF2035_wi,0,43031,1.237,3.16,3.16,0,0.63867944943565,35.87023089422237,18.24221143416048,36.28235539,1450000000000000.0,23.5503705799195,848.560919635033,1739.62623341924,0.034891820141,0.0275739881368242,0.451432488498873,35.8701196245757,16.3716792166164,16.365968832207134,0.034891820141,0.8391324031404092,900621925994659.9,19.572626692025143,1233594773165395.5,0.020948589434161818,1.473928913004054e-05,3.16,35.8,2024-06-07 09:31:00,0.00034891820141002015,0.15205368806822434,0.0,8,448.8094387389205,0.00034891820141002015,0.8116654,12.407049,0.15205368806822434,1.8170679,1.4480622e-11,0.6056187257546128,1041.6293605961127,13196.043753236032,0.9548374746355329,0.29712858669545433,3.351649416788533,238.97044965750072,0.1313382939422639,inf,0.0,229.27208948201525,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00034239932,1.0396479e-06,65353.324,0.14791936,-230.11658,0.0,0.0,0.9999999999999999,-6.734016203580993e-13,3.2389417e-12,2.9107702e-16,0.0,0.0,0.0,7.479999999999999e-16,3.439109747171151e-14,2.5655400342399653e-12,1316.735287559432,2.9114386180225526e-12,1.2804503332980194e-13,0.0,0.00034239932,1.0396479e-06,65353.324,0.14791936,-230.11658,0.0,0.0,0.0,-6.734016203580993e-13,3.2389417e-12,2.9107702e-16,0.0,0.0,0.0,7.479999999999999e-16,3.439109747171151e-14,2.5655400342399653e-12,1316.735287559432,2.9114386180225526e-12,1.2804503332980194e-13,0.0
9,9,9,-3.978862356632306,37.21408081054688,6911.34,222.239999808,34610D,254.31917,1.8419291,14.187235,210.63908350776384,66040.00454296122,0.38561431251145295,0.857334274488458,58.04899787949739,67.5376295271954,1672.4200519177018,0.0002727956879266,41575.48966576384,0.1579571300436461,0.4837416489958116,1.0,climb,0,GTF2035_wi,0,43031,1.237,3.16,3.16,0,0.6588804573547443,33.76881997643698,18.010637219689997,36.282355390000006,1450000000000000.0,22.4361793493463,843.263662779873,1730.52563014381,0.0272795687927,0.0274018966467907,0.428667137244229,33.7688147635977,15.64370316295,15.639436792031532,0.02727956879266,0.8194410166883005,856593205791872.4,18.32684677372446,1163609096655680.2,0.020353781998359396,1.3902345605165232e-05,3.16,35.8,2024-06-07 09:32:00,0.0002727956879266488,0.1579572400825529,0.0,9,415.7548966576385,0.0002727956879266488,1.8419291,14.187235,0.1579572400825529,1.8154451,0.0,0.5695091737908294,1044.589039964921,13636.878135378027,0.9592570861921389,0.2825346750226731,3.133617466195294,238.21143709705746,0.13135692110022285,inf,0.0,228.5834882701001,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0002658716,7.28229e-07,71064.41,0.14993757,-227.5231,0.0,0.0,1.0,-6.399662917918072e-13,2.8596058e-12,2.6707182e-16,0.0,0.0,0.0,7.48e-16,2.987038432618568e-14,2.2196394233634507e-12,1316.0618394661392,2.32396180006965e-12,1.2158783267537273e-13,0.0,0.0002658716,7.28229e-07,71064.41,0.14993757,-227.5231,0.0,0.0,0.0,-6.399662917918072e-13,2.8596058e-12,2.6707182e-16,0.0,0.0,0.0,7.48e-16,2.987038432618568e-14,2.2196394233634507e-12,1316.0618394661392,2.32396180006965e-12,1.2158783267537273e-13,0.0
