,Unnamed: 0,index,longitude,latitude,altitude,groundspeed,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,EI_nox_py,EI_nvpm_mass_py,EI_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,EI_nox_p3t3_xue,EI_nox_boer,EI_nox_kaiser,EI_nox_kypriandis,EI_nvpm_number_p3t3,EI_nvpm_mass_p3t3,nvpm_ei_n,EI_mass_meem,EI_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,0,-4.458446502685547,36.64544677734375,624.84,100.831111024,34610D,295.19336,0.96996045,1.6105541,110.572215716343,66657.01520873216,0.2509628637618778,1.521899496449722,79.62743627409424,148.6383450751274,2781.55761468215,0.0082756375501709,94040.35659516814,0.3826088177977075,0.6635619689507853,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3210331919589202,74.31884733684952,18.343225788887537,30.78641737874867,1532568553431143.8,29.974666810732,835.034414379908,1572.81701678426,0.827563755017,0.0223833009884364,0.760949748224861,74.3191725375637,33.9963148696423,33.71728285753673,0.8275637550170901,0.9554774319814914,20.66650440231689,20.40256953302421,17.7920912633348,17.738758886144772,1429324010381145.5,33.06838887252958,1413006527190964.2,,,0.02066650440231689,3.151380425008408e-05,3.16,35.8,2024-06-07 09:23:00,0.008694060517851957,0.40195418805297384,0.0,0,940.4035659516813,0.008694060517851957,1.2606021,1.7037115,0.40195418805297384,1.2584623,0.0,1.1098138280022847,1014.9134328244254,7015.014079391221,-0.6572896549879692,0.7536380493617586,5.856027207910348,245.49768813792116,0.4956088586436088,inf,0.0,237.04354642526414,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.008542442,-3.4569373e-07,6253.6772,0.4902864,-225.96382,0.0,0.0,1.0,-1.0195190754882544e-12,1.0547481e-11,2.3758472e-16,0.0,0.0,0.0,7.480000000000001e-16,1.2484909111544212e-13,9.527962030157622e-12,1319.3985326824331,1.7980603587870484e-11,2.1583700410609674e-13,0.0,0.008542442,-3.4569373e-07,6253.6772,0.4902864,-225.96382,0.0,0.0,0.0,-1.0195190754882544e-12,1.0547481e-11,2.3758472e-16,0.0,0.0,0.0,7.480000000000001e-16,1.2484909111544212e-13,9.527962030157622e-12,1319.3985326824331,1.7980603587870484e-11,2.1583700410609674e-13,0.0
1,1,1,-4.399623870849609,36.604248046875,1440.18,118.32222212,34610D,290.10602,-12.065596,3.6959515,139.33108068323645,66577.38777245807,0.28817380369951895,1.165362357869156,71.70262975925642,103.716754419925,2671.4630383454605,0.0078189829079693,85178.39178058632,0.4711974291771986,0.5975219146604702,0.9424954841825948,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4080626547867353,51.85841618539775,16.885544431333383,28.084684476543213,1573158199281541.2,24.401304656208,800.040614392232,1483.68767989146,0.781898290797,0.0203726690631813,0.582681178934578,51.8583772099625,28.6011212928224,28.37922462057272,0.7818982907969301,0.8092850426796819,17.24864246318489,14.817376438027848,13.797738298236675,14.093874498966573,1211095161413104.2,21.096835148581555,1321530899415104.5,31.974697480985007,1860782229766198.5,0.01724864246318489,2.13515466310904e-05,3.16,35.8,2024-06-07 09:24:00,0.008054638380701527,0.4853990031032343,0.0,1,851.7839178058632,0.008054638380701527,-12.254487,3.8107622,0.4853990031032343,1.2512788,0.0,1.0228575235076942,1018.6026078873053,7154.666527832962,-0.24911119964419656,0.9684748887874323,5.578402255292091,244.91299420115487,0.5706818117198251,inf,0.0,237.00655911519573,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.008022023,2.7163645e-07,14581.286,0.5661671,-228.24629,0.0,0.0,1.0,-9.708737355102766e-13,9.157152e-12,2.6518717e-16,0.0,0.0,0.0,7.48e-16,1.0743479741819405e-13,8.186277710703602e-12,1319.6353501935578,9.87310213901099e-12,1.6527262188289003e-13,0.0,0.008022023,2.7163645e-07,14581.286,0.5661671,-228.24629,0.0,0.0,0.0,-9.708737355102766e-13,9.157152e-12,2.6518717e-16,0.0,0.0,0.0,7.48e-16,1.0743479741819405e-13,8.186277710703602e-12,1319.6353501935578,9.87310213901099e-12,1.6527262188289003e-13,0.0
2,2,2,-4.322477300116361,36.58828993975106,2217.42,135.298888772,34610D,288.7378,-5.6733317,10.186295,145.58717537578292,66505.68514269881,0.29699574152612623,1.240921084805242,70.13115491442626,108.9313045550398,3005.555785269361,0.0053509477967686,77372.3179826334,0.3237649330788237,0.5844262909535521,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4273940854773426,54.46571900984479,18.20716421246828,31.601174165685222,1520328006110952.8,25.1171050902528,822.45611552417,1537.44470543496,0.535094779677,0.0214786836069779,0.620460542402621,54.4656522775199,28.8872704564188,28.73351889678464,0.53509477967686,0.9020092862158696,19.74259599508336,18.303217233327203,16.392381366249914,16.51333310069274,1170338372264047.5,24.45089545516659,1216668038954352.2,28.986680527518917,1769778711151715.8,0.019742595995083358,2.339607392549804e-05,3.16,35.8,2024-06-07 09:25:00,0.005653642783874211,0.3420798195902904,0.0,2,773.723179826334,0.005653642783874211,-5.7371736,10.223558,0.3420798195902904,1.2396055,0.0,0.9335216913647699,1022.4329422493857,8222.004453059662,0.33662085790962526,0.9416402699652282,5.12021127902383,243.8889991436152,0.39703312672828356,inf,0.0,234.98804148850667,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.005533301,1.3061687e-06,22645.295,0.383683,-230.54301,0.0,0.0,1.0,-9.237153372270566e-13,8.386471e-12,3.1162133e-16,0.0,0.0,0.0,7.48e-16,9.807544715423275e-14,7.462755832302e-12,1319.727080185437,1.0969804937592618e-11,1.759884209839473e-13,0.0,0.005533301,1.3061687e-06,22645.295,0.383683,-230.54301,0.0,0.0,0.0,-9.237153372270566e-13,8.386471e-12,3.1162133e-16,0.0,0.0,0.0,7.48e-16,9.807544715423275e-14,7.462755832302e-12,1319.727080185437,1.0969804937592618e-11,1.759884209839473e-13,0.0
3,3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,152.275555424,34610D,282.66278,-5.0140047,11.643089,152.16004076680514,66435.55398778438,0.3066213915197122,1.134776077321592,67.85629068654148,98.3996253228066,2287.214517318119,0.0029210953338867,69344.03928345334,0.2500719341300094,0.5654690890545123,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4514644143803006,49.20030972737154,18.67524162904698,33.76337620560875,1487844034440081.2,23.1856495959441,813.390682688838,1521.03357333129,0.292109533389,0.021131286997048,0.567388038660796,49.1998126614033,26.8506143870963,26.772409626260128,0.2921095333886699,0.8641923882727257,19.57139390195598,17.532557341222457,15.832809929711525,16.0118070102819,1096730889920555.2,21.289046160585585,1194632393035901.2,26.235077325205012,1619039384028535.5,0.019571393901955978,2.052527945202685e-05,3.16,35.8,2024-06-07 09:26:00,0.003054281621439982,0.26147413636096656,0.0,3,693.4403928345334,0.003054281621439982,-5.027167,11.661943,0.26147413636096656,1.2340837,0.0,0.8546394945136114,1026.2575422343016,9734.594086991396,0.8806545008221959,0.4737590634295125,4.642253440875619,242.73028923276715,0.2864854754259845,inf,0.0,233.36512618122467,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0029637958,1.9844164e-07,31659.031,0.2732792,-232.23616,0.0,0.0,0.9999999999999999,-8.709343973207238e-13,7.0369552e-12,2.2623403e-16,0.0,0.0,0.0,7.48e-16,8.113250557549909e-14,6.166020887658261e-12,1319.5849896787622,8.216524819761247e-12,1.6093485110661004e-13,0.0,0.0029637958,1.9844164e-07,31659.031,0.2732792,-232.23616,0.0,0.0,0.0,-8.709343973207238e-13,7.0369552e-12,2.2623403e-16,0.0,0.0,0.0,7.48e-16,8.113250557549909e-14,6.166020887658261e-12,1319.5849896787622,8.216524819761247e-12,1.6093485110661004e-13,0.0
4,4,4,-4.184622257313833,36.68991347490731,3749.04,174.91111096,34610D,276.64957,-3.9257789,9.377092,165.96180560067236,66367.69769709784,0.3230177246179236,1.10341386902545,67.03080808169793,92.4140662188932,2094.6075759498312,0.0020121669953568,63682.73221635501,0.2536398118790869,0.5585900673474827,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4977375294550086,46.206878746701975,18.85000593395912,35.460936651974635,1462340633540833.5,22.5960767603918,810.219201907059,1516.2160067986,0.201216699536,0.0210399246910721,0.551706934512725,46.2070331094466,26.221906333478,26.169249433474704,0.20121669953568,0.8511375135969105,19.462989787567917,17.3262859635016,15.670181571964438,15.866933882703895,1090398781039794.0,20.628705227943325,1209737898716200.8,24.9546920150174,1543617094871476.0,0.019462989787567917,1.995659199054531e-05,3.16,35.8,2024-06-07 09:27:00,0.002131958942856936,0.2687402821188639,0.0,4,636.8273221635501,0.002131958942856936,-3.87753,9.268916,0.2687402821188639,1.2752519,0.0,0.8019257097499657,1029.5417489564836,11300.750988592325,0.9530471581850851,0.30282191841961104,4.363046165224233,242.0034924583839,0.27795233566906746,inf,0.0,232.66289541222017,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.002044994,3.114354e-07,38533.082,0.26310974,-231.8907,0.0,0.0,1.0,-8.306118935378993e-13,5.969717e-12,2.3494396e-16,0.0,0.0,0.0,7.480000000000001e-16,6.779130906827444e-14,5.139105007705613e-12,1319.1429303246628,6.621962778425295e-12,1.5648703763628457e-13,0.0,0.002044994,3.114354e-07,38533.082,0.26310974,-231.8907,0.0,0.0,0.0,-8.306118935378993e-13,5.969717e-12,2.3494396e-16,0.0,0.0,0.0,7.480000000000001e-16,6.779130906827444e-14,5.139105007705613e-12,1319.1429303246628,6.621962778425295e-12,1.5648703763628457e-13,0.0
5,5,5,-4.146251678466797,36.78662109375,4358.64,191.887777612,34610D,271.71878,-3.406237,8.695613,180.84474749099616,66300.66688901615,0.3385460657890758,1.205603216777164,65.60075512649252,97.1175479421036,2666.064328572796,0.0012513568449361,58812.9611839903,0.2179621556171939,0.5466729593874377,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5472720841957844,48.55908170791269,18.91718916322698,36.28235539,1450000000000000.0,23.9390338859766,828.158634819741,1562.47324578219,0.125135684494,0.0220632902784038,0.602801608388582,48.5587739710518,27.3214738501002,27.28732766584553,0.1251356844936099,0.9263414222433564,21.454657846940005,20.423056681606628,17.83088649114626,17.855483880664842,1107649846590774.4,24.23646617353345,1122994707793474.4,24.053602925037836,1487793291184871.2,0.021454657846940006,2.313521034647844e-05,3.16,35.8,2024-06-07 09:28:00,0.0013023387647952656,0.22684244791473254,0.0,5,588.129611839903,0.0013023387647952656,-3.3809345,8.6471,0.22684244791473254,1.3723526,0.0,0.7540425251846349,1032.601136410205,11778.588841101398,0.9546314067902358,0.2977899883637715,4.121056268325228,241.33943735240706,0.2236956978089359,inf,0.0,231.8109119977885,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012347103,6.015728e-07,44811.246,0.20979781,-231.3603,0.0,0.0,1.0,-7.937712734278991e-13,5.147136e-12,2.5730873e-16,0.0,0.0,0.0,7.480000000000002e-16,5.759905216461036e-14,4.353364878831282e-12,1318.5833600806757,6.756197096331462e-12,1.7097961268591086e-13,0.0,0.0012347103,6.015728e-07,44811.246,0.20979781,-231.3603,0.0,0.0,0.0,-7.937712734278991e-13,5.147136e-12,2.5730873e-16,0.0,0.0,0.0,7.480000000000002e-16,5.759905216461036e-14,4.353364878831282e-12,1318.5833600806757,6.756197096331462e-12,1.7097961268591086e-13,0.0
6,6,6,-4.106899829621,36.88751220703125,5135.88,197.546666496,34610D,266.28842,-2.7134047,9.770877,192.5884354495601,66235.06613388965,0.3511554893187049,1.02516511766863,63.28679156166763,80.4348980956828,2038.5969893301951,0.0006925397341391,53045.83483154943,0.1725610000874268,0.5273899296805635,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5887233802028466,40.21713770025927,18.75317568871892,36.28235538999999,1450000000000000.0,21.061143112845,806.510220972195,1510.28273627822,0.0692539734139,0.0209178947524908,0.512582558834315,40.2174490478414,24.504500328518,24.487541732876597,0.06925397341391,0.8358012486713765,19.30099057817791,16.89567932130529,15.303334603066116,15.5302673874154,1008115706513034.0,18.506934070753346,1112071996714629.4,22.40641499667494,1393188969905549.0,0.01930099057817791,1.817484151394936e-05,3.16,35.8,2024-06-07 09:29:00,0.0006416318735281302,0.15987643916545974,0.0,6,530.4583483154943,0.0006416318735281302,-2.7179775,9.725347,0.15987643916545974,1.543782,0.0,0.6939712146737719,1035.6319483317973,12089.376452152546,0.9540632768454985,0.2996051798197582,3.7870275273962744,240.36366297205902,0.14954013867504726,inf,0.0,230.60902517578432,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0006245945,8.648917e-07,52815.74,0.15130723,-231.74538,0.0,0.0,0.9999999999999999,-7.46858874136769e-13,4.3027873e-12,2.7760623e-16,0.0,0.0,0.0,7.48e-16,4.725267435346152e-14,3.5559283163750463e-12,1317.9932876110029,4.221605694910446e-12,1.4538973711985926e-13,0.0,0.0006245945,8.648917e-07,52815.74,0.15130723,-231.74538,0.0,0.0,0.0,-7.46858874136769e-13,4.3027873e-12,2.7760623e-16,0.0,0.0,0.0,7.48e-16,4.725267435346152e-14,3.5559283163750463e-12,1317.9932876110029,4.221605694910446e-12,1.4538973711985926e-13,0.0
7,7,7,-4.066168602476694,36.99110412597656,5730.240000000001,208.864444264,34610D,262.3566,-1.3909073,10.909297,201.09224888547624,66171.77934232798,0.3600681785016146,1.001591276881396,61.3442284487428,77.1722891775198,2170.147961867792,0.0005054365749048,48952.1716698911,0.1642689318638077,0.5112019037395233,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6193077802943314,38.58681843467969,18.513551939938186,36.28235538999999,1450000000000000.0,20.4833059679938,807.126230651142,1514.87830013071,0.0505436574905,0.0210487707541761,0.500795638440698,38.5861445887599,23.7921560498416,23.78013669899769,0.05054365749048,0.8383435681045865,19.24784378522997,16.890858803605855,15.232734329277198,15.422963025911129,981248090405375.2,18.10391166433613,1083779090861422.6,21.17864476261694,1322679511459116.8,0.019247843785229972,1.773103806473617e-05,3.16,35.8,2024-06-07 09:30:00,0.00045403320735059693,0.14756263614997853,0.0,7,489.52171669891106,0.00045403320735059693,-1.3935978,10.899328,0.14756263614997853,1.7334057,0.0,0.6500135620460372,1038.641099479913,12806.645201236752,0.9543698592134923,0.29862714515733363,3.542874946916782,239.6009941119848,0.13281185373135118,inf,0.0,229.8497378438933,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00044586993,1.0531733e-06,58906.406,0.14303713,-232.16083,0.0,0.0,1.0,-7.111606934152039e-13,3.7539164e-12,2.9211961e-16,0.0,0.0,0.0,7.48e-16,4.0595946924377726e-14,3.0427559475826005e-12,1317.3874191904629,3.5195811995429857e-12,1.420464761603411e-13,0.0,0.00044586993,1.0531733e-06,58906.406,0.14303713,-232.16083,0.0,0.0,0.0,-7.111606934152039e-13,3.7539164e-12,2.9211961e-16,0.0,0.0,0.0,7.48e-16,4.0595946924377726e-14,3.0427559475826005e-12,1317.3874191904629,3.5195811995429857e-12,1.420464761603411e-13,0.0
8,8,8,-4.023099858710111,37.10087585449219,6362.700000000001,215.037777592,34610D,258.16083,0.7978851,12.403082,205.7288892687945,66110.43511387924,0.36552890083750955,0.938481722731738,59.504429264625216,71.7519481137658,1882.4909328180745,0.0003847001148765,44880.94387389205,0.1677830159633013,0.4958702438718768,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.638715278911193,35.87654538130541,18.23083793651949,36.28235539,1450000000000000.0,19.2929811784629,801.224676634039,1504.32196974804,0.0384700114877,0.0208616746114197,0.469240861365869,35.8759740568829,22.492962339131,22.4843126214826,0.03847001148765,0.8141529914159494,18.58439311939297,15.946054289442548,14.457666681939916,14.673982962385695,927542075555557.2,16.313335295148313,1013897333622133.6,19.57358038518536,1233640452019458.2,0.01858439311939297,1.6417025767135688e-05,3.16,35.8,2024-06-07 09:31:00,0.0003489182014100201,0.15217707187337245,0.0,8,448.8094387389205,0.0003489182014100201,0.8116654,12.407049,0.15217707187337245,1.8170679,1.4480622e-11,0.6056393461895541,1041.6293605961127,13196.043753236032,0.9548374746355329,0.29712858669545433,3.275882693631188,238.71177802417012,0.131433496944612,inf,0.0,229.03782502549714,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00034239932,1.0396479e-06,65353.324,0.14791936,-230.11658,0.0,0.0,0.9999999999999999,-6.734016203580993e-13,3.2389417e-12,2.9107702e-16,0.0,0.0,0.0,7.479999999999999e-16,3.439109747171151e-14,2.5655400342399653e-12,1316.735287559432,2.6847524602481063e-12,1.3309622870319327e-13,0.0,0.00034239932,1.0396479e-06,65353.324,0.14791936,-230.11658,0.0,0.0,0.0,-6.734016203580993e-13,3.2389417e-12,2.9107702e-16,0.0,0.0,0.0,7.479999999999999e-16,3.439109747171151e-14,2.5655400342399653e-12,1316.735287559432,2.6847524602481063e-12,1.3309622870319327e-13,0.0
9,9,9,-3.978862356632306,37.21408081054688,6911.34,222.239999808,34610D,254.31462,1.843599,14.17466,210.6506190647398,66050.93068461462,0.3705405158509595,0.894485619098406,58.05228751045444,67.7060945674534,1671.6692660383262,0.0002958787626552,41575.48966576384,0.1713970553394911,0.4837690625871203,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6589224532728709,33.85288268977687,18.003268942831916,36.28235538999999,1450000000000000.0,18.4292305367496,797.079149235931,1497.89696109397,0.0295878762655,0.0207632304485943,0.447242809549203,33.8530472837267,21.5401360908886,21.533764707231715,0.02958787626552,0.7969189580236665,18.129195060310305,15.31238797044699,13.917022247625749,14.144917991506867,887642592077760.8,15.095493100085063,964557918976315.6,18.32793343424434,1163661159864268.0,0.018129195060310306,1.5495273758035863e-05,3.16,35.8,2024-06-07 09:32:00,0.0002727956879266488,0.15802560845443414,0.0,9,415.7548966576385,0.0002727956879266488,1.8419291,14.187235,0.15802560845443414,1.8154451,0.0,0.569519363007402,1044.589039964921,13636.878135378027,0.9592570861921389,0.2825346750226731,3.0585760795982586,237.9393685511207,0.13140787581719318,inf,0.0,228.33670635063567,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0002658716,7.28229e-07,71064.41,0.14993757,-227.5231,0.0,0.0,1.0,-6.399662917918072e-13,2.8596058e-12,2.6707182e-16,0.0,0.0,0.0,7.48e-16,2.987038432618568e-14,2.2196394233634507e-12,1316.0618394661392,2.159660895174356e-12,1.2685666608903123e-13,0.0,0.0002658716,7.28229e-07,71064.41,0.14993757,-227.5231,0.0,0.0,0.0,-6.399662917918072e-13,2.8596058e-12,2.6707182e-16,0.0,0.0,0.0,7.48e-16,2.987038432618568e-14,2.2196394233634507e-12,1316.0618394661392,2.159660895174356e-12,1.2685666608903123e-13,0.0
