Unnamed: 0.1,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,0.8341575551851717,34610D,275.45508,11.138223,-7.5029426,161.45548600293077,73634.99906056847,0.3359421687015108,1.218726217085162,66.77293876486107,109.661396059616,2735.8994674184114,0.0065739635808212,62250.43576468452,0.8918908454503363,0.5564411563738422,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.4852713065448608,54.83055738887456,17.20804827786435,36.28235539,1450000000000000.0,32.1579093582024,897.796208845118,1846.21591286633,0.657396358082,0.0300202951836543,0.609363108542581,54.830698029808,20.2983716454051,20.1658023948831,0.6573963580821199,1.0,845660592283185.2,20.624773700268417,1345572807969515.8,0.0233147502776729,2.02694724378424e-05,3.0968000000000004,35.8,2023-02-06 13:01:00,0.0065739635808212,0.8918904884008652,0.0,0,622.5043576468452,0.0065739635808212,11.138223,-7.5029426,0.8918904884008652,0.978943,1.6283929e-07,0.7872887735120768,1167.926858703138,9537.146941901805,-0.4305476864931945,-0.9025678310550171,4.447574690236431,242.22777447372584,0.9118997322240988,inf,0.0,238.21964820951385,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0064251204,-2.166525e-07,40518.945,0.8900914,-262.02338,0.0,0.0,1.0,-8.258215277507401e-13,5.73647e-12,2.276378e-16,0.0,0.0,0.0,7.479999999999999e-16,6.481406848496676e-14,4.910648513843402e-12,1349.7218382538106,9.537146941901804,8.371957640367004e-12,0.0064251204,-2.166525e-07,40518.945,0.8900914,-262.02338,0.0,0.0,0.0,-8.258215277507401e-13,5.73647e-12,2.276378e-16,0.0,0.0,0.0,7.479999999999999e-16,6.481406848496676e-14,4.910648513843402e-12,1349.7218382538106,9.537146941901804,0.0
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,0.8355611160804834,34610D,271.86478,10.916617,-7.53122,170.19365359730412,73568.22612180361,0.341625826435016,1.306574720508596,62.87311977291542,113.4168252730196,3128.990240916548,0.0036775096599517,56095.64736871224,0.6035810958041712,0.5239426647742952,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5149014313224596,56.70838428348214,17.618733742429768,36.28235538999999,1450000000000000.0,33.0849509004692,922.369132697062,1920.84323194998,0.367750965995,0.0319559424482502,0.653287360254298,56.7084126365098,20.4433764177739,20.36847116829405,0.36775096599517,1.0,780794445895341.1,18.66101793599147,1230362521055987.5,0.0272799319825437,1.871470853095672e-05,3.0968000000000004,35.8,2023-02-06 13:02:00,0.0036775096599517,0.6035819980727393,0.0,1,560.9564736871223,0.0036775096599517,10.916617,-7.53122,0.6035819980727393,0.87325716,7.237051e-07,0.71881753794026,1169.891743813052,9596.215333846398,-0.4245141795934674,-0.905421289413986,4.032393416702861,241.0874635019878,0.5960527585416155,inf,0.0,233.64590028293568,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0036148275,-5.006894e-07,48709.555,0.57954186,-264.70978,0.0,0.0,1.0,-7.769982995266697e-13,4.9686934e-12,2.495323e-16,0.0,0.0,0.0,7.479999999999999e-16,5.548956819165303e-14,4.191695068753948e-12,1349.6130686338795,9.596215333846398,8.964343021249866e-12,0.0036148275,-5.006894e-07,48709.555,0.57954186,-264.70978,0.0,0.0,0.0,-7.769982995266697e-13,4.9686934e-12,2.495323e-16,0.0,0.0,0.0,7.479999999999999e-16,5.548956819165303e-14,4.191695068753948e-12,1349.6130686338795,9.596215333846398,0.0
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,0.8369514759872355,34610D,268.16425,8.13431,-4.508027,177.63016860349825,73505.3530020307,0.3556637942653394,1.01366591845524,58.38108859122213,87.77153135047,1824.229698503725,0.0013775658719557,49718.84686406126,0.2737509421831863,0.4865090715935177,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5410949940638395,43.88570565593132,17.702950798358017,36.28235538999999,1450000000000000.0,27.0493735903298,889.69424473971,1829.12020699206,0.137756587196,0.029464836200555,0.50683295922762,43.885765675235,17.2012820902114,17.177618788806477,0.13775658719557,1.0,700745279623978.2,16.423508845726722,1099529119782562.4,0.0237478876081507,1.6796025806213753e-05,3.0968000000000004,35.8,2023-02-06 13:03:00,0.0013775658719557,0.2737511589776983,0.0,2,497.1884686406127,0.0013775658719557,8.13431,-4.508027,0.2737511589776983,0.7491308,4.133948e-06,0.6458960317145211,1171.8381449238104,9853.913159025033,-0.4250902117609422,-0.9051509884350992,3.644645935804434,239.92438612823565,0.2607820097457023,inf,0.0,230.68984347132263,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0013497984,-4.4822042e-07,58050.08,0.26605746,-266.40445,0.0,0.0,1.0,-7.213309301432712e-13,4.2284887e-12,2.4548783e-16,0.0,0.0,0.0,7.480000000000001e-16,4.6586536250346566e-14,3.507157571258657e-12,1349.5052627953908,9.853913159025034,5.065547109313811e-12,0.0013497984,-4.4822042e-07,58050.08,0.26605746,-266.40445,0.0,0.0,0.0,-7.213309301432712e-13,4.2284887e-12,2.4548783e-16,0.0,0.0,0.0,7.480000000000001e-16,4.6586536250346566e-14,3.507157571258657e-12,1349.5052627953908,9.853913159025034,0.0
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,0.8383112477313381,34610D,264.35104,8.299406,-2.6153793,188.40912426562684,73446.97191343947,0.3677138740925779,0.952310818890118,56.92856707018105,80.375318172614,1702.6668163487557,0.001904253120953,46295.246647158914,0.4904430926049225,0.4744047255848421,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.578054275086602,40.18718520868383,17.304547759067887,36.28235539,1450000000000000.0,25.6701872630024,882.323181913328,1809.88971509291,0.190425312095,0.0290017946708761,0.476155409445059,40.187659086307,16.4181360101559,16.38693114537947,0.1904253120953,1.0,685355584811302.0,15.702342256106098,1053990044480492.8,0.0225356421029765,1.6427153237621973e-05,3.0968000000000004,35.8,2023-02-06 13:04:00,0.001904253120953,0.490443627629739,0.0,3,462.9524664715892,0.001904253120953,8.299406,-2.6153793,0.490443627629739,0.61765015,2.6073549e-06,0.6100955084326077,1173.7417178069725,10648.381250946317,-0.028444387257436,-0.9995953765567092,3.4599243319240105,239.33126681575908,0.4501277076834295,inf,0.0,231.10151649954105,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0018494175,-1.8260053e-07,63558.273,0.48439467,-267.76218,0.0,0.0,1.0,-6.884999674192428e-13,3.7331336e-12,2.2501295000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,4.0553252537761723e-14,3.0446338139855484e-12,1349.3940802797767,10.648381250946317,3.920441446301858e-12,0.0018494175,-1.8260053e-07,63558.273,0.48439467,-267.76218,0.0,0.0,0.0,-6.884999674192428e-13,3.7331336e-12,2.2501295000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,4.0553252537761723e-14,3.0446338139855484e-12,1349.3940802797767,10.648381250946317,0.0
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,0.8395629093002248,34610D,260.64206,9.252224,-1.6718808,196.6045198750649,73390.04334636929,0.3738132659013161,1.009318796991882,55.755183581178855,82.989944568066,1873.128722929002,0.0018624139614254,43271.52378881695,0.6242438504611194,0.4646265298431571,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.607475070474656,41.495254195791134,17.12656584966364,36.28235539,1450000000000000.0,26.4881738793948,895.406336294785,1853.15565677911,0.186241396143,0.0301888303504962,0.504659398495941,41.494972284033,16.7167589017786,16.685683252333533,0.18624139614254,1.0,678466986279732.6,14.95057673134018,1007501134826788.4,0.0238494478912687,1.6262041774057105e-05,3.0968000000000004,35.8,2023-02-06 13:05:00,0.0018624139614254,0.6242441342655535,0.0,4,432.7152378881695,0.0018624139614254,9.252224,-1.6718808,0.6242441342655535,0.55092645,1.509501e-06,0.5783625159811743,1175.493921901881,11699.443548113244,0.3434220995131197,-0.939181165465961,3.265325874287573,238.6753172629712,0.5524674694594726,inf,0.0,231.1137911683004,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00181493,-1.0589011e-07,68678.445,0.5801789,-268.69394,0.0,0.0,0.9999999999999998,-6.57997412047143e-13,3.3143009e-12,2.1909987000000002e-16,0.0,0.0,0.0,7.480000000000002e-16,3.5499045637034446e-14,2.656303520883653e-12,1349.3861359670302,11.699443548113244,3.836503858998299e-12,0.00181493,-1.0589011e-07,68678.445,0.5801789,-268.69394,0.0,0.0,0.0,-6.57997412047143e-13,3.3143009e-12,2.1909987000000002e-16,0.0,0.0,0.0,7.480000000000002e-16,3.5499045637034446e-14,2.656303520883653e-12,1349.3861359670302,11.699443548113244,0.0
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,0.8408309070940077,34610D,256.5811,10.578092,-0.91761446,205.3011602235829,73334.28816278811,0.3826853390343735,0.96519883274928,54.449419923010495,77.8042122875314,1724.494827311012,0.0013152411157462,40127.88685142464,0.5939069092506979,0.4537451660250874,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6393464707646036,38.90245849878176,17.089628383216528,36.28235539,1450000000000000.0,25.413414203634,891.002342558025,1845.2827387686,0.131524111575,0.0300123583795345,0.48259941637464,38.9021061437657,16.0800231115368,16.05890178363723,0.13152411157462,1.0,664779419529083.0,14.151275727962922,957950606480208.2,0.0234361140162458,1.593396717826169e-05,3.0968000000000004,35.8,2023-02-06 13:06:00,0.0013152411157462,0.5939067319883884,0.0,5,401.2788685142464,0.0013152411157462,10.578092,-0.91761446,0.5939067319883884,0.493534,9.3969567e-07,0.5448338428593501,1177.2689979251384,12108.452584480176,0.3185508831008655,-0.947905762655581,3.070175569388186,237.9818066105784,0.5050316682466166,inf,0.0,230.176112515156,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012881059,-1.4454149e-07,74202.76,0.5729963,-268.04037,0.0,0.0,1.0,-6.250995453538517e-13,2.8965057e-12,2.2207925000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,3.0498359785498573e-14,2.2714061955662325e-12,1349.492997529177,12.108452584480178,3.082821979023243e-12,0.0012881059,-1.4454149e-07,74202.76,0.5729963,-268.04037,0.0,0.0,0.0,-6.250995453538517e-13,2.8965057e-12,2.2207925000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,3.0498359785498573e-14,2.2714061955662325e-12,1349.492997529177,12.108452584480178,0.0
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,0.8420518985105571,34610D,252.77011,10.73732,-1.2824482,212.96035504470944,73279.8387428651,0.3854885235074095,1.016608451155918,53.30794143210439,79.5797019121562,2012.2403520746927,0.0009421439972245,37395.86563801814,0.5690900023132711,0.4442328452675366,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6681794322798914,39.78992411725109,17.018328746067127,36.28235539,1450000000000000.0,25.937357666757,905.622417405732,1896.47909812804,0.0942143997225,0.0314505474354528,0.508304225577959,39.7898509560781,16.1620151961161,16.14680258298817,0.09421439972245,1.0,650176240680599.2,13.437246560993431,913604828863141.6,0.0250356605398074,1.5583946456147795e-05,3.0968000000000004,35.8,2023-02-06 13:07:00,0.0009421439972245,0.5690899578049399,0.0,6,373.9586563801814,0.0009421439972245,10.73732,-1.2824482,0.5690899578049399,0.43149912,9.751074e-07,0.5153951436568628,1178.978258273684,12362.382706523456,0.3153713420156264,-0.948968343326195,2.8732768834497,237.24137407659848,0.4660717215678173,inf,0.0,229.26569694247985,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0009249239,-1.09360215e-07,79477.305,0.5342328,-267.3756,0.0,0.0,1.0,-5.936852050241431e-13,2.592139e-12,2.1936735e-16,0.0,0.0,0.0,7.48e-16,2.6947267158946705e-14,1.998453831338132e-12,1349.595621895054,12.362382706523457,3.0518145548346597e-12,0.0009249239,-1.09360215e-07,79477.305,0.5342328,-267.3756,0.0,0.0,0.0,-5.936852050241431e-13,2.592139e-12,2.1936735e-16,0.0,0.0,0.0,7.48e-16,2.6947267158946705e-14,1.998453831338132e-12,1349.595621895054,12.362382706523457,0.0
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,0.843248762181483,34610D,248.15111,10.701648,-1.830293,218.8091670657208,73226.530801433,0.3931235737392883,0.936465805683736,52.23633202390016,72.7597837735804,1769.3280225998865,0.0005721846995973,34394.55476608665,0.500044769837238,0.4353027668658347,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6928905045271203,36.380751512599645,16.929924699376723,36.28235539,1450000000000000.0,24.2078089237968,893.498182083126,1868.93248220075,0.0572184699597,0.0307791309951557,0.468232902841868,36.3798918867902,15.2126745526234,15.20397507071488,0.05721846995973,1.0,644679142478091.8,12.441912938256383,853509154053434.5,0.0236270373793564,1.5452187590332598e-05,3.0968000000000004,35.8,2023-02-06 13:08:00,0.0005721846995973,0.5000448911516637,0.0,7,343.9455476608665,0.0005721846995973,10.701648,-1.830293,0.5000448911516637,0.3697475,1.0936614e-06,0.482854094575551,1180.6537359403717,12525.288811002994,0.3164648412131288,-0.9486042400685069,2.675067922706906,236.44921598554345,0.3912446226579491,inf,0.0,228.13517172186417,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00058233115,-9.956266e-08,85436.0,0.49898064,-266.39545,0.0,0.0,1.0,-5.581907539758566e-13,2.2799813e-12,2.1861212000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,2.3349889234015263e-14,1.7217905472032333e-12,1349.6993293676946,12.525288811002994,2.28577122929809e-12,0.00058233115,-9.956266e-08,85436.0,0.49898064,-266.39545,0.0,0.0,0.0,-5.581907539758566e-13,2.2799813e-12,2.1861212000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,2.3349889234015263e-14,1.7217905472032333e-12,1349.6993293676946,12.525288811002994,0.0
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,0.8444301207936118,34610D,243.98367,11.877735,0.18487746,223.21979270331985,73174.2944694091,0.3979403881746795,0.889488106851594,51.40033884844737,68.5742972757106,1554.3518487298893,0.0003847522219761,31913.2970959831,0.4764873167306039,0.4283361570703947,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.7128686884151879,34.28808786249552,16.81720965428623,36.28235539,1450000000000000.0,23.0658813070747,887.064640906765,1858.64316652215,0.0384752221976,0.0305842902982358,0.444744053425797,34.2871486378553,14.5415848819435,14.535992126674133,0.03847522219761,1.0,640281607917542.6,11.568821306965054,800895037546169.5,0.0228448843686392,1.5346783949223044e-05,3.0968000000000004,35.8,2023-02-06 13:09:00,0.0003847522219761,0.4764873698690475,0.0,8,319.1329709598311,0.0003847522219761,11.877735,0.18487746,0.4764873698690475,0.32976678,1.0910966e-06,0.4556730716871449,1182.307503786502,12767.491119874136,0.3175628898267308,-0.9482372124130624,2.5015396292590184,235.71185943500367,0.3577452843249325,inf,0.0,227.2906457312196,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0004258462,-1.5286867e-07,90814.63,0.50031024,-265.49838,0.0,0.0,1.0,-5.261483202659931e-13,2.087549e-12,2.2272112000000004e-16,0.0,0.0,0.0,7.48e-16,2.1268931827655577e-14,1.561400823016804e-12,1349.8035107524047,12.767491119874135,1.9036835806435373e-12,0.0004258462,-1.5286867e-07,90814.63,0.50031024,-265.49838,0.0,0.0,0.0,-5.261483202659931e-13,2.087549e-12,2.2272112000000004e-16,0.0,0.0,0.0,7.48e-16,2.1268931827655577e-14,1.561400823016804e-12,1349.8035107524047,12.767491119874135,0.0
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,0.8455902143552583,34610D,240.40173,13.008342,2.179952,227.6442002223061,73122.89413056064,0.4040882486028626,0.827770242080206,50.570703288362814,63.5426527818094,1340.202022162731,0.000316043878796,29850.23293677357,0.5330508744136793,0.4214225274030234,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.7323944130138422,31.770868116765747,16.67696205008317,36.28235539,1450000000000000.0,21.7453225445466,876.041087238323,1832.39888934864,0.0316043878796,0.0299475484731217,0.413885121040103,31.7713263909047,13.8203339552675,13.815967503308435,0.0316043878796,1.0,639351736032136.8,10.874075788722388,758554740852451.4,0.0216357636061421,1.5324496032860438e-05,3.0968000000000004,35.8,2023-02-06 13:10:00,0.000316043878796,0.5330514399010289,0.0,9,298.5023293677357,0.000316043878796,13.008342,2.179952,0.5330514399010289,0.31468114,1.0879654e-06,0.432566203252244,1183.9314971226509,12949.242679689742,0.3186547838849259,-0.94787083967556,2.363824614233531,235.09374829650545,0.3862664857694849,inf,0.0,226.8624429924243,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00030793928,-1.7352886e-07,95331.46,0.5208756,-265.08072,0.0,0.0,1.0,-4.992373317060757e-13,1.934873e-12,2.2431367e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9635578427909725e-14,1.4356357493868652e-12,1349.907665078165,12.94924267968974,1.542686049001263e-12,0.00030793928,-1.7352886e-07,95331.46,0.5208756,-265.08072,0.0,0.0,0.0,-4.992373317060757e-13,1.934873e-12,2.2431367e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9635578427909725e-14,1.4356357493868652e-12,1349.907665078165,12.94924267968974,0.0
