,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,0.6241975235011388,34610D,276.75574,4.29259,-0.047525562,158.08315494478754,74161.49554958189,0.2481754547824115,1.67183542227048,65.7300546439867,112.9401065452044,2736.5987514805847,0.0003402400278514,62250.43576468452,0.0415681737581389,0.5477504553665559,0.706713780918728,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.4740176203396976,56.47033719858569,19.02920470250012,101.70959137362952,1058036043344369.2,20.0273839947912,797.130766760298,1569.42509456122,0.0340240027851,0.023056058923824,0.83591771113524,56.4700532726022,36.2558802394228,36.24354873339232,0.03402400278514,1.0,674221180045611.2,0.03058870871991877,4.2304074042077564e-05,3.16,35.8,2023-08-06 13:01:00,0.00034024002785149776,0.041568237106349444,0.0,622.5043576468452,0,0.00034024002785149776,4.29259,-0.047525562,0.041568237106349444,0.0,0.0,0.7835887779269581,825.3724427140445,9537.146941901803,-0.4305476864931945,-0.9025678310550171,3.834430318636281,240.50666895315612,0.043037131758593514,inf,0.0,230.3205569719049,0.0,0.0,0.0,0 days,0.00033258088,-2.5606886e-07,41039.617,0.042374566,-293.83325,0.0,0.0,0.9999999999999999,-7.522270965046356e-13,5.8435656e-12,2.3067614e-16,0.0,0.0,0.0,7.479999999999999e-16,6.71660757507305e-14,5.091338431110015e-12,1031.2912026369463,9.537146941901803,1.5622044961083965e-11,0.00033258088,-2.5606886e-07,41039.617,0.042374566,-293.83325,0.0,0.0,0.0,-7.522270965046356e-13,5.8435656e-12,2.3067614e-16,0.0,0.0,0.0,7.479999999999999e-16,6.71660757507305e-14,5.091338431110015e-12,1031.2912026369463,9.537146941901803
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,0.625191974890304,34610D,270.70398,4.422705,2.2362144,168.0745975894355,74095.76549493789,0.25900520623680584,1.702818029517344,63.9735016298586,112.916157911347,3099.412106130847,0.0005347652509176,56095.647368712234,0.0967021868611814,0.5331125135821551,0.7067137809187282,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5095795409243177,56.45773229232521,18.646616553023136,97.03978368175372,927722088397988.8,20.0338373285445,803.974322655866,1593.31453720242,0.0534765250918,0.0236752923677449,0.851409014758672,56.4580789556735,35.9619218860683,35.94270097856085,0.05347652509176,1.0,666346227163840.0,0.03167224710335385,4.1809959351456625e-05,3.16,35.8,2023-08-06 13:02:00,0.0005347652509176166,0.09670231375859802,0.0,560.9564736871223,1,0.0005347652509176166,4.422705,2.2362144,0.09670231375859802,0.0,0.0,0.721899884191841,826.6875735150427,9596.215333846398,-0.42451417959346743,-0.9054212894139861,3.506402794448416,239.4830950082794,0.0944259547540722,inf,0.0,229.59139906380517,0.0,0.0,0.0,0 days,0.0005215891,-2.4892955e-07,49211.97,0.096290715,-294.54257,0.0,0.0,0.9999999999999999,-7.126816935293698e-13,4.8434247e-12,2.3012583e-16,0.0,0.0,0.0,7.479999999999999e-16,5.4677783380134193e-14,4.130742888786052e-12,1030.7208682953956,9.596215333846398,1.3366771721195801e-11,0.0005215891,-2.4892955e-07,49211.97,0.096290715,-294.54257,0.0,0.0,0.0,-7.126816935293698e-13,4.8434247e-12,2.3012583e-16,0.0,0.0,0.0,7.479999999999999e-16,5.4677783380134193e-14,4.130742888786052e-12,1030.7208682953956,9.596215333846398
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,0.6261765505895402,34610D,264.22025,3.9413521,-2.424166,174.60359772235492,74031.79199330804,0.26460195361170086,1.352927183646152,61.83249897137733,88.225823330945,1796.570802304431,0.0008548548865481,49718.84686406126,0.2391890948725593,0.5152708247614778,0.706713780918728,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5358304138556048,44.113231662345925,18.138557456656063,91.4943750097808,786261656925517.5,16.399863346151,769.083990176075,1527.33771715807,0.0854854886548,0.0224409775721145,0.676463591823076,44.1129116654725,30.144123162605,30.118376321431725,0.08548548865481,0.8873082653793616,867712687519701.1,0.024567799203666623,3.6155311211745246e-05,3.16,35.8,2023-08-06 13:03:00,0.0008548548865481648,0.23918902217829852,0.0,497.18846864061265,2,0.0008548548865481648,3.9413521,-2.424166,0.23918902217829852,0.0,0.0,0.6555372834697597,827.989646305055,9853.913159025033,-0.4250902117609422,-0.9051509884350993,3.132320592523955,238.20678435417403,0.21924611810364716,inf,0.0,228.94161361285578,0.0,0.0,0.0,0 days,0.000838322,-1.1700232e-07,58454.457,0.22715963,-294.26193,0.0,0.0,1.0,-6.680106338367815e-13,3.906652e-12,2.1995643e-16,0.0,0.0,0.0,7.480000000000001e-16,4.307029285700123e-14,3.2386412635687783e-12,1030.1555875492763,9.853913159025034,6.45884365700751e-12,0.000838322,-1.1700232e-07,58454.457,0.22715963,-294.26193,0.0,0.0,0.0,-6.680106338367815e-13,3.906652e-12,2.1995643e-16,0.0,0.0,0.0,7.480000000000001e-16,4.307029285700123e-14,3.2386412635687783e-12,1030.1555875492763,9.853913159025034
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,0.627121519151856,34610D,260.221,5.3827786,-5.3499656,185.4759226329771,73969.95949433667,0.2742272779287226,1.276564459270972,60.50167561724977,81.2170667751026,1674.8811284775277,0.0008017577023123,46295.246647158914,0.2986997662161216,0.504180630143748,0.706713780918728,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5735530019279313,40.608835168054405,17.954274758739295,88.54766529163028,729655298889021.6,15.5358917859673,761.863974173145,1515.74618913976,0.0801757702312,0.0222543438359685,0.638282229635486,40.6085333875513,28.6812423830652,28.658265398047405,0.08017577023123,0.8514639519837401,927960209316493.4,0.023276084865724887,3.408850507482937e-05,3.16,35.8,2023-08-06 13:04:00,0.0008017577023123206,0.2987002191501534,0.0,462.95246647158916,3,0.0008017577023123206,5.3827786,-5.3499656,0.2987002191501534,0.0,0.0,0.619778504246347,829.2393473464596,10648.381250946317,-0.028444387257436043,-0.9995953765567092,2.9551771145384684,237.55464839538422,0.2632638970774019,inf,0.0,228.53942051375583,0.0,0.0,0.0,0 days,0.0007835794,-8.165051e-08,63878.246,0.28952545,-293.6846,0.0,0.0,1.0,-6.417783490109637e-13,3.4352436e-12,2.1723139e-16,0.0,0.0,0.0,7.480000000000001e-16,3.7280278755581186e-14,2.7934651814909128e-12,1029.5726011705922,10.648381250946317,4.980204702539974e-12,0.0007835794,-8.165051e-08,63878.246,0.28952545,-293.6846,0.0,0.0,0.0,-6.417783490109637e-13,3.4352436e-12,2.1723139e-16,0.0,0.0,0.0,7.480000000000001e-16,3.7280278755581186e-14,2.7934651814909128e-12,1029.5726011705922,10.648381250946317
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,0.6282811055242865,34610D,256.20474,5.0131516,-6.2197466,194.2222310252703,73909.45781871941,0.2822689936778279,1.269565850665766,59.54611601708797,79.3964175890498,1839.6010215065032,0.0006349815336867,43271.52378881695,0.3202748175834963,0.496217633475733,0.7067137809187282,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6052886929861491,39.69823955551409,17.85375880315473,86.34180084577947,677268336178388.1,15.3369553090782,762.251874844663,1522.93025971821,0.0634981533687,0.0224781421682952,0.634782925332883,39.6982087945249,28.2400084749098,28.22208797020664,0.06349815336867,0.853356051978876,927491220110513.4,0.02330475629763925,3.42981303921819e-05,3.16,35.8,2023-08-06 13:05:00,0.0006349815336867567,0.3202751117035748,0.0,432.7152378881695,4,0.0006349815336867567,5.0131516,-6.2197466,0.3202751117035748,0.0,0.0,0.588379424955667,830.7728369309494,11699.443548113244,0.3434220995131197,-0.939181165465961,2.792709734302726,236.92539539580136,0.27133933011140765,inf,0.0,228.0005143032047,0.0,0.0,0.0,0 days,0.0006217731,-1.3950405e-07,68910.49,0.2930708,-293.3294,0.0,0.0,0.9999999999999998,-6.175208957915303e-13,3.0327403e-12,2.2169093e-16,0.0,0.0,0.0,7.480000000000002e-16,3.2367544373950234e-14,2.415219495365345e-12,1029.530945105393,11.699443548113244,4.287534758537555e-12,0.0006217731,-1.3950405e-07,68910.49,0.2930708,-293.3294,0.0,0.0,0.0,-6.175208957915303e-13,3.0327403e-12,2.2169093e-16,0.0,0.0,0.0,7.480000000000002e-16,3.2367544373950234e-14,2.415219495365345e-12,1029.530945105393,11.699443548113244
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,0.6298083091740656,34610D,251.76047,3.3701034,-5.6031094,199.9909165944094,73849.91170270233,0.2870169905396089,1.17260053362218,58.67621083269864,72.4150544964316,1696.0676225832158,0.0003566710582769,40127.886851424635,0.2548826869156221,0.488968423605822,0.7067137809187279,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6287438037547894,36.20738810583719,17.777064940827184,84.13690287106739,614912197317419.0,14.2625547015736,750.615414885236,1504.01864203862,0.0356671058277,0.0221656380324004,0.58630026681109,36.2075272482158,26.4508635372495,26.441432643486188,0.03566710582769,0.7981244331593168,884849254120327.1,0.021629990509854428,3.140471756859816e-05,3.16,35.8,2023-08-06 13:06:00,0.00035667105827692737,0.2548828698731057,0.0,401.2788685142464,5,0.00035667105827692737,3.3701034,-5.6031094,0.2548828698731057,0.0,0.0,0.5552661492810178,832.7924256798228,12108.452584480177,0.3185508831008655,-0.947905762655581,2.606442911533377,236.16281883717616,0.20667157345362852,inf,0.0,227.02501673038898,0.0,0.0,0.0,0 days,0.00035141048,-2.8087112e-07,74332.484,0.24876574,-293.27173,0.0,0.0,1.0,-5.914486801687571e-13,2.630724e-12,2.3258797e-16,0.0,0.0,0.0,7.480000000000001e-16,2.7491166572228622e-14,2.0392752768799374e-12,1030.0912745312264,12.108452584480178,3.1033697380205545e-12,0.00035141048,-2.8087112e-07,74332.484,0.24876574,-293.27173,0.0,0.0,0.0,-5.914486801687571e-13,2.630724e-12,2.3258797e-16,0.0,0.0,0.0,7.480000000000001e-16,2.7491166572228622e-14,2.0392752768799374e-12,1030.0912745312264,12.108452584480178
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,0.6312778966063217,34610D,249.1944,0.7512459,0.06570715,203.04788955648485,73791.23549186962,0.2904301967896157,1.270048638901164,56.66623607340985,78.1708944769298,1989.818849635702,9.701373047958318e-05,37395.86563801814,0.0830924942133276,0.472218633945082,0.7067137809187282,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6416327698161168,39.08539584260253,17.52775830533475,79.92081120129593,559727957672642.8,14.9627316101846,769.39162596445,1553.78349431284,0.00970137304796,0.02329706628488,0.635024319450582,39.0854472384649,27.2576946678784,27.25505055374977,0.0097013730479583,0.8888464704589613,836002964059367.5,0.02428932237611262,3.502361584868984e-05,3.16,35.8,2023-08-06 13:07:00,9.701373047958318e-05,0.0830925778389122,0.0,373.9586563801814,6,9.701373047958318e-05,0.7512459,0.06570715,0.0830925778389122,0.0,0.0,0.5227905890164908,834.7358296255459,12362.382706523455,0.31537134201562644,-0.948968343326195,2.4401264035289905,235.44003267265845,0.06568772576823369,inf,0.0,225.81746176481496,0.0,0.0,0.0,0 days,0.00019184794,-3.207121e-07,79527.65,0.14878263,-293.11023,0.0,0.0,1.0,-5.664470328533563e-13,2.4144814e-12,2.3565907e-16,0.0,0.0,0.0,7.48e-16,2.5008106829196988e-14,1.8480344438419407e-12,1030.6293861857162,12.362382706523455,3.42055882962344e-12,0.00019184794,-3.207121e-07,79527.65,0.14878263,-293.11023,0.0,0.0,0.0,-5.664470328533563e-13,2.4144814e-12,2.3565907e-16,0.0,0.0,0.0,7.48e-16,2.5008106829196988e-14,1.8480344438419407e-12,1030.6293861857162,12.362382706523455
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,0.6327278065253386,34610D,246.14526,0.010657249,3.5791883,206.9774173812759,73734.56925579622,0.29256576648329885,1.212575414896888,54.38141136851634,73.7548766770236,1760.3132256493636,5.376623528667144e-05,34394.55476608665,0.0575075746611004,0.4531784280709695,0.7067137809187279,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.658088718833534,36.87705858945154,17.15438376464749,75.2921011852083,501636295957288.6,14.1631411854924,767.432841300735,1559.39472526743,0.00537662352867,0.0235385223859359,0.606287707448444,36.8774383385118,25.7572543215668,25.755869525425886,0.0053766235286671,0.8790481021439016,834107146096731.2,0.023641266690043742,3.37580174036052e-05,3.16,35.8,2023-08-06 13:08:00,5.3766235286671446e-05,0.0575075972226241,0.0,343.9455476608665,7,5.3766235286671446e-05,0.010657249,3.5791883,0.0575075972226241,0.0,0.0,0.48678889667413444,836.653214902991,12525.288811002994,0.3164648412131288,-0.9486042400685067,2.250978149096587,234.56303803156317,0.04411057055006301,inf,0.0,224.94293422678695,0.0,0.0,0.0,0 days,5.3219053e-05,-3.4848975e-07,85412.16,0.05748504,-293.95126,0.0,0.0,1.0,-5.380997189516313e-13,2.1972433e-12,2.3780026e-16,0.0,0.0,0.0,7.480000000000001e-16,2.255466510450858e-14,1.6591434497294876e-12,1031.1731771188815,12.525288811002994,2.853741874748537e-12,5.3219053e-05,-3.4848975e-07,85412.16,0.05748504,-293.95126,0.0,0.0,0.0,-5.380997189516313e-13,2.1972433e-12,2.3780026e-16,0.0,0.0,0.0,7.480000000000001e-16,2.255466510450858e-14,1.6591434497294876e-12,1031.1731771188815,12.525288811002994
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,0.6341682629673775,34610D,243.48206,0.34884724,3.2885988,211.2918197603533,73680.1878444277,0.29502431252785805,1.175238960595596,52.34465760066209,70.612687790869,1554.0755929107088,4.434346839523103e-05,31913.2970959831,0.0578444929662611,0.4362054800055174,0.706713780918728,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6754705560026029,35.30670063952048,16.81373457386726,71.34767348880663,456776677101376.4,13.5952757037384,767.648069723693,1568.69460883019,0.00443434683952,0.0238450150677421,0.587619480297798,35.3063438954345,24.6432840838394,24.64219136360548,0.0044343468395231,0.880125176870084,810984579908361.5,0.02338738129683292,3.294690152381069e-05,3.16,35.8,2023-08-06 13:09:00,4.434346839523103e-05,0.057844445391864445,0.0,319.1329709598311,8,4.434346839523103e-05,0.34884724,3.2885988,0.057844445391864445,0.0,0.0,0.4566118273781761,838.5581006970882,12767.491119874136,0.31756288982673087,-0.9482372124130625,2.0958570854850556,233.79372687197633,0.043214246621736306,inf,0.0,224.24043791222178,0.0,0.0,0.0,0 days,4.7259302e-05,-3.5439444e-07,90770.93,0.0636871,-295.18845,0.0,0.0,0.9999999999999999,-5.122677439230992e-13,2.0571028e-12,2.382554e-16,0.0,0.0,0.0,7.48e-16,2.10691100753816e-14,1.544834973927001e-12,1031.7252139766993,12.767491119874135,2.547657956285109e-12,4.7259302e-05,-3.5439444e-07,90770.93,0.0636871,-295.18845,0.0,0.0,0.0,-5.122677439230992e-13,2.0571028e-12,2.382554e-16,0.0,0.0,0.0,7.48e-16,2.10691100753816e-14,1.544834973927001e-12,1031.7252139766993,12.767491119874135
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,0.6355959325766289,34610D,240.81728,1.2301964,1.7615767,216.53841372747763,73627.84318682704,0.29872906060975424,1.10181126091851,50.764088384175885,65.4080448687692,1344.5634996277072,4.421297511103392e-05,29850.23293677357,0.0713496469056562,0.4230340698681323,0.7067137809187282,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6960626832383561,32.70422291887272,16.54812869134218,68.37755279792393,422515461716185.5,12.7785556527995,760.500158473472,1558.30936599643,0.0044212975111,0.0236939276479826,0.550905630459255,32.7040224343846,23.2509206005853,23.24989265366007,0.0044212975111033,0.8448330531227748,844756804283512.4,0.02211951945181853,3.078928426443444e-05,3.16,35.8,2023-08-06 13:10:00,4.421297511103392e-05,0.07134971149663252,0.0,298.5023293677357,9,4.421297511103392e-05,1.2301964,1.7615767,0.07134971149663252,0.0,0.0,0.4318197747328226,840.446079316282,12949.242679689742,0.3186547838849259,-0.9478708396755601,1.97072471480515,233.13551235891646,0.05191550976575808,inf,0.0,223.67223276039152,0.0,0.0,0.0,0 days,4.2618325e-05,-3.221852e-07,95276.74,0.070484094,-296.1301,0.0,0.0,1.0,-4.905339788836013e-13,1.944042e-12,2.3577263e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9879375692593768e-14,1.4535079287803563e-12,1032.2881461128534,12.94924267968974,2.1254532154493894e-12,4.2618325e-05,-3.221852e-07,95276.74,0.070484094,-296.1301,0.0,0.0,0.0,-4.905339788836013e-13,1.944042e-12,2.3577263e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9879375692593768e-14,1.4535079287803563e-12,1032.2881461128534,12.94924267968974
