TT3;PT3;FAR;
[K];[bar];[-];
434,09;2,67749;9,55E-03;
439,56;2,78325;9,55E-03;
443,13;2,85357;9,60E-03;
446,1;2,91248;9,67E-03;
448,77;2,96605;9,74E-03;
451,27;3,01661;9,81E-03;
453,66;3,06556;9,89E-03;
455,97;3,11321;9,97E-03;
458,21;3,15999;1,01E-02;
460,4;3,20617;1,01E-02;
462,56;3,25209;1,02E-02;
464,67;3,29772;1,03E-02;
466,79;3,34381;1,04E-02;
468,86;3,38933;1,05E-02;
470,93;3,43543;1,06E-02;
473,01;3,48208;1,07E-02;
475,05;3,52846;1,07E-02;
477,11;3,57564;1,08E-02;
479,15;3,62295;1,09E-02;
481,2;3,67074;1,10E-02;
483,26;3,71942;1,11E-02;
485,3;3,76806;1,12E-02;
487,36;3,81781;1,13E-02;
489,45;3,86872;1,14E-02;
491,57;3,92088;1,14E-02;
493,7;3,97395;1,15E-02;
495,84;4,02794;1,16E-02;
497,99;4,08283;1,17E-02;
500,14;4,13849;1,18E-02;
502,26;4,1938;1,19E-02;
504,33;4,24817;1,20E-02;
506,39;4,30288;1,21E-02;
508,45;4,3581;1,22E-02;
510,56;4,41542;1,22E-02;
512,64;4,47279;1,23E-02;
514,77;4,53197;1,24E-02;
516,91;4,59239;1,25E-02;
519,09;4,65469;1,26E-02;
521,26;4,71735;1,27E-02;
523,47;4,78223;1,28E-02;
525,7;4,84879;1,29E-02;
527,97;4,91716;1,30E-02;
530,27;4,98796;1,30E-02;
532,6;5,06031;1,31E-02;
534,95;5,13486;1,32E-02;
537,35;5,21165;1,33E-02;
539,77;5,29073;1,34E-02;
542,29;5,37455;1,35E-02;
544,75;5,46185;1,35E-02;
547,35;5,55698;1,36E-02;
550;5,65565;1,37E-02;
552,69;5,75825;1,38E-02;
555,43;5,86524;1,39E-02;
558,23;5,97719;1,39E-02;
561,11;6,09514;1,40E-02;
564,07;6,21941;1,41E-02;
567,11;6,35109;1,42E-02;
570,3;6,49329;1,42E-02;
573,56;6,64343;1,43E-02;
576,99;6,80663;1,43E-02;
580,65;6,98677;1,44E-02;
583,77;7,1434;1,45E-02;
587,12;7,31833;1,45E-02;
590,62;7,50782;1,46E-02;
594,31;7,71529;1,46E-02;
598,24;7,94571;1,47E-02;
602,5;8,20677;1,47E-02;
607,2;8,51165;1,48E-02;
612,42;8,87246;1,48E-02;
617,58;9,26566;1,48E-02;
621,41;9,52856;1,48E-02;
625,78;9,82845;1,49E-02;
629,11;10,05077;1,49E-02;
632,49;10,28255;1,50E-02;
635,89;10,5211;1,51E-02;
639,02;10,74353;1,51E-02;
642,34;10,98602;1,52E-02;
645,38;11,21347;1,53E-02;
648,6;11,45899;1,53E-02;
651,93;11,71969;1,54E-02;
654,99;11,96434;1,55E-02;
658,41;12,24654;1,55E-02;
661,55;12,51124;1,56E-02;
664,81;12,78247;1,57E-02;
667,51;12,98828;1,57E-02;
670,22;13,19686;1,58E-02;
672,79;13,39537;1,59E-02;
675,5;13,60676;1,60E-02;
678,22;13,82191;1,61E-02;
680,92;14,04008;1,62E-02;
683,63;14,26264;1,62E-02;
686,33;14,48751;1,63E-02;
688,82;14,69412;1,64E-02;
691,19;14,89282;1,65E-02;
693,45;15,08211;1,66E-02;
695,71;15,27452;1,67E-02;
697,98;15,47011;1,68E-02;
700,27;15,66895;1,69E-02;
702,54;15,86812;1,70E-02;
704,79;16,06751;1,71E-02;
707,33;16,28688;1,72E-02;
709,96;16,51442;1,73E-02;
712,59;16,74542;1,73E-02;
715,21;16,97836;1,74E-02;
717,84;17,21448;1,75E-02;
720,73;17,4783;1,76E-02;
723,24;17,70964;1,77E-02;
725,76;17,94455;1,78E-02;
728,54;18,20764;1,79E-02;
731,02;18,43934;1,79E-02;
733,76;18,69731;1,80E-02;
736,51;18,95894;1,81E-02;
739,01;19,19883;1,82E-02;
741,36;19,43524;1,83E-02;
743,83;19,68686;1,84E-02;
746,3;19,94223;1,85E-02;
748,78;20,20141;1,86E-02;
751,44;20,48422;1,87E-02;
753,96;20,75321;1,88E-02;
756,12;20,98543;1,89E-02;
758,59;21,25362;1,89E-02;
760,98;21,51434;1,90E-02;
763,02;21,74015;1,91E-02;
765,41;22,00632;1,92E-02;
767,79;22,27544;1,93E-02;
769,84;22,50846;1,94E-02;
772,22;22,78308;1,95E-02;
