,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,-0.892704312693709,34610D,254.47546,19.26317,1.1697904,160.09911456534337,70444.71606186748,0.2980989356682731,1.0872635898916292,65.23581539349775,87314.38476551704,1619.8693747777083,2023-02-05 15:00:00,0.001046946580024,0.7305820758235784,1.049557758043218,0.5436317949458146,0.6179258429934869,0.0169085592839039,0.0002920616091842,6.034319534562495e-05,2.248283787071706e-05,1419921614189324.2,206.07994082805936,80.69670364175671,0.0782829784721972,0.001597611805555,0.0013047163078699,1.1030436520147675,0.0190528772202734,0.0039365375518209,0.001466686260856,9.262974429649208e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.971569352206792,2.974826236600012,0.5006372602159741,43.65719238275852,16.908559283903905,22.482837870717063,1419921614189324.2,28.9977354185482,783.899401285905,1266.84729910044,0.104694658002,0.0209653838476717,0.420762002319832,43.6571906350665,20.0693679341607,20.04837835300899,14.942933363496161,0.6070531316874869,1.3517776971858042,495935331549697.4,5.177659359162858,19.920401119516974,1379341625082313.2
1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,-0.8928570849402653,34610D,250.84149,21.204838,1.4314767,173.0853477161916,70379.48024647399,0.307386407002288,1.234270356447965,74.0562213868779,94539.67619305328,1946.4430043052373,2023-02-05 15:01:00,0.0007837934939888,0.6833994069049528,1.0432300611541712,0.6171351782239825,0.71665965191972,0.0179692780917859,0.0002981502732017,6.301424929765181e-05,2.8456631820464715e-05,1567570226113488.5,233.94360336114724,91.60754585556796,0.0888674656642534,0.00181362174825,0.0014811244277375,1.3307368365276715,0.0220798826387845,0.0046665971965148,0.0021073906260212,1.1608832770453874e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,21.319827007584887,3.1812637094362195,0.5451522734425337,47.26983809652664,17.969278091785906,28.45663182046471,1567570226113488.5,31.441810572225,801.906950463531,1305.02225501104,0.0783793493989,0.0220225440526668,0.471160503215249,47.26952867958,21.3944629688773,21.377707261009725,14.95959963459966,0.6682285013638897,1.4554718397596826,626930639040263.0,7.16189774980675,19.719998284073807,1341418313917447.5
2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,-0.8930668454801742,34610D,246.8699,24.63685,2.0918274,187.64884095824056,70305.42402508711,0.3129279120173855,1.394352744005758,83.66116464034549,100288.36011058184,2301.585390614613,2023-02-05 15:02:00,0.0005914034739898,0.6299442896063308,1.0765848639780995,0.6971763720028791,0.8362263264251161,0.0190293287978198,0.0003073562191664,6.651174403177329e-05,3.628235539e-05,1450000000000000.0,264.2856190988514,103.48886066010738,0.1003933975684145,0.0020488448483349,0.0016732232928069,1.5920158095496724,0.0257137792549147,0.0055644499679587,0.0030354241078223,1.2130868872850096e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.35552081291529,3.340106989265683,0.5957568380443659,50.14418005529092,19.02932879781983,36.28235539,1450000000000000.0,33.5187767480681,820.500740342359,1345.97061430045,0.059140347399,0.0231822906885336,0.519558522886285,50.1438069546552,22.4118716250619,22.398625000424055,14.97124762720945,0.7351884697717226,1.5711305934718527,764362695344891.4,9.416389065705449,19.438577207161135,1296166957009118.0
3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,-0.8932848587945481,34610D,243.15067,29.481411,0.7601789,202.6449246638375,70221.76286044676,0.3244961070289326,1.1122290585708945,66.73374351425366,76815.25125731583,1201.7771465713736,2023-02-05 15:03:00,0.0004138094217253,0.5712403748956332,1.0000835572502202,0.5561145292854471,0.7034782983627863,0.0172422223777101,0.0003230123431012,6.807523288475189e-05,2.856336494236806e-05,1565966714672728.5,210.8118957615273,82.54964072713179,0.0800804922171043,0.0016342957595327,0.001334674870285,1.150638045769836,0.0215558228564592,0.0045429151310041,0.001906140269968,1.045028210888283e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.30025124648134,2.8870510611647413,0.6482689616981916,38.40762562865792,17.24222237771018,28.56336494236806,1565966714672728.5,28.2182181246548,794.962172596823,1284.25663010856,0.0413809421725,0.0213960241865853,0.414326460230761,38.4073646292994,19.3646472175205,19.356637258649954,14.95642544389556,0.6440840216185609,1.3908251539703096,506713717385089.9,5.602685357031418,18.83263091249285,1241005504481108.8
4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,-0.8935208791894627,34610D,241.55566,31.569008,-0.866209,215.23955653853267,70155.0291169325,0.3283995357857934,1.01010063732887,60.60603823973219,66469.82711984352,1206.56441601735,2023-02-05 15:04:00,0.0003313930169576,0.5424921360051816,0.8989071507230835,0.505050318664435,0.6636444477982854,0.0165673714608046,0.0003331661015464,6.959171693962341e-05,2.552002525755419e-05,1563277633229453.5,191.454474799314,74.96966930254872,0.0727272458876786,0.0014842295079118,0.0012121207647946,1.0040827482853762,0.0201918774905095,0.0042176782580114,0.0015466676266382,9.47440640188223e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.9894350376914,2.692453682503205,0.6908292188664317,33.234913559921765,16.56737146080468,25.520025257554188,1563277633229453.5,26.0273476829269,786.358093141396,1259.52438529191,0.0331393016958,0.0206480656435186,0.372753033491714,33.235303020372,18.0526854150486,18.046704863077885,14.952503822427463,0.6151339610007033,1.332538009409282,413506737479715.9,4.375230429943637,19.390168716120453,1221761533430969.8
5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,-0.8938107273891708,34610D,240.3006,32.45962,-2.0696774,218.4325250287104,70094.42307869278,0.3303134262526334,0.9750815002716176,58.504890016297054,63595.92605330156,1807.384365281177,2023-02-05 15:05:00,0.0002018370731228,0.5149267974234382,0.5936058863282134,0.4875407501358088,0.6639337567023554,0.0163150933799342,0.0003453790185029,7.214756135656235e-05,2.57126192314404e-05,1572368117901918.0,184.8169475614824,72.37054895015946,0.0702058680195564,0.0014327728167256,0.0011700978003259,0.9545127437986676,0.0202063614914511,0.0042209851421097,0.0015043139601663,9.199122380298371e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.354888868542602,2.599730470307792,0.7029057311982293,31.79796302665078,16.315093379934215,25.7126192314404,1572368117901918.0,25.0962400687699,785.807691030678,1258.34500229963,0.0201837073123,0.0206219238754094,0.359104551555024,31.7979154995232,17.4137269502404,17.410212923821412,14.952398963282684,0.6133037743226941,1.3197148759105002,392171922842356.75,4.137123260858002,18.2756671411819,1185800393325838.0
6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,-0.8942501981960274,34610D,238.0822,34.77187,-3.9752293,211.5087532343605,70035.91818867649,0.3302653481508356,0.9943110006563998,59.65866003938399,66963.2257901703,1410.3103343491673,2023-02-05 15:06:00,0.0001043866586997,0.4759628928252322,0.3602271460001657,0.4971555003281999,0.703347212053074,0.0163602563512574,0.0003629607052019,7.649221633352709e-05,3.0200662838643824e-05,1541368671799140.0,188.461707064414,73.797762468718,0.0715903920472607,0.0014610284091277,0.0011931732007876,0.9760309718168432,0.0216537493192994,0.0045634231299009,0.0018017310772547,9.195598958622173e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.14375305526239,2.569773379190346,0.683788968696026,33.48161289508515,16.360256351257483,30.200662838643822,1541368671799140.0,25.021109138691,791.965030335854,1280.66437724202,0.01043866587,0.0213492283950643,0.367023546092015,33.4816710364194,17.1914197225445,17.189625354989392,14.959998799502863,0.633839947103925,1.3395336999342233,427436726881565.3,4.656144156051978,14.916408012601817,1104609428543363.0
7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,-0.8948660229373094,34610D,236.36533,37.315983,-5.450317,214.66979929688827,69976.25952863709,0.328578337368935,0.8171590801134234,49.02954480680541,53945.35388951092,719.0624369994422,2023-02-05 15:07:00,7.853817010130945e-05,0.4473909919617161,0.3073568340821648,0.4085795400567117,0.6003753713507759,0.0149552705014874,0.0003774946215939,7.765152933661437e-05,2.4031752864343537e-05,1493030796810122.0,154.88433204469823,60.64954692601829,0.0588354537681664,0.0012007235462891,0.0009805908961361,0.733250105150574,0.0185083894637667,0.0038072191369264,0.0011782659038484,7.320262035014226e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,14.94347124214778,2.240347053435847,0.6965243080835491,26.97267694475546,14.955270501487448,24.03175286434353,1493030796810122.0,21.3524402702021,770.068610125447,1231.68622632357,0.00785381701013,0.0199978413790777,0.299804760914738,26.9734046374512,14.9918561324525,14.990678791971602,14.952787829175652,0.5631124304777412,1.2099289170094245,290996536527324.56,2.796218299728042,13.892761453642787,1037711363070831.8
8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,-0.8955159384713993,34610D,235.14964,39.075047,-6.111007,216.9463369449932,69927.22998383029,0.3142076761087166,1.3411564623487349,80.46938774092409,85386.36564098785,2493.091052715812,2023-02-05 15:08:00,8.218169943951904e-05,0.4334051238880015,0.356437061818495,0.6705782311743674,1.0,0.0210120383962909,0.000383344880519,8.31391124059692e-05,3.628235539e-05,1450000000000000.0,254.2027958735792,99.54063263552312,0.0965632652891089,0.0019706788834512,0.0016093877548184,1.6908258649383192,0.0308475278289859,0.0066901534726322,0.0029196189240319,1.1668061222433994e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.17226100941355,2.874263542420181,0.705728061856932,42.69318282049392,21.01203839629093,36.28235539,1450000000000000.0,29.347209378128,838.772464751554,1397.88982261551,0.00821816994395,0.024837077015244,0.47693439789688,42.6931791749967,19.2025171723773,19.20093920656247,14.977608528920866,0.8027162583293747,1.6203803141787074,732173858581995.0,9.573215794362694,13.482798131078582,1010246489127135.4
9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,-0.8961483511962038,34610D,230.06575,42.65224,-7.7639313,221.9383008568457,69846.76059608937,0.3151267890066423,1.279458318589448,76.76749911536687,78353.5481653403,2271.604079206005,2023-02-05 15:09:00,8.204199867240185e-05,0.3876339764052093,0.5673256377858372,0.639729159294724,0.9884669733799256,0.0202994015262729,0.0003996746063266,8.668067244359187e-05,3.628235539e-05,1450000000000000.0,242.50852970544395,94.96139640570884,0.0921209989384402,0.0018800203864987,0.0015353499823073,1.5583342887106335,0.030682019987613,0.0066542584451328,0.0027853056853052,1.1131287371728195e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.856878381968393,2.677066743302752,0.7299001734380552,39.17677408267015,20.29940152627292,36.28235539,1450000000000000.0,27.2290176583667,831.145514310098,1388.54295400307,0.00820419986724,0.024660076887167,0.441022055070975,39.1768348379777,17.8840502845505,17.88258316168649,14.978450495371007,0.774267409344152,1.5448597385157978,658916077338632.9,8.415893184131514,11.866511582384538,903409255957609.0
