,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,fuel_flow_corrected,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,0.5745643239844552,34610D,282.31635,3.619566,-1.0806373,97.45931502301993,66707.31994714624,0.27484695189096153,0.8950119232888125,59.97368054606283,111.3127285535168,1604.5432665396745,0.0081650352006261,89976.97737353944,0.9314736892646632,0.4997806712171903,0.6619002990754458,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,27.09509792669234,3.843032260667996,0.2893427250488316,55.65556988348672,14.27032292284585,19.19389073840994,1264682470972678.8,29.1102149517719,796.758651102201,1178.90219561144,0.816503520063,0.0177984974862429,0.428399459739115,55.6563642767584,24.0694170994063,23.874481120659432,16.91332355667687,0.6679061026429077,596666543376291.6,0.8950119232888125,0.0010784990240006764,6.8133457699039866e-06,2.8440000000000003,35.8,2023-08-06 08:02:00,0.008165035200626137,0.9314731726974753,0.0,0,899.7697737353944,0.008165035200626137,3.619566,-1.0806373,0.9314731726974753,1.200884,0.0,1.1102935527775857,759.6950987590254,6667.509382517012,0.9966805091004685,0.0814123011542548,6.27249774602309,246.33023104088127,1.0172055361559966,inf,0.0,246.33023104088127,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.008001971,7.3999786e-07,9093.215,0.9964171,-239.58539,0.0,0.0,1.0000000000000002,-9.380908575848492e-13,8.419507e-12,2.6797902e-16,0.0,0.0,0.0,7.48e-16,9.827438929663557e-14,7.481416176044796e-12,1125.9308969163997,4.3329496468964377e-13,1.1423817627332223e-13,7.61587841822148e-15,0.0,0.008001971,7.3999786e-07,9093.215,0.9964171,-239.58539,0.0,0.0,0.0,-9.380908575848492e-13,8.419507e-12,2.6797902e-16,0.0,0.0,0.0,7.48e-16,9.827438929663557e-14,7.481416176044796e-12,1125.9308969163997,4.3329496468964377e-13,1.1423817627332223e-13,7.61587841822148e-15,0.0
1,1,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,0.576479640416244,34610D,279.52682,2.410394,-1.5867606,115.95477674336394,66647.34626660019,0.33286769362119045,1.0147151252387197,79.28311183677951,128.4622647129626,2687.092900538061,0.0072184304215996,84781.45509278591,0.9639531207565896,0.6606925986398293,0.9006998191263516,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.37284384188241,3.19442975967642,0.3459665293971873,64.23109135163588,17.174229850315914,31.26358814220061,1525399749926227.2,33.8711272120417,830.134500028648,1303.18602476801,0.72184304216,0.0194727281925847,0.542144822097297,64.2311323564813,27.8412360474353,27.641706313675737,12.278400815498197,0.7847352501464385,880056924553309.0,1.0147151252387197,0.002273259108556154,1.1340601119758354e-05,2.8440000000000003,35.8,2023-08-06 08:03:00,0.007218430421599606,0.963953406680069,0.0,1,847.814550927859,0.007218430421599606,2.410394,-1.5867606,0.963953406680069,1.1556927,0.0,1.0566224429515116,762.227710173186,7473.160672911053,0.9768031916927631,0.2141390312363241,6.4191189463376634,246.6116739266946,1.024953476803466,inf,0.0,246.6116739266946,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0070672543,9.094386e-07,13915.836,1.0029882,-240.88863,0.0,0.0,1.0,-9.129428195870092e-13,7.72322e-12,2.8104005e-16,0.0,0.0,0.0,7.479999999999999e-16,8.956263691586201e-14,6.810276682357409e-12,1125.135601418529,9.425601634286765e-13,1.2951693975010988e-13,8.634462650007324e-15,0.0,0.0070672543,9.094386e-07,13915.836,1.0029882,-240.88863,0.0,0.0,0.0,-9.129428195870092e-13,7.72322e-12,2.8104005e-16,0.0,0.0,0.0,7.479999999999999e-16,8.956263691586201e-14,6.810276682357409e-12,1125.135601418529,9.425601634286765e-13,1.2951693975010988e-13,8.634462650007324e-15,0.0
2,2,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,0.5784831540168476,34610D,274.75027,0.015264339,-0.8239493,132.60115211707543,66568.0631547634,0.35830254770205927,1.0020779875452466,80.9204516210565,119.4132609329666,2795.1004605330813,0.0056925591345071,76639.32731338663,1.0068010654966002,0.6743370968421375,0.960059517765794,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.88197990992901,3.302039962737476,0.3990574647191338,59.70658671970559,18.62386237816113,36.20574086775844,1451151022857309.0,33.1997582330571,835.022040228649,1297.8465697357,0.569255913451,0.0194843495629897,0.528811146933159,59.7066304664833,27.1403027965393,26.98667952748509,12.805070102352504,0.8020658590068898,842070780872978.4,1.0020779875452466,0.002204888832263324,1.100449399532014e-05,2.8440000000000003,35.8,2023-08-06 08:04:00,0.005692561411224916,1.0068021022834475,0.0,2,766.3932731338663,0.005692561411224916,0.015264339,-0.8239493,1.0068021022834475,1.1030729,9.586632e-07,0.9717532573322654,764.8769379398927,8125.8125102326585,0.8201398934232258,0.5721630495022725,6.0247561276422354,245.84112833042175,1.0224075303726559,inf,0.0,245.84112833042175,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.005556401,1.0700134e-06,22005.941,0.9946292,-242.44162,0.0,0.0,1.0,-8.709514648322453e-13,6.632023e-12,2.934177e-16,0.0,0.0,0.0,7.480000000000001e-16,7.593535068185697e-14,5.761071768393913e-12,1124.264894787767,7.637351092907508e-13,1.2790395167045123e-13,8.526930111363415e-15,0.0,0.005556401,1.0700134e-06,22005.941,0.9946292,-242.44162,0.0,0.0,0.0,-8.709514648322453e-13,6.632023e-12,2.934177e-16,0.0,0.0,0.0,7.480000000000001e-16,7.593535068185697e-14,5.761071768393913e-12,1124.264894787767,7.637351092907508e-13,1.2790395167045123e-13,8.526930111363415e-15,0.0
3,3,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,0.5808642766878047,34610D,270.15344,-0.42244613,0.48845616,147.7186902273484,66487.14270314234,0.34396136320055315,0.830320153599257,60.66760107513709,85.2644961078044,1791.0848924116149,0.0042569198713174,68873.98399781724,0.9898870151678306,0.5055633422928091,0.7574849685445723,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.35139104991728,3.2575605767756124,0.4483192533032251,42.63292839940284,15.317455439640348,24.987186483121608,1538127507220131.8,26.6651990070531,801.070384373773,1191.2237244359,0.425691987132,0.0175118800018323,0.389785109051379,42.6322480539022,22.2583245779776,22.163974315287486,15.123239143774702,0.6829439804382573,509023811141509.75,0.830320153599257,0.0013911850935468082,5.922537643906385e-06,2.8440000000000003,35.8,2023-08-06 08:05:00,0.004256919871317437,0.9898880669254929,0.0,3,688.7398399781724,0.004256919871317437,-0.42244613,0.48845616,0.9898880669254929,0.9947771,4.084076e-06,0.8881517015199969,768.0254458864727,9048.399248069316,0.8267242315425097,0.5626073630698827,5.289424181135759,244.27629524180927,0.9614283973461998,inf,0.0,241.44443903368173,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.004161727,9.786205e-07,30386.998,0.93702745,-243.97809,0.0,0.0,0.9999999999999998,-8.27530468117079e-13,5.656214e-12,2.8637281e-16,0.0,0.0,0.0,7.48e-16,6.380726384271187e-14,4.8286839245816056e-12,1123.4697856436019,3.3466517594339335e-13,1.0598100159561259e-13,7.065400106374171e-15,0.0,0.004161727,9.786205e-07,30386.998,0.93702745,-243.97809,0.0,0.0,0.0,-8.27530468117079e-13,5.656214e-12,2.8637281e-16,0.0,0.0,0.0,7.48e-16,6.380726384271187e-14,4.8286839245816056e-12,1123.4697856436019,3.3466517594339335e-13,1.0598100159561259e-13,7.065400106374171e-15,0.0
4,4,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,0.5832473988400856,34610D,266.63788,-0.48345196,0.501863,158.45358234641043,66426.47510206721,0.36329110701975514,0.8547963384671153,64.34997017083268,86.4298571439954,1992.8510803412444,0.0030521811695141,64250.40779201729,0.8937032087701654,0.5362497514236056,0.8249399279557518,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,21.709789591308223,3.190206227711529,0.4840590374029941,43.21498211232386,16.05676772556536,29.602244315661604,1550359048271343.8,27.4433319848375,810.958292399329,1216.76501204336,0.305218116951,0.0179132269467355,0.408443114762779,43.2149285719977,22.8012024844699,22.73182084892604,14.339317052155051,0.7170836432722868,555825049177965.75,0.8547963384671153,0.0016306225413441065,6.7216527364897325e-06,2.8440000000000003,35.8,2023-08-06 08:06:00,0.0030521811695141056,0.8937044629083507,0.0,4,642.5040779201729,0.0030521811695141056,-0.48345196,0.501863,0.8937044629083507,0.8797306,3.9260785e-06,0.8394532011715157,771.1765988919016,9736.546908630891,0.796178705015712,0.6050615420595693,5.07887709519417,243.7926696991215,0.8387823539113698,inf,0.0,238.51785436192526,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0029793808,9.652533e-07,35749.047,0.8311343,-245.18047,0.0,0.0,1.0,-7.996816224059182e-13,5.0254857e-12,2.8534242e-16,0.0,0.0,0.0,7.48e-16,5.5968796079266816e-14,4.225804126491539e-12,1122.5707531398841,3.5340826997408177e-13,1.0910511050262938e-13,7.273674033508624e-15,0.0,0.0029793808,9.652533e-07,35749.047,0.8311343,-245.18047,0.0,0.0,0.0,-7.996816224059182e-13,5.0254857e-12,2.8534242e-16,0.0,0.0,0.0,7.48e-16,5.5968796079266816e-14,4.225804126491539e-12,1122.5707531398841,3.5340826997408177e-13,1.0910511050262938e-13,7.273674033508624e-15,0.0
5,5,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,0.5856953814668218,34610D,262.64435,-0.8194131,0.3955078,168.4394689536842,66362.12513189638,0.37362191511277637,0.8373228602770164,63.45104006120931,81.9086681548528,1917.1447668883263,0.0021483644676246,59404.634976163914,0.8258360894898902,0.5287586671767442,0.8364878081697585,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.74590587707435,3.067316114526161,0.5184621372029851,40.9539980718008,16.190343724362332,31.46515421707715,1522371509944394.0,26.7406459768662,810.756685477496,1218.17873809982,0.214836446762,0.0178618444717677,0.397566962139511,40.9543340774264,22.2578895907364,22.2101740420048,14.025246526058217,0.716383782798136,532958706334221.2,0.8373228602770164,0.001711383206129861,6.44034959237701e-06,2.8440000000000003,35.8,2023-08-06 08:07:00,0.0021483644676246285,0.8258358532014884,0.0,5,594.0463497616391,0.0021483644676246285,-0.8194131,0.3955078,0.8258358532014884,0.76259947,3.8743565e-06,0.7879428476979149,774.4135125227804,10422.131734241842,0.7498966969135705,0.661554944020613,4.769564157013391,243.0489028176477,0.7453831199253518,inf,0.0,236.72957463537534,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0021004498,9.636238e-07,41717.387,0.7808488,-246.21124,0.0,0.0,1.0000000000000002,-7.687388142085265e-13,4.378001e-12,2.8521685e-16,0.0,0.0,0.0,7.48e-16,4.7953625153959065e-14,3.6092621776770606e-12,1121.6367633031678,3.10320091814653e-13,1.0687481811249723e-13,7.124987874166481e-15,0.0,0.0021004498,9.636238e-07,41717.387,0.7808488,-246.21124,0.0,0.0,0.0,-7.687388142085265e-13,4.378001e-12,2.8521685e-16,0.0,0.0,0.0,7.48e-16,4.7953625153959065e-14,3.6092621776770606e-12,1121.6367633031678,3.10320091814653e-13,1.0687481811249723e-13,7.124987874166481e-15,0.0
6,6,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,0.5882396712975582,34610D,258.88358,-1.6388189,0.73574626,177.46752190785529,66298.67409183517,0.3814802984435051,0.81688169939008,62.04383757293414,77.4391955268176,1917.8917853186424,0.0017800221751271,55026.440867802725,0.8905873433109004,0.5170319797744511,0.841614685552361,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.778041740010508,2.931500908123766,0.5502041586676053,38.71993302812157,16.101185114044494,32.86231130808135,1501381236821932.8,25.9124244990331,809.503314625354,1219.01786145083,0.178002217513,0.0178189798919878,0.385131470234624,38.7195977634088,21.6135532207315,21.575148977120552,13.765398120236195,0.7120328175093866,508323983917032.5,0.81688169939008,0.0017580258486990191,6.114134123234467e-06,2.8440000000000003,35.8,2023-08-06 08:08:00,0.0017800221751271758,0.8905866041805899,0.0,6,550.2644086780273,0.0017800221751271758,-1.6388189,0.73574626,0.8905866041805899,0.6617348,2.3089472e-06,0.7404732372073335,777.7777660875956,10810.56932148757,0.7487558998275375,0.6628458361289257,4.47275444380565,242.29385459808603,0.7746785098647035,inf,0.0,236.32535980953483,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0017408007,1.2326612e-06,47435.03,0.8524059,-247.09663,0.0,0.0,0.9999999999999999,-7.391235911769271e-13,3.8230157e-12,3.0595516e-16,0.0,0.0,0.0,7.479999999999998e-16,4.1144551420784424e-14,3.083892020987506e-12,1120.6949277017593,2.657264812802113e-13,1.0426573450157458e-13,6.9510489667716374e-15,0.0,0.0017408007,1.2326612e-06,47435.03,0.8524059,-247.09663,0.0,0.0,0.0,-7.391235911769271e-13,3.8230157e-12,3.0595516e-16,0.0,0.0,0.0,7.479999999999998e-16,4.1144551420784424e-14,3.083892020987506e-12,1120.6949277017593,2.657264812802113e-13,1.0426573450157458e-13,6.9510489667716374e-15,0.0
7,7,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,0.5907818192164024,34610D,255.24811,-1.6792997,1.9294033,183.7872015687973,66236.63025426223,0.38427864075693624,0.7824121723306149,59.06504946651998,72.1464583381628,1842.171780505344,0.0012404784079828,50913.27576770084,0.8054832376302806,0.4922087455543332,0.8249997269766033,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.913058545928177,2.813497541134088,0.5738405035225409,36.07358526740028,15.8624993471052,32.96349832852596,1499861047568157.5,24.6576810116791,805.036395991091,1209.94595811761,0.124047840798,0.017619803148914,0.363652374107143,36.0732291690814,20.6388443181646,20.613273996853675,13.77300793109509,0.6965489010553033,463795167497210.8,0.7824121723306149,0.0017225087252505488,5.483364677934166e-06,2.8440000000000003,35.8,2023-08-06 08:09:00,0.001240478407982815,0.8054836339388146,0.0,7,509.1327576770084,0.001240478407982815,-1.6792997,1.9294033,0.8054836339388146,0.57953125,4.321536e-06,0.6948818276649098,781.1391890008925,11147.298906109525,0.7476758120633196,0.6640639126284876,4.155297672531672,241.4354655372756,0.6760053226615458,inf,0.0,234.5865739550592,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0012123667,1.1359454e-06,53218.66,0.7735671,-247.75813,0.0,0.0,1.0,-7.09201464894485e-13,3.3491664e-12,2.9849997e-16,0.0,0.0,0.0,7.479999999999999e-16,3.5366043720470727e-14,2.6399649039557186e-12,1119.7193260824313,2.1347471014217732e-13,9.986608818869912e-14,6.65773921257994e-15,0.0,0.0012123667,1.1359454e-06,53218.66,0.7735671,-247.75813,0.0,0.0,0.0,-7.09201464894485e-13,3.3491664e-12,2.9849997e-16,0.0,0.0,0.0,7.479999999999999e-16,3.5366043720470727e-14,2.6399649039557186e-12,1119.7193260824313,2.1347471014217732e-13,9.986608818869912e-14,6.65773921257994e-15,0.0
8,8,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,0.593318460318814,34610D,251.43036,-0.68001634,3.3446171,187.5838090960822,66177.56520479571,0.384973331800156,0.7468718926618308,55.99433563148781,67.597377644575,1638.4696687710718,0.0009018195821032,47200.44144697906,0.7827524607848259,0.4666194635957318,0.7997023615158619,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.572791098790137,2.769169358111319,0.5901245588125998,33.79899138387528,15.529480914332142,32.773028471212946,1502722582861746.2,23.4283136659033,799.201286634369,1193.58904583082,0.0901819582103,0.0173617265446358,0.341322379061756,33.7986888222875,19.6594721258995,19.641758803183844,14.188559735166065,0.6764052094148492,418506551062874.2,0.7468718926618308,0.0015883404897838373,4.830517368410832e-06,2.8440000000000003,35.8,2023-08-06 08:10:00,0.0009018195821032324,0.7827533040064573,0.0,8,472.0044144697906,0.0009018195821032324,-0.68001634,3.3446171,0.7827533040064573,0.44129246,4.574241e-06,0.6539895246673376,784.4933321406866,11484.907125089065,0.7476053739662908,0.6641432110747819,3.85549982498691,240.56973012834933,0.6326277783864485,inf,0.0,233.4345150175139,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00088079117,9.101645e-07,58774.543,0.7583562,-248.0783,0.0,0.0,1.0,-6.804837783679793e-13,2.926569e-12,2.81096e-16,0.0,0.0,0.0,7.48e-16,3.0228204061658576e-14,2.2460852339731735e-12,1118.70831393858,1.5987008502080983e-13,9.53297723833335e-14,6.3553181588888985e-15,0.0,0.00088079117,9.101645e-07,58774.543,0.7583562,-248.0783,0.0,0.0,0.0,-6.804837783679793e-13,2.926569e-12,2.81096e-16,0.0,0.0,0.0,7.48e-16,3.0228204061658576e-14,2.2460852339731735e-12,1118.70831393858,1.5987008502080983e-13,9.53297723833335e-14,6.3553181588888985e-15,0.0
9,9,11,3c49c8,EWG1VT,51.90271927138506,7.363115583147322,193.945555388,6492.240000000001,0.5958467671993265,34610D,247.79404,0.17119993,4.477573,191.29111727473608,66121.57086916422,0.38592921680712505,0.7125820195792658,53.097713851274406,63.4010063460802,1458.3434886244884,0.0006964380856401,44081.94845354482,0.8084287858846796,0.44248094876062,0.7712094037199996,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.742062312564006,2.49964953705797,0.6061869180225321,31.700027463274647,15.174666485550787,32.25165646538399,1510555446375246.8,22.221542288814,791.755095255399,1194.15702283845,0.069643808564,0.0172096545589307,0.323702608860253,31.7005031730401,18.8093612077921,18.7962707689606,13.368289948445067,0.6509623400885926,380862099122828.1,0.7125820195792658,0.0017075046066072005,4.251971165494958e-06,2.8440000000000003,35.8,2023-08-06 08:11:00,0.0006964380856401862,0.8084287027018232,0.0,9,440.8194845354482,0.0006964380856401862,0.17119993,4.477573,0.8084287027018232,0.3189926,3.4990012e-06,0.6197440626489606,787.8364570696345,11757.48582909717,0.7464831767142834,0.6654042882958839,3.6057369442702356,239.80170228176127,0.6302989725912648,inf,0.0,232.70251083847333,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00068082515,6.778982e-07,63660.395,0.79362994,-248.59875,0.0,0.0,1.0,-6.5524086429812e-13,2.5769616e-12,2.6319217e-16,0.0,0.0,0.0,7.48e-16,2.599356317752953e-14,1.9217208475692947e-12,1117.6664744175985,1.402937408760655e-13,9.095305687411245e-14,6.063537124940829e-15,0.0,0.00068082515,6.778982e-07,63660.395,0.79362994,-248.59875,0.0,0.0,0.0,-6.5524086429812e-13,2.5769616e-12,2.6319217e-16,0.0,0.0,0.0,7.48e-16,2.599356317752953e-14,1.9217208475692947e-12,1117.6664744175985,1.402937408760655e-13,9.095305687411245e-14,6.063537124940829e-15,0.0
