,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,fuel_flow_corrected,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,0.8341575551851717,34610D,275.45508,11.138223,-7.5029426,161.45548600293077,73634.99906056847,0.33474411601974263,1.2291785812479792,66.77293876486107,109.6621025695314,2735.8994674184114,0.0065739635808212,62250.43576468452,0.8918908454503363,0.5564411563738422,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4852713065448608,54.83055738887456,17.20804827786435,36.28235539,1450000000000000.0,25.1507223908258,837.713817633427,1590.41515011325,0.657396358082,0.0228653588452842,0.648380760431737,54.8310512847657,28.3564655520575,28.171268657875096,0.6573963580821199,0.9668502423708426,1132472954065506.0,1.2291785812479792,0.020442710604404245,2.602975262886949e-05,3.16,35.8,2023-02-06 13:01:00,0.00657396358082126,0.8918904884008652,0.0,0,622.5043576468452,0.00657396358082126,11.138223,-7.5029426,0.8918904884008652,0.978943,1.6283929e-07,0.7872887735120768,1167.9268587031381,9537.146941901803,-0.4305476864931945,-0.9025678310550171,4.356691872290244,241.98647726920981,0.9118997322240989,inf,0.0,237.98834665390086,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0064251204,-2.166525e-07,40518.945,0.8900914,-262.02338,0.0,0.0,0.9999999999999999,-8.258215277507401e-13,5.73647e-12,2.276378e-16,0.0,0.0,0.0,7.479999999999999e-16,6.481406848496675e-14,4.910648513843402e-12,1349.7218382538106,7.403610539693541e-12,1.743230897354534e-13,0.0,0.0064251204,-2.166525e-07,40518.945,0.8900914,-262.02338,0.0,0.0,0.0,-8.258215277507401e-13,5.73647e-12,2.276378e-16,0.0,0.0,0.0,7.479999999999999e-16,6.481406848496675e-14,4.910648513843402e-12,1349.7218382538106,7.403610539693541e-12,1.743230897354534e-13,0.0
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,0.8355611160804834,34610D,271.86478,10.916617,-7.53122,170.19365359730412,73568.22612180361,0.3503147046164068,1.2804882243922526,62.87311977291542,113.4154012648288,3128.990240916548,0.0036775096599517,56095.647368712234,0.6035810958041712,0.5239426647742952,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5149014313224596,56.70838428348214,17.618733742429768,36.28235538999999,1450000000000000.0,25.9322286855863,870.331424298495,1674.41438681626,0.367750965995,0.0247502818303128,0.703699619668946,56.7077006324144,28.4319841080392,28.32780831929972,0.36775096599517,1.0924115041138105,986203524102975.4,1.2804882243922526,0.024803185790161244,2.46890951206469e-05,3.16,35.8,2023-02-06 13:02:00,0.0036775096599517363,0.6035819980727393,0.0,1,560.9564736871223,0.0036775096599517363,10.916617,-7.53122,0.6035819980727393,0.87325716,7.237051e-07,0.71881753794026,1169.891743813052,9596.215333846398,-0.42451417959346743,-0.9054212894139861,4.010043308216431,241.0231721693993,0.5960527585416155,inf,0.0,233.5862826337327,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0036148275,-5.006894e-07,48709.555,0.57954186,-264.70978,0.0,0.0,0.9999999999999999,-7.769982995266696e-13,4.9686934e-12,2.495323e-16,0.0,0.0,0.0,7.479999999999999e-16,5.548956819165303e-14,4.191695068753948e-12,1349.6130686338795,7.987741237263011e-12,1.8159986437388877e-13,0.0,0.0036148275,-5.006894e-07,48709.555,0.57954186,-264.70978,0.0,0.0,0.0,-7.769982995266696e-13,4.9686934e-12,2.495323e-16,0.0,0.0,0.0,7.479999999999999e-16,5.548956819165303e-14,4.191695068753948e-12,1349.6130686338795,7.987741237263011e-12,1.8159986437388877e-13,0.0
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,0.8369514759872355,34610D,268.16425,8.13431,-4.508027,177.63016860349825,73505.3530020307,0.32876488362555495,1.1020588936131503,58.38108859122213,87.7717863849688,1824.229698503725,0.0013775658719557,49718.84686406126,0.2737509421831863,0.4865090715935177,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5410949940638395,43.88570565593132,17.702950798358017,36.28235538999999,1450000000000000.0,21.1876144980764,830.613746121784,1575.75585636813,0.137756587196,0.022444490316803,0.540068835680293,43.8858931924844,24.0624236976311,24.02932172409774,0.13775658719557,0.9368035831711664,959449095486970.4,1.1020588936131503,0.02081211626311829,2.0344848930053506e-05,3.16,35.8,2023-02-06 13:03:00,0.0013775658719557809,0.27375115897769836,0.0,2,497.18846864061265,0.0013775658719557809,8.13431,-4.508027,0.27375115897769836,0.7491308,4.133948e-06,0.6458960317145211,1171.8381449238104,9853.913159025033,-0.4250902117609422,-0.9051509884350993,3.433283196713409,239.2434242428937,0.26078200974570237,inf,0.0,230.06920914964724,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0013497984,-4.4822042e-07,58050.08,0.26605746,-266.40445,0.0,0.0,1.0,-7.213309301432711e-13,4.2284887e-12,2.4548783e-16,0.0,0.0,0.0,7.480000000000001e-16,4.658653625034656e-14,3.5071575712586572e-12,1349.5052627953908,4.826447382392907e-12,1.562948739393319e-13,0.0,0.0013497984,-4.4822042e-07,58050.08,0.26605746,-266.40445,0.0,0.0,0.0,-7.213309301432711e-13,4.2284887e-12,2.4548783e-16,0.0,0.0,0.0,7.480000000000001e-16,4.658653625034656e-14,3.5071575712586572e-12,1349.5052627953908,4.826447382392907e-12,1.562948739393319e-13,0.0
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,0.8383112477313381,34610D,264.35104,8.299406,-2.6153793,188.40912426562684,73446.97191343947,0.33305534592345426,1.0566488176051891,56.92856707018105,80.376036822914,1702.6668163487557,0.001904253120953,46295.246647158914,0.4904430926049225,0.4744047255848421,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.578054275086602,40.18718520868383,17.304547759067887,36.28235539,1450000000000000.0,20.1142535546248,823.204446554378,1558.14072155059,0.190425312095,0.0220730112123792,0.507301725419491,40.188018411457,22.9828961956482,22.939214125557395,0.1904253120953,0.9051759079291636,954555037390369.0,1.0566488176051891,0.019772203843785,1.8523809293672782e-05,3.16,35.8,2023-02-06 13:04:00,0.0019042531209530695,0.49044362762973903,0.0,3,462.95246647158916,0.0019042531209530695,8.299406,-2.6153793,0.49044362762973903,0.61765015,2.6073549e-06,0.6100955084326077,1173.7417178069725,10648.381250946317,-0.028444387257436043,-0.9995953765567092,3.2188954759078507,238.51370917365628,0.4501277076834295,inf,0.0,230.34897320187773,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0018494175,-1.8260053e-07,63558.273,0.48439467,-267.76218,0.0,0.0,1.0,-6.884999674192428e-13,3.7331336e-12,2.2501295e-16,0.0,0.0,0.0,7.480000000000001e-16,4.055325253776172e-14,3.0446338139855484e-12,1349.3940802797767,3.816559763479446e-12,1.4985478063182203e-13,0.0,0.0018494175,-1.8260053e-07,63558.273,0.48439467,-267.76218,0.0,0.0,0.0,-6.884999674192428e-13,3.7331336e-12,2.2501295e-16,0.0,0.0,0.0,7.480000000000001e-16,4.055325253776172e-14,3.0446338139855484e-12,1349.3940802797767,3.816559763479446e-12,1.4985478063182203e-13,0.0
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,0.8395629093002248,34610D,260.64206,9.252224,-1.6718808,196.6045198750649,73390.04334636929,0.34394750715434036,1.1024174230511898,55.755183581178855,82.9900785058888,1873.128722929002,0.0018624139614254,43271.52378881695,0.6242438504611194,0.4646265298431571,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.607475070474656,41.495254195791134,17.12656584966364,36.28235539,1450000000000000.0,20.7437818098449,840.422596250551,1605.44814223821,0.186241396143,0.0231851041753986,0.540337165076897,41.4950392529444,23.3053585176573,23.262034978941355,0.18624139614254,0.9784376110479024,869565259253944.5,1.1024174230511898,0.02130971778511808,2.0600706783412716e-05,3.16,35.8,2023-02-06 13:05:00,0.0018624139614254677,0.6242441342655535,0.0,4,432.7152378881695,0.0018624139614254677,9.252224,-1.6718808,0.6242441342655535,0.55092645,1.509501e-06,0.5783625159811743,1175.493921901881,11699.443548113244,0.3434220995131197,-0.939181165465961,3.0584981308252512,237.93908288537358,0.5524674694594726,inf,0.0,230.43163645373528,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00181493,-1.0589011e-07,68678.445,0.5801789,-268.69394,0.0,0.0,0.9999999999999998,-6.57997412047143e-13,3.3143009e-12,2.1909987e-16,0.0,0.0,0.0,7.480000000000002e-16,3.5499045637034446e-14,2.6563035208836535e-12,1349.3861359670302,3.744145478466299e-12,1.5634572087105824e-13,0.0,0.00181493,-1.0589011e-07,68678.445,0.5801789,-268.69394,0.0,0.0,0.0,-6.57997412047143e-13,3.3143009e-12,2.1909987e-16,0.0,0.0,0.0,7.480000000000002e-16,3.5499045637034446e-14,2.6563035208836535e-12,1349.3861359670302,3.744145478466299e-12,1.5634572087105824e-13,0.0
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,0.8408309070940077,34610D,256.5811,10.578092,-0.91761446,205.3011602235829,73334.28816278811,0.3465545778277531,1.0711305737406402,54.449419923010495,77.8043879854756,1724.494827311012,0.0013152411157462,40127.886851424635,0.5939069092506979,0.4537451660250874,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6393464707646036,38.90245849878176,17.089628383216528,36.28235539,1450000000000000.0,19.9108710374322,837.143285393985,1600.27968454771,0.131524111575,0.0230888583662077,0.51750167726417,38.9021939927378,22.4134805219115,22.38404011201965,0.13152411157462,0.9644201073421572,853381101217755.8,1.0711305737406402,0.02101877134528445,1.9489709205227137e-05,3.16,35.8,2023-02-06 13:06:00,0.0013152411157462067,0.5939067319883884,0.0,5,401.2788685142464,0.0013152411157462067,10.578092,-0.91761446,0.5939067319883884,0.493534,9.3969567e-07,0.5448338428593501,1177.2689979251384,12108.452584480177,0.3185508831008655,-0.947905762655581,2.8462752749430598,237.13635858773853,0.5050316682466166,inf,0.0,229.39448984314637,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012881059,-1.4454149e-07,74202.76,0.5729963,-268.04037,0.0,0.0,1.0,-6.250995453538517e-13,2.8965057e-12,2.2207925e-16,0.0,0.0,0.0,7.480000000000001e-16,3.049835978549857e-14,2.2714061955662325e-12,1349.492997529177,3.068285713181875e-12,1.5190859487235664e-13,0.0,0.0012881059,-1.4454149e-07,74202.76,0.5729963,-268.04037,0.0,0.0,0.0,-6.250995453538517e-13,2.8965057e-12,2.2207925e-16,0.0,0.0,0.0,7.480000000000001e-16,3.049835978549857e-14,2.2714061955662325e-12,1349.492997529177,3.068285713181875e-12,1.5190859487235664e-13,0.0
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,0.8420518985105571,34610D,252.77011,10.73732,-1.2824482,212.96035504470944,73279.8387428651,0.3524770550399528,1.1173559565313107,53.30794143210439,79.5802091869984,2012.2403520746927,0.0009421439972245,37395.86563801814,0.5690900023132711,0.4442328452675366,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6681794322798914,39.78992411725109,17.018328746067127,36.28235539,1450000000000000.0,20.3867063139183,858.72960838819,1661.02538451364,0.0942143997225,0.0245467511614158,0.551665291280769,39.7901045934992,22.4740654131009,22.45291153727584,0.09421439972245,1.0504966140346967,788448998296740.1,1.1173559565313107,0.023169476477560645,1.9738412853911492e-05,3.16,35.8,2023-02-06 13:07:00,0.0009421439972245285,0.5690899578049399,0.0,6,373.9586563801814,0.0009421439972245285,10.73732,-1.2824482,0.5690899578049399,0.43149912,9.751074e-07,0.5153951436568628,1178.9782582736839,12362.382706523455,0.31537134201562644,-0.948968343326195,2.6758929276127175,236.4526193201557,0.4660717215678173,inf,0.0,228.53758940803348,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0009249239,-1.09360215e-07,79477.305,0.5342328,-267.3756,0.0,0.0,1.0,-5.936852050241431e-13,2.592139e-12,2.1936735e-16,0.0,0.0,0.0,7.48e-16,2.6947267158946705e-14,1.9984538313381317e-12,1349.5956218950541,3.1042246221103234e-12,1.5846431564003574e-13,0.0,0.0009249239,-1.09360215e-07,79477.305,0.5342328,-267.3756,0.0,0.0,0.0,-5.936852050241431e-13,2.592139e-12,2.1936735e-16,0.0,0.0,0.0,7.48e-16,2.6947267158946705e-14,1.9984538313381317e-12,1349.5956218950541,3.1042246221103234e-12,1.5846431564003574e-13,0.0
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,0.843248762181483,34610D,248.15111,10.701648,-1.830293,218.8091670657208,73226.530801433,0.3501858309352348,1.0565156553812554,52.23633202390016,72.759621727682,1769.3280225998865,0.0005721846995973,34394.55476608665,0.500044769837238,0.4353027668658347,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6928905045271203,36.380751512599645,16.929924699376723,36.28235539,1450000000000000.0,19.0115558174683,846.064836913494,1634.29075394287,0.0572184699597,0.0239780859638135,0.507208946781017,36.379810863841,21.1530206183458,21.140924105037552,0.05721846995973,1.0024948928865702,778096279588940.9,1.0565156553812554,0.02170940301672149,1.9479237895916238e-05,3.16,35.8,2023-02-06 13:08:00,0.0005721846995973334,0.5000448911516637,0.0,7,343.9455476608665,0.0005721846995973334,10.701648,-1.830293,0.5000448911516637,0.3697475,1.0936614e-06,0.482854094575551,1180.6537359403717,12525.288811002994,0.3164648412131288,-0.9486042400685067,2.451671744395758,235.49159289790575,0.3912446226579491,inf,0.0,227.2538264603975,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00058233115,-9.956266e-08,85436.0,0.49898064,-266.39545,0.0,0.0,1.0,-5.581907539758566e-13,2.2799813e-12,2.1861212e-16,0.0,0.0,0.0,7.480000000000001e-16,2.334988923401526e-14,1.7217905472032333e-12,1349.6993293676946,2.3694927671786166e-12,1.4983589545869397e-13,0.0,0.00058233115,-9.956266e-08,85436.0,0.49898064,-266.39545,0.0,0.0,0.0,-5.581907539758566e-13,2.2799813e-12,2.1861212e-16,0.0,0.0,0.0,7.480000000000001e-16,2.334988923401526e-14,1.7217905472032333e-12,1349.6993293676946,2.3694927671786166e-12,1.4983589545869397e-13,0.0
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,0.8444301207936118,34610D,243.98367,11.877735,0.18487746,223.21979270331985,73174.2944694091,0.34886952417996364,1.0196801795794237,51.40033884844737,68.5765683676524,1554.3518487298893,0.0003847522219761,31913.2970959831,0.4764873167306039,0.4283361570703947,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7128686884151879,34.28808786249552,16.81720965428623,36.28235539,1450000000000000.0,18.1128957699131,840.704241231842,1626.62851782699,0.0384752221976,0.0238633473646267,0.482202185832829,34.2882841838262,20.2068125005636,20.19904087470527,0.03847522219761,0.9796434657412968,775102403729301.1,1.0196801795794237,0.021063895456184385,1.842024256155027e-05,3.16,35.8,2023-02-06 13:09:00,0.0003847522219761662,0.47648736986904755,0.0,8,319.1329709598311,0.0003847522219761662,11.877735,0.18487746,0.47648736986904755,0.32976678,1.0910966e-06,0.45567307168714494,1182.3075037865021,12767.491119874136,0.31756288982673087,-0.9482372124130625,2.269840161222039,234.65335956713923,0.3577452843249325,inf,0.0,226.31717463814482,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0004258462,-1.5286867e-07,90814.63,0.50031024,-265.49838,0.0,0.0,0.9999999999999999,-5.261483202659931e-13,2.087549e-12,2.2272112e-16,0.0,0.0,0.0,7.48e-16,2.1268931827655577e-14,1.561400823016804e-12,1349.8035107524047,2.0121869245612202e-12,1.4461185881209755e-13,0.0,0.0004258462,-1.5286867e-07,90814.63,0.50031024,-265.49838,0.0,0.0,0.0,-5.261483202659931e-13,2.087549e-12,2.2272112e-16,0.0,0.0,0.0,7.48e-16,2.1268931827655577e-14,1.561400823016804e-12,1349.8035107524047,2.0121869245612202e-12,1.4461185881209755e-13,0.0
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,0.8455902143552583,34610D,240.40173,13.008342,2.179952,227.6442002223061,73122.89413056064,0.34804398166904393,0.9658455453593564,50.570703288362814,63.5428453863598,1340.202022162731,0.000316043878796,29850.23293677357,0.5330508744136793,0.4214225274030234,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7323944130138422,31.770868116765747,16.67696205008317,36.28235539,1450000000000000.0,17.0608490926834,828.880519933742,1600.69766228364,0.0316043878796,0.0233126732564798,0.447747093495231,31.7714226931799,19.206166901978,19.20009882827105,0.0316043878796,0.9294411093995424,807487399145682.8,0.9658455453593564,0.01977739923892743,1.677898287456353e-05,3.16,35.8,2023-02-06 13:10:00,0.0003160438787960478,0.5330514399010289,0.0,9,298.5023293677357,0.0003160438787960478,13.008342,2.179952,0.5330514399010289,0.31468114,1.0879654e-06,0.43256620325224404,1183.9314971226509,12949.242679689742,0.3186547838849259,-0.9478708396755601,2.1202902618646267,233.91817522215933,0.38626648576948497,inf,0.0,225.77891823547205,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00030793928,-1.7352886e-07,95331.46,0.5208756,-265.08072,0.0,0.0,1.0,-4.992373317060757e-13,1.934873e-12,2.2431367e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9635578427909725e-14,1.4356357493868652e-12,1349.9076650781653,1.645403347081464e-12,1.3697698791930024e-13,0.0,0.00030793928,-1.7352886e-07,95331.46,0.5208756,-265.08072,0.0,0.0,0.0,-4.992373317060757e-13,1.934873e-12,2.2431367e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9635578427909725e-14,1.4356357493868652e-12,1349.9076650781653,1.645403347081464e-12,1.3697698791930024e-13,0.0
