,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.8414815940054995,34610D,276.33752,17.922052,-5.8258595,156.01207248651394,69025.75146694673,0.3442844132867653,0.953991863843708,67.16843030923678,90.5910440613308,1762.3679980887111,0.003507674479045,73058.20758235783,0.5201244126774583,0.5597369192436399,0.8647679821273185,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,18.959922392094377,1.3554889435076531,0.4681612728679101,45.29567920195952,16.594122864500473,28.051474623914565,1573657129488831.8,28.6998576454501,842.281756203813,1513.49849403663,0.350767447905,0.0250115754309817,0.476995931921854,45.2955220306654,19.0710070718297,19.004346012331307,7.483288307228573,0.8450801168875082,1022508584736715.4,28.77210044175137,1743199426336748.0,0.004673898648626904,1.6774513613115098e-05,3.16,35.8,2023-05-05 01:00:00,0.003507674479045096,0.5201247559531595,0.0,730.5820758235783,0,0.003507674479045096,17.922052,-5.8258595,0.5201247559531595,0.3433303,0.0,0.9210253974070456,1125.1302009650958,8181.733683333497,-0.47086366415065145,-0.8822059905615143,5.17384028343537,244.01295907901496,0.5363388154483983,inf,0.0,235.9402367555863,0.0,0.0,0.0,0 days,0.0034230363,1.345391e-07,26453.55,0.51625574,-257.2527,0.0,0.0,1.0,-8.733133402845325e-13,6.5939454e-12,2.2213516e-16,0.0,0.0,0.0,7.48e-16,7.533835354274815e-14,5.7206321841192645e-12,1216.831448637914,8.181733683333496,1.530450321678757e-12,0.0034230363,1.345391e-07,26453.55,0.51625574,-257.2527,0.0,0.0,0.0,-8.733133402845325e-13,6.5939454e-12,2.2213516e-16,0.0,0.0,0.0,7.48e-16,7.533835354274815e-14,5.7206321841192645e-12,1216.831448637914,8.181733683333496
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.8424850801561914,34610D,273.43176,21.049248,-4.550668,170.434387774195,68958.5830366375,0.361682468969741,1.041035439083642,74.74061880929905,95.0642413381962,2126.4729720035302,0.0019442239687302,68339.94069049528,0.341529864959362,0.622838490077492,0.9971579539239528,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,19.900388062514228,1.453838293230394,0.5141501473768695,47.53249923068626,19.88082745056465,36.28235539,1450000000000000.0,30.5315551758285,860.687932956168,1551.89893855584,0.194422396873,0.0260600391173541,0.520517719541821,47.5321206690981,19.9737888802782,19.93503071574328,7.48730452964172,0.9285667749667664,936806098443277.6,28.222273464427484,1685093053533077.0,0.005203758084560298,1.941905095221777e-05,3.16,35.8,2023-05-05 01:01:00,0.0019442239687302346,0.3415298827356708,0.0,683.3994069049528,1,0.0019442239687302346,21.049248,-4.550668,0.3415298827356708,0.4548951,0.0,0.8706990857758645,1126.4715568277552,9587.418296793368,-0.4794178129158185,-0.877586782409018,4.9649289922928945,243.5234674650199,0.34242961041062053,inf,0.0,234.36492855358955,0.0,0.0,0.0,0 days,0.0019084453,1.8558595e-07,31740.805,0.3304107,-255.17206,0.0,0.0,1.0000000000000002,-8.444034470496696e-13,5.9715336e-12,2.2524308e-16,0.0,0.0,0.0,7.480000000000001e-16,6.762593718985349e-14,5.127130315979837e-12,1217.1991807446102,9.587418296793368,1.6665111323105505e-12,0.0019084453,1.8558595e-07,31740.805,0.3304107,-255.17206,0.0,0.0,0.0,-8.444034470496696e-13,5.9715336e-12,2.2524308e-16,0.0,0.0,0.0,7.480000000000001e-16,6.762593718985349e-14,5.127130315979837e-12,1217.1991807446102,9.587418296793368
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.8434626820069864,34610D,270.3138,23.506296,-3.8195748,184.1342392191772,68883.8424178282,0.37630651002712373,1.182358317729652,71.48224666551019,103.9771069551152,2523.872725440152,0.0008248870184538,62994.42896063308,0.173089646691043,0.5956853888792516,1.0,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,21.1537781354744,1.5690838831853748,0.5586729382331255,51.98887709616036,19.92064351659897,36.28235539,1450000000000000.0,33.1898104726311,888.597984433206,1617.26025906265,0.0824887018454,0.0278977789288569,0.591179158864826,51.9885534775576,21.1909041351432,21.17343844063749,7.493112571863031,1.0,837291014781359.8,27.20716530247756,1621456306797945.0,0.006018594870847933,2.096114747349197e-05,3.16,35.8,2023-05-05 01:02:00,0.0008248870184538201,0.17308978808853903,0.0,629.9442896063307,2,0.0008248870184538201,23.506296,-3.8195748,0.17308978808853903,0.5739943,0.0,0.8118510832030251,1127.7783023526072,9904.532106848184,-0.4803242924734069,-0.8770909725107887,4.679369549751487,242.8239694806761,0.16837565721987327,inf,0.0,232.91704906376353,0.0,0.0,0.0,0 days,0.0008146749,2.8743435e-07,38122.773,0.16393425,-252.92694,0.0,0.0,1.0000000000000002,-8.094877691649798e-13,5.318374e-12,2.330939e-16,0.0,0.0,0.0,7.48e-16,5.95966199834966e-14,4.508886621307465e-12,1217.6361997313952,9.904532106848185,1.925150944971681e-12,0.0008146749,2.8743435e-07,38122.773,0.16393425,-252.92694,0.0,0.0,0.0,-8.094877691649798e-13,5.318374e-12,2.330939e-16,0.0,0.0,0.0,7.48e-16,5.95966199834966e-14,4.508886621307465e-12,1217.6361997313952,9.904532106848185
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.8444314648859939,34610D,267.033,29.035467,-2.5243309,200.8764944610197,68812.36017116268,0.3924741762994771,0.924048929171208,67.03738614977016,77.6887927478582,1319.6626112811473,0.0002069378772931,57124.037489563314,0.0520658033403227,0.558644884581418,1.0,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,18.0049785894144,1.3466474821560783,0.613202434738273,38.8439854106122,19.56529656551597,36.28235539,1450000000000000.0,27.4751451801248,860.046302764803,1537.52871618845,0.0206937877293,0.0256173954263965,0.462024464585604,38.8443963739291,18.035575314949,18.031843843460354,7.488856743479781,0.9254710751558772,786388935651641.6,26.194037605801885,1546317641850707.2,0.00519793405310292,1.616149738917662e-05,3.16,35.8,2023-05-05 01:03:00,0.00020693787729312568,0.0520657518725697,0.0,571.2403748956332,3,0.00020693787729312568,29.035467,-2.5243309,0.0520657518725697,0.5978265,0.0,0.7452404328387267,1129.0732553011314,10425.443968691361,-0.4806838213428572,-0.8768939866935046,4.353907354255477,241.97901410531563,0.04905491015760242,inf,0.0,231.67187053825577,0.0,0.0,0.0,0 days,0.00020620911,2.5870426e-07,45692.645,0.04859373,-251.73624,0.0,0.0,0.9999999999999999,-7.680332403000653e-13,4.658063e-12,2.308793e-16,0.0,0.0,0.0,7.479999999999999e-16,5.1549264929739824e-14,3.890029664829988e-12,1218.0860681273678,10.425443968691361,1.1210626844194112e-12,0.00020620911,2.5870426e-07,45692.645,0.04859373,-251.73624,0.0,0.0,0.0,-7.680332403000653e-13,4.658063e-12,2.308793e-16,0.0,0.0,0.0,7.479999999999999e-16,5.1549264929739824e-14,3.890029664829988e-12,1218.0860681273678,10.425443968691361
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.8453867736639641,34610D,265.21942,31.43527,-1.917533,214.68314037770435,68745.32278501292,0.4017449245268551,0.816520004024314,60.71807910783534,65.7507524288384,1322.2391140092852,0.0001124167221857,54249.21360051817,0.03144000209981,0.5059839925652945,0.9398941730108844,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,16.597731364195816,1.2429639897590037,0.6575859220593329,32.87501840670149,17.948852192669932,32.820560118490846,1502008488315937.8,24.9961454320853,848.197936076511,1501.14664702573,0.0112416722186,0.0245539916047018,0.408260002012157,32.8753762144192,16.6270319133766,16.62516296705004,7.487643510940242,0.8700589381485693,752761002376601.8,26.45640299565274,1498053291806553.5,0.004857500781646075,1.3167740213431729e-05,3.16,35.8,2023-05-05 01:04:00,0.00011241672218576575,0.03144000064394594,0.0,542.4921360051817,4,0.00011241672218576575,31.43527,-1.917533,0.03144000064394594,0.6094147,0.0,0.7125749890825669,1130.3501914028536,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.198524418973994,241.55569676555658,0.02910172313545529,inf,0.0,231.21463860932414,0.0,0.0,0.0,0 days,0.00010875325,1.6066592e-07,49627.668,0.030238386,-248.33531,0.0,0.0,1.0,-7.465204561549381e-13,4.330949e-12,2.235822e-16,0.0,0.0,0.0,7.48e-16,4.7569150727106394e-14,3.584428347534521e-12,1218.5610014019073,11.784876773848332,8.530035957005895e-13,0.00010875325,1.6066592e-07,49627.668,0.030238386,-248.33531,0.0,0.0,0.0,-7.465204561549381e-13,4.330949e-12,2.235822e-16,0.0,0.0,0.0,7.48e-16,4.7569150727106394e-14,3.584428347534521e-12,1218.5610014019073,11.784876773848332
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.8463143205305357,34610D,262.83292,32.191246,-2.8522768,217.74168185832136,68684.60470590508,0.40548397522858465,0.789461412866704,58.85235486407603,63.2622259093286,1969.6260050374256,0.0001067647562277,51492.67974234382,0.0349819968039582,0.4904362905339668,0.9304309666654976,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,16.10158904465107,1.2059000961195987,0.6699754752025008,31.63120582075184,17.532305381101597,33.01500752441662,1499087196082863.0,24.2110568311608,845.487542831105,1497.01700506027,0.0106764756228,0.0244725168782261,0.394730706433352,31.6311129546643,16.129550891619,16.127829007886493,7.487814877387288,0.8586419486916468,742803187290119.4,25.24006742793238,1469508036294945.0,0.0047755586808360204,1.2545055429116225e-05,3.16,35.8,2023-05-05 01:05:00,0.00010676475622775881,0.03498198181031058,0.0,514.9267974234381,5,0.00010676475622775881,32.191246,-2.8522768,0.03498198181031058,0.6003691,0.0,0.6825086854174021,1131.5900067299797,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.010231458921078,241.02371471833257,0.03163246767116394,inf,0.0,230.74439301656298,0.0,0.0,0.0,0 days,0.00010466962,6.617431e-08,53629.14,0.034207903,-240.52974,0.0,0.0,1.0,-7.246405897391895e-13,3.978033e-12,2.1800334e-16,0.0,0.0,0.0,7.48e-16,4.326010430538403e-14,3.253392381375931e-12,1219.0991158229074,11.776905178293267,7.35940645113722e-13,0.00010466962,6.617431e-08,53629.14,0.034207903,-240.52974,0.0,0.0,0.0,-7.246405897391895e-13,3.978033e-12,2.1800334e-16,0.0,0.0,0.0,7.48e-16,4.326010430538403e-14,3.253392381375931e-12,1219.0991158229074,11.776905178293267
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.8474993586098681,34610D,258.49243,32.204975,-3.897599,210.2630323787604,68625.75235104101,0.404894160902189,0.79947031811577,59.54886261554383,66.2464138599856,1526.2561308544214,0.0002537176047468,47596.28928252322,0.1138188658814998,0.4962405217961986,0.951619100542356,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,15.932521723278194,1.190896767996657,0.6523733619637485,33.12276919228141,17.727089026209615,36.28235538999999,1450000000000000.0,24.0889582153408,845.855775311073,1512.41645366161,0.0253717604747,0.0250463368569336,0.399735159057885,33.1232069299928,15.9598252367681,15.955776975252066,7.4891058665841905,0.8601931036486725,777710016020384.0,22.35514443860147,1374468024975665.8,0.004758736981800936,1.3197991984404954e-05,3.16,35.8,2023-05-05 01:06:00,0.0002537176047468651,0.11381904293987112,0.0,475.96289282523225,6,0.0002537176047468651,32.204975,-3.897599,0.11381904293987112,0.58031857,8.784573e-10,0.6414572454864077,1133.1741074553668,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.7035774839941187,240.10801328509865,0.09862545144555127,inf,0.0,230.1733813696951,0.0,0.0,0.0,0 days,0.00024927428,-5.0131677e-09,59572.15,0.13134995,-230.30434,0.0,0.0,0.9999999999999999,-6.921126316504458e-13,3.4468734e-12,2.1287701e-16,0.0,0.0,0.0,7.48e-16,3.677276834250793e-14,2.7547608714809503e-12,1219.8746396740853,12.351486589520807,6.288241350992821e-13,0.00024927428,-5.0131677e-09,59572.15,0.13134995,-230.30434,0.0,0.0,0.0,-6.921126316504458e-13,3.4468734e-12,2.1287701e-16,0.0,0.0,0.0,7.48e-16,3.677276834250793e-14,2.7547608714809503e-12,1219.8746396740853,12.351486589520807
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.8490958644881182,34610D,254.9608,31.578466,-4.2192717,212.87942087480843,68566.20348842547,0.40563866138536653,0.65199085238262,48.87146422999599,53.4599566292262,774.9509114804779,0.0003994737483404,44739.09919617161,0.2342101583044126,0.4072622019166332,0.7911861844957719,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,13.936047722412376,1.0396364939602052,0.6650497996761642,26.729505700956857,14.837915926758862,28.097251035254747,1572969404835116.5,20.5662102378856,817.891428906506,1447.33172194509,0.039947374834,0.0233408465854137,0.32599542619131,26.7299783146131,13.966735310922,13.961158194726778,7.4865823850503315,0.7443098450390071,626776918985129.9,21.19728951905817,1310402861196106.8,0.004212561963775521,9.79774631533552e-06,3.16,35.8,2023-05-05 01:07:00,0.00039947374834040886,0.23421007731583168,0.0,447.3909919617161,7,0.00039947374834040886,31.578466,-4.2192717,0.23421007731583168,0.6265238,4.5864184e-09,0.6113026396787091,1135.3083721055875,12963.734149278178,-0.9351760437679651,-0.35418323952792735,3.4860516671176236,239.41683582949733,0.1960054995843698,inf,0.0,229.94346509546804,0.0,0.0,0.0,0 days,0.0003910522,1.8029683e-08,64110.92,0.23295526,-220.61665,0.0,0.0,1.0,-6.673157994887957e-13,3.0565695e-12,2.1232816e-16,0.0,0.0,0.0,7.48e-16,3.202062801308197e-14,2.389253834603429e-12,1220.952002362859,12.963734149278178,3.937325745916309e-13,0.0003910522,1.8029683e-08,64110.92,0.23295526,-220.61665,0.0,0.0,0.0,-6.673157994887957e-13,3.0565695e-12,2.1232816e-16,0.0,0.0,0.0,7.48e-16,3.202062801308197e-14,2.389253834603429e-12,1220.952002362859,12.963734149278178
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.8507269945240282,34610D,253.20222,31.325333,-3.485086,215.45625922679048,68517.33202419546,0.40788734357909356,1.06802322085816,61.26280513729738,87.0048070816566,2681.068642729105,0.0004098539558083,43340.512388800154,0.2752489198246104,0.5105233761441448,1.0,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,18.25275149806433,1.3614753999489568,0.6754334404650103,43.50253039032334,18.482516039756867,36.28235538999999,1450000000000000.0,28.9994907250517,894.779631903669,1654.23240117266,0.0409853955808,0.0292223101134935,0.53401161042908,43.5024035408283,18.2741066108425,18.26661996439085,7.494336932991868,1.0,729927299261595.6,20.733621483569483,1283870881971661.5,0.005952526392295051,1.8273352388410982e-05,3.16,35.8,2023-05-05 01:08:00,0.0004098539558083188,0.2752492689443581,0.0,433.4051238880015,8,0.0004098539558083188,31.325333,-3.485086,0.2752492689443581,0.6829267,2.0408358e-08,0.5963057279623977,1137.4889305124916,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.3899299224406874,239.09917965321745,0.22638687387470965,inf,0.0,229.7851897730296,0.0,0.0,0.0,0 days,0.00039853915,3.181525e-08,66530.5,0.2897523,-211.84091,0.0,0.0,1.0,-6.541563886295012e-13,2.8959888e-12,2.134023e-16,0.0,0.0,0.0,7.480000000000001e-16,3.0105224477348057e-14,2.241832474904781e-12,1222.090215312494,12.877115418230199,8.551384440301225e-13,0.00039853915,3.181525e-08,66530.5,0.2897523,-211.84091,0.0,0.0,0.0,-6.541563886295012e-13,2.8959888e-12,2.134023e-16,0.0,0.0,0.0,7.480000000000001e-16,3.0105224477348057e-14,2.241832474904781e-12,1222.090215312494,12.877115418230199
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.8523591105105214,34610D,247.09012,33.018444,-2.449981,221.08609398362523,68456.06921905818,0.41555914617578754,0.972328381937122,59.69264685228514,78.6440408342364,2441.929614403164,0.0004443362955606,38763.39764052093,0.4867992417671418,0.4974387237690428,1.0,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,16.91021924780881,1.2607526194079717,0.7016021860413666,39.32170489484833,18.1662703707586,36.28235539,1450000000000000.2,26.6679715328599,882.036564545886,1632.40492956165,0.0444336295561,0.0287123559172746,0.486164190968561,39.3220204171182,16.9322291897358,16.924708927267616,7.493617097501892,1.0,723854365898935.6,18.8985706420173,1181296055995661.5,0.005545655875579317,1.8121319642849212e-05,3.16,35.8,2023-05-05 01:09:00,0.00044433629556062554,0.4867996950688325,0.0,387.6339764052093,9,0.00044433629556062554,33.018444,-2.449981,0.4867996950688325,0.7106231,1.3774766e-07,0.5465235803201758,1139.6708057141118,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.0718160508170533,237.9877970472456,0.37690304188527207,inf,0.0,229.47593795798255,0.0,0.0,0.0,0 days,0.00042074107,4.856778e-08,74585.664,0.46936947,-204.32355,0.0,0.0,1.0,-6.099339411123611e-13,2.384746e-12,2.172481e-16,0.0,0.0,0.0,7.48e-16,2.4037804787062664e-14,1.7748120532577823e-12,1223.2196865475296,11.709442181463151,5.742083445863831e-13,0.00042074107,4.856778e-08,74585.664,0.46936947,-204.32355,0.0,0.0,0.0,-6.099339411123611e-13,2.384746e-12,2.172481e-16,0.0,0.0,0.0,7.48e-16,2.4037804787062664e-14,1.7748120532577823e-12,1223.2196865475296,11.709442181463151
