Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,1,407463.0,BAW680,51.464630126953125,-0.5077465160472912,76.652222156,586.74,-0.8111840302577311,34610D,274.50504,-1.5735826,0.27341342,93.33664897740998,68800.68491255304,0.2463191945490584,1.203319142241822,72.19914853450932,136963.96967441516,1851.302380775242,2023-02-06 00:01:00,0.0024948883216943,0.9447202900687772,0.5548976298485009,0.601659571120911,0.6815127347714894,0.0172896281723434,0.0002885306962321,6.051376565563671e-05,2.2198432947446333e-05,1406497629297182.5,228.07711022051487,89.31034673718804,0.0866389782414111,0.00176814241309,0.0014439829706901,1.248296432521461,0.0208316705940273,0.0043690423549538,0.001602707957606,1.0154793125106253e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,25.703345329139783,3.791374823280819,0.2810180890354548,68.48198483720758,17.28962817234344,22.19843294744633,1406497629297182.5,34.8984243374454,823.062661555664,1320.39711357005,0.249488832169,0.0235087296658344,0.545173165919908,68.4821673589158,23.1902435252474,23.132530445188465,16.639286015250278,0.7649186318183869,1.2562362554500965,1266202194563152.2,20.018574526653488,,
1,2,407463.0,BAW680,51.4423828125,-0.5900697450380221,127.582222112,1165.86,-0.811519031882681,34610D,275.92426,-5.171914,-0.6395595,120.81571785966084,68728.48576401854,0.2553746735066721,1.5973535153097185,95.8412109185831,151241.3042336002,3294.40960391326,2023-02-06 00:02:00,0.0007208230420383,0.880809851588033,0.1332253125423189,0.7986767576548592,1.0,0.0228921801143746,0.0003152187997711,6.836405690657086e-05,3.628235539e-05,1450000000000000.0,302.762385291804,118.55557790628733,0.1150094531022997,0.0023471316959653,0.0019168242183716,2.1940142627279724,0.030210951474368,0.0065520939972326,0.0034773448755559,1.389697558319455e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,23.983675652728344,3.580263361865992,0.3628153832909609,75.6206521168001,22.892180114374625,36.28235538999999,1450000000000000.0,39.9649375712738,870.700240911689,1461.31308910921,0.0720823042038,0.0266176875615292,0.686714156352099,75.6199870713549,25.7991666167354,25.7805833781992,13.95952352050138,0.9767510785726946,2.134442321450009,1203914417617247.2,28.397178488309404,31.791335885891424,1898961668763932.0
2,3,407463.0,BAW680,51.3767720885196,-0.60943603515625,148.674444316,2179.32,-0.8123271096858029,34610D,273.5301,-1.9294504,-10.404614,142.18802209842784,68632.64455309995,0.2714283078403687,1.4421457579203552,86.52874547522131,132898.85198110284,3245.194635318491,2023-02-06 00:03:00,0.0003826662341689,0.7774093610102212,0.0758524644047358,0.7210728789601776,1.0,0.0219312731047619,0.0003478879607869,7.544928273826953e-05,3.628235539e-05,1450000000000000.0,273.3443069562241,107.03605815284875,0.1038344945702655,0.0021190713177605,0.0017305749095044,1.8976855484295143,0.0301023088128283,0.0065285317823477,0.0031394666947828,1.2546668093907091e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.677679596092297,2.7945046220997942,0.4288621065123881,66.44942599055142,21.93127310476196,36.28235538999999,1450000000000000.0,37.1162624275079,874.82950997649,1514.06433135672,0.0382666234169,0.0271585396659381,0.654816105298455,66.4494825226984,24.1108731674449,24.101650279695114,11.63292752700687,0.996180593420985,2.953065646965214,1075175014850710.9,26.65742674916405,29.331951385384496,1787061304622659.0
3,4,407463.0,BAW680,51.306060791015625,-0.5404828045819272,162.564444304,3169.92,-0.813225795689734,34610D,267.1992,2.9136672,-16.605413,160.48622798660688,68546.11580762474,0.296950303665453,1.0788378316312768,64.73026989787661,86095.733357561,1323.1342720479213,2023-02-06 00:04:00,0.0002452794432966,0.6860654157738573,0.0730637277669033,0.5394189158156384,0.7842306702949476,0.0170621118950387,0.0003658039273849,7.838609084181419e-05,2.651325155905317e-05,1596766715706873.5,204.4829226073922,80.07134386367338,0.0776763238774519,0.0015852310995398,0.0012946053979575,1.1044351079936263,0.02367858694933,0.0050739528164301,0.0017162099292878,1.0335914047165194e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,22.83054904494233,3.4189824923814487,0.4897533431503366,43.0478666787805,17.062111895038704,26.51325155905317,1596766715706873.5,28.2099690942391,828.279378886064,1280.91198660258,0.0245279443297,0.0227159026068857,0.424266497912144,43.0480644817699,18.6770697715326,18.67248979363106,18.334793635558576,0.7861255949145765,1.0611689696171474,849138640090140.8,13.57049910962726,27.18026333309527,1662316739984300.5
4,5,407463.0,BAW680,51.216156005859375,-0.469962455130883,203.719999824,3573.78,-0.8142998520088857,34610D,264.51703,2.6385999,-18.523674,180.4525668564626,68481.38553772685,0.2973348765106069,1.3393106856316557,80.35864113789933,114238.8362747918,2747.203250855887,2023-02-06 00:05:00,0.0001547517837227,0.6514159769489202,0.0552692380299096,0.6696553428158277,1.0,0.0212711427683197,0.0003730325733834,8.090259874508522e-05,3.628235539e-05,1450000000000000.0,253.85294735462395,99.40363908758148,0.0964303693654791,0.0019679667217444,0.0016071728227579,1.7093201283124289,0.0299763906972687,0.0065012228996797,0.0029156007764227,1.1652002964995402e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.02167520233828,3.000152890400062,0.5534691624763907,57.11941813739589,21.271142768319745,36.28235539,1450000000000000.0,35.5607062140796,879.45546413194,1490.1370454788,0.0154751783723,0.0270589533642746,0.619876046087277,57.1188996398183,22.9083526529036,22.904808092995385,13.1138293676726,1.0,2.401127596743894,949278812854453.4,23.76470407352873,27.646101596851835,1648125362189455.2
5,6,407463.0,BAW680,51.11584679555085,-0.3870391845703125,211.436666484,4411.9800000000005,-0.815463950881189,34610D,259.3422,-3.722173,-20.908457,202.11671473194767,68401.02689658896,0.3203554959919722,1.2723759304614004,76.34255582768402,87907.4779429061,1473.810460223571,2023-02-06 00:06:00,0.0002199566554705,0.584016359568902,0.1119946560038434,0.6361879652307002,1.0,0.0207596239603762,0.0003906729554617,8.472841143496488e-05,3.628235539e-05,1450000000000000.0,241.16613385965385,94.43574155884517,0.0916110669932208,0.0018696136121065,0.0015268511165536,1.5848427511567516,0.0298249719127042,0.0064683834801647,0.0027698877419209,1.1069670595014184e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.89533263999564,3.129703828516909,0.6260699529661519,43.95373897145305,20.75962396037626,36.28235539,1450000000000000.0,30.6684897334034,855.769370326196,1379.51899925412,0.0219956655471,0.0246366948687763,0.494106872251511,43.9544155870458,20.0557288582458,20.051318437304555,15.630464696163209,0.9049919946599677,1.5397371655563197,887711918207605.6,17.21757641036709,26.914478030805423,1557977585431425.5
6,7,407463.0,BAW680,51.010345458984375,-0.3004166886613006,233.557777576,4861.56,-0.816659401619003,34610D,256.2636,-7.926984,-20.816128,222.1555490538604,68324.68434076128,0.3284057202774581,1.2327925799291637,73.9675547957498,90608.36347629776,1979.2993357344687,2023-02-06 00:07:00,0.0005491230017223,0.5502644086780273,0.350272058827193,0.6163962899645817,1.0,0.020411519852255,0.0003990886076347,8.655358215599519e-05,3.628235539e-05,1450000000000000.0,233.66350559977363,91.49786528234252,0.0887610657548997,0.0018114503215285,0.0014793510959149,1.5097902131362082,0.0295196084535818,0.006402156830892,0.0026837171104286,1.0725295445383722e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.89509012970516,2.8238877908459363,0.6922626415743786,45.30418173814887,20.41151985225502,36.28235539,1450000000000000.0,32.2141928660542,869.78685641407,1450.52519482197,0.0549123001722,0.025911262765021,0.543515156606714,45.3039698800403,20.9760196380871,20.964507544774484,13.524762640395489,0.9724823389465167,2.1184267923012863,852859424681630.8,19.894325542843934,27.96263742923692,1492309519655593.5
7,8,407463.0,BAW680,50.89504953158104,-0.2059173583984375,245.389999788,5463.54,-0.8179324674751463,34610D,254.0317,-12.86214,-18.858946,240.6476395002803,68250.71678596552,0.3388187583494991,1.159179725391207,69.55078352347242,74158.69940668448,1561.3191408927737,2023-02-06 00:08:00,0.0012892374875709,0.5075617624400697,0.9366418993663124,0.5795898626956035,1.0,0.0196776508761831,0.0004210335199592,9.131295322159436e-05,3.628235539e-05,1450000000000000.0,219.71092515064936,86.03431921853539,0.0834609402281669,0.0017032844944523,0.0013910156704694,1.3685960363398784,0.0292832112028122,0.006350887442404,0.0025234662454515,1.00848636109035e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.16238690262663,2.8496531678477903,0.7531731963596473,37.07934970334224,19.6776508761831,36.28235538999999,1450000000000000.0,28.8430159195607,857.243270043062,1380.71041142062,0.128923748757,0.0243165332936853,0.461146539124853,37.0795188104317,18.9643208411047,18.93990280839317,15.174688221133223,0.9120205218327336,1.569508912939554,771052793523732.1,15.258176009799724,28.136264675771223,1421588924516425.5
8,9,407463.0,BAW680,50.77340853416313,-0.1070404052734375,261.852221996,5935.9800000000005,-0.8192453697766819,34610D,251.83884,-14.094963,-19.66476,252.6460408160268,68181.16600244204,0.3408933156177141,1.1163390128285045,66.98034076971027,75682.14078799731,1667.4045464709548,2023-02-06 00:09:00,0.0011091776628754,0.4759628928252322,0.933035745245212,0.5581695064142522,1.0,0.0195292036135386,0.0004368835595635,9.475047982300677e-05,3.628235539e-05,1450000000000000.0,211.5908964915147,82.85468153213161,0.0803764089236523,0.0016403348759929,0.0013396068153942,1.308072712995877,0.0292626096962502,0.0063464194266385,0.0024302045279499,9.712149411607987e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.160220787681865,2.852781029238821,0.7941606505787119,37.841070393998656,19.52920361353866,36.28235539,1450000000000000.0,29.5354248898874,869.612385142134,1411.29594111882,0.110917766288,0.0251453607993277,0.483398194711694,37.8408041116971,19.2241502744562,19.202850901173093,14.966946404538051,0.9716688255841789,1.7029744514588965,705545647439575.1,16.423052990988285,27.96375955634395,1371185941054859.0
9,10,407463.0,BAW680,50.6448778055482,-0.0031177417652088,273.684444208,6438.900000000001,-0.82060209779703,34610D,249.25493,-14.40385,-20.931623,261.93125864919205,68114.18566167234,0.341382746594933,1.0754655396414992,64.52793237848995,76413.54244604567,1744.94161397185,2023-02-06 00:10:00,0.0007053054832032,0.4440953957525199,0.7131073791352605,0.5377327698207496,1.0,0.0193225272306684,0.0004531937924656,9.828781227617272e-05,3.628235539e-05,1450000000000000.0,203.8437383836497,79.82105235219207,0.0774335188541879,0.0015802758949834,0.0012905586475697,1.2468427305221017,0.0292436583945744,0.0063423093041865,0.0023412253751382,9.356550194881043e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.378648062484647,2.743834648120364,0.8276041518093323,38.206771223022834,19.32252723066841,36.28235538999999,1450000000000000.0,29.7355983326785,878.389741820887,1445.16550482939,0.0705305483203,0.0259697252764593,0.499224134087343,38.2068570283687,19.2233120979479,19.20976334652856,14.354072717080088,1.0,1.9081346228440348,681342621216653.8,17.057060103561746,27.24252267350605,1325598509386869.5
