Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.44874129019592,34610D,254.35884,23.209726,-5.482102,161.02033761075526,70805.94126774029,0.2988681729726675,1.102581988331075,66.1549192998645,88265.1548660134,1624.1507490818017,2023-02-06 01:00:00,0.0005919207811282,0.7305820758235784,0.600010276906903,0.5512909941655375,0.4427357318883744,0.0143545859187521,0.0008324614993966,0.0001849914443103,9.220359371661348e-05,1623458338697924.0,208.983390068272,81.8336351739324,0.0793859031598374,0.0016201204726497,0.0013230983859972,0.9496264730380188,0.0550714233128276,0.0122380940695172,0.00609972130148,1.0739975538325325e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5036334109765714,44.1325774330067,14.354585918752134,92.20359371661348,1623458338697924.0,18.0795174337305,686.764893217891,1315.10158333428,0.0591920781128,0.0178230002397819,0.643077251035533,44.1330537060924,36.0813130440378,36.05996839937538,0.05919207811282,0.5473414539856859,16.870959212262328,7321323391997047.0,88.15881669103156
1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.4501178965169989,34610D,252.29367,25.302755,-4.2084217,174.4673654415231,70739.78634844042,0.3079607554463513,1.2044474026924412,72.26684416154647,91695.59456524186,1962.4463417522863,2023-02-06 01:01:00,0.0003603557180923,0.6833994069049528,0.4164904136489969,0.6022237013462206,0.5059495900578312,0.0158232842492449,0.0008674708951916,0.0001927713100425,0.0001056428238958,1444193748545296.0,228.2909607063253,89.394086227833,0.0867202129938557,0.0017698002651807,0.0014453368832309,1.1434988169640348,0.0626893839974953,0.0139309742216656,0.0076344734912672,1.0436732456520254e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5479213422950182,45.84779728262093,15.82328424924491,105.64282389585264,1444193748545296.0,18.8149757953918,701.609261056981,1348.08074807515,0.0360355718092,0.0184590300983754,0.683718687114457,45.8473759736914,37.0397948034459,37.0264521097075,0.03603557180923,0.5999554073520634,18.49587969442905,6231010382459967.0,87.24121218780448
2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.4515015825349095,34610D,249.50983,25.290424,-2.9461634,186.11955970640608,70667.51950427887,0.312757998976606,1.3426503770550922,80.55902262330552,97310.29870438576,2323.2226234543373,2023-02-06 01:02:00,0.0002195755586825,0.6299442896063308,0.3070695646551536,0.6713251885275461,0.5919354313181093,0.0177172463216085,0.000908726340489,0.0002019391867753,0.0001263350889504,1228159456415888.8,254.4859524670221,99.65151098502892,0.0966708271479666,0.0019728740234278,0.0016111804524661,1.427284047245136,0.0732061058218486,0.0162680235159663,0.0101774312888775,9.89393254344342e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.587767238361204,48.65514935219288,17.717246321608503,126.33508895046178,1228159456415888.8,19.6501881981649,718.279768461587,1393.57636921604,0.0219575558683,0.0194540568478389,0.739062902460762,48.6546616230367,37.9901687468783,37.98182886558536,0.02195755586825,0.6625497086211779,20.361578455948095,5326858079888650.0,90.56513478953364
3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.4528837783417367,34610D,245.11743,25.606356,-1.9973599,197.97082768622823,70586.96048165557,0.3216962839896548,1.0877050444663403,65.26230266798044,76231.67216860756,1209.5946323960154,2023-02-06 01:03:00,0.0001941075046773,0.5712403748956332,0.3829173220617756,0.5438525222331703,0.4995121900770928,0.0150281737031123,0.0009469162031419,0.0002104258229204,8.949198800989748e-05,1182555310420487.8,206.1636141281502,80.72946840029181,0.0783147632015765,0.0015982604735015,0.0013052460533596,0.9807732207594998,0.0617979318506671,0.0137328737445927,0.0058404532078612,7.717628259028942e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6307703741049036,38.11583608430378,15.028173703112309,89.49198800989748,1182555310420487.8,16.61817629149,693.178242886444,1336.57480370343,0.0194107504677,0.0183188068800182,0.6023293311241,38.1153467584468,32.8803799870345,32.87399889713981,0.01941075046773,0.5694830940839707,17.12369612765171,6154659944586473.0,78.87377449450516
4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.454264156179153,34610D,242.74187,26.412031,-1.6604272,210.2233383515608,70521.69817898759,0.3268890301219145,1.0216069483811616,61.296416902869694,68514.5349749527,1210.0164226228403,2023-02-06 01:04:00,0.0001971473058708,0.5424921360051816,0.4721805150213624,0.5108034741905808,0.4813529117710372,0.0144122781880448,0.0009665585781163,0.0002147907951369,8.146499085197944e-05,1160869106768527.5,193.63538099616537,75.82366770884981,0.0735557002834436,0.0015011367404784,0.0012259283380573,0.883421012334534,0.059246577565265,0.0131659061256144,0.0049935120422513,7.115711673814562e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6730786315905332,34.25726748747635,14.412278188044873,81.46499085197944,1160869106768527.5,15.6566312815819,685.248452321918,1319.18240523557,0.0197147305871,0.0179841459026903,0.561176289376832,34.2568322037833,31.2039444304599,31.197793869449423,0.01971473058708,0.5423092609226907,16.15893287415363,6347379630449470.0,75.3728954264908
5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.4556453809578827,34610D,240.49298,28.273552,-1.4029464,215.55294166667892,70460.40176208472,0.3308147829626013,1.0247361147579632,61.48416688547779,67830.09960452067,1805.3873890026416,2023-02-06 01:05:00,0.0001801533801623,0.5149267974234382,0.5190921336103975,0.5123680573789816,0.4937264981201268,0.0145671745544883,0.0009885293458597,0.0002196731879688,8.170171767644098e-05,1081379196483193.8,194.2284831912244,76.05591443733603,0.0737810002625733,0.0015057346992361,0.0012296833377095,0.8956505913580494,0.0607789032720351,0.0135064229493411,0.0050233620444484,6.648769898305656e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6933618946500282,33.915049802260334,14.567174554488384,81.70171767644098,1081379196483193.8,15.5078084487581,687.222213913825,1325.58004657176,0.0180153380162,0.0181319025312249,0.558509769049376,33.9153617394765,30.8026015520196,30.79705335875798,0.01801533801623,0.548856199731443,16.27533927915349,6158781684537197.0,74.47323498489743
6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.4574569249336606,34610D,237.36125,31.884224,-1.3415315,212.30996168038368,70398.91759519924,0.330831329111146,1.0241134591020506,61.44680754612304,68827.78440753007,1404.0682714628429,2023-02-06 01:06:00,0.0001510283297126,0.4759628928252322,0.5637374811603557,0.5120567295510253,0.5070496411567839,0.0146360666429107,0.0010257932362274,0.0002279540524949,8.057390091179875e-05,929706500195427.0,194.11046503820268,76.0097009345542,0.0737361690553476,0.0015048197766397,0.0012289361509224,0.8993395702391693,0.0630317195685798,0.0140070487930177,0.0049510089825676,5.712749639188801e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6874208046879192,34.41389220376503,14.636066642910771,80.57390091179876,929706500195427.0,15.1848135453863,689.801156097976,1342.32673718314,0.0151028329713,0.0185896483114697,0.557348245542176,34.4134115811521,29.9816454945141,29.9771181004378,0.01510283297126,0.5576222884351091,16.392705210683598,6056446681635462.0,75.05334935710144
7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.4599210198779294,34610D,234.98634,34.73412,-1.4227859,216.8626877230038,70337.47078765312,0.3302572942058772,0.831245260650209,49.874715639012535,54597.93570605006,714.4290629663275,2023-02-06 01:07:00,0.0001414358958823,0.4473909919617161,0.6448473193629678,0.4156226303251045,0.4235787062985901,0.0123737482133827,0.0010569919925433,0.000234887109454,5.8165699605071936e-05,922255964196226.6,157.55422670364058,61.69502324545852,0.059849658766815,0.001221421607486,0.0009974943127802,0.6171371735312045,0.0527171750608118,0.0117149277912915,0.0029009977277471,4.599725396067013e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7057010121419797,27.29896785302503,12.373748213382758,58.165699605071936,922255964196226.6,12.8997006294068,664.503705523445,1285.86838872847,0.0141435895882,0.0174945740781704,0.456137844771071,27.2993422773819,26.0731037367887,26.069416585498804,0.01414358958823,0.46317820434931467,13.796860581291977,7316476473341310.0,70.38484063899266
8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.4624626834716849,34610D,233.49033,35.64563,-1.4313227,219.3233767273466,70287.5960720141,0.3163871681459616,1.3708352609416412,82.25011565649848,85290.10767161069,2474.8572255032595,2023-02-06 01:08:00,0.000135446679356,0.4334051238880015,0.7074914388172449,0.6854176304708206,0.7058524515168956,0.0190056284480575,0.0010690239780183,0.000237560884004,0.0001330383093605,698528983737723.2,259.8281153588787,101.74339306708865,0.0987001387877981,0.0020142885466897,0.0016450023131299,1.563215137977172,0.0879273458315753,0.0195394101847945,0.0109424163316504,5.745408970184408e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7159912246003869,42.64505383580534,19.00562844805756,133.03830936055186,698528983737723.2,17.5132578529378,724.692891367527,1439.38880239722,0.0135446679356,0.0207546439335259,0.690578816807869,42.6446061761671,33.2734600998067,33.26895393047117,0.0135446679356,0.6870454903492204,20.310424880542495,4667299418566347.0,86.09787951231625
9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.4650072339005209,34610D,228.32259,37.635315,-1.7574707,224.1421163734822,70205.3459563576,0.3218455917038698,1.2241360212371042,73.44816127422625,75811.1758115227,2259.23234914914,2023-02-06 01:09:00,8.032837263502274e-05,0.3876339764052093,0.68126207112405,0.6120680106185521,0.6518162681086372,0.0174265212582499,0.0011126357976652,0.0002472523994811,0.0001085676584728,622028802079154.5,232.02274146528072,90.85537549621787,0.0881377935290714,0.0017987304801851,0.0014689632254845,1.279945943824672,0.0817210535063958,0.0181602341125324,0.0079740948886763,4.56868717723235e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7399565527189004,37.90558790576135,17.426521258249913,108.56765847281407,622028802079154.5,15.8192441384632,711.708223396606,1420.16454311103,0.0080328372635,0.0204833855746911,0.620349290491091,37.905656982041,30.2854861677546,30.283053579342152,0.0080328372635022,0.6379412731021223,18.55954745782028,5170239829466325.0,81.25984993990868
