,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,1,3c49c8,EWG1VT,51.27375198622881,6.7395782470703125,79.73888882,480.06,-0.8024823182432335,34610D,272.38846,-6.3829026,-9.068879,76.37176287483153,69977.97246230373,0.2242030364491102,1.2688879890088391,76.13327934053035,160661.35271027355,1609.5781164530124,2023-02-05 23:01:00,0.0033471929996075,0.9568925477700024,0.8972782874584732,0.6344439945044196,0.6854112460274326,0.0173876409111163,0.0002776051910182,5.827318579659549e-05,2.33636374503383e-05,1461495578921942.5,240.50502943673536,94.17686654423603,0.0913599352086364,0.0018644884736456,0.0015226655868106,1.3237781225588512,0.021134993554175,0.0044365287323148,0.0017787503364174,1.1126845116501437e+17,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,20.203507600053147,1.447638030797571,0.2308318114002425,80.33067635513677,17.387640911116303,23.363637450338302,1461495578921942.5,37.1326984094778,825.967897588372,1546.05226050373,0.334719299961,0.0254009677242431,0.629664889841159,80.330635578758,24.7890118469855,24.706315042230052,6.194103948473286,0.7766493684723111,6.205539275337474,1259669268939094.5,17.09452738208908,,
1,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,-0.8027542455544168,34610D,272.21658,-8.785708,-12.3392935,109.89420452762958,69901.8391829632,0.2627886437208525,1.0269890008426623,61.61934005055974,105919.77613330628,1545.354145803298,2023-02-05 23:02:00,0.0014640223732029,0.8997697737353945,0.3743236356463879,0.5134945004213312,0.5953118100702065,0.0164165063918993,0.0002949778584214,6.059905710464749e-05,1.836402868103138e-05,1225512770277283.0,194.6554952197182,76.2231236425424,0.0739432080606716,0.0015090450624626,0.0012323868010111,1.011574289804632,0.0181763409654544,0.0037340739064745,0.0011315793279947,7.551528812801941e+16,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,24.07379695414492,1.7702901942120572,0.3322574261208702,52.959888066653136,16.416506391899325,18.36402868103138,1225512770277283.0,29.718098836852,796.200977239494,1401.77740583064,0.14640223732,0.0226914621382794,0.459112042778342,52.9606429396885,20.2328100313925,20.203232047663708,8.908813073544747,0.6625821987212968,3.382107580630261,725288282870197.8,8.928878941987334,22.48100108634017,1582417958585712.8
2,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,-0.8026860466894465,34610D,268.90103,-8.183941,-12.292739,128.76144792925294,69840.21984291263,0.270989419784858,1.4453341130292254,86.72004678175352,131194.06677989435,2591.798539792315,2023-02-05 23:03:00,0.0006576782357782,0.8478145509278591,0.2092972939089107,0.7226670565146127,0.8560337438759771,0.0195341429003293,0.0003010048842548,6.528136980184777e-05,3.257267320997474e-05,1505732632112464.0,273.94862778355935,107.27269786902912,0.1040640561381042,0.0021237562477164,0.001734400935635,1.694001786158018,0.0261031576441166,0.0056612034431931,0.0028247037445757,1.3057720429760574e+17,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,23.53647587700576,1.7497562628442058,0.391693910669459,65.59703338994717,19.53414290032933,32.57267320997474,1505732632112464.0,36.5708620444676,839.881404846308,1532.68951151246,0.0657678235778,0.0254439651345421,0.613863741307704,65.5974042104549,24.1261036973494,24.110246912695683,7.323081567315717,0.8349892556517235,5.4323354757223115,1216391744272723.5,17.132025024255206,22.333689876188757,1542394244105759.8
3,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,-0.8025771859045123,34610D,265.7193,-10.115075,-17.433117,152.02758551331675,69753.49979613088,0.2869300181821009,1.483961896732832,89.03771380396992,120796.90181417746,2710.516419643233,2023-02-05 23:04:00,0.0004102518083551,0.7663932731338663,0.1551751363655123,0.741980948366416,0.9410755021116012,0.0212520729361773,0.0003208047984215,6.957553772526798e-05,3.628235539e-05,1450000000000000.0,281.27013790674096,110.1396519755108,0.1068452565647639,0.0021805154400972,0.0017807542760793,1.8922359878324544,0.0285637258287963,0.0061948468157397,0.0032304979753487,1.2910468501575638e+17,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,19.01759738542187,1.4185178001887009,0.46523038012409,60.39845090708873,21.25207293617736,36.28235538999999,1450000000000000.0,35.7919745443461,847.660887183724,1576.23755915976,0.0410251808355,0.0259797264944442,0.613310014612026,60.3985367270598,23.6072544775705,23.59757353035688,6.052311885224255,0.8677968076675606,7.062521877917338,1185813565056665.2,17.853316146348075,21.519227956010077,1472746469415378.2
4,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,-0.8025919749969554,34610D,262.69473,-9.7017145,-22.68333,172.15993090396677,69664.4620823269,0.3032974381270796,1.088019860071116,65.28119160426695,82670.95284125647,1746.815013642773,2023-02-05 23:05:00,0.0010080620452574,0.6887398399781723,0.4472575116560761,0.544009930035558,0.7446097476016907,0.0169330225673773,0.0003444755888612,7.323256495687274e-05,2.543379929910656e-05,1559207746005983.8,206.2232842778793,80.75283401447822,0.0783374299251203,0.0015987230596963,0.0013056238320853,1.1054078906603364,0.0224877769194421,0.0047807091046215,0.0016603487252694,1.0178693961787382e+17,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,19.2804888972326,1.4266007382211374,0.5298630220848103,41.33547642062823,16.93302256737734,25.43379929910656,1559207746005983.8,28.1131907537856,813.657895504707,1449.76634300468,0.100806204526,0.0232112268219708,0.44269798025012,41.3358074680439,19.0725799909499,19.05337300878561,7.588198266620595,0.7276978878331513,4.443486197694853,700004499903109.1,9.154430921657772,20.469291619368978,1401000723685460.0
5,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,-0.8025233181063105,34610D,260.8288,-7.7048664,-21.982765,180.86530391463708,69599.18089072265,0.3097630778309612,1.1483897926692943,68.90338756015765,84828.77006013505,1956.01770563358,2023-02-05 23:06:00,0.0008242821444889,0.642504077920173,0.4033593605740863,0.5741948963346472,0.8251207176474141,0.0173727577322217,0.0003611811950116,7.799972668385806e-05,3.05488382972539e-05,1536137836971890.2,217.66580130253803,85.23349041191503,0.0826840650721891,0.0016874298994324,0.0013780677512031,1.197041859012003,0.0248866078593298,0.0053744453972842,0.0021049184447082,1.0584510072669645e+17,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.857272823606923,1.3987517484882623,0.5586434599953292,42.41438503006753,17.372757732221785,30.54883829725389,1536137836971890.2,28.8059863154025,826.508433888633,1486.03532963415,0.0824282144489,0.0240476292909798,0.46493882955762,42.4135043257957,19.3340817064249,19.3181580936439,7.323034392884104,0.7788575108592727,4.869807093569598,779369800658945.5,10.592768644842351,19.33334037550794,1352733888331230.2
6,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,-0.8024294629498911,34610D,258.67087,-9.410086,-19.239204,188.92953500521247,69530.27750316249,0.3145562071013433,1.1470488565338333,68.82293139203,82368.23847224408,1887.5434647815648,2023-02-05 23:07:00,0.0005264008832577,0.5940463497616392,0.2899343475747211,0.5735244282669166,0.8691066257035908,0.0177268459940054,0.0003806758823093,8.256026512393871e-05,3.377695954872019e-05,1487639964272409.5,217.4116402674228,85.13396613194112,0.082587517670436,0.0016854595442946,0.0013764586278406,1.220013505642518,0.0261992301307761,0.0056820394623326,0.0023246293696529,1.02383743197162e+17,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,19.10490409980084,1.4228109690923725,0.5859806701031444,41.18411923612204,17.726845994005433,33.776959548720185,1487639964272409.5,28.3284295884815,832.923020178531,1493.26422217764,0.0526400883258,0.0243326651074092,0.45976683988492,41.1843014670788,18.8950465497889,18.885105413618756,7.5866778282810365,0.8055041983253983,4.716438301494236,777764735205643.4,10.75940611724497,18.047938785524536,1276635992366920.5
7,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,-0.8023316662383801,34610D,254.80453,-11.12708,-17.002485,197.0520092598847,69461.45457177046,0.3180168641706692,1.2138522465324266,72.8311347919456,84491.80107810968,1886.729328697349,2023-02-05 23:08:00,0.0004614868414836,0.5502644086780273,0.3377427918106023,0.6069261232662133,0.9444182329990272,0.019296023628826,0.0003916390895369,8.493794476527902e-05,3.628235539e-05,1450000000000000.0,230.07355480775612,90.09211373763672,0.0873973617503347,0.0017836196275578,0.0014566226958389,1.4053512978596003,0.0285235193198568,0.0061861269041508,0.0026424851159783,1.0560514544832112e+17,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.599965706248263,1.3864137885431385,0.6157926381480618,42.24590053905485,19.29602362882609,36.28235538999999,1450000000000000.0,28.9430229298418,842.102003020929,1526.12628599393,0.0461486841484,0.025123629928493,0.48085510825906,42.2454343733821,19.1395554554685,19.130726876746863,7.293201017681518,0.8443223658971651,5.142496551658468,856273567925042.6,12.124886491133985,17.01238980379571,1208799623852268.8
8,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,-0.8021903095667069,34610D,250.97343,-12.936914,-20.305511,207.90491808218903,69388.62343697851,0.3238534698492941,1.1949546331736778,71.69727799042067,80281.35007073329,1813.6971202439283,2023-02-05 23:09:00,0.0005343826958131,0.5091327576770084,0.5231046724465891,0.5974773165868389,0.9580240640862104,0.0193118546258628,0.0004032638135302,8.745909291121634e-05,3.628235539e-05,1450000000000000.0,226.4917011717389,88.68953287415037,0.0860367335885048,0.0017558517058878,0.0014339455598084,1.3846074096210803,0.0289129177421587,0.0062705788972455,0.002601346120544,1.0396105308610998e+17,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,17.937484963048234,1.3357258906579563,0.6546483680288514,40.14067503536664,19.311854625862853,36.28235539,1450000000000000.0,28.1759301550612,841.498371780007,1528.01921885244,0.0534382695813,0.0251607141197265,0.468902937570927,40.1406090678091,18.6363127588377,18.626359154819365,7.22459759038906,0.8417777535388622,5.151923779190985,829639086987439.2,11.730737526218613,16.332869899144587,1161553740831140.2
9,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,-0.8020071539642564,34610D,247.87326,-12.409214,-25.369074,216.9524843259315,69316.92615898809,0.3286998629170449,1.1597356529363267,69.5841391761796,75783.27369990296,1618.7375223760396,2023-02-05 23:10:00,0.0005546997825369,0.4720044144697906,0.6840002824021919,0.5798678264681634,0.9651030193844568,0.01912290150204,0.0004181367220046,9.068470116188588e-05,3.628235539e-05,1450000000000000.0,219.81629565755136,86.07558016093418,0.0835009670114155,0.0017041013675799,0.0013916827835235,1.3306506395703297,0.029095683858644,0.0063102168667989,0.0025246764670973,1.0089700180546045e+17,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,17.28455790566037,1.2867541024130102,0.6873960079171875,37.89163684995148,19.12290150204006,36.28235538999999,1450000000000000.0,27.1579934608028,840.492081373121,1527.06186562033,0.0554699782537,0.0251480561933908,0.451927070046725,37.8910729219873,17.9706561243289,17.960693331643625,7.21974854285661,0.8375395752445389,5.084193811390976,789719635248303.2,11.139125142345852,15.560526862250253,1109470212143656.4
