Unnamed: 0.1,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,-0.7712224601322026,34610D,275.7814,10.653723,-4.202705,162.2407677600595,73616.68434015602,0.3363417976370401,1.217618708369166,66.44642621740132,111.321896839821,2738.10990067777,0.0065429748911861,62250.43576468452,0.8645709613686444,0.5537202184783444,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4873429635754644,55.660783287670704,17.184580709161104,36.13342298775715,1452237494852933.5,32.5724013738518,901.887653976286,1858.81224590814,0.654297489119,0.0297023374246211,0.608809354184583,55.6609484199105,20.4970183147917,20.36377862257452,0.65429748911861,1.0,758400647662681.0,13.920179582063,1074208630645916.0,0.0237690211040023,1.619148087864673e-05,2.8440000000000003,35.8,2023-02-06 03:01:00,0.0065429748911861,0.864571923496574,0.0,0,622.5043576468452,0.0065429748911861,10.653723,-4.202705,0.864571923496574,0.390363,4.041831e-07,0.7863572093363475,0.0,9537.146941901805,-0.4305476864931945,-0.9025678310550171,4.735141109797307,242.9635048027636,0.8867558545956166,inf,0.0,238.46069274330105,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.006394921,-3.0926446e-07,40456.676,0.8660072,-241.4752,0.0,0.0,1.0,-8.261925482579139e-13,5.7729646e-12,2.3477662e-16,0.0,0.0,0.0,7.479999999999999e-16,6.529081295558422e-14,4.946772025362418e-12,1349.7218382538106,9.537146941901804,8.590051252457613e-12,0.006394921,-3.0926446e-07,40456.676,0.8660072,-241.4752,0.0,0.0,0.0,-8.261925482579139e-13,5.7729646e-12,2.3477662e-16,0.0,0.0,0.0,7.479999999999999e-16,6.529081295558422e-14,4.946772025362418e-12,1349.7218382538106,9.537146941901804,0.0
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,-0.7710208750914616,34610D,271.98062,12.88418,-6.2638745,172.4874976124096,73550.23791393862,0.342693330055603,1.317980295348262,62.68261184136534,115.4796302588608,3125.2628258583054,0.0054317410615875,56095.64736871224,0.8829594828317089,0.5223550986780445,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5217300658129955,57.73964620254934,17.029198492415063,36.28235538999999,1450000000000000.0,33.7186247077972,927.998057307107,1938.06133094894,0.543174106159,0.0317877497368391,0.658990147674131,57.7398151294304,20.730946768164,20.61894997095992,0.5431741061587501,1.0,706026778767864.0,12.367400944951328,969277437993016.2,0.0271325046294291,1.507332453296761e-05,2.8440000000000003,35.8,2023-02-06 03:02:00,0.0054317410615875,0.8829600566991496,0.0,1,560.9564736871223,0.0054317410615875,12.88418,-6.2638745,0.8829600566991496,0.31975713,2.1799447e-06,0.7185113844224286,0.0,9596.215333846398,-0.4245141795934674,-0.905421289413986,4.304096412842637,241.8447896082435,0.8729260310851761,inf,0.0,237.16777764145132,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.005321594,-1.995357e-07,48653.312,0.85083103,-240.73969,0.0,0.0,1.0,-7.77333372657513e-13,4.981985e-12,2.2631836e-16,0.0,0.0,0.0,7.479999999999999e-16,5.56347904522396e-14,4.204651698622669e-12,1349.6130686338795,9.596215333846398,9.021527543467724e-12,0.005321594,-1.995357e-07,48653.312,0.85083103,-240.73969,0.0,0.0,0.0,-7.77333372657513e-13,4.981985e-12,2.2631836e-16,0.0,0.0,0.0,7.479999999999999e-16,5.56347904522396e-14,4.204651698622669e-12,1349.6130686338795,9.596215333846398,0.0
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,-0.7708142557553138,34610D,267.40515,13.373871,-5.0450635,182.27296921307075,73487.55530209726,0.3606859423681736,0.987868478935134,58.82035685806319,86.2093783236398,1819.804994371937,0.0036157075167525,49718.84686406126,0.7668215568446131,0.4901696404838599,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5560253282335649,43.104537333844256,17.04546192838586,36.28235538999999,1450000000000000.0,27.0154312711992,886.344670491163,1820.16469695291,0.361570751675,0.0286768904121432,0.493934239467567,43.1046891618199,17.2241213175056,17.162068298156935,0.36157075167525,1.0,645328458675483.2,10.661157544170456,853403158786274.2,0.0224731459524416,1.3777445247829016e-05,2.8440000000000003,35.8,2023-02-06 03:03:00,0.0036157075167525,0.7668224198523838,0.0,2,497.1884686406127,0.0036157075167525,13.373871,-5.0450635,0.7668224198523838,0.20845555,1.0276875e-06,0.647729577843586,0.0,9853.913159025033,-0.4250902117609422,-0.9051509884350992,3.9160661208976704,240.7493212260866,0.7251069283821684,inf,0.0,234.37832036524964,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0035467227,-4.0883236e-07,57996.414,0.7225846,-240.42743,0.0,0.0,1.0,-7.216506247760534e-13,4.171874e-12,2.4245167e-16,0.0,0.0,0.0,7.480000000000001e-16,4.5843350595879615e-14,3.450222994723351e-12,1349.5052627953908,9.853913159025034,4.595803125176355e-12,0.0035467227,-4.0883236e-07,57996.414,0.7225846,-240.42743,0.0,0.0,0.0,-7.216506247760534e-13,4.171874e-12,2.4245167e-16,0.0,0.0,0.0,7.480000000000001e-16,4.5843350595879615e-14,3.450222994723351e-12,1349.5052627953908,9.853913159025034,0.0
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,-0.7705844861891551,34610D,263.8185,12.31933,-2.972211,192.424376933814,73428.7349452392,0.3719063675063673,0.913433908340792,57.1935141649573,77.8572557118378,1700.6210001373302,0.0026700284413178,46295.246647158914,0.720724085443584,0.4766126180413108,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5909689369099991,38.928444498797695,17.11143313818246,36.28235538999999,1450000000000000.0,25.3506813065447,877.532235360897,1795.59235577829,0.267002844132,0.0280324347598377,0.456716954170396,38.9286278559189,16.2924468774556,16.249061421315968,0.26700284413178,1.0,621265308896588.6,10.099436221474395,812429896853908.8,0.0217743984801818,1.3263708833275904e-05,2.8440000000000003,35.8,2023-02-06 03:04:00,0.0026700284413178,0.7207244841730476,0.0,3,462.9524664715892,0.0026700284413178,12.31933,-2.972211,0.7207244841730476,0.16375968,5.443211e-07,0.6113270379199663,0.0,10648.381250946317,-0.028444387257436,-0.9995953765567092,3.7085312251610056,240.1233307531148,0.6580390392552458,inf,0.0,233.21656811464896,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0026229578,-5.8457124e-07,63491.145,0.6731374,-240.39749,0.0,0.0,1.0,-6.888998583448839e-13,3.6978684e-12,2.559982e-16,0.0,0.0,0.0,7.480000000000001e-16,4.012058932601477e-14,3.0089685480593654e-12,1349.3940802797767,10.648381250946317,3.5908080851498387e-12,0.0026229578,-5.8457124e-07,63491.145,0.6731374,-240.39749,0.0,0.0,0.0,-6.888998583448839e-13,3.6978684e-12,2.559982e-16,0.0,0.0,0.0,7.480000000000001e-16,4.012058932601477e-14,3.0089685480593654e-12,1349.3940802797767,10.648381250946317,0.0
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,-0.7707153613811495,34610D,260.54376,11.7005625,-1.7012408,198.92219306613805,73371.54143107423,0.3767980958233745,0.969940886348114,55.73591920648809,81.0250233469976,1874.5206081616432,0.0019054482261947,43271.52378881695,0.6443785707359995,0.4644659933874007,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6147522279927636,40.51279403964591,17.123221927380058,36.28235538999999,1450000000000000.0,26.1527145434581,891.592198409566,1842.52588348926,0.190544822619,0.0292658474144154,0.484970443174057,40.5125116734988,16.5712079444238,16.539692416846314,0.19054482261947,1.0,611823200956143.4,9.405453910840263,763776596604172.0,0.0234151377716086,1.3062124471971616e-05,2.8440000000000003,35.8,2023-02-06 03:05:00,0.0019054482261947,0.644378884368716,0.0,4,432.7152378881695,0.0019054482261947,11.7005625,-1.7012408,0.644378884368716,0.13249668,3.307244e-07,0.5785807251423567,0.0,11699.443548113244,0.3434220995131197,-0.939181165465961,3.4912222569299467,239.4337026024528,0.5697367024508895,inf,0.0,231.93054394283712,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0018673658,-5.0912314e-07,68607.49,0.5981348,-239.41833,0.0,0.0,0.9999999999999998,-6.584201357714602e-13,3.3077191e-12,2.501824e-16,0.0,0.0,0.0,7.480000000000002e-16,3.543906838256871e-14,2.649298920979831e-12,1349.3861359670302,11.699443548113244,3.6101412730456563e-12,0.0018673658,-5.0912314e-07,68607.49,0.5981348,-239.41833,0.0,0.0,0.0,-6.584201357714602e-13,3.3077191e-12,2.501824e-16,0.0,0.0,0.0,7.480000000000002e-16,3.543906838256871e-14,2.649298920979831e-12,1349.3861359670302,11.699443548113244,0.0
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,-0.7712663087218934,34610D,257.06372,11.477596,-0.9754995,206.17512003334969,73315.80551186774,0.3828060504314406,0.956723402282124,54.032638738221735,78.3388824744834,1729.3571810788176,0.0012944734985126,40127.88685142464,0.5588054513098808,0.4502719894851811,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6414651588177998,39.16995291855135,17.043442487456723,36.28235539,1450000000000000.0,25.5793478841421,894.271854151824,1855.18722896243,0.129447349851,0.0296205388453715,0.478361701141062,39.1694412372417,16.1496623555115,16.128784071967107,0.12944734985126,1.0,593237088262774.1,8.697115063523992,713656251116369.6,0.0237596115105944,1.266532010582225e-05,2.8440000000000003,35.8,2023-02-06 03:06:00,0.0012944734985126,0.5588055864503749,0.0,5,401.2788685142464,0.0012944734985126,11.477596,-0.9754995,0.5588055864503749,0.1066913,4.5763638e-08,0.5438109536346832,0.0,12108.452584480176,0.3185508831008655,-0.947905762655581,3.2673838225212277,238.68243310588687,0.4774480026624251,inf,0.0,230.66003656403063,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012640313,-2.8082974e-07,74133.28,0.540133,-238.42548,0.0,0.0,1.0,-6.25513443206659e-13,2.9246141e-12,2.325848e-16,0.0,0.0,0.0,7.480000000000001e-16,3.0868893023455065e-14,2.2991006332984497e-12,1349.492997529177,12.108452584480178,3.135703307283023e-12,0.0012640313,-2.8082974e-07,74133.28,0.540133,-238.42548,0.0,0.0,0.0,-6.25513443206659e-13,2.9246141e-12,2.325848e-16,0.0,0.0,0.0,7.480000000000001e-16,3.0868893023455065e-14,2.2991006332984497e-12,1349.492997529177,12.108452584480178,0.0
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,-0.7717910195957159,34610D,253.72362,12.24984,-0.77414685,214.2471808835882,73261.77287312952,0.3864245810189149,0.994112687689948,52.51164923007165,79.073995307403,2022.1273598370533,0.000847249141077,37395.86563801814,0.467041257819569,0.4375970769172637,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6709526784383653,39.53729422422313,16.943451856011595,36.28235538999999,1450000000000000.0,25.8670673157171,907.548046171075,1900.38755865589,0.0847249141077,0.0308484645239253,0.497056343844974,39.5369976537015,16.1128390510156,16.099199018475172,0.0847249141077,1.0,573205719739658.6,8.187065864559228,676372688019594.8,0.025241803377449,1.2237660238422706e-05,2.8440000000000003,35.8,2023-02-06 03:07:00,0.000847249141077,0.4670417257974474,0.0,6,373.9586563801814,0.000847249141077,12.24984,-0.77414685,0.4670417257974474,0.090798795,0.0,0.5134582549137956,0.0,12362.382706523456,0.3153713420156264,-0.948968343326195,3.06170812241022,237.9508415000668,0.3861147231582866,inf,0.0,229.4889854518126,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0008644865,-2.4552486e-07,79424.53,0.44766676,-237.49336,0.0,0.0,1.0,-5.939996021474549e-13,2.6358514e-12,2.2986338000000003e-16,0.0,0.0,0.0,7.48e-16,2.7521937420058162e-14,2.041851849712993e-12,1349.595621895054,12.362382706523457,3.0741954422976227e-12,0.0008644865,-2.4552486e-07,79424.53,0.44766676,-237.49336,0.0,0.0,0.0,-5.939996021474549e-13,2.6358514e-12,2.2986338000000003e-16,0.0,0.0,0.0,7.48e-16,2.7521937420058162e-14,2.041851849712993e-12,1349.595621895054,12.362382706523457,0.0
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,-0.7723121685985996,34610D,249.65881,12.007068,-0.45478413,219.6318003559151,73209.26122389945,0.393998129321345,0.9040050045528,51.04059446282322,71.518469225752,1780.0636227655878,0.0004636947326445,34394.55476608665,0.3488852666589122,0.4253382871901935,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6933922361540039,35.758760471065415,16.796146171455177,36.28235539,1449999999999999.8,23.9105738632377,894.35571570625,1867.98023922772,0.0463694732645,0.0300484691255762,0.4520025022764,35.759234612876,15.0424469342324,15.035475063642584,0.04636947326445,1.0,560824691486017.7,7.37694210648384,619422694075732.4,0.0236611541840724,1.197333137366681e-05,2.8440000000000003,35.8,2023-02-06 03:08:00,0.0004636947326445,0.348885491657964,0.0,7,343.9455476608665,0.0004636947326445,12.007068,-0.45478413,0.348885491657964,0.07830748,0.0,0.4799381184944683,0.0,12525.288811002994,0.3164648412131288,-0.9486042400685069,2.85023242772078,237.15180382884407,0.2770765625667581,inf,0.0,228.2332533628976,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00045999643,-2.2558334e-07,85406.45,0.3418028,-236.93912,0.0,0.0,1.0,-5.583668356498957e-13,2.336582e-12,2.2832623000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,2.4093123676401145e-14,1.7782151889455784e-12,1349.6993293676946,12.525288811002994,2.2821402265199536e-12,0.00045999643,-2.2558334e-07,85406.45,0.3418028,-236.93912,0.0,0.0,0.0,-5.583668356498957e-13,2.336582e-12,2.2832623000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,2.4093123676401145e-14,1.7782151889455784e-12,1349.6993293676946,12.525288811002994,0.0
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,-0.772833411940699,34610D,245.46204,11.448454,-0.20785995,222.9290681899257,73158.22062943663,0.3977236086672651,0.860998412019796,50.27782230075496,67.743161100153,1562.8286229107057,0.0002951364119875,31913.2970959831,0.3140033566559261,0.4189818525062913,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7097930687330692,33.87180738158145,16.678789756730204,36.28235539,1450000000000000.0,22.806691202839,888.408925552633,1860.05830051336,0.0295136411988,0.0299298909789921,0.430499206009898,33.8715805500765,14.3835875082895,14.379343640400736,0.02951364119875,1.0,557891415652398.3,6.647164409983462,568105671338744.1,0.0229162050273168,1.1910707377078438e-05,2.8440000000000003,35.8,2023-02-06 03:09:00,0.0002951364119875,0.3140036427504273,0.0,8,319.1329709598311,0.0002951364119875,11.448454,-0.20785995,0.3140036427504273,0.066146776,2.29495e-08,0.4529286416360049,0.0,12767.491119874136,0.3175628898267308,-0.9482372124130624,2.6605857705188263,236.3893221062066,0.2392294065970288,inf,0.0,227.3697159797435,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00030190687,-2.2481761e-07,90815.49,0.30065745,-236.37929,0.0,0.0,1.0,-5.261431538044402e-13,2.1291718e-12,2.282672e-16,0.0,0.0,0.0,7.48e-16,2.1815640185253225e-14,1.6030286913308682e-12,1349.8035107524047,12.767491119874135,1.8977438623591185e-12,0.00030190687,-2.2481761e-07,90815.49,0.30065745,-236.37929,0.0,0.0,0.0,-5.261431538044402e-13,2.1291718e-12,2.282672e-16,0.0,0.0,0.0,7.48e-16,2.1815640185253225e-14,1.6030286913308682e-12,1349.8035107524047,12.767491119874135,0.0
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,-0.7733567663106826,34610D,241.56502,11.252009,0.17934483,226.5632958050004,73107.94280713587,0.4029577899940838,0.804689229997502,49.72744263533387,63.1170406902866,1346.766639836382,0.0001856630337762,29850.23293677357,0.2768363435566872,0.4143953552944489,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7271595973503288,31.55834829396437,16.585693646810256,36.28235539,1450000000000000.0,21.5541944509321,877.544787159203,1835.97344040443,0.0185663033776,0.0293789362440646,0.402344614998751,31.5585203451433,13.6950028297922,13.6924606460088,0.01856630337762,1.0,561094308734342.06,6.100016380444422,528865015690418.4,0.0217432982709678,1.1979087569332324e-05,2.8440000000000003,35.8,2023-02-06 03:10:00,0.0001856630337762,0.2768362248870191,0.0,9,298.5023293677357,0.0001856630337762,11.252009,0.17934483,0.2768362248870191,0.06011147,1.5033667e-07,0.4304831204508462,0.0,12949.242679689742,0.3186547838849259,-0.94787083967556,2.5101698929493783,235.74958451434648,0.2029287149922435,inf,0.0,226.6323628605249,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00018612698,-2.1296437e-07,95357.875,0.2817924,-235.36865,0.005573323007036,0.005573323007036,1.0,-4.990798943689584e-13,1.9637827e-12,2.2735352000000004e-16,4.073621426403309e-15,9.197844696483955e-16,4.073621426403309e-15,7.480000000000001e-16,2.0668269464007487e-14,1.4647028095850622e-12,1349.907665078165,12.94924267968974,1.5376389699413682e-12,0.00018612698,-2.1296437e-07,95357.875,0.2817924,-235.36865,0.0,0.005573323007036,0.0,-4.990798943689584e-13,1.9637827e-12,2.2735352000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,2.0016490035782958e-14,1.4647028095850622e-12,1349.907665078165,12.94924267968974,0.0
