Unnamed: 0.1,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,-0.7712224601322026,34610D,275.7814,10.653723,-4.202705,162.2407677600595,73616.68434015602,0.3630689606231278,1.156025350311786,66.44642621740132,111.3212119049336,2738.10990067777,0.0065429748911861,62250.43576468452,0.8645709613686444,0.5537202184783444,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.61449763717148,2.957294505141292,0.4873429635754644,55.660783287670704,17.184580709161104,36.13342298775715,1452237494852933.5,32.6252985192859,902.225148625613,1507.03331679131,0.654297489119,0.0281434551923993,0.578012675155893,55.6606059524668,20.5380850078422,20.40457836394169,15.1475864578695,1.0,715084685268142.1,23.76570037894852,1483182747713696.2,0.0017368756713184,1.7901775224299004e-05,3.16,35.8,2023-02-06 03:01:00,0.0065429748911861,0.864571923496574,0.0,0,622.5043576468452,0.0065429748911861,10.653723,-4.202705,0.864571923496574,0.390363,4.041831e-07,0.7863572093363475,0.0,9537.146941901805,-0.4305476864931945,-0.9025678310550171,4.550316581333054,242.49535239732384,0.8867558545956166,inf,0.0,238.013990562905,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.006394921,-3.0926446e-07,40456.676,0.8660072,-241.4752,0.0,0.0,1.0,-8.261925482579139e-13,5.7729646e-12,2.3477662e-16,0.0,0.0,0.0,7.479999999999999e-16,6.529081295558422e-14,4.946772025362418e-12,1349.7218382538106,9.537146941901804,5.959491933432031e-13,0.006394921,-3.0926446e-07,40456.676,0.8660072,-241.4752,0.0,0.0,0.0,-8.261925482579139e-13,5.7729646e-12,2.3477662e-16,0.0,0.0,0.0,7.479999999999999e-16,6.529081295558422e-14,4.946772025362418e-12,1349.7218382538106,9.537146941901804,0.0
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,-0.7710208750914616,34610D,271.98062,12.88418,-6.2638745,172.4874976124096,73550.23791393862,0.3643915182352982,1.270306510191622,62.68261184136534,115.4783581459766,3125.2628258583054,0.0054317410615875,56095.64736871224,0.8829594828317089,0.5223550986780445,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.158028348232047,2.480506285119832,0.5217300658129955,57.73964620254934,17.029198492415063,36.28235538999999,1450000000000000.0,33.4643571148821,926.369652450421,1620.21114028154,0.543174106159,0.0305264803211299,0.635153255095811,57.7391790729883,20.8066324192694,20.694226738157948,12.529639300077028,1.0,693691672916540.5,21.78341434235973,1371974397585468.5,0.0027564474783248,1.7366212225427877e-05,3.16,35.8,2023-02-06 03:02:00,0.0054317410615875,0.8829600566991496,0.0,1,560.9564736871223,0.0054317410615875,12.88418,-6.2638745,0.8829600566991496,0.31975713,2.1799447e-06,0.7185113844224286,0.0,9596.215333846398,-0.4245141795934674,-0.905421289413986,4.105036104158525,241.29426679616705,0.8729260310851761,inf,0.0,236.6434052659263,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.005321594,-1.995357e-07,48653.312,0.85083103,-240.73969,0.0,0.0,1.0,-7.77333372657513e-13,4.981985e-12,2.2631836e-16,0.0,0.0,0.0,7.479999999999999e-16,5.56347904522396e-14,4.204651698622669e-12,1349.6130686338795,9.596215333846398,8.83363645156091e-13,0.005321594,-1.995357e-07,48653.312,0.85083103,-240.73969,0.0,0.0,0.0,-7.77333372657513e-13,4.981985e-12,2.2631836e-16,0.0,0.0,0.0,7.479999999999999e-16,5.56347904522396e-14,4.204651698622669e-12,1349.6130686338795,9.596215333846398,0.0
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,-0.7708142557553138,34610D,267.40515,13.373871,-5.0450635,182.27296921307075,73487.55530209726,0.3885126920413898,0.939902708591166,58.82035685806319,86.2079430290922,1819.804994371937,0.0036157075167525,49718.84686406126,0.7668215568446131,0.4901696404838599,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.24542433937769,2.378074948009931,0.5560253282335649,43.104537333844256,17.04546192838586,36.28235538999999,1450000000000000.0,27.0013565226735,885.958405113216,1485.90617341407,0.361570751675,0.0272117585229417,0.469951354295583,43.1039715145461,17.2701574541526,17.207938581276462,14.18120950025526,1.0,614016160108014.5,19.565717087488785,1247863425055865.8,0.0018405816502796,1.537157697373857e-05,3.16,35.8,2023-02-06 03:03:00,0.0036157075167525,0.7668224198523838,0.0,2,497.1884686406127,0.0036157075167525,13.373871,-5.0450635,0.7668224198523838,0.20845555,1.0276875e-06,0.647729577843586,0.0,9853.913159025033,-0.4250902117609422,-0.9051509884350992,3.776012798365074,240.33020666877945,0.7251069283821684,inf,0.0,233.9855884017222,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0035467227,-4.0883236e-07,57996.414,0.7225846,-240.42743,0.0,0.0,1.0,-7.216506247760534e-13,4.171874e-12,2.4245167e-16,0.0,0.0,0.0,7.480000000000001e-16,4.5843350595879615e-14,3.450222994723351e-12,1349.5052627953908,9.853913159025034,3.581264558654133e-13,0.0035467227,-4.0883236e-07,57996.414,0.7225846,-240.42743,0.0,0.0,0.0,-7.216506247760534e-13,4.171874e-12,2.4245167e-16,0.0,0.0,0.0,7.480000000000001e-16,4.5843350595879615e-14,3.450222994723351e-12,1349.5052627953908,9.853913159025034,0.0
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,-0.7705844861891551,34610D,263.8185,12.31933,-2.972211,192.424376933814,73428.7349452392,0.4040060275462123,0.861778670223702,57.1935141649573,77.8583032701442,1700.6210001373302,0.0026700284413178,46295.246647158914,0.720724085443584,0.4766126180413108,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.53587705735689,2.436230296558254,0.5909689369099991,38.928444498797695,17.11143313818246,36.28235538999999,1450000000000000.0,25.4340586709502,878.26618481393,1444.54827294081,0.267002844132,0.0264036276861194,0.430889335111851,38.9291516350721,16.3193232473269,16.275866221608123,15.235363135296328,1.0,575897735475637.2,18.70877178893736,1196714814497359.5,0.0015773649137074,1.441730192949354e-05,3.16,35.8,2023-02-06 03:04:00,0.0026700284413178,0.7207244841730476,0.0,3,462.9524664715892,0.0026700284413178,12.31933,-2.972211,0.7207244841730476,0.16375968,5.443211e-07,0.6113270379199663,0.0,10648.381250946317,-0.028444387257436,-0.9995953765567092,3.6044673658128,239.79767947179644,0.6580390392552458,inf,0.0,232.91300167128887,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0026229578,-5.8457124e-07,63491.145,0.6731374,-240.39749,0.0,0.0,1.0,-6.888998583448839e-13,3.6978684e-12,2.559982e-16,0.0,0.0,0.0,7.480000000000001e-16,4.012058932601477e-14,3.0089685480593654e-12,1349.3940802797767,10.648381250946317,2.454125768672367e-13,0.0026229578,-5.8457124e-07,63491.145,0.6731374,-240.39749,0.0,0.0,0.0,-6.888998583448839e-13,3.6978684e-12,2.559982e-16,0.0,0.0,0.0,7.480000000000001e-16,4.012058932601477e-14,3.0089685480593654e-12,1349.3940802797767,10.648381250946317,0.0
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,-0.7707153613811495,34610D,260.54376,11.7005625,-1.7012408,198.92219306613805,73371.54143107423,0.4079996995296989,0.918038512613604,55.73591920648809,81.0249821709354,1874.5206081616432,0.0019054482261947,43271.52378881695,0.6443785707359995,0.4644659933874007,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.125738530608686,2.3881340197120746,0.6147522279927636,40.51279403964591,17.123221927380058,36.28235538999999,1450000000000000.0,26.1767015280273,891.774193234346,1490.91730959459,0.190544822619,0.0276424190696608,0.459019256306802,40.5124910854677,16.6056109326048,16.57402997658502,14.59943646264856,1.0,572791695943829.2,17.733656715758126,1140746020250041.2,0.0018251530740242,1.4339543836386897e-05,3.16,35.8,2023-02-06 03:05:00,0.0019054482261947,0.644378884368716,0.0,4,432.7152378881695,0.0019054482261947,11.7005625,-1.7012408,0.644378884368716,0.13249668,3.307244e-07,0.5785807251423567,0.0,11699.443548113244,0.3434220995131197,-0.939181165465961,3.389541665807176,239.09788049160127,0.5697367024508895,inf,0.0,231.6192938480748,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0018673658,-5.0912314e-07,68607.49,0.5981348,-239.41833,0.0,0.0,0.9999999999999998,-6.584201357714602e-13,3.3077191e-12,2.501824e-16,0.0,0.0,0.0,7.480000000000002e-16,3.543906838256871e-14,2.649298920979831e-12,1349.3861359670302,11.699443548113244,2.6634368729373386e-13,0.0018673658,-5.0912314e-07,68607.49,0.5981348,-239.41833,0.0,0.0,0.0,-6.584201357714602e-13,3.3077191e-12,2.501824e-16,0.0,0.0,0.0,7.480000000000002e-16,3.543906838256871e-14,2.649298920979831e-12,1349.3861359670302,11.699443548113244,0.0
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,-0.7712663087218934,34610D,257.06372,11.477596,-0.9754995,206.17512003334969,73315.80551186774,0.4159884027383425,0.902314387258398,54.032638738221735,78.340130033333,1729.3571810788176,0.0012944734985126,40127.88685142464,0.5588054513098808,0.4502719894851811,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.095549672166396,2.393497188330346,0.6414651588177998,39.16995291855135,17.043442487456723,36.28235539,1450000000000000.0,25.6277602401186,894.852374590096,1492.43718823337,0.129447349851,0.0278905805649694,0.451157193629199,39.1700650166665,16.1759699687232,16.155057674696366,14.945223539120308,1.0,549294761955019.2,16.715406448358586,1081971067413014.8,0.0017796469001783,1.3751310247563584e-05,3.16,35.8,2023-02-06 03:06:00,0.0012944734985126,0.5588055864503749,0.0,5,401.2788685142464,0.0012944734985126,11.477596,-0.9754995,0.5588055864503749,0.1066913,4.5763638e-08,0.5438109536346832,0.0,12108.452584480176,0.3185508831008655,-0.947905762655581,3.184615303538388,238.39306300311057,0.4774480026624251,inf,0.0,230.39318129379285,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012640313,-2.8082974e-07,74133.28,0.540133,-238.42548,0.0,0.0,1.0,-6.25513443206659e-13,2.9246141e-12,2.325848e-16,0.0,0.0,0.0,7.480000000000001e-16,3.0868893023455065e-14,2.2991006332984497e-12,1349.492997529177,12.108452584480178,2.2151388607631173e-13,0.0012640313,-2.8082974e-07,74133.28,0.540133,-238.42548,0.0,0.0,0.0,-6.25513443206659e-13,2.9246141e-12,2.325848e-16,0.0,0.0,0.0,7.480000000000001e-16,3.0868893023455065e-14,2.2991006332984497e-12,1349.492997529177,12.108452584480178,0.0
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,-0.7717910195957159,34610D,253.72362,12.24984,-0.77414685,214.2471808835882,73261.77287312952,0.4180595479339209,0.941751592180556,52.51164923007165,79.0752971223378,2022.1273598370533,0.000847249141077,37395.86563801814,0.467041257819569,0.4375970769172637,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,15.032650323715508,2.242161148482446,0.6709526784383653,39.53729422422313,16.943451856011595,36.28235538999999,1450000000000000.0,25.8170674282237,907.232466320741,1544.50414074217,0.0847249141077,0.0291558437571835,0.470875796090278,39.5376485611689,16.1503059219222,16.136634172479695,13.97957513204442,1.0,538437816917698.9,15.9294135915353,1035292570725325.2,0.002120454142437,1.3479512244215496e-05,3.16,35.8,2023-02-06 03:07:00,0.000847249141077,0.4670417257974474,0.0,6,373.9586563801814,0.000847249141077,12.24984,-0.77414685,0.4670417257974474,0.090798795,0.0,0.5134582549137956,0.0,12362.382706523456,0.3153713420156264,-0.948968343326195,2.977212451140615,237.6376234200829,0.3861147231582866,inf,0.0,229.20134517724952,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0008644865,-2.4552486e-07,79424.53,0.44766676,-237.49336,0.0,0.0,1.0,-5.939996021474549e-13,2.6358514e-12,2.2986338000000003e-16,0.0,0.0,0.0,7.48e-16,2.7521937420058162e-14,2.041851849712993e-12,1349.595621895054,12.362382706523457,2.4464746841405943e-13,0.0008644865,-2.4552486e-07,79424.53,0.44766676,-237.49336,0.0,0.0,0.0,-5.939996021474549e-13,2.6358514e-12,2.2986338000000003e-16,0.0,0.0,0.0,7.48e-16,2.7521937420058162e-14,2.041851849712993e-12,1349.595621895054,12.362382706523457,0.0
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,-0.7723121685985996,34610D,249.65881,12.007068,-0.45478413,219.6318003559151,73209.26122389945,0.4274573871063306,0.85395120825786,51.04059446282322,71.5174632242988,1780.0636227655878,0.0004636947326445,34394.55476608665,0.3488852666589122,0.4253382871901935,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,14.376085731049416,2.149746744427877,0.6933922361540039,35.758760471065415,16.796146171455177,36.28235539,1449999999999999.8,23.8947725705805,894.27281708773,1510.96804155077,0.0463694732645,0.0283301964397576,0.42697560412893,35.7587316121494,15.0713958174229,15.064410529609926,14.316736974219314,1.0,523164080626472.0,14.772781030220449,969538126632382.8,0.0019070802682353,1.3097142156373057e-05,3.16,35.8,2023-02-06 03:08:00,0.0004636947326445,0.348885491657964,0.0,7,343.9455476608665,0.0004636947326445,12.007068,-0.45478413,0.348885491657964,0.07830748,0.0,0.4799381184944683,0.0,12525.288811002994,0.3164648412131288,-0.9486042400685069,2.7822942660619288,236.88395988786704,0.2770765625667581,inf,0.0,227.9883524304724,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00045999643,-2.2558334e-07,85406.45,0.3418028,-236.93912,0.0,0.0,1.0,-5.583668356498957e-13,2.336582e-12,2.2832623000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,2.4093123676401145e-14,1.7782151889455784e-12,1349.6993293676946,12.525288811002994,1.7375511410840018e-13,0.00045999643,-2.2558334e-07,85406.45,0.3418028,-236.93912,0.0,0.0,0.0,-5.583668356498957e-13,2.336582e-12,2.2832623000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,2.4093123676401145e-14,1.7782151889455784e-12,1349.6993293676946,12.525288811002994,0.0
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,-0.772833411940699,34610D,245.46204,11.448454,-0.20785995,222.9290681899257,73158.22062943663,0.4317516538780491,0.812881067273962,50.27782230075496,67.744767478718,1562.8286229107057,0.0002951364119875,31913.2970959831,0.3140033566559261,0.4189818525062913,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,13.68998079710737,2.049456707753469,0.7097930687330692,33.87180738158145,16.678789756730204,36.28235539,1450000000000000.0,22.7803236625928,888.19951863933,1504.89533830225,0.0295136411988,0.0282099286721168,0.406440533636981,33.872383739359,14.4077122051966,14.403461219332126,14.258431791807691,1.0,520547804410086.9,13.723413893228756,910334564114008.4,0.0018593030322232,1.3031645034542175e-05,3.16,35.8,2023-02-06 03:09:00,0.0002951364119875,0.3140036427504273,0.0,8,319.1329709598311,0.0002951364119875,11.448454,-0.20785995,0.3140036427504273,0.066146776,2.29495e-08,0.4529286416360049,0.0,12767.491119874136,0.3175628898267308,-0.9482372124130624,2.600707786547395,236.1385831624721,0.2392294065970288,inf,0.0,227.1406412598465,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00030190687,-2.2481761e-07,90815.49,0.30065745,-236.37929,0.0,0.0,1.0,-5.261431538044402e-13,2.1291718e-12,2.282672e-16,0.0,0.0,0.0,7.48e-16,2.1815640185253225e-14,1.6030286913308682e-12,1349.8035107524047,12.767491119874135,1.4536830682231164e-13,0.00030190687,-2.2481761e-07,90815.49,0.30065745,-236.37929,0.0,0.0,0.0,-5.261431538044402e-13,2.1291718e-12,2.282672e-16,0.0,0.0,0.0,7.48e-16,2.1815640185253225e-14,1.6030286913308682e-12,1349.8035107524047,12.767491119874135,0.0
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,-0.7733567663106826,34610D,241.56502,11.252009,0.17934483,226.5632958050004,73107.94280713587,0.4385918138340677,0.757699417768972,49.72744263533387,63.1174377030718,1346.766639836382,0.0001856630337762,29850.23293677357,0.2768363435566872,0.4143953552944489,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,13.308724964881169,1.9938378064795024,0.7271595973503288,31.55834829396437,16.585693646810256,36.28235539,1450000000000000.0,21.550327456887,877.560534259976,1479.4592294454,0.0185663033776,0.0276243777572301,0.378849708884486,31.5587188515359,13.7143255212447,13.711779750617728,14.559624012459318,1.0,519648445314405.5,12.900176083210802,863184225380547.1,0.0017015088478547,1.300913004476753e-05,3.16,35.8,2023-02-06 03:10:00,0.0001856630337762,0.2768362248870191,0.0,9,298.5023293677357,0.0001856630337762,11.252009,0.17934483,0.2768362248870191,0.06011147,1.5033667e-07,0.4304831204508462,0.0,12949.242679689742,0.3186547838849259,-0.94787083967556,2.4619886488829947,235.53748569788087,0.2029287149922435,inf,0.0,226.4387436895973,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00018612698,-2.1296437e-07,95357.875,0.2817924,-235.36865,0.005573323007036,0.005573323007036,1.0,-4.990798943689584e-13,1.9637827e-12,2.2735352000000004e-16,4.073621426403309e-15,9.197844696483955e-16,4.073621426403309e-15,7.480000000000001e-16,2.0668269464007487e-14,1.4647028095850622e-12,1349.907665078165,12.94924267968974,1.1330052710004005e-13,0.00018612698,-2.1296437e-07,95357.875,0.2817924,-235.36865,0.0,0.005573323007036,0.0,-4.990798943689584e-13,1.9637827e-12,2.2735352000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,2.0016490035782958e-14,1.4647028095850622e-12,1349.907665078165,12.94924267968974,0.0
