,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,0.8945074417316602,34610D,276.9323,7.8954425,3.72896,162.94962295232452,71707.77151660383,0.2526606123470195,1.678759478261718,65.38897054655375,112.0093046020262,2740.103104333172,0.0003222647890744,62250.43576468452,0.0388190414089118,0.5449080878879479,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4884540719180468,56.00475934321816,17.220354757791856,100.98305639152174,1059895362131516.4,20.1123715406285,798.396754450454,1570.81206961273,0.0322264789074,0.0230668875275653,0.839379739130859,56.0046523010131,36.3889466287025,36.37722353043435,0.03222647890744,1.0,1062642418284707.6,0.030854479275365825,6.690711522533344e-05,3.16,35.8,2023-11-06 13:01:00,0.0003222647890744186,0.03881905471253047,0.0,0,622.5043576468452,0.0003222647890744186,7.8954425,3.72896,0.03881905471253047,0.0,0.0,0.7830891957740971,1240.0071419479038,9537.146941901803,-0.4305476864931945,-0.9025678310550171,3.8573828630499314,240.5753512112465,0.040259199302246806,inf,0.0,230.372132418724,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00031491567,-1.1043236e-07,40731.633,0.040234204,-299.2265,0.0,0.0,0.9999999999999999,-8.239464718999234e-13,5.877586e-12,2.2034351e-16,0.0,0.0,0.0,7.479999999999999e-16,6.666566249521962e-14,5.053639921842214e-12,1346.9897201789868,1.5705878884092014e-11,2.3808301221465945e-13,0.0,0.00031491567,-1.1043236e-07,40731.633,0.040234204,-299.2265,0.0,0.0,0.0,-8.239464718999234e-13,5.877586e-12,2.2034351e-16,0.0,0.0,0.0,7.479999999999999e-16,6.666566249521962e-14,5.053639921842214e-12,1346.9897201789868,1.5705878884092014e-11,2.3808301221465945e-13,0.0
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,0.8956088954617446,34610D,271.22845,11.557985,5.7812996,176.0402121219858,71642.38254605727,0.26448101185463824,1.85771910899302,63.19243599257823,120.100302630067,3114.043447990872,0.0003103462660439,56095.647368712234,0.053710270137648,0.5266036332714853,0.707338638373121,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.53321391297654,60.050285291692056,16.904215687539015,95.64218658374912,939904712666891.6,21.3503383975024,818.64,1634.22605247078,0.0310346266044,0.0245775299435925,0.92885955449651,60.0501513150335,37.7930392772715,37.78131398754923,0.03103462660439,1.0,1066326976405869.2,0.035524519266719685,6.713910592185102e-05,3.16,35.8,2023-11-06 13:02:00,0.00031034626604392796,0.053710287363866266,0.0,1,560.9564736871223,0.00031034626604392796,11.557985,5.7812996,0.053710287363866266,0.0,0.0,0.7205039582398912,1241.5344637885523,9596.215333846398,-0.42451417959346743,-0.9054212894139861,3.531823846832062,239.56538442599174,0.05271377014688654,inf,0.0,229.5066606609105,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00030202718,-1.5187784e-07,48915.473,0.052559238,-300.4426,0.0,0.0,0.9999999999999999,-7.752406035609518e-13,4.9043204e-12,2.234031e-16,0.0,0.0,0.0,7.479999999999999e-16,5.464943951180116e-14,4.12907972434597e-12,1346.8676152631779,1.6349812505457578e-11,2.634632102126773e-13,0.0,0.00030202718,-1.5187784e-07,48915.473,0.052559238,-300.4426,0.0,0.0,0.0,-7.752406035609518e-13,4.9043204e-12,2.234031e-16,0.0,0.0,0.0,7.479999999999999e-16,5.464943951180116e-14,4.12907972434597e-12,1346.8676152631779,1.6349812505457578e-11,2.634632102126773e-13,0.0
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,0.8966982038938135,34610D,266.22095,19.124346,8.388734,192.9008172130668,71579.19011006468,0.2787181286725187,1.325961368063742,59.36025074789196,82.4410396229126,1810.8698603407568,0.0014557591353271,49718.84686406126,0.3419786035643181,0.494668756232433,0.7073386383731213,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.589753013522275,41.22068214707946,16.038690901482646,87.44170822481155,828265675043356.2,16.208446304542,771.811394781178,1522.46179528882,0.145575913533,0.0222175610817712,0.662980684031871,41.2205198114563,29.8403898426018,29.79701256934852,0.14557591353271,0.9009452850032776,1375403645052326.0,0.02456804008671862,5.920081067216666e-05,3.16,35.8,2023-11-06 13:03:00,0.0014557591353271963,0.34197839548251197,0.0,2,497.18846864061265,0.0014557591353271963,19.124346,8.388734,0.34197839548251197,0.0,0.0,0.6506107987470586,1243.0449503196487,9853.913159025033,-0.4250902117609422,-0.9051509884350993,3.1952771645928952,238.43070912065156,0.3196581471633857,inf,0.0,229.60024362102507,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.001427006,-1.5799419e-08,58202.7,0.32009798,-300.52023,0.0,0.0,1.0,-7.199794000572717e-13,4.0723327e-12,2.232616e-16,0.0,0.0,0.0,7.480000000000001e-16,4.455185287709086e-14,3.352353173923006e-12,1346.746592289661,6.5524301388830535e-12,1.8804890198789443e-13,0.0,0.001427006,-1.5799419e-08,58202.7,0.32009798,-300.52023,0.0,0.0,0.0,-7.199794000572717e-13,4.0723327e-12,2.232616e-16,0.0,0.0,0.0,7.480000000000001e-16,4.455185287709086e-14,3.352353173923006e-12,1346.746592289661,6.5524301388830535e-12,1.8804890198789443e-13,0.0
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,0.897760638246053,34610D,262.39438,21.790415,10.346501,202.4753674597879,71519.8298593168,0.28607821896974384,1.17996074922929,57.922258567824784,71.7400371606792,1691.076629121357,0.0007252538241868,46295.246647158914,0.2221658102322182,0.4826854880652065,0.707338638373121,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6235225087198092,35.86979225110629,16.060877067808985,84.33312460761155,769035826822687.4,14.7299149516183,756.901817777907,1488.21943238817,0.0725253824187,0.0214805209849727,0.589980374614645,35.8700185803396,27.4658317192298,27.44592645610916,0.07252538241868,0.8275872953909774,1693340394519008.5,0.022382131411567814,5.5080152158647804e-05,3.16,35.8,2023-11-06 13:04:00,0.0007252538241868871,0.2221660698227515,0.0,3,462.95246647158916,0.0007252538241868871,21.790415,10.346501,0.2221660698227515,0.0,0.0,0.6146449560142585,1244.5181837906746,10648.381250946317,-0.028444387257436043,-0.9995953765567092,3.0040342826725634,237.73789228655824,0.20003181307393825,inf,0.0,228.4329703993288,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0007233025,-1.5522232e-07,63666.438,0.19297463,-299.96512,0.0,0.0,1.0,-6.874650459839221e-13,3.5932659e-12,2.2680644e-16,0.0,0.0,0.0,7.480000000000001e-16,3.875021659231363e-14,2.90580078112616e-12,1346.621778654043,4.6045382901486415e-12,1.6734297742429732e-13,0.0,0.0007233025,-1.5522232e-07,63666.438,0.19297463,-299.96512,0.0,0.0,0.0,-6.874650459839221e-13,3.5932659e-12,2.2680644e-16,0.0,0.0,0.0,7.480000000000001e-16,3.875021659231363e-14,2.90580078112616e-12,1346.621778654043,4.6045382901486415e-12,1.6734297742429732e-13,0.0
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,0.8987568210029556,34610D,259.02502,23.428068,13.156409,205.83288168577803,71461.90760074896,0.29011021880466914,1.319672459236352,56.65741614939382,80.0379330221562,1863.2685964469224,0.000320185586903,43271.52378881695,0.1243510671168167,0.4721451345782818,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6379712772947708,40.0194340955008,15.973952770189708,81.40796440420836,703632372997959.9,15.7722075294525,775.668080078882,1547.66045569116,0.0320185586903,0.0229235375711605,0.659836229618176,40.0189665110781,28.7842235331208,28.775010189595104,0.0320185586903,0.9205430000768332,1291233473620293.2,0.02541790955795077,5.9499926315398146e-05,3.16,35.8,2023-11-06 13:05:00,0.0003201855869030633,0.12435111925355513,0.0,4,432.7152378881695,0.0003201855869030633,23.428068,13.156409,0.12435111925355513,0.0,0.0,0.5819731143814454,1245.899577171989,11699.443548113244,0.3434220995131197,-0.939181165465961,2.8227908979550382,237.04430349864765,0.10831765636688882,inf,0.0,227.43405524379077,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00032231523,-1.5932694e-07,68758.7,0.11047612,-299.21478,0.0,0.0,0.9999999999999998,-6.571788488218297e-13,3.2084428e-12,2.2321896e-16,0.0,0.0,0.0,7.480000000000002e-16,3.413764968035317e-14,2.55126390213317e-12,1346.6128603582936,5.134670955952404e-12,1.871570039068669e-13,0.0,0.00032231523,-1.5932694e-07,68758.7,0.11047612,-299.21478,0.0,0.0,0.0,-6.571788488218297e-13,3.2084428e-12,2.2321896e-16,0.0,0.0,0.0,7.480000000000002e-16,3.413764968035317e-14,2.55126390213317e-12,1346.6128603582936,5.134670955952404e-12,1.871570039068669e-13,0.0
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,0.8997885375463557,34610D,255.47546,24.550816,16.717747,214.2244151937659,71405.25018459957,0.2971949945048558,1.306809004305692,54.92868717002016,78.0128387958294,1718.68304369254,0.0001378898058947,40127.886851424635,0.0690719202452287,0.457739059750168,0.7073386383731213,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6685772049109646,39.00641998157973,15.779702546812702,77.87811365805445,649016521783455.6,15.483393190971,777.978319105121,1558.15311825921,0.0137889805895,0.0232063198505438,0.653404502152846,39.0064193979147,28.1563171739846,28.15243524015387,0.01378898058947,0.9321867639096788,1219697189091380.8,0.025672408143621598,5.861002827115353e-05,3.16,35.8,2023-11-06 13:06:00,0.0001378898058947195,0.06907190770763845,0.0,5,401.2788685142464,0.0001378898058947195,24.550816,16.717747,0.06907190770763845,0.0,0.0,0.5471917604848592,1247.330230167941,12108.452584480177,0.3185508831008655,-0.947905762655581,2.6436905197784077,236.3190828790338,0.05809898686724271,inf,0.0,226.5875787969487,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00013462262,-8.037244e-08,74262.52,0.06536357,-298.74652,0.0,0.0,1.0,-6.244586702465453e-13,2.8344519e-12,2.1713287e-16,0.0,0.0,0.0,7.480000000000001e-16,2.969504562574898e-14,2.2099932888023008e-12,1346.732823285969,4.44857515566981e-12,1.853326984378367e-13,0.0,0.00013462262,-8.037244e-08,74262.52,0.06536357,-298.74652,0.0,0.0,0.0,-6.244586702465453e-13,2.8344519e-12,2.1713287e-16,0.0,0.0,0.0,7.480000000000001e-16,2.969504562574898e-14,2.2099932888023008e-12,1346.732823285969,4.44857515566981e-12,1.853326984378367e-13,0.0
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,0.9007806807271728,34610D,252.15915,26.897589,17.3692,223.79954730301247,71350.32149742956,0.30442901134835926,1.370519894969088,53.28853639443843,80.2220243034366,2012.5316295755408,0.0001353031988706,37395.86563801814,0.0866921522511942,0.4440711366203203,0.7073386383731213,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7030383723696554,40.11117820520438,15.554835438380325,74.71051303440207,607075006322133.1,15.88455508019,790.197668006976,1592.01419927826,0.0135303198871,0.0240069120023882,0.685259947484544,40.1110121517183,28.5442770572231,28.54041544771593,0.01353031988706,0.9978129549761844,946601930309698.4,0.02758606597177142,5.903471793536641e-05,3.16,35.8,2023-11-06 13:07:00,0.0001353031988706627,0.08669222766626195,0.0,6,373.9586563801814,0.0001353031988706627,26.897589,17.3692,0.08669222766626195,0.0,0.0,0.5166439018993004,1248.7060256445109,12362.382706523455,0.31537134201562644,-0.948968343326195,2.4893177245113107,235.65823696976113,0.07057176881851188,inf,0.0,226.033542017846,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00011339303,-1.4985237e-07,79535.3,0.07092057,-298.29468,0.0,0.0,1.0,-5.931076972772132e-13,2.570494e-12,2.224886e-16,0.0,0.0,0.0,7.48e-16,2.6676510795735465e-14,1.9773863214660177e-12,1346.8480295316403,4.4855726056869714e-12,1.9436822792043203e-13,0.0,0.00011339303,-1.4985237e-07,79535.3,0.07092057,-298.29468,0.0,0.0,0.0,-5.931076972772132e-13,2.570494e-12,2.224886e-16,0.0,0.0,0.0,7.48e-16,2.6676510795735465e-14,1.9773863214660177e-12,1346.8480295316403,4.4855726056869714e-12,1.9436822792043203e-13,0.0
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,0.9017526226672576,34610D,248.83455,29.242981,16.188692,231.99805338409044,71297.03296103512,0.3102260929310361,1.235267856720896,51.09564368075217,71.0782230312168,1776.8560429392828,8.686120639336016e-05,34394.55476608665,0.070912986420516,0.4257970306729347,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7336454075691242,35.53910924488542,15.249146369951422,70.52026670922703,555827703507509.7,14.4749525413729,777.469494159832,1567.69353231889,0.00868612063934,0.0235396757009648,0.617633928360448,35.5391115156084,26.2379964875699,26.235717621486703,0.008686120639336,0.9296428491086864,1170048923313914.8,0.0251177389024041,5.570631520411983e-05,3.16,35.8,2023-11-06 13:08:00,8.686120639336016e-05,0.07091307044630968,0.0,7,343.9455476608665,8.686120639336016e-05,29.242981,16.188692,0.07091307044630968,0.0,0.0,0.48152790493509817,1250.0538181315512,12525.288811002994,0.3164648412131288,-0.9486042400685067,2.308675988509485,234.837254982181,0.05586017833949995,inf,0.0,225.23419761462267,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,9.064576e-05,-1.8925532e-07,85501.87,0.074068,-299.212,0.0,0.0,1.0,-5.576254276454295e-13,2.2980636e-12,2.255259e-16,0.0,0.0,0.0,7.480000000000001e-16,2.35992238357247e-14,1.7404383010005113e-12,1346.9644516743629,3.240048899635178e-12,1.7518667565444288e-13,0.0,9.064576e-05,-1.8925532e-07,85501.87,0.074068,-299.212,0.0,0.0,0.0,-5.576254276454295e-13,2.2980636e-12,2.255259e-16,0.0,0.0,0.0,7.480000000000001e-16,2.35992238357247e-14,1.7404383010005113e-12,1346.9644516743629,3.240048899635178e-12,1.7518667565444288e-13,0.0
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,0.9027113886026308,34610D,245.39412,29.548626,15.217206,236.3699584685799,71245.93731735437,0.3131210450754602,1.174493831063694,49.7031348064369,66.9502430151662,1563.4893453538148,6.074283996019605e-05,31913.2970959831,0.0650758473984523,0.4141927900536408,0.7073386383731213,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7526922204794227,33.475113463360806,15.026355417547782,67.73770779197064,507251535887912.8,13.7406169082132,772.397462209135,1563.52832281494,0.00607428399602,0.0235399226869857,0.587246915531847,33.4751215075831,24.946849798131,24.94533454766682,0.0060742839960196,0.9038755743016048,1252006380292571.5,0.02408451270884209,5.4431998429361595e-05,3.16,35.8,2023-11-06 13:09:00,6.074283996019605e-05,0.06507584928422878,0.0,8,319.1329709598311,6.074283996019605e-05,29.548626,15.217206,0.06507584928422878,0.0,0.0,0.45305400288483977,1251.383346330505,12767.491119874136,0.31756288982673087,-0.9482372124130625,2.151105632708817,234.07333422615136,0.049545894592549496,inf,0.0,224.51718076635268,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,6.765528e-05,-1.3202867e-07,90920.086,0.071945675,-300.6195,0.0,0.0,0.9999999999999999,-5.254003608137789e-13,2.1160408e-12,2.2111471e-16,0.0,0.0,0.0,7.48e-16,2.1647441605948344e-14,1.590640530558109e-12,1347.081566111325,2.6996775722706048e-12,1.66567654716518e-13,0.0,6.765528e-05,-1.3202867e-07,90920.086,0.071945675,-300.6195,0.0,0.0,0.0,-5.254003608137789e-13,2.1160408e-12,2.2111471e-16,0.0,0.0,0.0,7.48e-16,2.1647441605948344e-14,1.590640530558109e-12,1347.081566111325,2.6996775722706048e-12,1.66567654716518e-13,0.0
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,0.903652595684088,34610D,241.83882,29.66019,14.900889,240.4482118802865,71196.23418254792,0.3158271634063645,1.112891992285814,48.86336143953514,62.9017001883118,1348.7196373664144,5.152577381748304e-05,29850.23293677357,0.0746446554423852,0.4071946786627928,0.707338638373121,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7712865709223975,31.450455874345103,14.879399972877255,65.9967451225759,467362757034085.5,13.0400053394583,765.098335381498,1553.96036306131,0.00515257738175,0.0234209643872732,0.556445996142907,31.4508500941559,23.7584578902002,23.75723378034591,0.0051525773817483,0.8673988002018211,1398374262717137.0,0.02276928941198509,5.388580226812991e-05,3.16,35.8,2023-11-06 13:10:00,5.152577381748304e-05,0.07464470251203947,0.0,9,298.5023293677357,5.152577381748304e-05,29.66019,14.900889,0.07464470251203947,0.0,0.0,0.42999574510564964,1252.6885344967975,12949.242679689742,0.3186547838849259,-0.9478708396755601,2.0199876625202244,233.39893861201662,0.05486521756450079,inf,0.0,223.92252934986925,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,5.0381732e-05,-9.4648044e-08,95475.555,0.07316575,-301.82166,0.0,0.0,1.0,-4.983035168677929e-13,1.9695825e-12,2.1823367e-16,0.0,0.0,0.0,7.480000000000001e-16,2.0092860026619406e-14,1.471278949921246e-12,1347.1989572447787,2.236911316387711e-12,1.5783123265956802e-13,0.0,5.0381732e-05,-9.4648044e-08,95475.555,0.07316575,-301.82166,0.0,0.0,0.0,-4.983035168677929e-13,1.9695825e-12,2.1823367e-16,0.0,0.0,0.0,7.480000000000001e-16,2.0092860026619406e-14,1.471278949921246e-12,1347.1989572447787,2.236911316387711e-12,1.5783123265956802e-13,0.0
