,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,0.2864982229355376,34610D,276.97305,17.366245,11.236573,85.57866115502084,67083.68052472563,0.16704948714926524,1.464998886810946,60.82226737471649,123.05475280113,1574.683671412279,0.0051013805922256,89976.97737353944,0.8853024657361898,0.5068522281226374,0.4395892563527526,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.2565097995616038,61.52764691423632,14.523164966205153,83.20412200376185,1926518582554008.8,19.8419946730839,720.471470834954,1379.0137276308,0.510138059223,0.0190246249878346,0.732499443405473,61.527376400565,38.5027007824792,38.30728076384957,0.5101380592225601,0.6708526377156578,1147955685530540.0,0.018807263516425258,3.697118333576872e-05,3.16,35.8,2023-11-06 09:02:00,0.005101380592225605,0.8853029286680968,0.0,899.7697737353944,0,0.005101380592225605,17.366245,11.236573,0.8853029286680968,0.11460855,1.0716892e-09,1.131713079119793,397.12356098012526,6667.509382517012,0.9966805091004685,0.0814123011542548,5.023038499676822,243.66142775871296,0.9185070354796023,inf,0.0,239.72997320515245,0.0,0.0,0.0,0 days,0.0050094295,2.2557914e-07,8626.433,0.8963328,-244.45525,0.0,0.0,1.0000000000000002,-7.412781725855306e-13,7.659762e-12,2.2832588e-16,0.0,0.0,0.0,7.48e-16,9.091661082478661e-14,6.918483456954532e-12,534.2079518127042,1.1437340787899963e-11,2.0776731412663782e-13,0.0,0.0050094295,2.2557914e-07,8626.433,0.8963328,-244.45525,0.0,0.0,0.0,-7.412781725855306e-13,7.659762e-12,2.2832588e-16,0.0,0.0,0.0,7.48e-16,9.091661082478661e-14,6.918483456954532e-12,534.2079518127042,1.1437340787899963e-11,2.0776731412663782e-13,0.0
1,1,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,0.2871647165655172,34610D,274.41455,19.37884,8.214633,104.14105465062649,67022.8582573509,0.19341259735106303,1.63336456117003,74.94573949796765,130.5351140511092,2635.861263157481,0.00398070330029,84781.45509278591,0.8004319143533931,0.6245478291497304,0.5585647631806384,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3135996699401837,65.26803594439288,17.581405095776773,115.0484941752598,1659847430552704.5,21.429025189641,741.195754580595,1427.93115481856,0.398070330029,0.0200141263156088,0.816682280585015,65.2675570255546,40.8052926071568,40.64350288110265,0.398070330029,0.7553972880948904,1265518120382762.2,0.021753634954766666,4.367672696638615e-05,3.16,35.8,2023-11-06 09:03:00,0.003980703300290074,0.8004315908974697,0.0,847.814550927859,1,0.003980703300290074,19.37884,8.214633,0.8004315908974697,0.12931685,3.5548382e-07,1.0763070377240107,398.04754740352445,7473.160672911053,0.9768031916927631,0.2141390312363241,4.882987019049142,243.32647255710398,0.8102055733029736,inf,0.0,237.7070682264673,0.0,0.0,0.0,0 days,0.0039075566,4.4580915e-07,13333.96,0.79125524,-243.87474,0.0,0.0,1.0,-7.264698598357767e-13,7.0369925e-12,2.4530196e-16,0.0,0.0,0.0,7.479999999999999e-16,8.303009577436601e-14,6.3105226016354014e-12,532.906095797911,1.3453384106337554e-11,2.316450687567826e-13,0.0,0.0039075566,4.4580915e-07,13333.96,0.79125524,-243.87474,0.0,0.0,0.0,-7.264698598357767e-13,7.0369925e-12,2.4530196e-16,0.0,0.0,0.0,7.479999999999999e-16,8.303009577436601e-14,6.3105226016354014e-12,532.906095797911,1.3453384106337554e-11,2.316450687567826e-13,0.0
2,2,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,0.2878249102310449,34610D,269.29483,20.242508,8.068884,114.36335046419354,66947.91251785294,0.20708775911856667,1.679492269275828,82.45304515217296,130.8660536947696,2734.4001731256217,0.0028597431544792,76639.32731338663,0.7956332180854447,0.6871087096014413,0.6357068812930278,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3476402471989201,65.43349666095835,19.44409312434649,133.96386397537793,1357518501896009.0,21.4969329475572,749.06126417906,1457.42234857298,0.285974315448,0.0207349584235177,0.839746134637914,65.4330268473848,40.4990508052077,40.3835641839791,0.28597431544792,0.7909300055191805,1316641139981550.0,0.02314463227545582,4.6522545282496564e-05,3.16,35.8,2023-11-06 09:04:00,0.0028597431544792385,0.7956339751374245,0.0,766.3932731338663,2,0.0028597431544792385,20.242508,8.068884,0.7956339751374245,0.102615125,1.3865277e-06,0.9914392705772308,398.96280190536083,8125.8125102326585,0.8201398934232258,0.5721630495022725,4.4858425183426185,242.32807201226655,0.7663320524789483,inf,0.0,236.268336698832,0.0,0.0,0.0,0 days,0.0028002912,3.9939255e-07,21238.38,0.7550704,-243.20374,0.0,0.0,1.0,-7.019254394796085e-13,5.964954e-12,2.41724e-16,0.0,0.0,0.0,7.480000000000001e-16,6.94090911546634e-14,5.263028241411116e-12,531.4807958088962,1.2274823186156595e-11,2.3818693722251344e-13,0.0,0.0028002912,3.9939255e-07,21238.38,0.7550704,-243.20374,0.0,0.0,0.0,-7.019254394796085e-13,5.964954e-12,2.41724e-16,0.0,0.0,0.0,7.480000000000001e-16,6.94090911546634e-14,5.263028241411116e-12,531.4807958088962,1.2274823186156595e-11,2.3818693722251344e-13,0.0
3,3,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,0.2887972902622822,34610D,263.77536,20.91261,8.130388,130.01952989885885,66865.45947270076,0.22846118785731287,1.455977261708556,57.83270482459776,110.0879717570639,1748.288239221204,0.0018745694162427,68873.98399781724,0.7556636403654114,0.481939206871648,0.462166603392445,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3993454056152518,44.54171001863707,15.17951714289299,74.67909183074885,1347148033204742.2,19.0357837278512,729.4466846352229,1415.9221174938898,0.210060620981,0.0199137613197808,0.727988630854278,55.04398587853195,36.3875129483733,36.319429656324175,0.18745694162427,0.7057908781065704,1151554820143659.8,0.02061187468998931,3.8262604272746065e-05,3.16,35.8,2023-11-06 09:05:00,0.0018745694162427117,0.7556645078744139,0.0,688.7398399781724,3,0.0018745694162427117,20.91261,8.130388,0.7556645078744139,0.040982004,3.248648e-07,0.9096271820365648,400.3107881540163,9048.399248069316,0.8267242315425097,0.5626073630698827,4.13948767553917,241.39121468032937,0.6896487139428767,inf,0.0,234.66112632234734,0.0,0.0,0.0,0 days,0.0018330358,4.147295e-07,29412.238,0.7101671,-242.4342,0.0,0.0,0.9999999999999998,-6.766741379841645e-13,4.9472228e-12,2.4290623e-16,0.0,0.0,0.0,7.48e-16,5.650803958863704e-14,4.270548719918019e-12,530.17924484511,7.689657865786221e-12,2.0648786003731682e-13,0.0,0.0018330358,4.147295e-07,29412.238,0.7101671,-242.4342,0.0,0.0,0.0,-6.766741379841645e-13,4.9472228e-12,2.4290623e-16,0.0,0.0,0.0,7.48e-16,5.650803958863704e-14,4.270548719918019e-12,530.17924484511,7.689657865786221e-12,2.0648786003731682e-13,0.0
4,4,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,0.2896811189378583,34610D,260.1897,20.98039,7.763573,140.1985986335011,66807.62676787617,0.23609574499260522,1.232462254141284,61.07864047915787,89.3098898193582,1943.450124539244,0.0013414692651373,64250.40779201729,0.6955801252208343,0.5089886706596489,0.4995532980044659,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.4335666198393533,44.65540459920927,16.07462729843389,80.87078156715265,1201919891511162.5,16.5746345081452,709.832105091386,1374.4218864148,0.134146926514,0.019092564216044,0.616231127070642,44.6549449096791,32.2759750915389,32.23273586704198,0.13414692651373,0.6308882190179623,965496365278790.2,0.018212103450737767,2.983254650197048e-05,3.16,35.8,2023-11-06 09:06:00,0.001341469265137339,0.6955802797155276,0.0,642.5040779201729,4,0.001341469265137339,20.98039,7.763573,0.6955802797155276,0.02396877,4.591834e-08,0.8602570429174808,401.5360315554053,9736.546908630891,0.796178705015712,0.6050615420595693,3.898402733691487,240.69720125146517,0.6128715425129388,inf,0.0,233.4054699777087,0.0,0.0,0.0,0 days,0.0013102732,4.0742478e-07,34624.734,0.6568944,-241.90665,0.0,0.0,1.0,-6.604549607995258e-13,4.3564167e-12,2.4234314e-16,0.0,0.0,0.0,7.48e-16,4.903784375233133e-14,3.695961584507339e-12,528.7114139378276,4.977513364840315e-12,1.7478878285212024e-13,0.0,0.0013102732,4.0742478e-07,34624.734,0.6568944,-241.90665,0.0,0.0,0.0,-6.604549607995258e-13,4.3564167e-12,2.4234314e-16,0.0,0.0,0.0,7.48e-16,4.903784375233133e-14,3.695961584507339e-12,528.7114139378276,4.977513364840315e-12,1.7478878285212024e-13,0.0
5,5,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,0.2905739559012449,34610D,255.97209,20.885921,7.09436,149.45753246057748,66746.548127397,0.24682624933513275,1.205843090180534,61.19050034780172,85.693084221555,1866.8578012323767,0.0008604302388078,59404.634976163914,0.6089358674861414,0.5099208362316809,0.5116760764671501,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.4659922613802778,42.84633008557943,16.31127157288649,80.60293301928428,1076172671402500.8,16.1193914180895,708.800445553546,1378.19994331156,0.0860430238808,0.0192314033302543,0.602921545090267,42.8465421107775,31.3508866064791,31.32393454599729,0.08604302388078,0.6269882930981042,952946311365761.2,0.018135343630233662,2.9314605354155466e-05,3.16,35.8,2023-11-06 09:07:00,0.0008604302388078866,0.6089367834854932,0.0,594.0463497616391,5,0.0008604302388078866,20.885921,7.09436,0.6089367834854932,0.018998533,2.545924e-09,0.8084816476310673,402.77376249133846,10422.131734241842,0.7498966969135705,0.661554944020613,3.654221536844663,239.95440111957546,0.5147138175135331,inf,0.0,232.05706639804822,0.0,0.0,0.0,0 days,0.0008408267,4.6694967e-07,40424.03,0.58176655,-241.6358,0.0,0.0,1.0000000000000002,-6.424985763810059e-13,3.7391965e-12,2.4693154e-16,0.0,0.0,0.0,7.48e-16,4.125200282246372e-14,3.0966977915800383e-12,527.189455164875,4.063185620972268e-12,1.7101363172387548e-13,0.0,0.0008408267,4.6694967e-07,40424.03,0.58176655,-241.6358,0.0,0.0,0.0,-6.424985763810059e-13,3.7391965e-12,2.4693154e-16,0.0,0.0,0.0,7.48e-16,4.125200282246372e-14,3.0966977915800383e-12,527.189455164875,4.063185620972268e-12,1.7101363172387548e-13,0.0
6,6,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,0.2915159645478229,34610D,251.87613,19.727411,6.293601,159.48784181534077,66685.35762704922,0.25745445943812634,1.171853723994932,60.676791659676326,81.4006140118932,1863.2025482493027,0.0005217762938243,55026.440867802725,0.5056023343300591,0.5056399304973027,0.5187130241212714,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5012925933057382,40.70078005930038,16.38558054336818,79.19860830464246,974302195676066.4,15.5973001879591,706.561663270691,1379.15633484131,0.0521776293824,0.0193155470673956,0.585926861997466,40.7003070059466,30.334468910099,30.31864935760344,0.05217762938243,0.6184719486824576,935159942443709.8,0.017871112646354555,2.8482881538945657e-05,3.16,35.8,2023-11-06 09:08:00,0.0005217762938243003,0.5056026609051412,0.0,550.2644086780273,6,0.0005217762938243003,19.727411,6.293601,0.5056026609051412,0.017554555,1.571375e-08,0.7610739554495446,404.0796527488664,10810.56932148757,0.7487558998275375,0.6628458361289257,3.4323475886418047,239.24032835639636,0.4104363159144896,inf,0.0,230.80030413243006,0.0,0.0,0.0,0 days,0.00051007775,5.686013e-07,45972.93,0.48991117,-241.33087,0.0,0.0,0.9999999999999999,-6.253604839653218e-13,3.203011e-12,2.5476718e-16,0.0,0.0,0.0,7.479999999999998e-16,3.4512222661525635e-14,2.577650420938913e-12,525.6547115307436,3.238920329945701e-12,1.6619323261994044e-13,0.0,0.00051007775,5.686013e-07,45972.93,0.48991117,-241.33087,0.0,0.0,0.0,-6.253604839653218e-13,3.203011e-12,2.5476718e-16,0.0,0.0,0.0,7.479999999999998e-16,3.4512222661525635e-14,2.577650420938913e-12,525.6547115307436,3.238920329945701e-12,1.6619323261994044e-13,0.0
7,7,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,0.2924193891056235,34610D,247.59497,18.185814,5.933879,167.86192728759033,66624.68083538953,0.26573040689572536,1.103603826820584,57.78544054387057,75.1767737794354,1784.1649457716908,0.0003930793876847,50913.27576770084,0.5376240677563962,0.4815453378655881,0.5034333360131754,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5321554384838005,37.588788189513245,15.870156425981753,72.84077703349465,893421762529123.2,14.7371673453163,699.349857108955,1368.5623099904,0.0393079387685,0.0191695708105072,0.551801913410292,37.5883868897177,28.7853034825297,28.77399301897256,0.03930793876847,0.591657587909271,892117513628166.1,0.016982510623824273,2.626563031978056e-05,3.16,35.8,2023-11-06 09:09:00,0.00039307938768479926,0.537624653599335,0.0,509.1327576770084,7,0.00039307938768479926,18.185814,5.933879,0.537624653599335,0.01496381,4.5484907e-08,0.7163605673605321,405.3320612596463,11147.298906109525,0.7476758120633196,0.6640639126284876,3.211221317582773,238.48679971799646,0.41833912129017403,inf,0.0,230.15028430888307,0.0,0.0,0.0,0 days,0.0003842665,4.5217396e-07,51570.75,0.5195196,-241.02733,0.0,0.0,1.0,-6.081252601223058e-13,2.7271408e-12,2.4579258e-16,0.0,0.0,0.0,7.479999999999999e-16,2.8540993749359164e-14,2.119015475355755e-12,524.065026509988,2.3828706688444057e-12,1.5651397760275667e-13,0.0,0.0003842665,4.5217396e-07,51570.75,0.5195196,-241.02733,0.0,0.0,0.0,-6.081252601223058e-13,2.7271408e-12,2.4579258e-16,0.0,0.0,0.0,7.479999999999999e-16,2.8540993749359164e-14,2.119015475355755e-12,524.065026509988,2.3828706688444057e-12,1.5651397760275667e-13,0.0
8,8,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,0.2932854474773658,34610D,243.12906,17.590334,6.126255,173.5879908753277,66566.89539484566,0.2714526700943855,1.032481333808524,54.42260627246476,69.4765250954226,1582.8585433685132,0.0003138519100702,47200.44144697906,0.6281510855282325,0.4535217189372063,0.4796661423279315,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5553393735512976,34.73782298588303,15.181006977202628,65.68827289204283,821084272938508.4,13.8566977918261,690.242739531587,1354.41684570672,0.031385191007,0.0189632349789945,0.516240666904262,34.7382625477113,27.2232384124386,27.214697027794443,0.03138519100702,0.5591630418611335,851569734535382.9,0.01593557077948024,2.391124120747378e-05,3.16,35.8,2023-11-06 09:10:00,0.0003138519100702385,0.6281515902982281,0.0,472.0044144697906,8,0.0003138519100702385,17.590334,6.126255,0.6281515902982281,0.013199169,1.05117564e-07,0.6763190777085125,406.5326761425028,11484.907125089065,0.7476053739662908,0.6641432110747819,3.0002217948849492,237.72368834818568,0.4676399368684994,inf,0.0,229.71953683974618,0.0,0.0,0.0,0 days,0.00030655906,4.1011248e-07,56929.406,0.61484504,-240.79666,0.0,0.0,1.0,-5.916657386923647e-13,2.3071798e-12,2.4255032e-16,0.0,0.0,0.0,7.48e-16,2.329223258059891e-14,1.715514019605579e-12,522.4249673205522,1.6935395929289655e-12,1.4642732874579192e-13,0.0,0.00030655906,4.1011248e-07,56929.406,0.61484504,-240.79666,0.0,0.0,0.0,-5.916657386923647e-13,2.3071798e-12,2.4255032e-16,0.0,0.0,0.0,7.48e-16,2.329223258059891e-14,1.715514019605579e-12,522.4249673205522,1.6935395929289655e-12,1.4642732874579192e-13,0.0
9,9,11,3c49c8,EWG1VT,51.90271927138506,7.363115583147322,193.945555388,6492.240000000001,0.2941107757435668,34610D,239.1512,17.379425,6.3416166,178.6425577594611,66512.4727885732,0.2765670536062618,0.968477395421024,51.35304410338376,64.5188239036134,1407.752708211357,0.0002505476711281,44081.94845354482,0.7134167235560481,0.4279420341948646,0.4573423039619463,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5762432839560956,32.259311184694134,14.538980248545167,59.55029146928096,761913044556070.8,13.0822796923854,681.676863570684,1340.16112768509,0.0250547671128,0.0187402078675544,0.484238697710512,32.2594119518067,25.8395585114556,25.833086091897226,0.0250547671128099,0.5296329854911602,810395638863607.9,0.01504813058269105,2.1632684415660202e-05,3.16,35.8,2023-11-06 09:11:00,0.00025054767112811353,0.7134175845893633,0.0,440.8194845354482,9,0.00025054767112811353,17.379425,6.3416166,0.7134175845893633,0.009271949,1.0771432e-07,0.6421413944391626,407.67683450083706,11757.48582909717,0.7464831767142834,0.6654042882958839,2.8216546813494365,237.0398325501096,0.5106045294303688,inf,0.0,229.33850739556885,0.0,0.0,0.0,0 days,0.00024472937,4.6836647e-07,61631.215,0.6698902,-240.48007,0.0,0.0,1.0,-5.772382705128851e-13,1.977761e-12,2.4704076e-16,0.0,0.0,0.0,7.48e-16,1.920183789140446e-14,1.400522856910362e-12,520.73490010356,1.2246542421816935e-12,1.3735023900052595e-13,0.0,0.00024472937,4.6836647e-07,61631.215,0.6698902,-240.48007,0.0,0.0,0.0,-5.772382705128851e-13,1.977761e-12,2.4704076e-16,0.0,0.0,0.0,7.48e-16,1.920183789140446e-14,1.400522856910362e-12,520.73490010356,1.2246542421816935e-12,1.3735023900052595e-13,0.0
