,index,longitude,latitude,altitude,groundspeed,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem,ei_nox_p3t3_xue,ei_nox_kaiser,ei_nox_kypriandis
0,0,-4.458446502685547,36.64544677734375,624.84,100.831111024,34610D,295.0791,1.2606021,1.7037115,110.41911986560208,66646.07842391136,0.2522997294794344,1.3291428572737305,79.74857143642382,149136.75457227934,2781.242317853452,2024-06-07 09:23:00,0.0086940605178519,0.9404035659516814,0.4051960526589045,0.6645714286368651,1.0,0.0182096012674648,0.0003679609162958,7.980266735140049e-05,3.0839551193717703e-05,1531770294383954.8,251.9257371676628,98.64898286685629,0.0956982857237085,0.0019530262392593,0.0015949714287284,1.4521896875072122,0.0293443574190318,0.0063641487180903,0.0024594101514394,1.2215649274587075e+17,climb,5,GTF2035,0,43031,1.237,3.16,3.16,24.040564595119505,0.9930181062826772,0.3206507460676785,74.56837728613968,18.209601267464823,30.839551193717703,1531770294383954.8,38.8352534106868,903.500794686719,1725.94883120429,0.869406051785,0.0292655186626843,0.704777526279658,74.5674721173486,24.0821813002174,23.874613961594942,5.028711445707206,1.0331319553091074,9.777086405547086,1007405661981383.5,25.219879675809807,,,6.607133828335848,14.577031904270703,20.635168857355147
1,1,-4.399623870849609,36.604248046875,1440.18,118.32222212,34610D,290.1539,-12.254487,3.8107622,139.5428945628349,66566.32985247493,0.2804704578064403,1.1933369608304656,71.60021764982794,103447.96368550837,2671.6419100154026,2024-06-07 09:24:00,0.0080546383807015,0.8517839178058632,0.4837089400015892,0.5966684804152328,0.9418300354805904,0.0167915708318968,0.0003850553186321,8.351006898783125e-05,2.801528968914705e-05,1574200756020579.0,226.1850875558065,88.56946923283716,0.0859202611797935,0.0017534747179549,0.0014320043529965,1.20228012624632,0.0275700446212887,0.0059793391154808,0.0020059008392659,1.1271311675559715e+17,climb,5,GTF2035,0,43031,1.237,3.16,3.16,20.06336436311694,0.841565073510686,0.4086492514735346,51.723981842754185,16.79157083189689,28.015289689147053,1574200756020579.0,31.3351734373068,867.78734917943,1626.32732378541,0.80546383807,0.0265336698480486,0.53277113364006,51.7244898643327,20.0790594249156,19.918622126643648,5.030480348549495,0.9104744864363752,8.054719457340036,931653161019161.5,18.35537052323538,31.997061597269184,1860494484385016.5,5.442200477009848,11.12476846505705,15.066657202611996
2,2,-4.322477300116361,36.58828993975106,2217.42,135.298888772,34610D,288.72867,-5.7371736,10.223558,145.63907830634687,66494.72963482511,0.2835861421001885,1.168961409042323,70.13768454253938,108824.79236058882,3005.4719928579057,2024-06-07 09:25:00,0.0056536427838742,0.773723179826334,0.3423094915327815,0.5844807045211615,1.0,0.0181036970007076,0.0004178732896688,9.062756845529366e-05,3.160183637637858e-05,1520318057348993.5,221.56494546988188,86.76031577912121,0.0841652214510472,0.0017176575806336,0.0014027536908507,1.2697513892893522,0.0293086649695437,0.0063564078071747,0.0022164796307313,1.0663158831067e+17,climb,5,GTF2035,0,43031,1.237,3.16,3.16,20.42019682781145,0.9055613429497252,0.4275531962324992,54.41239618029441,18.10369700070769,31.60183637637858,1520318057348993.5,32.4414861866854,891.281011974668,1678.9165254543,0.565364278387,0.0279954002467911,0.570295603653825,54.4119429263261,20.3710466228892,20.25652347511772,5.035831997401886,0.9935989697127513,9.328765748822573,807985351476268.6,19.901848283579035,28.990852254186397,1769978257152380.0,6.299514348619705,12.719043511319091,17.706227241327678
3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,152.275555424,34610D,282.65594,-5.027167,11.661943,152.15103563929642,66424.59195028257,0.2885216717822181,1.1310464534390612,67.86278720634367,98492.0591067128,2287.210523828943,2024-06-07 09:26:00,0.0030542816214399,0.6934403928345334,0.2616115053279639,0.5655232267195306,1.0,0.01862878593587,0.0004356199933874,9.447643998137088e-05,3.3766942614562964e-05,1487790454281846.2,214.37854478483965,83.94626777424712,0.0814353446476124,0.0016619458091349,0.0013572557441268,1.2642013358784756,0.0295623869140791,0.0064114345424686,0.0022915188412609,1.009656070065583e+17,climb,5,GTF2035,0,43031,1.237,3.16,3.16,19.05750499071925,0.894668262292308,0.4514431324406882,49.2460295533564,18.62878593587003,33.766942614562964,1487790454281846.2,30.0180778328505,882.202017355301,1655.75004653879,0.305428162144,0.0275273562961694,0.521609396401558,49.2461127844943,18.9487646684816,18.891066032688553,5.041361331527868,0.9625490341295685,9.225755401701646,787730765345849.9,17.901682492954254,26.234537288261404,1619013540661793.0,6.226365285447869,11.753574967150872,16.17753354081252
4,4,-4.184622257313833,36.68991347490731,3749.04,174.91111096,34610D,276.65546,-3.87753,9.268916,166.0471201986012,66356.72916307622,0.2975992970229858,1.1170340020905365,67.02204012543218,92336.5688553566,2094.6824127800937,2024-06-07 09:27:00,0.0021319589428569,0.6368273221635501,0.2686130664519654,0.5585170010452682,1.0,0.0188064902532008,0.0004426726279242,9.600600201626472e-05,3.545190083408647e-05,1462476383691320.2,211.72262475624024,82.90626363515962,0.0804264481505186,0.0016413560847044,0.0013404408025086,1.2604493443685796,0.0296688226311671,0.0064345181194164,0.0023760587202249,9.801815087025662e+16,climb,5,GTF2035,0,43031,1.237,3.16,3.16,18.64709398685024,0.8925998605589529,0.4979880645262577,46.16828442767831,18.80649025320089,35.451900834086466,1462476383691320.2,29.2834925080807,878.820146874464,1646.98141863501,0.213195894286,0.0273440502115239,0.506503689383192,46.1681911037809,18.5233601264282,18.483953097323013,5.042248726540637,0.9507126692792878,9.197682466635476,784144981339787.4,17.26680498369704,24.961329213171403,1543934747547453.8,6.206843878820979,11.434556899193504,15.675750779795214
5,5,-4.146251678466797,36.78662109375,4358.64,191.887777612,34610D,271.73248,-3.3809345,8.6471,180.8822615701432,66289.70712295079,0.3012828438804102,1.093112501801174,65.58675010807045,97108.76217640184,2666.167768617944,2024-06-07 09:28:00,0.0013023387647952,0.588129611839903,0.2265838299223821,0.546556250900587,1.0,0.0188973008997947,0.0004524702173944,9.813088468372616e-05,3.628235539e-05,1450000000000000.0,207.1885435913945,81.13080988368316,0.0787041001296845,0.0016062061250956,0.0013117350021614,1.2394125518318535,0.0296760510795952,0.0064360858116354,0.0023796417762961,9.510078765670214e+16,climb,5,GTF2035,0,43031,1.237,3.16,3.16,19.51868100506663,0.95051411534276,0.5473718088144719,48.55438108820092,18.89730089979476,36.28235538999999,1450000000000000.0,31.1216007039656,895.938557160229,1691.43596787735,0.13023387648,0.0286063603579352,0.554348540256153,48.5543268884127,19.3785065041446,19.353301948789902,5.0416134325774005,1.009579125201938,10.183037749449303,763171666018285.2,19.10560791480259,24.05637473229162,1487925948139879.2,6.872244168815082,12.798854235325727,17.92893031642394
6,6,-4.106899829621,36.88751220703125,5135.88,197.546666496,34610D,266.2956,-2.7179775,9.725347,192.632960463874,66224.12037284272,0.3136165235175544,1.0546400267211855,63.27840160327113,80384.69682125101,2038.6405323978831,2024-06-07 09:29:00,0.0006416318735281,0.5304583483154943,0.1597770398778528,0.5273200133605928,1.0,0.0187704888334047,0.0004702644623962,0.0001019900668733,3.628235539e-05,1450000000000000.0,199.89647066473347,78.27538278324639,0.0759340819239253,0.0015496751413045,0.0012655680320654,1.1877665306899008,0.0297575835112594,0.0064537684111569,0.002295889455481,9.175368232474314e+16,climb,5,GTF2035,0,43031,1.237,3.16,3.16,17.49877037215058,0.8637107497892076,0.5888515233194277,40.19234841062551,18.77048883340473,36.28235538999999,1450000000000000.0,27.368502585702,874.706311187251,1635.70397849417,0.0641631873528,0.0271200888365179,0.470620991995977,40.1928605768325,17.3532245721214,17.342097329720822,5.0445916405421665,0.9359702135864297,9.135464228113992,739984887110530.0,15.655380977364182,22.409981326904585,1393359689731814.5,6.163347252472761,10.890828377547775,14.86089525516818
7,7,-4.066168602476694,36.99110412597656,5730.240000000001,208.864444264,34610D,262.36072,-1.3935978,10.899328,201.10255422872055,66160.84197123945,0.3176935267264298,1.0223359024591734,61.3401541475504,77143.72215700426,2170.201654730888,2024-06-07 09:30:00,0.0004540332073505,0.489521716698911,0.1475082932588005,0.5111679512295867,1.0,0.0185311621544399,0.0004859415005118,0.0001053900732392,3.628235539e-05,1450000000000000.0,193.7735469521117,75.87777068051984,0.0736081849770604,0.0015022078566747,0.001226803082951,1.1367043430866008,0.0298077265480863,0.0064646433381143,0.0022255652724588,8.894322351394808e+16,climb,5,GTF2035,0,43031,1.237,3.16,3.16,17.02631035920456,0.8435850076584919,0.619334686555496,38.57186107850213,18.531162154439983,36.28235539,1450000000000000.0,26.6608896657875,875.041205683112,1639.54005875172,0.0454033207351,0.0272682471787094,0.460265792809446,38.5718150921137,16.8791851486815,16.871524916110943,5.04545525352114,0.9372062375653143,9.108436622582074,720344226000761.9,15.291544931644607,21.179389149461574,1322715151760385.0,6.144557236892256,10.794094558308366,14.734485123105848
8,8,-4.023099858710111,37.10087585449219,6362.700000000001,215.037777592,34610D,258.16962,0.8116654,12.407049,205.7208375478123,66099.50181709189,0.3205243292252457,0.9916212355112384,59.49727413067431,71740.46178844474,1882.539808898431,2024-06-07 09:31:00,0.00034891820141,0.4488094387389205,0.1520535425624175,0.4958106177556192,1.0,0.0182422114341604,0.0005034647464494,0.0001091904816645,3.628235539e-05,1450000000000000.0,187.95188897880013,73.59812809964413,0.0713967289568091,0.0014570761011593,0.0011899454826134,1.0853618544479675,0.0299547800346323,0.0064965360200541,0.0021587012447453,8.627104748947774e+16,climb,5,GTF2035,0,43031,1.237,3.16,3.16,16.094638698871545,0.799116222556423,0.63867944943565,35.87023089422237,18.24221143416048,36.28235539,1450000000000000.0,25.1036957076677,868.33388804983,1627.59816136872,0.034891820141,0.0270117578999197,0.430952139081384,35.8695599083401,15.9542426182734,15.948677834288592,5.045440223334502,0.9124794920632998,8.718529025961361,716335974643692.9,14.193885464705648,19.572626692025143,1233594773165395.5,5.881534576868706,10.179290336612297,13.795355405474593
9,9,-3.978862356632306,37.21408081054688,6911.34,222.239999808,34610D,254.31917,1.8419291,14.187235,210.63908350776384,66040.00454296122,0.3233248765796906,0.9674832979916232,58.04899787949739,67537.63995287396,1672.4200519177018,2024-06-07 09:32:00,0.0002727956879266,0.4157548966576384,0.1579571300436461,0.4837416489958116,1.0,0.0180106372196899,0.0005179909155971,0.000112340889746,3.628235539e-05,1450000000000000.0,183.37678430133224,71.80661037693828,0.0696587974553968,0.0014216081113346,0.0011609799575899,1.0454994417741814,0.0300688535610986,0.0065212760706492,0.0021061543710972,8.417104692527122e+16,climb,5,GTF2035,0,43031,1.237,3.16,3.16,15.380066472063197,0.7648077077895559,0.6588804573547443,33.76881997643698,18.010637219689997,36.282355390000006,1450000000000000.0,23.9167144684785,862.775084664709,1618.74711419543,0.0272795687927,0.0268382684492736,0.409218285568297,33.7686613254415,15.2475665984843,15.243408262441,5.0445807826819715,0.8921239908956872,8.435411341779112,713402622803934.5,13.329631646495931,18.32684677372446,1163609096655680.2,5.69105489266829,9.703589543526581,13.077732278240127
