,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,1,801733.0,IGO1004,1.4106889349229954,104.0191171175605,120.379999896,586.74,-0.9221603147605836,34610D,297.82346,-1.6132032,0.06786234,119.29890096224386,69378.63483233604,,,35.32099611127077,,51.04358608071187,0.0173531881059187,94472.02900687772,0.6710696361358335,0.2943416342605898,0.32377275923953,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.344837274976029,24.88280513871901,8.26563140294656,39.75327013639809,2172785345889594.5,,,,,,,,,,,1.0,,,,3.16,35.8,2023-05-04 16:01:00,0.017353188105918765,0.6710702939111782,0.0,944.7202900687771,0,0.017353188105918765,-1.6132032,0.06786234,0.6710702939111782,0.14308625,0.0,1.1050623612075305,0.0,7614.667628717853,0.9320395128137099,0.36235665656088395,,,0.8478623217912553,,,,0.0,0.0,0.0,0 days,0.01695904,5.8155443e-08,5721.036,0.81675446,-263.21585,0.0,0.0,1.0,-1.0220526926596255e-12,1.0987453e-11,2.1542032e-16,0.0,0.0,0.0,7.48e-16,1.3051362619292653e-13,9.965400451965152e-12,1317.7197776445832,7.614667628717854,,0.01695904,5.8155443e-08,5721.036,0.81675446,-263.21585,0.0,0.0,0.0,-1.0220526926596255e-12,1.0987453e-11,2.1542032e-16,0.0,0.0,0.0,7.48e-16,1.3051362619292653e-13,9.965400451965152e-12,1317.7197776445832,7.614667628717854
1,1,2,801733.0,,1.4745127782828862,104.04393870359776,133.41259247733333,601.5917197452229,-0.922999073549872,34610D,297.79453,-1.5757649,-0.036918204,131.4281183049277,69343.31383622477,,,62.43849063053752,,1533.2068941986302,0.0170374450867424,94303.56884702292,0.6590001183369352,0.5203207552544793,0.5760799724533329,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3799155964512933,45.88687869985076,12.961239038300558,93.34242984862304,1997166821793063.5,,,,,,,,,,,1.0,,,,3.16,35.8,2023-05-04 16:02:00,0.0170374450867424,0.6589998209971044,0.0,943.035688470229,1,0.0170374450867424,-1.5757649,-0.036918204,0.6589998209971044,0.15889984,0.0,1.1031990042736048,0.0,8116.674608168534,0.8118862591610064,-0.583815640579753,,,0.8323891778340171,,,,0.0,0.0,0.0,0 days,0.01665614,5.4357912e-08,5876.3706,0.8033844,-263.1452,0.0,0.0,0.9999999999999999,-1.0212750238340045e-12,1.0970806e-11,2.1512759e-16,0.0,0.0,0.0,7.479999999999999e-16,1.3030703326324155e-13,9.949531205431632e-12,1318.095489321811,8.116674608168534,,0.01665614,5.4357912e-08,5876.3706,0.8033844,-263.1452,0.0,0.0,0.0,-1.0212750238340045e-12,1.0970806e-11,2.1512759e-16,0.0,0.0,0.0,7.479999999999999e-16,1.3030703326324155e-13,9.949531205431632e-12,1318.095489321811,8.116674608168534
2,2,3,801733.0,,1.5336845271932014,104.00137361944992,146.44518505866665,1047.1433121019109,-0.9235593913250908,34610D,295.42334,0.2508764,-0.4165216,146.34015649255952,69280.87534559424,0.22545007469433936,1.328179510108106,64.55529441808557,88.049132868437,1535.5089539341443,0.0148559236211978,89361.70680416205,0.6422080004329571,0.5379607868173797,0.6141531894798299,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.4247156979272482,44.02503802400059,13.992661304393929,99.21471761727688,1860505475586700.8,18.092809275072,743.755460255761,1395.90184043182,1.48559236212,0.0191219356696684,0.664089755054053,44.0245664342185,34.7292118604628,34.22082982630914,1.4855923621197802,0.7668163984161485,883038959458047.5,0.017035354270027822,3.071671563943781e-05,3.16,35.8,2023-05-04 16:03:00,0.014855923621197862,0.6422088909137439,0.0,893.6170680416205,2,0.014855923621197862,0.2508764,-0.4165216,0.6422088909137439,0.15971678,0.0,1.0537779336414168,0.0,8116.598342372834,0.8118941346415219,-0.5838046883459348,5.4097754959039195,244.54512340007722,0.7935380415698039,inf,0.0,238.6567368277361,0.0,0.0,0.0,0 days,0.014526587,2.7486946e-08,10502.596,0.76691395,-261.42053,0.0,0.0,1.0,-9.94344906724355e-13,1.0231715e-11,2.1305629e-16,0.0,0.0,0.0,7.48e-16,1.2104686951717719e-13,9.237370248734657e-12,1318.4404339359999,8.116598342372834,1.2540289059769861e-11,0.014526587,2.7486946e-08,10502.596,0.76691395,-261.42053,0.0,0.0,0.0,-9.94344906724355e-13,1.0231715e-11,2.1305629e-16,0.0,0.0,0.0,7.48e-16,1.2104686951717719e-13,9.237370248734657e-12,1318.4404339359999,8.116598342372834
3,3,4,801733.0,IGO1004,1.5928562761035163,103.95880853530213,159.47777764,1492.6949044585988,-0.9241064636067948,34610D,292.60092,1.7445883,-0.30085638,160.70983569994567,69216.32005117615,0.2428362844760061,3.0494125873294,72.39564445419292,198.2753611762376,7054.815080800679,0.0141824123540384,84631.66762616119,0.7092115336767223,0.6032970371182743,0.7067137809187279,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.4686642627910146,99.13766822218334,15.607537000412323,122.04885509516178,1688133584279484.2,33.0824037620686,818.64,1750.5019406748,1.4182412354,0.0272228465673113,1.5247062936647,99.1376805881188,56.0083343927575,55.22510912288004,1.4182412354038398,1.0,1565753551577120.8,0.03112570698461093,9.82433600989566e-05,3.16,35.8,2023-05-04 16:04:00,0.014182412354038445,0.709211338651088,0.0,846.3166762616119,3,0.014182412354038445,1.7445883,-0.30085638,0.709211338651088,0.16486531,0.0,1.0076266840804013,0.0,9154.654061101975,0.7626660465466881,-0.6467924716977193,5.238067989626511,244.1599263631449,0.8535605499735682,inf,0.0,239.07532752799148,0.0,0.0,0.0,0 days,0.013867826,6.9800286e-08,15127.047,0.8282767,-257.44864,0.0,0.0,0.9999999999999999,-9.674130014343238e-13,9.462755e-12,2.1631793e-16,0.0,0.0,0.0,7.48e-16,1.1140376366336265e-13,8.495341979229163e-12,1318.782819888553,9.154654061101976,4.838018556411223e-11,0.013867826,6.9800286e-08,15127.047,0.8282767,-257.44864,0.0,0.0,0.0,-9.674130014343238e-13,9.462755e-12,2.1631793e-16,0.0,0.0,0.0,7.48e-16,1.1140376366336265e-13,8.495341979229163e-12,1318.782819888553,9.154654061101976
4,4,5,801733.0,IGO1004,1.6540695966300318,103.90687330057575,173.367777628,3529.5840000000003,-0.9245915632500016,34610D,281.32623,-0.2264897,0.970253,169.73766915889044,69143.92440672196,0.25561974353260103,1.429376163234044,64.61063347205489,92.628394114277,2278.7300526022705,0.0078467860199249,65513.72471949614,0.7036132563024053,0.5384219456004574,0.706713780918728,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5048127649840393,46.314531829800295,16.483865897710086,100.81843773793948,1180057542708178.8,17.9847117992935,774.402832182292,1496.8542746153,0.784678601992,0.0214410932882613,0.714688081617022,46.3141970571385,33.332632436626,33.073114781919855,0.78467860199249,0.9140855854129448,776893368150735.4,0.022761400062947128,3.559274841420283e-05,3.16,35.8,2023-05-04 16:05:00,0.007846786019924971,0.70361307879934,0.0,655.1372471949613,4,0.007846786019924971,-0.2264897,0.970253,0.70361307879934,0.17599933,0.0,0.8112683141202092,0.0,10937.230704101195,0.7001003970091046,-0.714044420262279,4.102177733775891,241.28619090913563,0.7611402865432779,inf,0.0,235.23495368323842,0.0,0.0,0.0,0 days,0.0076643676,1.7112677e-07,36342.758,0.7426899,-252.8383,0.0,0.0,0.9999999999999999,-8.434228018261337e-13,6.590682e-12,2.2412852e-16,0.0,0.0,0.0,7.479999999999999e-16,7.568649714363763e-14,5.747259124637373e-12,1319.1370190028827,10.937230704101195,1.1219087531217571e-11,0.0076643676,1.7112677e-07,36342.758,0.7426899,-252.8383,0.0,0.0,0.0,-8.434228018261337e-13,6.590682e-12,2.2412852e-16,0.0,0.0,0.0,7.479999999999999e-16,7.568649714363763e-14,5.747259124637373e-12,1319.1370190028827,10.937230704101195
5,5,6,801733.0,IGO1004,1.7228052171610169,103.83673569251752,186.743333172,4183.38,-0.924951841403315,34610D,277.6433,-3.15044,0.32106736,178.89646008562684,69079.3137732499,0.26542228919457334,1.46002696166458,62.00108471875859,93.2133160156174,2277.598588039036,0.005554670117691,60181.00734168642,0.6111467948688476,0.516675705989655,0.706713780918728,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5355689154305735,46.6070268729565,16.85041169669358,94.69073816733312,1067567534953052.8,18.0026497234564,783.158536940183,1525.62501646212,0.555467011769,0.022102982575887,0.73001348083229,46.6066580078087,33.0278268249956,32.845381565509506,0.5554670117691,0.9596760441541508,682562630428789.6,0.02490776683434415,3.685858993809138e-05,3.16,35.8,2023-05-04 16:06:00,0.005554670117691088,0.6111470267092672,0.0,601.8100734168642,5,0.005554670117691088,-3.15044,0.32106736,0.6111470267092672,0.20619974,2.6895815e-08,0.7551177934755803,0.0,11369.69839384247,0.7009670382757435,-0.7131936702263506,3.8110534458597565,240.43634179949504,0.6381717840368624,inf,0.0,233.35277712411838,0.0,0.0,0.0,0 days,0.0054235863,1.3880724e-07,43170.36,0.6222381,-247.07011,0.0,0.0,1.0,-8.035698024258855e-13,5.8037928e-12,2.2163722e-16,0.0,0.0,0.0,7.479999999999998e-16,6.597253522958172e-14,5.000222923699927e-12,1319.53474446044,11.36969839384247,1.0910289750644387e-11,0.0054235863,1.3880724e-07,43170.36,0.6222381,-247.07011,0.0,0.0,0.0,-8.035698024258855e-13,5.8037928e-12,2.2163722e-16,0.0,0.0,0.0,7.479999999999998e-16,6.597253522958172e-14,5.000222923699927e-12,1319.53474446044,11.36969839384247
6,6,7,801733.0,IGO1004,1.7943572998046875,103.76389842922404,194.974444276,4835.3133333333335,-0.9252759091879248,34610D,273.6073,-3.8427963,-0.31987137,190.30926244848592,69017.31268853115,0.275305080483312,1.507470486071022,59.634663125628805,93.8392561836782,2546.457750091679,0.004355921584784,55219.038742685225,0.6094189569557844,0.4969555260469067,0.706713780918728,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5739225779900742,46.91989378978639,16.90193059861821,89.39335852916426,972903610177647.4,18.1248206134143,792.131669840784,1558.17781393152,0.435592158478,0.0229153144835048,0.753735243035511,46.9196280918391,32.8922059340741,32.74955145599494,0.4355921584784,1.0,614475891273811.6,0.02675941952013621,3.855535004070975e-05,3.16,35.8,2023-05-04 16:07:00,0.004355921584784052,0.6094197295010858,0.0,552.1903874268522,6,0.004355921584784052,-3.8427963,-0.31987137,0.6094197295010858,0.24739115,1.4207953e-07,0.7030781648952494,0.0,11931.049130967078,0.7011438520440351,-0.7130198445631456,3.54086865626645,239.59453660141673,0.6120641281346411,inf,0.0,232.37528443234496,0.0,0.0,0.0,0 days,0.0042619877,1.3505097e-07,49999.113,0.60170156,-241.76747,0.0,0.0,0.9999999999999999,-7.636929859647586e-13,5.057718e-12,2.2134767e-16,0.0,0.0,0.0,7.479999999999999e-16,5.679167447452275e-14,4.294025138497241e-12,1319.944308919804,11.931049130967079,1.039300986006659e-11,0.0042619877,1.3505097e-07,49999.113,0.60170156,-241.76747,0.0,0.0,0.0,-7.636929859647586e-13,5.057718e-12,2.2134767e-16,0.0,0.0,0.0,7.479999999999999e-16,5.679167447452275e-14,4.294025138497241e-12,1319.944308919804,11.931049130967079
7,7,8,801733.0,IGO1004,1.869444766287076,103.68749684300916,200.63333316,5562.6,-0.9255567873922774,34610D,269.2918,-3.9156075,0.26061076,199.7629340480261,68957.67802540552,0.28232567686526516,1.27068480501768,57.00235408111354,77.2777991987448,1989.3511733240089,0.0039852127720057,50079.94046965324,0.7247047508884985,0.4750196173426128,0.706713780918728,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6072402432405419,38.63933109328579,16.624591418625794,83.59967831438223,868977645749402.2,15.7003805198446,771.444685375751,1511.48524377673,0.398521277201,0.0219217175492584,0.63534240250884,38.6388995993724,28.9823277341849,28.86728545947865,0.39852127720057,0.8991117679111155,731351613235267.6,0.02314672645276311,3.1771447110529086e-05,3.16,35.8,2023-05-04 16:08:00,0.003985212772005795,0.7247053100494931,0.0,500.79940469653235,7,0.003985212772005795,-3.9156075,0.26061076,0.7247053100494931,0.34716463,1.1217691e-06,0.6478629191136266,0.0,12344.213494269052,0.7006804692162174,-0.7134752133458749,3.2417104249126,238.59337598548683,0.6979949925142602,inf,0.0,232.11720181666672,0.0,0.0,0.0,0 days,0.0038923891,9.163377e-08,57620.715,0.69001025,-236.11472,0.0,0.0,1.0,-7.191578634415364e-13,4.3323518e-12,2.1800094e-16,0.0,0.0,0.0,7.480000000000001e-16,4.7937520752764297e-14,3.613193831998981e-12,1320.3712418121747,12.344213494269052,6.376317387772627e-12,0.0038923891,9.163377e-08,57620.715,0.69001025,-236.11472,0.0,0.0,0.0,-7.191578634415364e-13,4.3323518e-12,2.1800094e-16,0.0,0.0,0.0,7.480000000000001e-16,4.7937520752764297e-14,3.613193831998981e-12,1320.3712418121747,12.344213494269052
8,8,9,801733.0,IGO1004,1.9471435546875,103.6083317126258,208.34999982,6129.528,-0.9258028017341589,34610D,265.80212,-4.625085,0.9570976,204.82638901307777,68900.6756713244,0.2866913167865608,1.19810200516059,55.17035872748561,72.161219580059,1756.7560091339308,0.0032166656979462,46348.6728707049,0.7305203187085354,0.4597529893957134,0.7067137809187282,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6267060552937833,36.081099216857,16.568757549227755,79.56561378563237,789297299432943.2,14.8137531627664,766.347333611286,1506.25738034882,0.321666569795,0.0218718919084847,0.599051002580295,36.0806097900295,27.3890802444898,27.30126121403196,0.32166656979462,0.8736190616613634,756991228707087.9,0.02241988465312192,3.0057334150920797e-05,3.16,35.8,2023-05-04 16:09:00,0.0032166656979462256,0.7305217885193439,0.0,463.48672870704905,8,0.0032166656979462256,-4.625085,0.9570976,0.7305217885193439,0.42674792,6.363266e-07,0.6074650714490993,0.0,12641.761182441607,0.7011874084713596,-0.71297701099069,3.0165505522187774,237.7844115021786,0.6800535994484088,inf,0.0,231.2102072852616,0.0,0.0,0.0,0 days,0.003143041,1.5104065e-07,63645.637,0.6814882,-230.46758,0.0,0.0,1.0,-6.839509456491763e-13,3.829501e-12,2.2258022e-16,0.0,0.0,0.0,7.479999999999999e-16,4.186272840520295e-14,3.145549860445218e-12,1320.8130221787192,12.641761182441607,5.069615160976851e-12,0.003143041,1.5104065e-07,63645.637,0.6814882,-230.46758,0.0,0.0,0.0,-6.839509456491763e-13,3.829501e-12,2.2258022e-16,0.0,0.0,0.0,7.479999999999999e-16,4.186272840520295e-14,3.145549860445218e-12,1320.8130221787192,12.641761182441607
9,9,10,801733.0,IGO1004,2.02679443359375,103.5272889218088,212.979999816,6629.400000000001,-0.9260210890215612,34610D,262.68896,-5.3312263,1.0142232,209.70170750484664,68845.50531259691,0.28792408777791634,1.033451253606897,52.49009955420155,61.058687980300704,1018.7380803630836,0.0025104350468591,43248.54735942331,0.6997756702050257,0.4374174962850129,0.6923168794893598,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6454138367371358,29.1565611169687,16.267812053497273,73.34050889175799,731843063848161.5,13.108191676545449,744.685825738216,1457.219453087695,0.264938106079,0.0208520370283822,0.5167256268034485,30.529343990150352,24.6464426355112,24.58472428205616,0.25104350468591,0.771001252587133,705236826864179.6,0.019645814821002118,2.460077292695485e-05,3.16,35.8,2023-05-04 16:10:00,0.0025104350468591625,0.6997765048029975,0.0,432.4854735942332,9,0.0025104350468591625,-5.3312263,1.0142232,0.6997765048029975,0.5020507,2.613307e-07,0.573551146921698,0.0,12914.546795885111,0.6657696000138174,-0.7461573826596113,2.8179426008173256,237.02521461418345,0.6318807406313128,inf,0.0,230.12814646212925,0.0,0.0,0.0,0 days,0.0024529141,1.6140969e-07,68930.164,0.6373517,-225.0146,0.0,0.0,1.0,-6.530625942204238e-13,3.4301641e-12,2.2343302e-16,0.0,0.0,0.0,7.48e-16,3.707375361629359e-14,2.7771015839517543e-12,1321.2632060115734,12.914546795885112,3.383008267013684e-12,0.0024529141,1.6140969e-07,68930.164,0.6373517,-225.0146,0.0,0.0,0.0,-6.530625942204238e-13,3.4301641e-12,2.2343302e-16,0.0,0.0,0.0,7.48e-16,3.707375361629359e-14,2.7771015839517543e-12,1321.2632060115734,12.914546795885112
