Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,1,801733.0,IGO1004,1.4106889349229954,104.0191171175605,120.379999896,586.74,-0.9221603147605836,34610D,297.82346,-1.6132032,0.06786234,119.29890096224386,69378.63483233604,0.2580583405401547,0.521694626607588,35.32099611127077,49.7675496388422,51.04358608071187,0.0173531881059187,94472.02900687772,0.6710696361358335,0.2943416342605898,0.4581384543239349,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.344837274976029,24.88280513871901,9.54499551844038,6.285862085443172,655420227436149.4,17.0258773072634,748.400914023527,1486.94211716606,1.73531881059,0.0215563435371063,0.260847313303794,24.8837748194211,12.1007216671408,11.894317340932112,1.73531881059187,0.5079441758054523,248426258806060.5,,,0.0104706115366229,2.081137841134555e-06,2.8440000000000003,35.8,2023-05-04 16:01:00,0.0173531881059187,0.6710702939111782,0.0,0,944.7202900687772,0.0173531881059187,-1.6132032,0.06786234,0.6710702939111782,0.14308625,0.0,1.1050623612075303,0.0,7614.667628717853,0.93203951281371,0.3623566565608839,6.487490206343233,246.7409667166233,0.8478623217912553,inf,0.0,241.44054507418747,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.01695904,5.8155443e-08,5721.036,0.81675446,-263.21585,0.0,0.0,1.0,-1.0220526926596257e-12,1.0987453e-11,2.1542032000000002e-16,0.0,0.0,0.0,7.48e-16,1.3051362619292653e-13,9.965400451965152e-12,1317.7197776445832,7.614667628717854,3.266137143054626e-12,0.01695904,5.8155443e-08,5721.036,0.81675446,-263.21585,0.0,0.0,0.0,-1.0220526926596257e-12,1.0987453e-11,2.1542032000000002e-16,0.0,0.0,0.0,7.48e-16,1.3051362619292653e-13,9.965400451965152e-12,1317.7197776445832,7.614667628717854,0.0
1,1,2,801733.0,,1.4745127782828862,104.04393870359776,133.41259247733333,601.5917197452229,-0.922999073549872,34610D,297.79453,-1.5757649,-0.036918204,131.4281183049277,69343.31383622477,0.2912801347655473,0.938961365919552,62.43849063053752,91.7738048500066,1533.2068941986302,0.0170374450867424,94303.56884702292,0.6590001183369352,0.5203207552544793,0.8151531610214658,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.3799155964512933,45.88687869985076,12.409239264402627,20.974533979131305,1348729285939324.0,27.9210510870755,838.881051713261,1673.25355547027,1.70374450867,0.0252884752023828,0.469480682959776,45.8869024250033,18.5650055688427,18.25400397844674,1.70374450867424,0.8308115607790246,786799772829853.4,,,0.014967467562208,1.0507004000849044e-05,2.8440000000000003,35.8,2023-05-04 16:02:00,0.0170374450867424,0.6589998209971044,0.0,1,943.035688470229,0.0170374450867424,-1.5757649,-0.036918204,0.6589998209971044,0.15889984,0.0,1.1031990042736048,0.0,8116.674608168534,0.8118862591610064,-0.583815640579753,6.777666620377308,247.2765721568721,0.8323891778340171,inf,0.0,241.7284441228865,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.01665614,5.4357912e-08,5876.3706,0.8033844,-263.1452,0.0,0.0,1.0,-1.0212750238340045e-12,1.0970806e-11,2.1512759000000002e-16,0.0,0.0,0.0,7.479999999999999e-16,1.3030703326324157e-13,9.949531205431632e-12,1318.095489321811,8.116674608168534,8.389767347799027e-12,0.01665614,5.4357912e-08,5876.3706,0.8033844,-263.1452,0.0,0.0,0.0,-1.0212750238340045e-12,1.0970806e-11,2.1512759000000002e-16,0.0,0.0,0.0,7.479999999999999e-16,1.3030703326324157e-13,9.949531205431632e-12,1318.095489321811,8.116674608168534,0.0
2,2,3,801733.0,,1.5336845271932014,104.00137361944992,146.44518505866665,1047.1433121019109,-0.9235593913250908,34610D,295.42334,0.2508764,-0.4165216,146.34015649255952,69280.87534559424,0.3092057809206618,0.944923097709538,64.55529441808557,88.0499253505454,1535.5089539341443,0.0148559236211978,89361.70680416205,0.6422080004329571,0.5379607868173797,0.8690267631139592,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4247156979272482,44.02503802400059,13.353079912819464,23.11188883899693,1449612980279136.0,28.0697209990589,845.92258908211,1683.41948333595,1.48559236212,0.0253807523544315,0.472461548854769,44.0249626752727,18.6149544448897,18.342460256297294,1.48559236211978,0.8604745522382989,780756152298800.6,23.609317662898416,1535141433944173.8,0.0159281232868125,1.0950910997722954e-05,2.8440000000000003,35.8,2023-05-04 16:03:00,0.0148559236211978,0.6422088909137439,0.0,2,893.6170680416205,0.0148559236211978,0.2508764,-0.4165216,0.6422088909137439,0.15971678,0.0,1.0537779336414168,0.0,8116.598342372834,0.8118941346415219,-0.5838046883459348,6.576931665182609,246.90828872526453,0.7935380415698039,inf,0.0,240.88268391566777,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.014526587,2.7486946e-08,10502.596,0.76691395,-261.42053,0.0,0.0,1.0,-9.94344906724355e-13,1.0231715e-11,2.1305629e-16,0.0,0.0,0.0,7.48e-16,1.210468695171772e-13,9.237370248734655e-12,1318.440433936,8.116598342372834,8.341817325545264e-12,0.014526587,2.7486946e-08,10502.596,0.76691395,-261.42053,0.0,0.0,0.0,-9.94344906724355e-13,1.0231715e-11,2.1305629e-16,0.0,0.0,0.0,7.48e-16,1.210468695171772e-13,9.237370248734655e-12,1318.440433936,8.116598342372834,0.0
3,3,4,801733.0,IGO1004,1.5928562761035163,103.95880853530213,159.47777764,1492.6949044585988,-0.9241064636067948,34610D,292.60092,1.7445883,-0.30085638,160.70983569994567,69216.32005117615,0.3086618461044643,2.34086008131488,72.39564445419292,198.2733686357786,7054.815080800679,0.0141824123540384,84631.66762616119,0.7092115336767223,0.6032970371182743,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4686642627910146,99.13766822218334,15.76550462308994,29.12904715398446,1557468154132330.0,53.900712580702,1014.44444634363,2149.29086039665,1.4182412354,0.0376195804984469,1.17043004065744,99.1366843178893,31.1122565735619,30.67718015474814,1.4182412354038398,1.0,943953538030157.6,23.39161846274716,1500436647446163.5,0.0374345801128504,2.0152943841029248e-05,2.8440000000000003,35.8,2023-05-04 16:04:00,0.0141824123540384,0.709211338651088,0.0,3,846.3166762616119,0.0141824123540384,1.7445883,-0.30085638,0.709211338651088,0.16486531,0.0,1.0076266840804011,0.0,9154.654061101975,0.7626660465466881,-0.6467924716977193,6.220334858060921,246.22869265503493,0.8535605499735682,inf,0.0,241.0386849378008,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.013867826,6.9800286e-08,15127.047,0.8282767,-257.44864,0.0,0.0,1.0,-9.674130014343238e-13,9.462755e-12,2.1631793e-16,0.0,0.0,0.0,7.48e-16,1.1140376366336265e-13,8.495341979229163e-12,1318.782819888553,9.154654061101976,4.4666357571889815e-11,0.013867826,6.9800286e-08,15127.047,0.8282767,-257.44864,0.0,0.0,0.0,-9.674130014343238e-13,9.462755e-12,2.1631793e-16,0.0,0.0,0.0,7.48e-16,1.1140376366336265e-13,8.495341979229163e-12,1318.782819888553,9.154654061101976,0.0
4,4,5,801733.0,IGO1004,1.6540695966300318,103.90687330057575,173.367777628,3529.5840000000003,-0.9245915632500016,34610D,281.32623,-0.2264897,0.970253,169.73766915889044,69143.92440672196,0.3431875671540945,1.038852699702028,64.61063347205489,92.630865503011,2278.7300526022705,0.0078467860199249,65513.72471949614,0.7036132563024053,0.5384219456004574,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5048127649840393,46.314531829800295,16.650703055189144,33.12483650727914,1497437173789815.5,29.2315516534546,881.233545300656,1781.47133933061,0.784678601992,0.0275885052197885,0.519426349851014,46.3154327515055,18.827636572294,18.68105036743331,0.78467860199249,1.0,692521263947876.8,15.954046723902373,1201810770887982.5,0.0208550037321163,1.4784988432994547e-05,2.8440000000000003,35.8,2023-05-04 16:05:00,0.0078467860199249,0.70361307879934,0.0,4,655.1372471949613,0.0078467860199249,-0.2264897,0.970253,0.70361307879934,0.17599933,0.0,0.8112683141202092,0.0,10937.230704101195,0.7001003970091046,-0.714044420262279,5.040937569745137,243.7036376589819,0.7611402865432779,inf,0.0,237.505816992704,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0076643676,1.7112677e-07,36342.758,0.7426899,-252.8383,0.0,0.0,1.0,-8.434228018261337e-13,6.590682e-12,2.2412852000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,7.568649714363763e-14,5.747259124637373e-12,1319.1370190028829,10.937230704101196,7.470957631219085e-12,0.0076643676,1.7112677e-07,36342.758,0.7426899,-252.8383,0.0,0.0,0.0,-8.434228018261337e-13,6.590682e-12,2.2412852000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,7.568649714363763e-14,5.747259124637373e-12,1319.1370190028829,10.937230704101196,0.0
5,5,6,801733.0,IGO1004,1.7228052171610169,103.83673569251752,186.743333172,4183.38,-0.924951841403315,34610D,277.6433,-3.15044,0.32106736,178.89646008562684,69079.3137732499,0.3534794036861884,1.069722079686836,62.00108471875859,93.2141328782116,2277.598588039036,0.005554670117691,60181.00734168642,0.6111467948688476,0.516675705989655,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5355689154305735,46.6070268729565,17.020958752055073,34.031403708962,1483817307212384.8,29.5471045958285,892.624003783162,1814.82750014737,0.555467011769,0.0283691712224237,0.534861039843418,46.6070664391058,18.853601173257,18.74945414061909,0.5554670117691,1.0,659455160762147.9,14.666961239748687,1115293593482366.0,0.0227455675104495,1.4079043390472356e-05,2.8440000000000003,35.8,2023-05-04 16:06:00,0.005554670117691,0.6111470267092672,0.0,5,601.8100734168642,0.005554670117691,-3.15044,0.32106736,0.6111470267092672,0.20619974,2.6895815e-08,0.7551177934755803,0.0,11369.69839384247,0.7009670382757435,-0.7131936702263506,4.695088535820737,242.8634454735892,0.6381717840368624,inf,0.0,235.6095644995531,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0054235863,1.3880724e-07,43170.36,0.6222381,-247.07011,0.0,0.0,1.0,-8.035698024258855e-13,5.8037928e-12,2.2163722000000002e-16,0.0,0.0,0.0,7.479999999999998e-16,6.597253522958172e-14,5.000222923699927e-12,1319.53474446044,11.36969839384247,7.299756177501965e-12,0.0054235863,1.3880724e-07,43170.36,0.6222381,-247.07011,0.0,0.0,0.0,-8.035698024258855e-13,5.8037928e-12,2.2163722000000002e-16,0.0,0.0,0.0,7.479999999999998e-16,6.597253522958172e-14,5.000222923699927e-12,1319.53474446044,11.36969839384247,0.0
6,6,7,801733.0,IGO1004,1.7943572998046875,103.76389842922404,194.974444276,4835.3133333333335,-0.9252759091879248,34610D,273.6073,-3.8427963,-0.31987137,190.30926244848592,69017.31268853115,0.3649861502673406,1.10948722607394,59.634663125628805,93.8398279050124,2546.457750091679,0.004355921584784,55219.038742685225,0.6094189569557844,0.4969555260469067,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5739225779900742,46.91989378978639,17.07299908913374,34.88829376503476,1470943768203281.0,29.9876121159267,904.394430941357,1851.81073584672,0.435592158478,0.0293088665647482,0.55474361303697,46.9199139525062,18.9275014034217,18.845412265360864,0.4355921584784,1.0,637599203404678.0,13.695252729838508,1047782293129762.8,0.0243953065023946,1.3612429448713972e-05,2.8440000000000003,35.8,2023-05-04 16:07:00,0.004355921584784,0.6094197295010858,0.0,6,552.1903874268522,0.004355921584784,-3.8427963,-0.31987137,0.6094197295010858,0.24739115,1.4207953e-07,0.7030781648952494,0.0,11931.049130967078,0.7011438520440351,-0.7130198445631456,4.38152407197438,242.0528471749661,0.6120641281346411,inf,0.0,234.6578351040652,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0042619877,1.3505097e-07,49999.113,0.60170156,-241.76747,0.0,0.0,1.0,-7.636929859647586e-13,5.057718e-12,2.2134767000000001e-16,0.0,0.0,0.0,7.479999999999999e-16,5.6791674474522754e-14,4.294025138497241e-12,1319.944308919804,11.93104913096708,6.9733974458649874e-12,0.0042619877,1.3505097e-07,49999.113,0.60170156,-241.76747,0.0,0.0,0.0,-7.636929859647586e-13,5.057718e-12,2.2134767000000001e-16,0.0,0.0,0.0,7.479999999999999e-16,5.6791674474522754e-14,4.294025138497241e-12,1319.944308919804,11.93104913096708,0.0
7,7,8,801733.0,IGO1004,1.869444766287076,103.68749684300916,200.63333316,5562.6,-0.9255567873922774,34610D,269.2918,-3.9156075,0.26061076,199.7629340480261,68957.67802540552,0.3755178999936291,0.93217457266408,57.00235408111354,77.2789877941522,1989.3511733240089,0.0039852127720057,50079.94046965324,0.7247047508884985,0.4750196173426128,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6072402432405419,38.63933109328579,16.79285289283007,36.00946134414444,1454099840020054.2,26.1205658172623,882.54128903662,1789.88980975896,0.398521277201,0.0277304136790422,0.46608728633204,38.6394938970761,16.807801417124,16.741084632828027,0.39852127720057,1.0,593560303131151.9,12.41492966293035,960788869447472.0,0.021790911805239,1.2672220584318887e-05,2.8440000000000003,35.8,2023-05-04 16:08:00,0.0039852127720057,0.7247053100494931,0.0,7,500.7994046965324,0.0039852127720057,-3.9156075,0.26061076,0.7247053100494931,0.34716463,1.1217691e-06,0.6478629191136266,0.0,12344.213494269052,0.7006804692162174,-0.7134752133458749,4.039475671860428,241.10777017017637,0.6979949925142602,inf,0.0,234.46886999604624,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0038923891,9.163377e-08,57620.715,0.69001025,-236.11472,0.0,0.0,1.0,-7.191578634415364e-13,4.3323518e-12,2.1800094000000002e-16,0.0,0.0,0.0,7.480000000000001e-16,4.7937520752764297e-14,3.613193831998981e-12,1320.3712418121747,12.344213494269052,4.403674048639011e-12,0.0038923891,9.163377e-08,57620.715,0.69001025,-236.11472,0.0,0.0,0.0,-7.191578634415364e-13,4.3323518e-12,2.1800094000000002e-16,0.0,0.0,0.0,7.480000000000001e-16,4.7937520752764297e-14,3.613193831998981e-12,1320.3712418121747,12.344213494269052,0.0
8,8,9,801733.0,IGO1004,1.9471435546875,103.6083317126258,208.34999982,6129.528,-0.9258028017341589,34610D,265.80212,-4.625085,0.9570976,204.82638901307777,68900.6756713244,0.3813769655274251,0.878797887927056,55.17035872748561,72.1615730828922,1756.7560091339308,0.0032166656979462,46348.6728707049,0.7305203187085354,0.4597529893957134,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6267060552937833,36.081099216857,16.736453915458007,36.28235538999999,1450000000000000.0,24.7456699923986,877.682595848382,1780.20105619186,0.321666569795,0.0275061528101704,0.439398943963528,36.0807865414461,15.9745692898594,15.923349198695536,0.32166656979462,1.0,572537286287986.5,11.30184587578008,885989467229247.5,0.0214036406945426,1.2223389512936445e-05,2.8440000000000003,35.8,2023-05-04 16:09:00,0.0032166656979462,0.7305217885193439,0.0,8,463.48672870704905,0.0032166656979462,-4.625085,0.9570976,0.7305217885193439,0.42674792,6.363266e-07,0.6074650714490993,0.0,12641.761182441607,0.7011874084713596,-0.71297701099069,3.771424316066991,240.31624404688384,0.6800535994484088,inf,0.0,233.57606514435557,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.003143041,1.5104065e-07,63645.637,0.6814882,-230.46758,0.0,0.0,1.0,-6.839509456491764e-13,3.829501e-12,2.2258022e-16,0.0,0.0,0.0,7.479999999999999e-16,4.186272840520295e-14,3.145549860445218e-12,1320.8130221787192,12.641761182441607,3.549968343545068e-12,0.003143041,1.5104065e-07,63645.637,0.6814882,-230.46758,0.0,0.0,0.0,-6.839509456491764e-13,3.829501e-12,2.2258022e-16,0.0,0.0,0.0,7.479999999999999e-16,4.186272840520295e-14,3.145549860445218e-12,1320.8130221787192,12.641761182441607,0.0
9,9,10,801733.0,IGO1004,2.02679443359375,103.5272889218088,212.979999816,6629.400000000001,-0.9260210890215612,34610D,262.68896,-5.3312263,1.0142232,209.70170750484664,68845.50531259691,0.3851410782218586,0.719939136611118,52.49009955420155,58.312558307807,1018.7380803630836,0.0025104350468591,43248.54735942331,0.6997756702050257,0.4374174962850129,0.979628384477444,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6454138367371358,29.1565611169687,16.296051271170445,36.28235539,1449999999999999.8,21.18289901667,851.29732655853,1707.05677193813,0.251043504686,0.0257019243529924,0.359969568305559,29.1562791539035,14.0055492873493,13.9704773114852,0.2510435046859099,0.8837761986632422,523999388594373.75,10.418820290047432,825941036524940.4,0.0188029459939471,7.937204245299578e-06,2.8440000000000003,35.8,2023-05-04 16:10:00,0.0025104350468591,0.6997765048029975,0.0,9,432.4854735942332,0.0025104350468591,-5.3312263,1.0142232,0.6997765048029975,0.5020507,2.613307e-07,0.573551146921698,0.0,12914.546795885111,0.6657696000138174,-0.7461573826596113,3.5385580422829768,239.58709557275773,0.6318807406313128,inf,0.0,232.51472026845371,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0024529141,1.6140969e-07,68930.164,0.6373517,-225.0146,0.0,0.0,1.0,-6.530625942204239e-13,3.4301641e-12,2.2343302e-16,0.0,0.0,0.0,7.48e-16,3.7073753616293593e-14,2.7771015839517547e-12,1321.2632060115734,12.914546795885112,2.2556135669003952e-12,0.0024529141,1.6140969e-07,68930.164,0.6373517,-225.0146,0.0,0.0,0.0,-6.530625942204239e-13,3.4301641e-12,2.2343302e-16,0.0,0.0,0.0,7.48e-16,3.7073753616293593e-14,2.7771015839517547e-12,1321.2632060115734,12.914546795885112,0.0
