,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,0.4412440622024429,34610D,276.21408,1.4608289,-9.443659,97.75548662380956,67654.92231860415,0.2629603786952104,1.058948118622638,66.09886097171746,122.5759580738142,1608.3135862210563,0.0033892379900906,93181.80291069952,0.6473894686544488,0.5508238414309788,0.6485885682889395,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.293410353437705,61.288182832323706,16.342343821989655,20.13151318406702,1308938489470123.2,30.783959038749,784.181844996932,1456.01154518773,0.338923799009,0.0198191382020075,0.529474059311319,61.2879790369071,26.715291750561,26.62505310907554,0.33892379900906,0.6258823542158238,1488913472959671.0,0.019176117988442595,2.132847997057252e-05,3.16,35.8,2023-02-06 15:02:00,0.0033892379900906664,0.6473899380860334,0.0,0,931.8180291069953,0.0033892379900906664,1.4608289,-9.443659,0.6473899380860334,1.9432092,0.0,1.1752431942726584,617.7800625884295,7725.93080288237,-0.8195006120311534,-0.5730783078084224,5.870235863636689,245.5269456496391,0.666777459111613,inf,0.0,238.32005205100418,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.003313313,2.425427e-07,6868.8276,0.6529579,-183.66467,0.0,0.0,1.0,-8.050491231163144e-13,7.646469e-12,2.296335e-16,0.0,0.0,0.0,7.479999999999999e-16,8.991610135737245e-14,6.841420604267167e-12,704.4958766721334,8.335524224060849e-12,1.5018086934155742e-13,0.0,0.003313313,2.425427e-07,6868.8276,0.6529579,-183.66467,0.0,0.0,0.0,-8.050491231163144e-13,7.646469e-12,2.296335e-16,0.0,0.0,0.0,7.479999999999999e-16,8.991610135737245e-14,6.841420604267167e-12,704.4958766721334,8.335524224060849e-12,1.5018086934155742e-13,0.0
1,1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,0.4431881760077635,34610D,273.45633,1.7162616,-6.3098993,125.66280220334724,67588.82345763243,0.30524162627351564,1.51685404052156,96.0,158.5485411423296,3568.7776279026752,0.0031831322758033,87673.12586169648,0.7158997641778259,0.8,0.974888395695391,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.3790704831673827,79.27483441213646,21.46759141619757,36.28235539,1450000000000000.0,40.6508751314504,851.34797845477,1597.91568217541,0.31831322758,0.0226621786810431,0.75842702026078,79.2742705711648,33.4666419736247,33.36045124453286,0.31831322758033,0.8587548848445365,1937039141584353.2,0.026570504529240823,3.272575622445377e-05,3.16,35.8,2023-02-06 15:03:00,0.00318313227580337,0.7158998585791894,0.0,1,876.7312586169647,0.00318313227580337,1.7162616,-6.3098993,0.7158998585791894,1.9948975,0.0,1.1169171483990288,620.5018427207511,8772.56839360524,-0.9285345241436924,0.3712460605491279,5.8582916559031295,245.50235515557938,0.7179565480892214,inf,0.0,238.75816562988004,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.003114983,2.864198e-07,11692.029,0.70162785,-183.02008,0.0,0.0,0.9999999999999999,-7.87758024049086e-13,6.9886536e-12,2.330157e-16,0.0,0.0,0.0,7.48e-16,8.159266024820688e-14,6.20089573508556e-12,705.6502173970034,1.4995096780929448e-11,2.1512145351000005e-13,0.0,0.003114983,2.864198e-07,11692.029,0.70162785,-183.02008,0.0,0.0,0.0,-7.87758024049086e-13,6.9886536e-12,2.330157e-16,0.0,0.0,0.0,7.48e-16,8.159266024820688e-14,6.20089573508556e-12,705.6502173970034,1.4995096780929448e-11,2.1512145351000005e-13,0.0
2,2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,0.445892650309363,34610D,267.64578,7.8307,-3.4740822,152.37234832624188,67492.82345763243,0.3411992024259584,1.120224192401888,78.51005627556778,107.9414462708444,2410.6299343298624,0.0027211845170252,76420.53006165694,0.8689070526728572,0.6542504689630648,0.8552410307249116,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.4646042225596985,53.97072737547504,17.932890293662695,31.55684687949236,1520993959746343.0,32.2161828724099,810.219586738464,1494.07713113649,0.272118451703,0.0203309927857989,0.560112096200944,53.9707231354222,27.5496677462883,27.47490346437428,0.27211845170252,0.7145192923592802,1458143738076176.5,0.021358556732050754,2.2386368616409988e-05,3.16,35.8,2023-02-06 15:04:00,0.002721184517025204,0.8689071638893477,0.0,2,764.2053006165694,0.002721184517025204,7.8307,-3.4740822,0.8689071638893477,2.2191842,1.7761337e-09,0.9946999457844994,624.2881918650742,9611.468894653619,-0.8690383133027305,0.49474479280932826,5.382965683979925,244.48570109274607,0.8235688079962317,inf,0.0,238.97075653564548,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0026616452,2.1182571e-07,22390.584,0.82459325,-178.85416,0.0,0.0,1.0000000000000002,-7.489497711689763e-13,5.7020747e-12,2.2726574e-16,0.0,0.0,0.0,7.48e-16,6.536588686200386e-14,4.953124702462638e-12,707.1238157797329,7.1106182415156004e-12,1.588710911457897e-13,0.0,0.0026616452,2.1182571e-07,22390.584,0.82459325,-178.85416,0.0,0.0,0.0,-7.489497711689763e-13,5.7020747e-12,2.2726574e-16,0.0,0.0,0.0,7.48e-16,6.536588686200386e-14,4.953124702462638e-12,707.1238157797329,7.1106182415156004e-12,1.588710911457897e-13,0.0
3,3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,0.4487222032722377,34610D,264.98715,12.842031,-1.311742,170.29562069695606,67414.31340135686,0.35300920210808845,0.870036878293002,61.34018329777782,77.6071342805366,1310.9389903160402,0.0018316406264454,69546.28509278147,0.6701876824045087,0.5111681941481485,0.714947963701348,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5218531193416728,38.803967799630335,16.217519094007084,23.54799897390283,1470197489840223.5,26.284529567645,782.552043134379,1425.67195507714,0.183164062645,0.0188453807326514,0.435018439146501,38.8035671402683,23.083557998528,23.041354517505408,0.18316406264454,0.6205436608062747,1070120096803880.8,0.018744163249685468,1.525049609809976e-05,3.16,35.8,2023-02-06 15:05:00,0.0018316406264454691,0.6701874850303495,0.0,3,695.4628509278148,0.0018316406264454691,12.842031,-1.311742,0.6701874850303495,2.5124383,5.283592e-11,0.9143060027678562,628.2496600756087,11080.285114414322,-0.8202005681753433,0.5720760683378078,4.984354741060961,243.56974554372792,0.6189362977236422,inf,0.0,236.11673962399107,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0017925267,7.2838026e-07,29596.623,0.63276654,-174.25034,0.0,0.0,0.9999999999999999,-7.22884662038262e-13,5.079465e-12,2.670835e-16,0.0,0.0,0.0,7.48e-16,5.765062805408825e-14,4.356580351879016e-12,708.6412365348265,4.262856353504271e-12,1.2338932610901618e-13,0.0,0.0017925267,7.2838026e-07,29596.623,0.63276654,-174.25034,0.0,0.0,0.0,-7.22884662038262e-13,5.079465e-12,2.670835e-16,0.0,0.0,0.0,7.48e-16,5.765062805408825e-14,4.356580351879016e-12,708.6412365348265,4.262856353504271e-12,1.2338932610901618e-13,0.0
4,4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,0.4517408844054665,34610D,263.20035,14.499976,2.5770183,183.9852694447437,67352.97321805908,0.3753096281773948,1.19707491091568,82.80269185661147,105.0774246877206,2577.1937879183133,0.0015288454338851,66042.770723412,0.6218370817707584,0.690022432138429,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5657141533288619,52.53871203795986,21.04124050124772,36.28235538999999,1450000000000000.0,33.4511591454336,838.507951828679,1549.39481132765,0.152884543389,0.0213493807266082,0.59853745545784,52.5387123438603,28.0353544265511,27.992558131868428,0.1528845433885099,0.814507212228047,1425237940415285.0,0.02458022669053097,2.308108857234125e-05,3.16,35.8,2023-02-06 15:06:00,0.0015288454338851815,0.6218374543680613,0.0,4,660.42770723412,0.0015288454338851815,14.499976,2.5770183,0.6218374543680613,2.8699493,4.2403253e-10,0.8741405591187709,632.475922024213,12201.84212776877,-0.8219449188493326,0.5695669849787328,4.90095055279214,243.36990776839005,0.5643252238804397,inf,0.0,235.53603337376305,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0014971958,6.718567e-07,33550.6,0.58543086,-170.11133,0.0,0.0,1.0,-7.087536836149681e-13,4.7284047e-12,2.6272646e-16,0.0,-0.0,0.0,7.480000000000001e-16,5.326619018732255e-14,4.019651056267939e-12,710.2963474268029,7.09654264239122e-12,1.6977012152599048e-13,0.0,0.0014971958,6.718567e-07,33550.6,0.58543086,-170.11133,0.0,0.0,0.0,-7.087536836149681e-13,4.7284047e-12,2.6272646e-16,0.0,-0.0,0.0,7.480000000000001e-16,5.326619018732255e-14,4.019651056267939e-12,710.2963474268029,7.09654264239122e-12,1.6977012152599048e-13,0.0
5,5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,0.454896531676361,34610D,258.26172,16.693224,10.971824,201.69522946481612,67270.17052620248,0.3914119572176534,1.061390443478954,77.56877141009527,88.632923457845,1239.3160654505714,0.0009857802193256,59583.07384093393,0.5654896544072924,0.6464064284174605,0.9802397439282496,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6260698817175333,44.31659927193353,20.32961761783096,36.28235539,1450000000000000.0,30.4958830940688,825.410200106361,1512.67129746763,0.0985780219326,0.020482993668105,0.530695221739477,44.3164617289225,25.9090653611755,25.883549869708013,0.0985780219325599,0.7677516376480414,1242574096608980.5,0.022969995367035288,1.967430749348073e-05,3.16,35.8,2023-02-06 15:07:00,0.0009857802193256435,0.5654898826496791,0.0,5,595.8307384093393,0.0009857802193256435,16.693224,10.971824,0.5654898826496791,3.3630483,5.2903823e-07,0.803720996583033,636.8939462259019,12801.950611483831,-0.8650897885852082,0.5016170428579952,4.536449961699265,242.4595530201178,0.4888919812118422,inf,0.0,234.20711673684818,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0009647892,4.275143e-07,41266.637,0.54023814,-166.2737,0.0,0.0,0.9999999999999999,-6.807328043527773e-13,3.9477085e-12,2.4389173e-16,0.0,-0.0,0.0,7.48e-16,4.346257453767205e-14,3.266975600303238e-12,712.1179724158935,4.778958090187533e-12,1.5052724180654005e-13,0.0,0.0009647892,4.275143e-07,41266.637,0.54023814,-166.2737,0.0,0.0,0.0,-6.807328043527773e-13,3.9477085e-12,2.4389173e-16,0.0,-0.0,0.0,7.48e-16,4.346257453767205e-14,3.266975600303238e-12,712.1179724158935,4.778958090187533e-12,1.5052724180654005e-13,0.0
6,6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,0.458127030644354,34610D,255.75598,16.892221,14.659993,226.628835528924,67192.60175479238,0.4120826008720717,1.230156493568838,76.4456062014536,96.2522549870004,2775.078702475155,0.0010033570996093,56665.10718470681,0.6912342164616647,0.6370467183454467,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7069023970733612,48.12645298048741,20.6126832905573,36.28235538999999,1450000000000000.0,34.0875137457057,856.576226154998,1576.59982969415,0.100335709961,0.021739647443867,0.615078246784419,48.1261274935002,28.2929264778827,28.26456702389189,0.10033570996093,0.8751476704587109,1292598141603012.5,0.026785123556982756,2.2962398390751962e-05,3.16,35.8,2023-02-06 15:08:00,0.001003357099609356,0.6912347747438492,0.0,6,566.6510718470681,0.001003357099609356,16.892221,14.659993,0.6912347747438492,3.962885,2.845673e-06,0.7718490364915983,641.4167670488724,12932.714296879942,-0.96828920219839,-0.24983198535416845,4.4660400767778015,242.27626613710186,0.5830340577967681,inf,0.0,234.65497772665375,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000981289,3.001661e-07,45023.91,0.6716079,-162.55835,0.0,0.0,1.0,-6.672850432657373e-13,3.6036803e-12,2.340753e-16,0.0,-0.0,0.0,7.48e-16,3.915521253294855e-14,2.9363951713109012e-12,714.1298650364331,5.805234520889809e-12,1.7446177804312748e-13,0.0,0.000981289,3.001661e-07,45023.91,0.6716079,-162.55835,0.0,0.0,0.0,-6.672850432657373e-13,3.6036803e-12,2.340753e-16,0.0,-0.0,0.0,7.48e-16,3.915521253294855e-14,2.9363951713109012e-12,714.1298650364331,5.805234520889809e-12,1.7446177804312748e-13,0.0
7,7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,0.4608513152730646,34610D,250.1261,16.65909,20.865917,238.4932242334469,67116.15614859093,0.42432842643553037,1.071113559783938,73.43599978817097,82.005510777421,2081.364895220949,0.0008965109529527,50547.32103053465,0.946719679301451,0.6119666649014248,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7522353500966591,41.00279231251319,20.27946900822709,36.28235539,1450000000000000.0,30.5293661378282,838.145558645238,1533.31677986549,0.0896510952953,0.0208084695178996,0.535556779891969,41.0027553887105,25.7374421233277,25.714388892037505,0.08965109529527,0.8132066278693499,1184225590707008.2,0.024172468707177097,1.916689494294327e-05,3.16,35.8,2023-02-06 15:09:00,0.0008965109529527787,0.9467202843006234,0.0,7,505.4732103053465,0.0008965109529527787,16.65909,20.865917,0.9467202843006234,4.287696,1.2622181e-05,0.7040144618086115,645.2308427919347,12430.578898437592,-0.7042767810084202,-0.7099255001283007,4.068240146149349,241.18992267649145,0.7553452141893271,inf,0.0,235.08529375227405,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00087663793,-7.270327e-09,53307.348,0.9299178,-159.38582,0.0,0.0,1.0,-6.37062933913944e-13,2.9129307e-12,2.1564551e-16,0.0,-0.0,0.0,7.479999999999998e-16,3.054992763197429e-14,2.2758678550931688e-12,716.4001107997703,3.535532356353517e-12,1.519061819394059e-13,0.0,0.00087663793,-7.270327e-09,53307.348,0.9299178,-159.38582,0.0,0.0,0.0,-6.37062933913944e-13,2.9129307e-12,2.1564551e-16,0.0,-0.0,0.0,7.479999999999998e-16,3.054992763197429e-14,2.2758678550931688e-12,716.4001107997703,3.535532356353517e-12,1.519061819394059e-13,0.0
8,8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,0.4627335061654805,34610D,246.14784,17.59171,26.648623,242.1059932099193,67042.72014880275,0.42781333531863647,0.950111372383906,70.93421036114262,72.2444905185976,1933.376550762588,0.0006653868967271,46319.52510881937,0.9581859764235012,0.5911184196761885,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7697766746195606,36.12266221199322,19.93536609109873,36.28235538999999,1450000000000000.0,27.6772728921119,822.997386546997,1499.42384147953,0.0665386896727,0.0201059632142635,0.475055686191953,36.1222452592988,23.6276014796914,23.61189043718754,0.06653868967271,0.7591468777102274,1056090386891381.2,0.02226103032103732,1.6645311014866677e-05,3.16,35.8,2023-02-06 15:10:00,0.0006653868967271227,0.9581874236517617,0.0,8,463.1952510881937,0.0006653868967271227,17.59171,26.648623,0.9581874236517617,4.2755904,2.2381144e-05,0.6555570886240674,647.8659144946001,12894.637238011368,-0.7060505909466769,-0.7081613961688737,3.749929197295194,240.25063410302545,0.7349859066822501,inf,0.0,234.00379128924908,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0006512655,-3.5082783e-07,59565.883,0.9356011,-158.48682,0.0,0.0,1.0000000000000002,-6.141195292994698e-13,2.5084511e-12,2.3798047e-16,0.0,-0.0,0.0,7.48e-16,2.5612290070563752e-14,1.8943315067879416e-12,717.9853682660939,2.4039587461862946e-12,1.3474555492058345e-13,0.0,0.0006512655,-3.5082783e-07,59565.883,0.9356011,-158.48682,0.0,0.0,0.0,-6.141195292994698e-13,2.5084511e-12,2.3798047e-16,0.0,-0.0,0.0,7.48e-16,2.5612290070563752e-14,1.8943315067879416e-12,717.9853682660939,2.4039587461862946e-12,1.3474555492058345e-13,0.0
9,9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,0.4646351722522056,34610D,242.3454,18.625563,32.155136,242.6484623281609,66971.78593844161,0.4303824103252838,0.977102294499012,69.1366618104358,74.5758894607934,2206.4861261884835,0.0004938878957553,42654.61853884109,0.9694510442352948,0.5761388484202983,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7775303643137118,37.28826549570692,19.67607383551212,36.28235538999999,1450000000000000.0,27.7696803072331,833.328871815831,1530.72576553504,0.0493887895755,0.0208491381756073,0.488551147249506,37.2879447303967,23.4326782783325,23.421110875166114,0.04938878957553,0.7960474889665774,1078519122635019.0,0.023272586415079094,1.731888564803117e-05,3.16,35.8,2023-02-06 15:11:00,0.0004938878957553594,0.9694511701664218,0.0,9,426.54618538841095,0.0004938878957553594,18.625563,32.155136,0.9694511701664218,4.132972,4.341693e-05,0.6131598799026745,650.5282518421783,13073.016020263154,-0.7085019961968824,-0.7057088077847923,3.4682880600642574,239.35872070727223,0.7161479046593865,inf,0.0,232.99333432520646,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00048346358,-5.1872564e-07,65379.055,0.96086663,-158.15186,0.0,0.0,0.9999999999999999,-5.927694372206338e-13,2.1902985e-12,2.509226e-16,0.0,-0.0,0.0,7.48e-16,2.176680079732816e-14,1.5975290916839165e-12,719.6344112399382,2.1796397056975357e-12,1.3857342908768548e-13,0.0,0.00048346358,-5.1872564e-07,65379.055,0.96086663,-158.15186,0.0,0.0,0.0,-5.927694372206338e-13,2.1902985e-12,2.509226e-16,0.0,-0.0,0.0,7.48e-16,2.176680079732816e-14,1.5975290916839165e-12,719.6344112399382,2.1796397056975357e-12,1.3857342908768548e-13,0.0
