,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,2,461f63,FIN43D,60.37413024902344,25.075630977235992,118.32222212,845.82,-0.7116938889652793,34610D,277.0722,-5.095607,6.553391,114.5209353492085,67849.73281302575,0.262857639873982,1.33651936180387,80.1911617082322,132309.31789818947,2604.705216047836,2023-11-05 22:02:00,0.0050377632319006,0.9156803740577508,0.8826903096080407,0.668259680901935,0.8153821685480634,0.0172973808754117,0.0003071590478443,6.62128594054109e-05,2.699255357025885e-05,1589565893273856.2,253.3238798363055,99.19646703308324,0.0962293940498786,0.0019638651846914,0.0016038232341646,1.3870970669090268,0.024631440875829,0.0053096861157437,0.0021645642282707,1.2746913559341437e+17,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.03104919574765,1.331454769778243,0.343198691591047,66.15465894909474,17.29738087541175,26.992553570258853,1589565893273856.2,35.4606673109569,838.159636292438,1560.00194555674,0.50377632319,0.0252086482809963,0.594970692098202,66.1546430934427,23.6018482810411,23.48354374779374,6.173511624121089,0.8277670456994852,6.13892643602749,1078224187583187.2,14.367078676335336,,
1,3,461f63,FIN43D,60.429134045617054,25.12445722307477,130.668888776,1653.5400000000002,-0.7110310249290263,34610D,273.4093,-2.7300885,8.661232,134.19877897968277,67769.54165131752,0.2787345653762968,1.060394403949324,63.62366423695944,94992.46314967058,1503.3434549803603,2023-11-05 22:03:00,0.0039074650987249,0.8297478838491327,0.8349312981556378,0.530197201974662,0.6850060838439576,0.0158944197160905,0.0003250454163451,6.822537548815965e-05,2.1410966308246137e-05,1369329003149222.0,200.9871553245549,78.70247266111883,0.0763483970843513,0.0015581305527418,0.0012724732847391,1.0112612232578513,0.0206805804313062,0.0043407483824991,0.0013622441313847,8.712172872629648e+16,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.480819172501658,1.3849408169265014,0.4048546544532367,47.49623157483529,15.894419716090518,21.41096630824613,1369329003149222.0,28.8153224803281,808.706235617102,1454.59647077022,0.390746509872,0.0230737933498826,0.452260181123873,47.496505330072,19.6005994448318,19.52430888927025,7.484164385921395,0.7086981050871696,4.268873528431632,648646606073809.1,7.773746758947253,20.185887950775594,1453316399474106.5
2,4,461f63,FIN43D,60.486236572265625,25.02050991716056,151.76111098,2118.36,-0.7103322906621516,34610D,270.5375,-2.25021,8.4989395,155.27583414896563,67705.91798708057,0.2900925846807883,1.059082823321938,63.54496939931628,85337.93688734369,1503.2395153056812,2023-11-05 22:04:00,0.0034857209231306,0.7833368200305779,0.8925893696186967,0.529541411660969,0.7042940679343792,0.0160296868866175,0.0003328959248756,7.017065107621532e-05,2.222659742026823e-05,1407826999595376.5,200.7385583324401,78.60512714695425,0.0762539632791795,0.0015562033322281,0.0012708993879863,1.0186059626907344,0.0211538613593793,0.0044589918753682,0.0014123884529218,8.946032360881946e+16,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.09788186237889,1.3657712532832456,0.4709202038025021,42.66896844367184,16.02968688661756,22.22659742026823,1407826999595376.5,28.0647883392516,808.357151643221,1444.94362987598,0.348572092313,0.0227644345186436,0.43584095443456,42.6687867140715,19.1456965064348,19.079191768490947,7.507005582870034,0.7073775523508876,4.247784068696126,605005416758650.1,7.240246994867155,20.935587948102224,1429289600851625.5
3,5,,,60.54089218520622,24.86228326150616,156.5968887536,2583.378890701468,-0.7096614413144825,34610D,267.18387,-1.8380538,8.795549,170.75659037604163,67642.37301768124,0.3005469406797748,1.1170183430954117,67.0211005857247,84795.85046279343,1644.1639045904112,2023-11-05 22:05:00,0.0030559170787375,0.7390320336720873,0.9818667489303304,0.5585091715477059,0.7584183443871548,0.0165525962351786,0.0003390178046648,7.227519495110144e-05,2.4837237732363488e-05,1531049887952421.8,211.7196567503043,82.90510142454146,0.0804253207028696,0.0016413330755687,0.0013404220117144,1.109373217232797,0.0227213463867947,0.0048439631106706,0.0016646190083322,1.0261264854222178e+17,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.39139108232659,1.3231517650642712,0.5211101969721195,42.39792523139671,16.55259623517866,24.837237732363487,1531049887952421.8,28.8498149177102,816.690734196442,1468.31811757438,0.305591707874,0.0231409673764206,0.453556016231351,42.3981597623686,19.5996999111412,19.53998733014071,7.077099502166383,0.7395662660643548,4.774214595709952,657195677655926.4,8.131047857312021,21.21770954465228,1399911476543737.0
4,6,,,60.58972609021037,24.6648793684984,161.4326665272,3092.041859706362,-0.7090617816496663,34610D,264.24942,-0.70222765,9.567388,184.17176254640933,67575.35191709553,0.3077814228152665,1.104882215520247,66.2929329312148,79636.98321777384,1644.43423843115,2023-11-05 22:06:00,0.0022229017018022,0.6929154882889377,0.8645943740091377,0.5524411077601233,0.774601587936607,0.0167291864618007,0.0003490902685789,7.466334859011141e-05,2.5701323082073227e-05,1571834936771646.2,209.4193751297076,82.00435803591272,0.0795515195174577,0.0016235003983154,0.0013258586586242,1.109026836105944,0.0231422177618413,0.0049496523605041,0.0017038160873233,1.04201548042343e+17,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.547600234131934,1.2770634271368977,0.5651623474276704,39.81849160888692,16.729186461800754,25.701323082073227,1571834936771646.2,28.2315335263976,817.9776629644,1469.64582259175,0.22229017018,0.0230743964772166,0.442979803559658,39.8183810525717,19.1978933878965,19.155313010007998,6.889179019606359,0.7446505295281585,5.009425789615842,633996684772227.8,7.882615804172612,21.12063381379696,1363813061873153.5
5,7,,,60.63855999521452,24.467475475490644,166.2684443008,3600.7048287112566,-0.7084612183833996,34610D,260.75537,0.8479255,10.29938,193.53844262094688,67509.05898416431,0.3123519325916745,1.0594330902532207,63.565985415193246,73744.55291929322,1643.112601975397,2023-11-05 22:07:00,0.0015928092187796,0.649157329138443,0.7927519380412725,0.5297165451266104,0.7594577000637928,0.0165934528320018,0.0003570738794293,7.614052129397163e-05,2.553174906511977e-05,1563830999935728.5,200.80494792659545,78.63112395859405,0.0762791824982318,0.0015567180101679,0.0012713197083038,1.0547791807067273,0.0226977530119526,0.0048399472660778,0.0016229507886977,9.940645853374158e+16,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.095716591225795,1.2549485293537868,0.5978714585184496,36.872276459646606,16.59345283200186,25.53174906511977,1563830999935728.5,27.0594678404062,813.549459127592,1455.24259240002,0.159280921878,0.0227482662740012,0.420232371640729,36.8721892870598,18.473160397327,18.44378296978356,6.963462750572043,0.7272786544932334,4.884612945928444,576373950808887.4,7.044330515810243,20.490704286848516,1322820440829520.0
6,8,,,60.68739390021867,24.270071582482885,171.1042220744,4109.367797716151,-0.7078597537600017,34610D,257.31674,2.1128113,10.123793,198.11109201174293,67445.4929987491,0.3148305901876587,1.00248203574303,60.1489221445818,68710.67083985035,1643.3401691327697,2023-11-05 22:08:00,0.0014052865041056,0.6076641582646767,0.8972890971570262,0.501241017871515,0.7331694495036447,0.0162008662045405,0.0003655888739571,7.75371666098183e-05,2.509291304185501e-05,1543117827749092.2,190.01044505473388,74.40421669284768,0.0721787065734981,0.0014730348280305,0.0012029784428916,0.974464640011695,0.0219897767165714,0.0046637769977254,0.0015093116729352,9.281687408119634e+16,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.715141486346127,1.2301460487309812,0.6160727203004727,34.355335419925176,16.200866204540535,25.092913041855013,1543117827749092.2,25.6931786384646,807.051032819827,1437.94603117951,0.140528650411,0.0224110685487894,0.394822850856695,34.3552525332424,17.6173148548074,17.592592222385047,7.1329379166568785,0.7024387892073255,4.6032112472978,515891443399936.9,6.140091712384685,19.125482692704406,1274759713937262.2
7,9,,,60.736227805222825,24.07266768947513,175.939999848,4618.030766721044,-0.7072573900262106,34610D,254.31557,3.2137456,10.089292,198.88231548793817,67385.34407660452,0.317644919302734,0.9815233981103276,58.89140388661965,67612.32350852876,1645.2772296324854,2023-11-05 22:09:00,0.0010860770964018,0.5683451722472721,0.8599756955767819,0.4907616990551637,0.7351361070529047,0.0160798555464262,0.0003765404483357,7.989260702572729e-05,2.6017424670426617e-05,1586755012337281.5,186.03794487783145,72.84866660774851,0.0706696846639435,0.0014422384625294,0.0011778280777323,0.9469652674230916,0.0221749956225883,0.004704987787907,0.0015322026643557,9.3446230300673e+16,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.398151708536346,1.2120517211462618,0.6221096031865989,33.80616175426438,16.079855546426288,26.01742467042661,1586755012337281.5,25.0558329836334,806.388951799138,1439.50576414889,0.10860770964,0.0225312496230763,0.386522033196593,33.8061012653398,17.1549310252513,17.13631966095092,7.181606726507278,0.6999473509664771,4.547310938830973,505213981898520.56,5.996186626644282,17.214681303203704,1220727111039797.0
8,10,,,60.78506171022698,23.87526379646737,180.7757776216,5126.693735725938,-0.7066541294311464,34610D,251.40059,3.9091601,9.357976,199.56630990128724,67326.4526727179,0.3202427856258671,0.9687568131483518,58.12540878890111,67048.08153666768,1647.6253674903091,2023-11-05 22:10:00,0.000769613668881,0.5311121215722205,0.753835286008632,0.4843784065741759,0.7442289296232332,0.01601511558726,0.0003884222588552,8.25687883368834e-05,2.7790859499743052e-05,1577572496394547.5,183.6181663641386,71.90113067187067,0.0697504905466813,0.0014234793989118,0.001162508175778,0.930885140310992,0.0225772025786694,0.0047993445752855,0.0016153550690174,9.16970462470603e+16,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.211654489949844,1.2033973758555965,0.627857796969965,33.52404076833384,16.015115587260045,27.790859499743053,1577572496394547.5,24.5524419195175,806.779781374796,1443.57301214965,0.0769613668881,0.0227339238459208,0.381087694864256,33.5237158078955,16.762952908925,16.750061832384194,7.261396791054564,0.7014180588104139,4.483254474543608,502800548827762.56,5.977439667333315,15.496142784423736,1150603058113616.0
9,11,,,60.833895615231135,23.677859903459616,185.6115553952,5635.356704730832,-0.7060499742263275,34610D,248.50877,4.8384275,8.419123,200.58585726283985,67268.32726392901,0.3224076672194145,0.9625795269867864,57.75477161920718,66730.00094329625,1645.8933235015495,2023-11-05 22:11:00,0.0004627903978534,0.4958792701339632,0.5626614751176959,0.4812897634933932,0.7592742538776981,0.0159966358706744,0.0004009863196271,8.55010144799411e-05,3.0142518425426195e-05,1542242207868807.0,182.44732354507548,71.4426524929593,0.0693057259430486,0.0014144025702662,0.0011550954323841,0.9238820513864222,0.0231588733124897,0.0049380915644995,0.0017408742676882,8.90718464969648e+16,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.96650709771316,1.1900988861564064,0.6347265691511383,33.36500047164813,15.996635870674483,30.142518425426196,1542242207868807.0,24.1519764669642,808.109116596145,1450.32427273118,0.0462790397853,0.0229776752287708,0.377671832044682,33.3645306334458,16.4364683669909,16.42886524590747,7.290229661711995,0.7064392584599695,4.476510307466532,505549424924615.94,6.043791931692988,14.062887745713391,1058263642387503.9
