,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,-0.892704312693709,34610D,254.47546,19.26317,1.1697904,160.09911456534337,70444.71606186748,0.36033823626745864,0.888280354186132,65.23581539349775,87.3141239915462,1619.8693747777083,0.001046946580024,73058.20758235783,1.049557758043218,0.5436317949458146,0.6179258429934869,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,19.969462482043507,1.4768027257027687,0.5006372602159741,43.65719238275852,16.908559283903905,22.482837870717063,1419921614189324.2,28.9344713600989,783.785080384364,1401.25346584991,0.104694658002,0.0221696830829732,0.444140177093066,43.6570619957731,20.0336728058227,20.01272055647912,7.484014833562709,0.6205396153540292,664397580136120.6,21.857957810286663,1445228063345414.5,0.004273822827040787,7.79372754792081e-06,2.9704000000000006,35.8,2023-02-05 15:00:00,0.0010469473667005077,1.049559788633271,1.0,0,730.5820758235783,0.0010469473667005077,19.26317,1.1697904,1.049559788633271,2.3904572,5.2066374e-05,1.0001509543453713,0.0,8181.733683333497,-0.47086366415065145,-0.8822059905615143,5.567533407000758,244.88958260710365,0.8741588847882013,inf,0.0,240.08637464421656,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.001003089,2.0307547e-07,25170.092,0.9897202,-199.41849,0.0,0.0,1.0,-7.351379051123281e-13,3.95009e-12,2.2659124e-16,0.0,0.0,0.0,7.48e-16,4.276896832042125e-14,3.214952083864784e-12,694.1498342913482,8.181733683333496,7.323055512459296e-13,0.001003089,2.0307547e-07,25170.092,0.9897202,-199.41849,0.0,0.0,0.0,-7.351379051123281e-13,3.95009e-12,2.2659124e-16,0.0,0.0,0.0,7.48e-16,4.276896832042125e-14,3.214952083864784e-12,694.1498342913482,8.181733683333496
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,-0.8928570849402653,34610D,250.84149,21.204838,1.4314767,173.0853477161916,70379.48024647399,0.3769617371352499,0.993942861970834,74.0562213868779,94.5390883509986,1946.4430043052373,0.0007837934939888,68339.94069049528,1.0432300611541712,0.6171351782239825,0.71665965191972,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,21.317812648285106,1.582127185761583,0.5451522734425337,47.26983809652664,17.969278091785906,28.45663182046471,1567570226113488.5,31.3886872415431,801.670174357816,1443.58098831792,0.0783793493989,0.0232570906718477,0.496971430985417,47.2695441754993,21.3685984200506,21.351862968771137,7.488164566152916,0.6824135601399303,826024580953364.1,21.59344121345455,1403434528196584.5,0.00456822207167603,1.037463336547486e-05,2.9704000000000006,35.8,2023-02-05 15:01:00,0.0007837942810091264,1.0432327583266245,1.0,1,683.3994069049528,0.0007837942810091264,21.204838,1.4314767,1.0432327583266245,1.6779364,5.552222e-05,0.9491124592430289,0.0,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.345712387225263,244.40269407302006,0.8382561774724101,inf,0.0,239.08846027603093,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0007547051,1.9892838e-07,30025.67,0.9961064,-200.61833,0.0,0.0,1.0000000000000002,-7.177151563250333e-13,3.4090604e-12,2.2627154e-16,0.0,0.0,0.0,7.480000000000001e-16,3.596175965208993e-14,2.691345238746339e-12,694.856719117452,9.587418296793368,7.3321153518067e-13,0.0007547051,1.9892838e-07,30025.67,0.9961064,-200.61833,0.0,0.0,0.0,-7.177151563250333e-13,3.4090604e-12,2.2627154e-16,0.0,0.0,0.0,7.480000000000001e-16,3.596175965208993e-14,2.691345238746339e-12,694.856719117452,9.587418296793368
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,-0.8930668454801742,34610D,246.8699,24.63685,2.0918274,187.64884095824056,70305.42402508711,0.39316849839495,1.095973663942974,83.66116464034549,100.2873074706686,2301.585390614613,0.0005914034739898,62994.42896063308,1.0765848639780995,0.6971763720028791,0.8362263264251161,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,22.35362963693764,1.663302208546756,0.5957568380443659,50.14418005529092,19.02932879781983,36.28235539,1450000000000000.0,33.476530329704,820.289158528114,1489.53732835703,0.059140347399,0.0244743173359952,0.547986831971487,50.1436537353343,22.3902805724246,22.377046709263112,7.492213308980735,0.7538525881542475,1003638010856206.8,21.236227404367472,1353865668016638.8,0.004884345646050562,1.3397440872365344e-05,2.9704000000000006,35.8,2023-02-05 15:02:00,0.0005914039894717555,1.076587280118536,1.0,2,629.9442896063307,0.0005914039894717555,24.63685,2.0918274,1.076587280118536,0.78165,3.1975662e-05,0.8889481922855963,0.0,9904.532106848184,-0.4803242924734069,-0.8770909725107887,5.058336411649251,243.74454072701607,0.8317292056074685,inf,0.0,238.37701787078728,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000561533,2.303301e-07,35868.035,1.0127435,-202.06133,0.0,0.0,1.0000000000000002,-6.967172175067903e-13,2.867059e-12,2.286921e-16,0.0,0.0,0.0,7.48e-16,2.919113494426504e-14,2.1703417571046797e-12,695.6991305840019,9.904532106848185,6.970852359037772e-13,0.000561533,2.303301e-07,35868.035,1.0127435,-202.06133,0.0,0.0,0.0,-6.967172175067903e-13,2.867059e-12,2.286921e-16,0.0,0.0,0.0,7.48e-16,2.919113494426504e-14,2.1703417571046797e-12,695.6991305840019,9.904532106848185
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,-0.8932848587945481,34610D,243.15067,29.481411,0.7601789,202.6449246638375,70221.76286044676,0.4071059385966681,0.87550947803555,66.73374351425366,76.8149202800474,1201.7771465713736,0.0004138094217253,57124.037489563314,1.0000835572502202,0.5561145292854471,0.7034782983627863,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,19.298214279900503,1.439380288101041,0.6482689616981916,38.40762562865792,17.24222237771018,28.56336494236806,1565966714672728.5,28.173176302412,794.883097551794,1421.33485367846,0.0413809421725,0.0226376945528942,0.437754739017775,38.4074601400237,19.3374258140527,19.32942711499597,7.487955946893467,0.6578758473045931,672733300087548.8,20.54622415285004,1294989336539001.2,0.0043808043770530184,8.24066892207142e-06,2.9704000000000006,35.8,2023-02-05 15:03:00,0.0004138093452537006,1.0000830813891506,1.0,3,571.2403748956332,0.0004138093452537006,29.481411,0.7601789,1.0000830813891506,0.17607838,6.637793e-06,0.8184381663526722,0.0,10425.443968691361,-0.4806838213428572,-0.8768939866935046,4.694063717344237,242.8608753602517,0.744691075180494,inf,0.0,236.54633639467724,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00040623514,4.3097336e-07,42774.15,0.97315353,-202.59914,0.0,0.0,0.9999999999999999,-6.718236475230638e-13,2.406492e-12,2.4415836e-16,0.0,0.0,0.0,7.479999999999999e-16,2.3542848825131352e-14,1.7346684967440712e-12,696.5692546991952,10.425443968691361,3.991925743760132e-13,0.00040623514,4.3097336e-07,42774.15,0.97315353,-202.59914,0.0,0.0,0.0,-6.718236475230638e-13,2.406492e-12,2.4415836e-16,0.0,0.0,0.0,7.479999999999999e-16,2.3542848825131352e-14,1.7346684967440712e-12,696.5692546991952,10.425443968691361
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,-0.8935208791894627,34610D,241.55566,31.569008,-0.866209,215.23955653853267,70155.0291169325,0.4155106213972169,0.788418081820212,60.60603823973219,66.470606713344,1206.56441601735,0.0003313930169576,54249.21360051817,0.8989071507230835,0.505050318664435,0.6636444477982854,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,17.987430862247447,1.3430964056878003,0.6908292188664317,33.234913559921765,16.56737146080468,25.520025257554188,1563277633229453.5,25.9830352791796,786.296795386982,1393.96515355108,0.0331393016958,0.021869878368107,0.394209040910106,33.235303356672,18.025204999996,18.019233551826,7.486821512012059,0.6282811784679259,555239874566087.2,21.046224818769563,1270234327823633.2,0.004210129927797216,6.5758315904258325e-06,2.9704000000000006,35.8,2023-02-05 15:04:00,0.0003313930169576845,0.8989078196985514,0.0,4,542.4921360051817,0.0003313930169576845,31.569008,-0.866209,0.8989078196985514,0.03653228,7.974267e-07,0.7823816892180656,0.0,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.521610466545452,242.42113440584254,0.6588635642148296,0.9966447169481135,0.0,235.36352451209294,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00032800785,6.6604764e-07,46364.09,0.877444,-203.43336,0.0,0.0,1.0,-6.589609483700405e-13,2.225098e-12,2.6227867e-16,0.0,0.0,0.0,7.48e-16,2.137005805954905e-14,1.5661368756937085e-12,697.4878586708987,11.784876773848332,3.1191268735392176e-13,0.00032800785,6.6604764e-07,46364.09,0.877444,-203.43336,0.0,0.0,0.0,-6.589609483700405e-13,2.225098e-12,2.6227867e-16,0.0,0.0,0.0,7.48e-16,2.137005805954905e-14,1.5661368756937085e-12,697.4878586708987,11.784876773848332
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,-0.8938107273891708,34610D,240.3006,32.45962,-2.0696774,218.4325250287104,70094.42307869278,0.41880681448920204,0.759507718591384,58.504890016297054,63.5977353071996,1807.384365281177,0.0002018370731228,51492.67974234382,0.5936058863282134,0.4875407501358088,0.6639337567023554,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,17.352942493065733,1.297968219857061,0.7029057311982293,31.79796302665078,16.315093379934215,25.7126192314404,1572368117901918.0,25.0555656418161,785.78936175929,1392.65375059846,0.0201837073123,0.021841876782972,0.379753859295692,31.7988676535998,17.3865031411472,17.382994608393336,7.487068723949979,0.6266878539016982,527126644075283.8,19.903133975945025,1235810631450587.5,0.004170608131655276,6.23077329259743e-06,2.9704000000000006,35.8,2023-02-05 15:05:00,0.00020183707312281264,0.5936056431075075,0.0,5,514.9267974234381,0.00020183707312281264,32.45962,-2.0696774,0.5936056431075075,0.019325865,4.894137e-07,0.7465056296722405,0.0,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.315715241958701,241.87622120719203,0.4297155316432675,0.9883377952042357,0.0,233.32507702344023,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00019806207,9.224277e-07,50021.594,0.5590057,-204.44244,0.0,0.0,1.0,-6.458520194524113e-13,2.0962741e-12,2.820413e-16,0.0,0.0,0.0,7.48e-16,1.988552768389583e-14,1.4504220292005635e-12,698.528666023977,11.776905178293267,2.7566219825879906e-13,0.00019806207,9.224277e-07,50021.594,0.5590057,-204.44244,0.0,0.0,0.0,-6.458520194524113e-13,2.0962741e-12,2.820413e-16,0.0,0.0,0.0,7.48e-16,1.988552768389583e-14,1.4504220292005635e-12,698.528666023977,11.776905178293267
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,-0.8942501981960274,34610D,238.0822,34.77187,-3.9752293,211.5087532343605,70035.91818867649,0.4179555305797632,0.775929523605352,59.65866003938399,66.9633286372098,1410.3103343491673,0.0001043866586997,47596.28928252322,0.3602271460001657,0.4971555003281999,0.703347212053074,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,17.141961209645164,1.2838576986691517,0.683788968696026,33.48161289508515,16.360256351257483,30.200662838643822,1541368671799140.0,24.9854140622802,791.897129266712,1417.59845748832,0.01043866587,0.022596702980131,0.387964761802676,33.4816643186049,17.1690871072567,17.167295070685363,7.488947617821576,0.6472427104687873,570447644432564.1,16.51449000122816,1164711954882824.0,0.004222575041022498,6.9068862236134835e-06,2.9704000000000006,35.8,2023-02-05 15:06:00,0.00010438665869974437,0.36022701704438925,0.0,6,475.96289282523225,0.00010438665869974437,34.77187,-3.9752293,0.36022701704438925,7.838897e-06,5.7721612e-11,0.696447874418533,0.0,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.9829809545481973,240.9448997277341,0.25510656155722977,0.9572564814767305,0.0,231.59335097414535,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00010133481,9.914344e-07,55483.88,0.33811796,-206.15765,0.0,0.0,0.9999999999999999,-6.26215138439984e-13,1.9005739e-12,2.8736056e-16,0.0,0.0,0.0,7.48e-16,1.7602023933183526e-14,1.2743587207713524e-12,700.0286647143926,12.351486589520807,2.5052011292754195e-13,0.00010133481,9.914344e-07,55483.88,0.33811796,-206.15765,0.0,0.0,0.0,-6.26215138439984e-13,1.9005739e-12,2.8736056e-16,0.0,0.0,0.0,7.48e-16,1.7602023933183526e-14,1.2743587207713524e-12,700.0286647143926,12.351486589520807
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,-0.8948660229373094,34610D,236.36533,37.315983,-5.450317,214.66979929688827,69976.25952863709,0.41778205221273035,0.634703193561322,49.02954480680541,53.946408637449,719.0624369994422,7.853817010130945e-05,44739.09919617161,0.3073568340821648,0.4085795400567117,0.6003753713507759,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,14.941905672629945,1.119469415517891,0.6965243080835491,26.97267694475546,14.955270501487448,24.03175286434353,1493030796810122.0,21.3164417893264,770.004958386325,1363.1355826285,0.00785381701013,0.02119999662507,0.317351596780661,26.9732043187245,14.9694173255376,14.96824174722114,7.4868178424657,0.5766387116250559,394465110312141.2,15.460437418037923,1098120125558460.8,0.003866888499290396,4.352263003689158e-06,2.9704000000000006,35.8,2023-02-05 15:07:00,7.853817010130946e-05,0.30735685182404104,0.0,7,447.3909919617161,7.853817010130946e-05,37.315983,-5.450317,0.30735685182404104,8.973791e-07,0.0,0.6593953946401336,0.0,12963.734149278178,-0.9351760437679651,-0.35418323952792735,3.7426849044406905,240.22844719656678,0.21399831180829187,0.9150811128367665,0.0,230.758576537514,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,7.659301e-05,8.0976866e-07,59687.0,0.30226582,-208.04153,0.0,0.0,1.0,-6.112104801132115e-13,1.763525e-12,2.7335715e-16,0.0,0.0,0.0,7.48e-16,1.6001445497510727e-14,1.152314487628939e-12,702.1231127495746,12.963734149278178,1.6968935759198714e-13,7.659301e-05,8.0976866e-07,59687.0,0.30226582,-208.04153,0.0,0.0,0.00020439333547466997,-6.112104801132115e-13,1.763525e-12,2.7335715e-16,0.0,0.0,0.0,7.48e-16,1.6001445497510727e-14,1.152314487628939e-12,702.1231127495746,12.963734149278178
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,-0.8955159384713993,34610D,235.14964,39.075047,-6.111007,216.9463369449932,69927.22998383029,0.42127983714454054,1.00681048782751,80.46938774092409,85.3845136025608,2493.091052715812,8.218169943951904e-05,43340.512388800154,0.356437061818495,0.6705782311743674,1.0,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,19.170938266976574,1.4362448697366128,0.705728061856932,42.69318282049392,21.01203839629093,36.28235539,1450000000000000.0,29.331217294816,838.589415377555,1548.57541059631,0.00821816994395,0.0262368044600623,0.503405243913755,42.6922568012804,19.1869876790841,19.18541098940455,7.494348493291218,0.8295936232486445,977134560383799.6,15.03215656718258,1070445181421147.0,0.004960797571129192,1.371871970761229e-05,2.9704000000000006,35.8,2023-02-05 15:08:00,8.218169943951906e-05,0.3564374211037026,0.0,8,433.4051238880015,8.218169943951906e-05,39.075047,-6.111007,0.3564374211037026,1.7944181e-05,0.0,0.6420844791376042,0.0,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.64761011791528,239.9336848922658,0.24520492329170862,0.8597324082106057,0.0,230.62807873058648,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,8.026796e-05,6.931993e-07,61954.473,0.3606376,-208.96515,0.0,0.0,1.0,-6.032496557336244e-13,1.6910708e-12,2.643716e-16,0.0,0.0,0.0,7.480000000000001e-16,1.5154046947290357e-14,1.0878211793562186e-12,704.3383927191494,12.877115418230199,3.2599279164237435e-13,8.026796e-05,6.931993e-07,61954.473,0.3606376,-208.96515,0.0,0.0,0.011328324540661072,-6.032496557336244e-13,1.6910708e-12,2.643716e-16,0.0,0.0,0.0,7.480000000000001e-16,1.5154046947290357e-14,1.0878211793562186e-12,704.3383927191494,12.877115418230199
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,-0.8961483511962038,34610D,230.06575,42.65224,-7.7639313,221.9383008568457,69846.76059608937,0.4274253937439945,0.931574543905374,76.76749911536687,78.3535542964134,2271.604079206005,8.204199867240185e-05,38763.39764052093,0.5673256377858372,0.639729159294724,0.9884669733799256,climb,7.5,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,17.855645080192335,1.337708468204461,0.7299001734380552,39.17677408267015,20.29940152627292,36.28235539,1450000000000000.0,27.2182024553159,830.98509693587,1538.5667056923,0.00820419986724,0.0260652248628471,0.465787271952687,39.1767771482067,17.8700653611706,17.86859938556353,7.494568627989278,0.7973559653989031,878356825367724.1,13.355306056930806,963512798091862.0,0.004755021182078356,1.208736493115661e-05,2.9704000000000006,35.8,2023-02-05 15:09:00,8.204199867240185e-05,0.5673261508647555,0.0,9,387.6339764052093,8.204199867240185e-05,42.65224,-7.7639313,0.5673261508647555,4.5138986e-05,5.292539e-10,0.5869651481984688,0.0,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.297407981003833,238.7858003275129,0.37117380612966644,0.34859014965710533,1.0,230.17885160793494,28.117254249628648,59.45935019168424,0.5618304531315151,230.28596,8.299945040945673e-05,7376.910324904158,0.0,0.002824790797095034,0.0035578443,118.91870038336847,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,11709.442181463151,0.0,7.7835386e-05,4.168205e-07,69470.46,0.54017884,-210.79836,0.0,0.0,1.0,-5.759882360235373e-13,1.4016146e-12,2.430674e-16,0.0,0.0,0.0,7.48e-16,1.172421067959346e-14,8.256264053030828e-13,706.5432714398518,11.709442181463151,2.1943449172972217e-13,7.7835386e-05,4.168205e-07,69470.46,0.54017884,-210.79836,0.0,0.0,0.30019062913392724,-5.759882360235373e-13,1.4016146e-12,2.430674e-16,0.0,0.0,0.0,7.48e-16,1.172421067959346e-14,8.256264053030828e-13,706.5432714398518,11.709442181463151
