,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,-0.5039078623597905,34610D,285.5736,14.787132,4.982488,157.76455205676763,69016.38008261744,0.2920075597409614,1.1150255129857904,66.90153077914742,89012.07579477628,1820.8014593201397,2023-08-05 15:00:00,0.0087019423315624,0.7305820758235784,0.6290829968238415,0.5575127564928952,0.9755019786324683,0.0164098839285761,0.0004272799935926,9.26676766050022e-05,3.073460905538649e-05,1533346898875897.8,211.34193573132669,82.75719357380537,0.0802818369349769,0.0016384048354076,0.0013380306155829,1.0978463547298731,0.0285856856426539,0.0061996094186216,0.002056192393704,1.0258325475025613e+17,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4657014910991174,44.50603789738814,16.40988392857614,30.734609055386493,1533346898875897.8,27.6021318937812,835.108070010671,1531.52607241733,0.870194233156,0.0204530398085294,0.475530580453386,44.5060303166662,23.2498731193531,23.049299444801523,0.87019423315624,0.8023716910246718,20.004127656680264,740823187305778.9,9.683683011745284
1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,-0.5042483723171817,34610D,282.42395,15.296858,6.2929893,170.0114529925278,68949.4785518383,0.299997317430675,1.1068353670547335,66.41012202328402,92624.45657714216,2194.901710502228,2023-08-05 15:01:00,0.0073060651235217,0.6833994069049528,0.6278299310943999,0.5534176835273669,1.0,0.0170788394423635,0.0004409529016085,9.563303102662194e-05,3.263754707842534e-05,1504757995669607.0,209.7895754715542,82.14932094280233,0.0796921464279408,0.001626370335264,0.0013282024404656,1.134207811383436,0.0292837360023479,0.0063510012599344,0.0021674634840189,9.993116210793088e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5046434157499446,46.31222828857107,17.0788394423635,32.63754707842534,1504757995669607.0,29.0525643650634,851.571345974017,1563.80805398752,0.730606512352,0.0210245628668422,0.508713550485131,46.3131635754781,24.196153504215,24.020657019719152,0.73060651235217,0.8594563828189415,22.231747339478527,803677878294884.4,11.233729815393549
2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,-0.5046999587528954,34610D,278.81906,14.454638,6.396135,180.5239095848346,68883.06842981502,0.302696628456739,1.063575708936714,63.81454253620284,99014.4383373011,2599.733191734708,2023-08-05 15:02:00,0.0061379571890328,0.6299442896063308,0.6439490076348765,0.531787854468357,1.0,0.01711049505448,0.0004592628046521,9.960404815672976e-05,3.3394282478853845e-05,1493389136119953.5,201.59013987186475,78.93858911728292,0.0765774510434433,0.0015628051233355,0.001276290850724,1.091898414469605,0.0293076457827703,0.0063561867678756,0.0021310408597127,9.529994455002998e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5393003408139602,49.50721916865054,17.110495054480037,33.394282478853846,1493389136119953.5,30.7822301411932,873.615755402084,1615.64849756282,0.613795718903,0.0221000558950465,0.556443044980351,49.506348467917,25.1783546441198,25.024753776771888,0.61379571890328,0.9265287579136408,25.27183121743614,812872802419868.6,14.068103605186263
3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,-0.5051714619288799,34610D,274.6789,14.952242,5.1513853,191.5832846670804,68819.25388727881,0.3127836343743622,1.012407769523626,60.74446617141756,75110.50559660146,1356.7023171945043,2023-08-05 15:03:00,0.0058403906265471,0.5712403748956332,0.7744051071743105,0.506203884761813,1.0,0.0167792240381179,0.0004830070566357,0.0001047536566032,3.430587127008889e-05,1479693827391537.5,191.89176863550804,75.14090465404352,0.072893359405701,0.0014876195797081,0.0012148893234283,1.019245006966092,0.0293400058123676,0.0063632049498701,0.0020838918368469,8.988321164204062e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5766365931666758,37.55525279830073,16.779224038117945,34.305871270088886,1479693827391537.5,25.5667411017435,841.775343788584,1536.11309493324,0.584039062655,0.020357032327069,0.437993022207792,37.5553147099857,21.5155635247181,21.390633867184295,0.58403906265471,0.8262496049381302,21.139447762985128,653738844284529.8,8.701301103944932
4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,-0.5056805915800872,34610D,272.51257,15.223878,5.109518,203.22081562490555,68758.50942110739,0.3184916709662525,0.9820274870430332,58.921649222582,69657.38631049271,1359.287014183587,2023-08-05 15:04:00,0.005608758540476,0.5424921360051816,0.8436871988516937,0.4910137435215166,1.0,0.0166310692169328,0.0004959975687736,0.0001075710142979,3.425294377072267e-05,1480488986843927.8,186.1334898941365,72.88608008833394,0.0707059790670983,0.0014429791646346,0.0011784329844516,0.979930026596596,0.0292249947625361,0.0063382615709813,0.0020182399376993,8.723285276071373e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6140901628855809,34.82869315524636,16.6310692169328,34.25294377072267,1480488986843927.8,24.7803407253849,840.27550405118,1527.12502644024,0.560875854048,0.0201010172503266,0.42058031038887,34.828550831879,20.9233346328298,20.806635239730394,0.5608758540476,0.8208559117289428,20.9219190038339,608591870698600.2,8.068323134108121
5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,-0.5062928116857506,34610D,270.3353,15.02141,5.9643626,210.2533941425553,68699.5877718848,0.3230819199604697,0.9552683948688908,57.31610369213344,73426.47947943992,2029.792640452013,2023-08-05 15:05:00,0.0049634607569158,0.5149267974234382,0.8498056800109948,0.4776341974344453,1.0,0.0166127936886084,0.0005094294157291,0.0001104840878528,3.457528457685118e-05,1475646280463438.5,181.06157156344952,70.90002026716907,0.0687793244305601,0.0014036596822563,0.0011463220738426,0.952180605672303,0.0291985092157533,0.0063325174357052,0.0019817205959918,8.457829522395346e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6378944856160677,36.71323973971996,16.61279368860847,34.57528457685118,1475646280463438.5,25.8119601069022,854.293297802384,1560.35632305119,0.496346075692,0.0207838872318415,0.447623324452178,36.7136546315006,21.5370358518115,21.430665584189786,0.49634607569158,0.8679985764391979,22.661553014587742,650866949930846.4,9.362030835520969
6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,-0.507208337418723,34610D,266.91507,14.492171,6.5854993,211.3302735912591,68642.27166819267,0.3242846783312377,0.9250074555582792,55.50044733349676,67553.49285202962,1578.6676876260278,2023-08-05 15:06:00,0.0038402658750161,0.4759628928252322,0.8132875477851604,0.4625037277791397,1.0,0.0166497168456169,0.0005292878890394,0.0001147909559725,3.6014121026585866e-05,1454029835002194.0,175.32591312651624,68.6540533515355,0.0666005368001961,0.0013591946285754,0.0011100089466699,0.924066732907795,0.0293757146098914,0.0063709494063167,0.0019987998272982,8.069930627887226e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.645256461401236,33.77674642601481,16.649716845616908,36.01412102658587,1454029835002194.0,23.9651636832674,845.732114203138,1543.58240071876,0.384026587502,0.0204480709728833,0.411509240682503,33.7766824915051,20.1245995883042,20.047611430253017,0.38402658750161,0.8404299194825169,21.84442493136154,602116778143089.1,8.095717574135922
7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,-0.5084942580644047,34610D,264.1701,13.885335,6.4530973,214.58722752565123,68586.77122085918,0.3226218808473272,0.8152191284601484,48.91314770760891,52862.02182743306,803.4357509103593,2023-08-05 15:07:00,0.0029751361071642,0.4473909919617161,0.7523847159342791,0.4076095642300742,0.904619382240427,0.0148257907053005,0.0005448794306763,0.0001181724200238,3.1122508366388907e-05,1527519270376297.0,154.51663360833652,60.505563714312224,0.0586957772491306,0.0011978730050842,0.0009782629541521,0.7251760906504618,0.0266517680755121,0.005780185035594,0.0015222998487564,7.47157756981348e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6585962372203967,26.43101091371653,14.825790705300568,31.122508366388907,1527519270376297.0,20.1817715107386,816.031567564214,1471.99315594849,0.297513610716,0.018936570519735,0.329673029257314,26.4310182883322,17.4093312679686,17.357689778372013,0.29751361071642,0.7346408195143276,18.92241740216189,414518919511810.56,5.103799818213459
8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,-0.5098586615370182,34610D,262.67148,14.029828,5.8330593,216.4085334715387,68537.85807315157,0.3085464356190304,0.8903141731203802,53.41885038722281,84028.43608909774,2789.8040201446115,2023-08-05 15:08:00,0.0026583466715047,0.4334051238880015,0.7437403796310046,0.4451570865601901,1.0,0.0166685398413113,0.0005523520669563,0.0001197930712422,3.628235539e-05,1450000000000000.0,168.75014837323684,66.07911792899462,0.0641026204646673,0.0013082167441768,0.0010683770077444,0.8904142359564742,0.0295060124258154,0.0063992081501134,0.0019381617142744,7.745733306147307e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6660780582792784,42.01421804454887,16.66853984131136,36.28235539,1450000000000000.0,27.6822094424811,901.392802146542,1681.80974958541,0.26583466715,0.0234567611896116,0.519800508758876,42.0147574699067,22.1599437602273,22.101191132344344,0.26583466715047,1.0061107796846414,29.544388562254074,641742338327218.0,13.717028568347295
9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,-0.5112029892931782,34610D,257.9111,15.542427,4.1928,218.262063788524,68484.43922276434,0.3081971843046445,0.8508784215780678,51.05270529468407,76587.06259644234,2556.267627239008,2023-08-05 15:09:00,0.0014825153738558,0.3876339764052093,0.5714824169734907,0.4254392107890339,1.0,0.0165952936369305,0.0005827015638521,0.0001263752127083,3.628235539e-05,1450000000000000.0,161.27549602590696,63.1521964495242,0.0612632463536208,0.0012502703337473,0.0010210541058936,0.8472346353249605,0.0297484912140964,0.0064517964909507,0.0018523123971226,7.40264226772919e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6779543202667785,38.29353129822117,16.59529363693054,36.28235539,1450000000000000.2,25.4063194868689,895.478438918362,1672.83174394874,0.148251537386,0.0232904328816755,0.475306642501493,38.2933205061717,20.4078062832167,20.3775961835923,0.14825153738558,0.9892677563433462,28.740838248903273,586090698457747.8,12.15035030598529
