Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,fuel_flow_corrected
0,1,a35da8,FFT4000,37.64968096199682,-122.33503258746605,94.657777696,632.46,-0.9239156670557054,34610D,278.79538,0.9229651,-7.299793,111.7572076859195,67626.39322122524,0.2631293715252322,1.0811230752498329,64.86738451498996,109786.3587854418,1840.827345064147,2023-02-06 08:01:00,0.0040589745389511,0.9395421408487008,0.6363131471023418,0.5405615376249164,0.6573135823030158,0.0160524369344929,0.000305388802154,6.369611267991562e-05,1.949455057632368e-05,1278873691980431.5,204.91606768285328,80.24095464504259,0.0778408614179879,0.0015885890085303,0.0012973476902997,1.041279599032379,0.0198097728558981,0.0041318002333182,0.0012645605081813,8.295719152379949e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,31.556132389328937,4.605334320483282,0.333879656273006,54.893179392720896,16.052436934492924,19.49455057632368,1278873691980431.5,30.8855549276281,793.35094639114,1138.35588434958,0.405897453895,0.0176276313824014,0.449002370161966,54.8941566701681,25.4715089294543,25.368538676874465,18.55962076899259,0.6563116973116556,1.0090959482788089,1062706700271794.4,15.639230045456314,0.9394067013525834
1,2,a35da8,FFT4000,37.68706240896451,-122.27317478345788,134.784444328,1203.96,-0.9240625350765368,34610D,275.28217,-0.21815863,-6.7831244,130.38218320302278,67561.52583671025,0.2676440836674221,1.5970436758267128,95.82262054960276,142018.5785210498,3391.3013755510538,2023-02-06 08:02:00,0.0032782885575022,0.8767312586169648,0.6352405465697222,0.7985218379133564,1.0,0.0218386335540502,0.0003142889828385,6.816239996942759e-05,3.628235539e-05,1450000000000000.0,302.7036583161952,118.53258161985865,0.1149871446595233,0.0023466764216229,0.001916452410992,2.092635096371576,0.0301159939454592,0.0065314997880207,0.0034766703731818,1.3894279979692402e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,29.51840957555164,4.33099157198555,0.3920003298685406,71.0092892605249,21.838633554050205,36.28235539,1450000000000000.0,39.0311417741774,844.067573961288,1286.05836096868,0.32782885575,0.0201028649374199,0.633319261811185,71.0092322938377,31.5039305980865,31.400989094842625,14.120361183010196,0.83450664960234,2.0999709483687377,1459527278095397.5,23.840560863898148,1.113243208191726
2,3,a35da8,FFT4000,37.72793527376854,-122.1945389457371,140.443333212,2255.52,-0.9241825844405672,34610D,269.10855,2.3406644,-11.245137,149.392133060713,67465.70321616065,0.2832633669524843,1.5102558040971932,90.6153482458316,123507.3081420797,3030.016989527531,2023-02-06 08:03:00,0.0014872629380592,0.770051164429154,0.4223789533906469,0.7551279020485966,0.9982199124015748,0.0219083853940624,0.0003328864289494,7.219577889595135e-05,3.628235539e-05,1450000000000000.0,286.253885108582,112.0911857800937,0.1087384178949979,0.0022191513856122,0.0018123069649166,1.985235971986858,0.030164619685564,0.0065420456465356,0.0032877382688438,1.3139225495645582e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,25.13065293573376,3.732222051639517,0.4542774810600328,61.75365407103985,21.908385394062435,36.28235538999999,1450000000000000.0,36.1058760528779,838.382168763569,1292.26371431331,0.148726293806,0.019910548535802,0.58598678164421,61.7536267933483,29.4309712557905,29.387264666201524,12.84886049830699,0.8140557923489042,2.46336685181718,1328167742209584.2,21.504761974269183,1.0711855634903231
3,4,a35da8,FFT4000,37.77085643703654,-122.11112644361413,151.246666536,3192.78,-0.9242685004786412,34610D,263.86508,3.2382646,-14.593746,168.17292455239567,67375.08786791482,0.3022611238755335,1.1734170714697985,70.4050242881879,90961.59698808816,2220.8985616621094,2023-02-06 08:04:00,0.000931196385597,0.684065121293734,0.3698869830418075,0.5867085357348992,0.820008942148224,0.0175134371740773,0.0003520029239737,7.59453669189005e-05,2.9823803813253184e-05,1547030435907518.5,222.4094717263856,87.09101504448844,0.0844860291458254,0.0017242046764454,0.0014081004857637,1.233033969610567,0.0247827744118836,0.0053469354025005,0.0020997456318382,1.0891871541463475e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,26.269655389719432,3.9159861003081287,0.5164429347914475,45.48079849404407,17.513437174077325,29.823803813253186,1547030435907518.5,30.1496434251634,810.508748670418,1185.4712989451,0.0931196385597,0.0179522837518822,0.447805548125075,45.4799719493273,24.944210681726,24.921004332566067,15.80671628197759,0.7155230922534689,1.4679368157665749,975149923378562.2,14.980759459873656,0.9253620710066724
4,5,a35da8,FFT4000,37.81915283203125,-122.01690673828124,175.425555404,3878.58,-0.9243032520386362,34610D,259.61172,3.9523098,-17.028406,177.77741057905223,67304.68284362664,0.3048322033499677,1.332466051480909,79.94796308885454,98541.66138212068,2715.466114564806,2023-02-06 08:05:00,0.0008562122518201,0.6262153768428498,0.4560872686781583,0.6662330257404545,0.9632142920411542,0.0203013675621766,0.0003650878099759,7.917955348859946e-05,3.628235539e-05,1450000000000000.0,252.55561539769147,98.89563034091309,0.0959375557066254,0.0019579093001352,0.001598959261777,1.6230529845141648,0.0291880267561475,0.0063302440196985,0.0029007004094964,1.1592454647883907e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,25.18266818802008,3.755838519166908,0.5503913918852212,49.27083069106034,20.30136756217661,36.28235538999999,1450000000000000.0,31.9783530655512,829.884243171814,1243.42300681389,0.085621225182,0.0190864594420316,0.498749290177791,49.2717209037182,26.1310533623361,26.10869877456624,14.471012667308012,0.7838484875421645,1.8764074675439144,1080947699949213.8,17.255813884674144,0.985793650872424
5,6,a35da8,FFT4000,37.84593200683594,-121.895823377244,188.286666504,4716.780000000001,-0.9244748140444228,34610D,254.28299,5.0362287,-19.46439,187.47381897628708,67224.73488053778,0.3087407662579833,1.3103810033726615,78.62286020235969,93074.43272826848,2441.625359459798,2023-02-06 08:06:00,0.0005604340615321,0.5609564736871223,0.4393520159354124,0.6551905016863308,0.9853580219428644,0.020514782319646,0.0003814386503826,8.272569282054513e-05,3.628235539e-05,1450000000000000.0,248.36961537925424,97.25647807031896,0.0943474322428316,0.0019254578008741,0.0015724572040471,1.612930862399371,0.0299897976848151,0.006504130581773,0.0028526225556403,1.1400314729342157e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,24.832883472154126,3.711015327079264,0.5864610628852506,46.53721636413424,20.514782319646045,36.28235538999999,1450000000000000.0,30.7370489566687,830.949262708445,1240.00692748768,0.0560434061532,0.0191474592939333,0.47918898200582,46.5376621880223,25.0262436728431,25.01222596945508,14.892848941218958,0.7876222882278019,1.7787269620230834,1025746181777150.4,16.40494363052708,0.9658907600482144
6,7,a35da8,FFT4000,37.87001037597656,-121.76807809383313,198.06111094,5471.16,-0.9246372462964308,34610D,248.91716,5.059534,-21.283346,198.7729713505464,67146.11202033542,0.3109609702289126,1.2902671473394822,77.41602884036894,90443.34468589356,2481.97734948177,2023-02-06 08:07:00,0.0002951133765393,0.5070389705154055,0.3522715825762295,0.6451335736697411,1.0,0.0206392521101848,0.0003941160080006,8.547513415540889e-05,3.628235539e-05,1450000000000000.0,244.55723510672547,95.76362767553638,0.0928992346084427,0.001895902747111,0.0015483205768073,1.5978089366057169,0.0305108962418269,0.0066171454509095,0.0028088358712687,1.1225324181853496e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,23.49191731885818,3.516854818787375,0.6284737023509465,45.22167234294678,20.639252110184863,36.28235538999999,1450000000000000.0,30.4151211418497,838.051717289276,1263.11518114104,0.0295113376539,0.0195820414481349,0.483002286413998,45.2226619775494,24.665573693799,24.65829670059998,14.29187041901661,0.8128698428376772,1.97489683954048,1012835467034681.2,16.390450589257455,0.9673395540330848
7,8,a35da8,FFT4000,37.8944091796875,-121.63641747007978,204.234444268,6240.780000000001,-0.9247670571576204,34610D,242.73296,4.230938,-23.300219,208.79486543728223,67068.69599149506,0.3176483208578685,1.2539947044842763,75.23968226905657,82281.44500156824,2224.956178834726,2023-02-06 08:08:00,0.0001715660091262,0.4564361268941082,0.3460497112859012,0.6269973522421382,0.99144675715636,0.0202332032479529,0.0004037779129903,8.757058982944149e-05,3.628235539e-05,1450000000000000.0,237.6821562879497,93.071486966823,0.0902876187228678,0.0018426044637319,0.0015047936453811,1.5223397836612202,0.0303801218806548,0.006588783354881,0.0027298728915165,1.0909753929013203e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,22.612702121068544,3.388025747101809,0.6685173254235268,41.14072250078412,20.233203247952908,36.28235538999999,1450000000000000.0,28.5863314726597,828.689722928045,1242.73972833401,0.0171566009126,0.0191614916849758,0.446906510885653,41.1398765843282,23.3231586680731,23.319157893217177,14.546093548877115,0.7795649658416148,1.813672365302152,945081630606619.6,15.054777048071044,0.9216037837372092
8,9,a35da8,FFT4000,37.9200439453125,-121.49616647273936,209.893333152,6934.200000000001,-0.9248601300515144,34610D,237.13644,3.9859257,-26.895557,216.70682736774395,66993.45630922599,0.3194788598973397,1.2259878555952044,73.55927133571227,77953.41726285945,1949.2072759328864,2023-02-06 08:09:00,0.0001077892458808,0.4144216772350145,0.359033208876181,0.6129939277976022,0.9860212554747224,0.0199119566978058,0.0004125612156395,8.947549589016828e-05,3.628235539e-05,1450000000000000.0,232.37373814951505,90.99281864227608,0.0882711256028547,0.0018014515429154,0.0014711854267142,1.464709025558856,0.0303477024038207,0.0065817522800822,0.0026689036248317,1.0666094343678278e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.886812823505945,3.2806627604769103,0.7019895813632732,38.97670863142973,19.91195669780588,36.28235538999999,1450000000000000.0,27.4993536253157,825.929752874096,1239.22852106812,0.0107789245881,0.0191403336328584,0.429687543636791,38.9762068226584,22.4493236052658,22.446904070403694,14.625991562318704,0.7696223119310098,1.7607610193832053,909288898483458.8,14.411283931179716,0.8985297306691997
9,10,a35da8,FFT4000,37.94581604003906,-121.35457140334108,218.6388887,7543.8,-0.924917472453413,34610D,232.81061,2.7681837,-31.057308,225.6851601484091,66919.89703789029,0.3218389127393622,1.2050962565307066,72.3057753918424,74120.22769566337,1828.0929252380924,2023-02-06 08:10:00,5.928679279248195e-05,0.3801254249929331,0.2933259903855224,0.6025481282653533,0.9954904901560307,0.0198818997638297,0.0004240030185286,9.19569724530876e-05,3.628235539e-05,1450000000000000.0,228.41394446283013,89.44224415970906,0.0867669304702108,0.0017707536830655,0.0014461155078368,1.4375761786866013,0.0306578670231949,0.0066490201959067,0.0026234238395163,1.0484337431817149e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.042580747797285,3.005198851837771,0.7378342380509655,37.06011384783169,19.88189976382979,36.28235539,1450000000000000.0,26.5323945919952,825.16197940506,1252.01231710692,0.00592867927925,0.0192727487693341,0.418672903396031,37.0604194473183,21.7235698138817,21.7222819694516,13.84056564819454,0.7668647045109606,1.91934071143722,885574401140635.6,14.015233955267313,0.8819372229835113
