,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,0.8341575551851717,34610D,275.45508,11.138223,-7.5029426,161.45548600293077,73634.99906056847,0.3359046376159807,1.224914035578754,66.77293876486107,109.660505485138,2735.8994674184114,0.0065739635808212,62250.43576468452,0.8918908454503363,0.5564411563738422,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.4852713065448608,54.83055738887456,17.20804827786435,36.28235539,1450000000000000.0,32.1579755687845,897.801169223067,1845.86250016598,0.657396358082,0.03017434127807,0.612457017789377,54.830252742569,20.2972788086843,20.164716695510435,0.65739635808212,1.0158556374785173,896343484091015.1,23.71387397183112,1480701412424275.5,0.02462982758279875,2.2439495498278516e-05,3.16,35.8,2023-02-06 13:01:00,0.00657396358082126,0.8918904884008652,0.0,0,622.5043576468452,0.00657396358082126,11.138223,-7.5029426,0.8918904884008652,0.978943,1.6283929e-07,0.7872887735120768,1167.9268587031381,9537.146941901803,-0.4305476864931945,-0.9025678310550171,4.3643052894172625,242.0068614681728,0.9118997322240989,inf,0.0,238.0078871332905,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0064251204,-2.166525e-07,40518.945,0.8900914,-262.02338,0.0,0.0,0.9999999999999999,-8.258215277507401e-13,5.73647e-12,2.276378e-16,0.0,0.0,0.0,7.479999999999999e-16,6.481406848496675e-14,4.910648513843402e-12,1349.7218382538106,8.889085491165593e-12,1.7371828845700736e-13,0.0,0.0064251204,-2.166525e-07,40518.945,0.8900914,-262.02338,0.0,0.0,0.0,-8.258215277507401e-13,5.73647e-12,2.276378e-16,0.0,0.0,0.0,7.479999999999999e-16,6.481406848496675e-14,4.910648513843402e-12,1349.7218382538106,8.889085491165593e-12,1.7371828845700736e-13,0.0
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,0.8355611160804834,34610D,271.86478,10.916617,-7.53122,170.19365359730412,73568.22612180361,0.34161750898835935,1.31310904959974,62.87311977291542,113.417218763211,3128.990240916548,0.0036775096599517,56095.647368712234,0.6035810958041712,0.5239426647742952,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5149014313224596,56.70838428348214,17.618733742429768,36.28235538999999,1450000000000000.0,33.0861219333523,922.368402544691,1920.35520052185,0.367750965995,0.0321168137364201,0.65655452479987,56.7086093816055,20.442704254169,20.367801467520216,0.3677509659951699,1.0896072121464389,857245441276740.9,21.61550487473868,1363931993369173.2,0.028942335421062827,2.1460696219548756e-05,3.16,35.8,2023-02-06 13:02:00,0.0036775096599517363,0.6035819980727393,0.0,1,560.9564736871223,0.0036775096599517363,10.916617,-7.53122,0.6035819980727393,0.87325716,7.237051e-07,0.71881753794026,1169.891743813052,9596.215333846398,-0.42451417959346743,-0.9054212894139861,3.9570708619490462,240.86951744975804,0.5960527585416155,inf,0.0,233.4437882755309,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0036148275,-5.006894e-07,48709.555,0.57954186,-264.70978,0.0,0.0,0.9999999999999999,-7.769982995266696e-13,4.9686934e-12,2.495323e-16,0.0,0.0,0.0,7.479999999999999e-16,5.548956819165303e-14,4.191695068753948e-12,1349.6130686338795,9.558182067653775e-12,1.8622617590147482e-13,0.0,0.0036148275,-5.006894e-07,48709.555,0.57954186,-264.70978,0.0,0.0,0.0,-7.769982995266696e-13,4.9686934e-12,2.495323e-16,0.0,0.0,0.0,7.479999999999999e-16,5.548956819165303e-14,4.191695068753948e-12,1349.6130686338795,9.558182067653775e-12,1.8622617590147482e-13,0.0
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,0.8369514759872355,34610D,268.16425,8.13431,-4.508027,177.63016860349825,73505.3530020307,0.3556563051208671,1.01872846730432,58.38108859122213,87.7715292834456,1824.229698503725,0.0013775658719557,49718.84686406126,0.2737509421831863,0.4865090715935177,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5410949940638395,43.88570565593132,17.702950798358017,36.28235538999999,1450000000000000.0,27.0499181718716,889.702953870108,1828.70367676156,0.137756587196,0.0296132894083561,0.50936423365216,43.8857646417228,17.2005286757651,17.176866410810426,0.13775658719557,0.9882157685905526,742371533640393.8,19.21331541374573,1230974819509101.8,0.02504147751101031,1.803608738897924e-05,3.16,35.8,2023-02-06 13:03:00,0.0013775658719557809,0.27375115897769836,0.0,2,497.18846864061265,0.0013775658719557809,8.13431,-4.508027,0.27375115897769836,0.7491308,4.133948e-06,0.6458960317145211,1171.8381449238104,9853.913159025033,-0.4250902117609422,-0.9051509884350993,3.576569871650007,239.7089648831423,0.26078200974570237,inf,0.0,230.4935458452549,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0013497984,-4.4822042e-07,58050.08,0.26605746,-266.40445,0.0,0.0,1.0,-7.213309301432711e-13,4.2284887e-12,2.4548783e-16,0.0,0.0,0.0,7.480000000000001e-16,4.658653625034656e-14,3.5071575712586572e-12,1349.5052627953908,5.368153439499534e-12,1.4447688621587253e-13,0.0,0.0013497984,-4.4822042e-07,58050.08,0.26605746,-266.40445,0.0,0.0,0.0,-7.213309301432711e-13,4.2284887e-12,2.4548783e-16,0.0,0.0,0.0,7.480000000000001e-16,4.658653625034656e-14,3.5071575712586572e-12,1349.5052627953908,5.368153439499534e-12,1.4447688621587253e-13,0.0
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,0.8383112477313381,34610D,264.35104,8.299406,-2.6153793,188.40912426562684,73446.97191343947,0.3677057556372957,0.957068000719488,56.92856707018105,80.375323085046,1702.6668163487557,0.001904253120953,46295.246647158914,0.4904430926049225,0.4744047255848421,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.578054275086602,40.18718520868383,17.304547759067887,36.28235539,1450000000000000.0,25.670638225395,882.334352586628,1809.49138170124,0.190425312095,0.0291480608994688,0.478534000359744,40.187661542523,16.4173528390173,16.386149462762432,0.1904253120953,0.9630155132277676,734591366456279.8,18.399044604223096,1181869704215814.0,0.02369027935408894,1.6714656078625783e-05,3.16,35.8,2023-02-06 13:04:00,0.0019042531209530695,0.49044362762973903,0.0,3,462.95246647158916,0.0019042531209530695,8.299406,-2.6153793,0.49044362762973903,0.61765015,2.6073549e-06,0.6100955084326077,1173.7417178069725,10648.381250946317,-0.028444387257436043,-0.9995953765567092,3.395294435823508,239.1171166094754,0.4501277076834295,inf,0.0,230.90444722035156,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0018494175,-1.8260053e-07,63558.273,0.48439467,-267.76218,0.0,0.0,1.0,-6.884999674192428e-13,3.7331336e-12,2.2501295e-16,0.0,0.0,0.0,7.480000000000001e-16,4.055325253776172e-14,3.0446338139855484e-12,1349.3940802797767,4.141896999320186e-12,1.357321495164384e-13,0.0,0.0018494175,-1.8260053e-07,63558.273,0.48439467,-267.76218,0.0,0.0,0.0,-6.884999674192428e-13,3.7331336e-12,2.2501295e-16,0.0,0.0,0.0,7.480000000000001e-16,4.055325253776172e-14,3.0446338139855484e-12,1349.3940802797767,4.141896999320186e-12,1.357321495164384e-13,0.0
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,0.8395629093002248,34610D,260.64206,9.252224,-1.6718808,196.6045198750649,73390.04334636929,0.3738072982341909,1.014354500673908,55.755183581178855,82.9899451799694,1873.128722929002,0.0018624139614254,43271.52378881695,0.6242438504611194,0.4646265298431571,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.607475070474656,41.495254195791134,17.12656584966364,36.28235539,1450000000000000.0,26.4886299894035,895.412997327651,1852.7190421174,0.186241396143,0.0303408657070703,0.507177250336954,41.4949725899847,16.7159782200535,16.68490402185815,0.18624139614254,1.0077774636714667,714582391087442.2,17.559885699748996,1132415644580090.5,0.02522728287122046,1.788920054929252e-05,3.16,35.8,2023-02-06 13:05:00,0.0018624139614254677,0.6242441342655535,0.0,4,432.7152378881695,0.0018624139614254677,9.252224,-1.6718808,0.6242441342655535,0.55092645,1.509501e-06,0.5783625159811743,1175.493921901881,11699.443548113244,0.3434220995131197,-0.939181165465961,3.2043415987338104,238.4626275585337,0.5524674694594726,inf,0.0,230.91676987810902,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00181493,-1.0589011e-07,68678.445,0.5801789,-268.69394,0.0,0.0,0.9999999999999998,-6.57997412047143e-13,3.3143009e-12,2.1909987e-16,0.0,0.0,0.0,7.480000000000002e-16,3.5499045637034446e-14,2.6563035208836535e-12,1349.3861359670302,4.078394061344723e-12,1.4385656676917422e-13,0.0,0.00181493,-1.0589011e-07,68678.445,0.5801789,-268.69394,0.0,0.0,0.0,-6.57997412047143e-13,3.3143009e-12,2.1909987e-16,0.0,0.0,0.0,7.480000000000002e-16,3.5499045637034446e-14,2.6563035208836535e-12,1349.3861359670302,4.078394061344723e-12,1.4385656676917422e-13,0.0
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,0.8408309070940077,34610D,256.5811,10.578092,-0.91761446,205.3011602235829,73334.28816278811,0.38268026958150486,0.970011610655726,54.449419923010495,77.804199530848,1724.494827311012,0.0013152411157462,40127.886851424635,0.5939069092506979,0.4537451660250874,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6393464707646036,38.90245849878176,17.089628383216528,36.28235539,1450000000000000.0,25.4138425922462,891.008716623407,1844.84819921768,0.131524111575,0.0301634255528916,0.485005805327863,38.902099765424,16.0792680684561,16.05814773231583,0.13152411157462,0.992669568526604,702397199019653.1,16.665199192447655,1079563678448462.2,0.024732149711524397,1.7260162471651053e-05,3.16,35.8,2023-02-06 13:06:00,0.0013152411157462067,0.5939067319883884,0.0,5,401.2788685142464,0.0013152411157462067,10.578092,-0.91761446,0.5939067319883884,0.493534,9.3969567e-07,0.5448338428593501,1177.2689979251384,12108.452584480177,0.3185508831008655,-0.947905762655581,3.012839954739073,237.77063815848106,0.5050316682466166,inf,0.0,229.98094516300543,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012881059,-1.4454149e-07,74202.76,0.5729963,-268.04037,0.0,0.0,1.0,-6.250995453538517e-13,2.8965057e-12,2.2207925e-16,0.0,0.0,0.0,7.480000000000001e-16,3.049835978549857e-14,2.2714061955662325e-12,1349.492997529177,3.269526455453592e-12,1.3756782263248362e-13,0.0,0.0012881059,-1.4454149e-07,74202.76,0.5729963,-268.04037,0.0,0.0,0.0,-6.250995453538517e-13,2.8965057e-12,2.2207925e-16,0.0,0.0,0.0,7.480000000000001e-16,3.049835978549857e-14,2.2714061955662325e-12,1349.492997529177,3.269526455453592e-12,1.3756782263248362e-13,0.0
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,0.8420518985105571,34610D,252.77011,10.73732,-1.2824482,212.96035504470944,73279.8387428651,0.3854767395686161,1.021695902142614,53.30794143210439,79.5797380207718,2012.2403520746927,0.0009421439972245,37395.86563801814,0.5690900023132711,0.4442328452675366,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6681794322798914,39.78992411725109,17.018328746067127,36.28235539,1450000000000000.0,25.937919786413,905.609486566829,1896.00362445194,0.0942143997225,0.0316092213115466,0.510847951071307,39.7898690103859,16.1613582959318,16.146146301115895,0.09421439972245,1.0394557370015391,695082635076937.2,15.864017351219172,1032156364227318.4,0.026543644529758374,1.740103424365022e-05,3.16,35.8,2023-02-06 13:07:00,0.0009421439972245285,0.5690899578049399,0.0,6,373.9586563801814,0.0009421439972245285,10.73732,-1.2824482,0.5690899578049399,0.43149912,9.751074e-07,0.5153951436568628,1178.9782582736839,12362.382706523455,0.31537134201562644,-0.948968343326195,2.8195874435562045,237.03169399984947,0.4660717215678173,inf,0.0,229.07219684422932,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0009249239,-1.09360215e-07,79477.305,0.5342328,-267.3756,0.0,0.0,1.0,-5.936852050241431e-13,2.592139e-12,2.1936735e-16,0.0,0.0,0.0,7.48e-16,2.6947267158946705e-14,1.9984538313381317e-12,1349.5956218950541,3.2518280589696485e-12,1.4489773019858722e-13,0.0,0.0009249239,-1.09360215e-07,79477.305,0.5342328,-267.3756,0.0,0.0,0.0,-5.936852050241431e-13,2.592139e-12,2.1936735e-16,0.0,0.0,0.0,7.48e-16,2.6947267158946705e-14,1.9984538313381317e-12,1349.5956218950541,3.2518280589696485e-12,1.4489773019858722e-13,0.0
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,0.843248762181483,34610D,248.15111,10.701648,-1.830293,218.8091670657208,73226.530801433,0.3931337972761897,0.941135059263894,52.23633202390016,72.7626083870914,1769.3280225998865,0.0005721846995973,34394.55476608665,0.500044769837238,0.4353027668658347,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6928905045271203,36.380751512599645,16.929924699376723,36.28235539,1450000000000000.0,24.2093498603016,893.507541620804,1868.43909976006,0.0572184699597,0.0309324636602967,0.470567529631947,36.3813041935457,15.2127400778601,15.204040558480482,0.05721846995973,1.0012200188529825,680898415575133.0,14.761311622865389,968987888192568.4,0.02491923674541334,1.7045939645087813e-05,3.16,35.8,2023-02-06 13:08:00,0.0005721846995973334,0.5000448911516637,0.0,7,343.9455476608665,0.0005721846995973334,10.701648,-1.830293,0.5000448911516637,0.3697475,1.0936614e-06,0.482854094575551,1180.6537359403717,12525.288811002994,0.3164648412131288,-0.9486042400685067,2.6251767362453364,236.24165753158866,0.3912446226579491,inf,0.0,227.9442259300865,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00058233115,-9.956266e-08,85436.0,0.49898064,-266.39545,0.0,0.0,1.0,-5.581907539758566e-13,2.2799813e-12,2.1861212e-16,0.0,0.0,0.0,7.480000000000001e-16,2.334988923401526e-14,1.7217905472032333e-12,1349.6993293676946,2.4228038648906105e-12,1.3347252701285287e-13,0.0,0.00058233115,-9.956266e-08,85436.0,0.49898064,-266.39545,0.0,0.0,0.0,-5.581907539758566e-13,2.2799813e-12,2.1861212e-16,0.0,0.0,0.0,7.480000000000001e-16,2.334988923401526e-14,1.7217905472032333e-12,1349.6993293676946,2.4228038648906105e-12,1.3347252701285287e-13,0.0
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,0.8444301207936118,34610D,243.98367,11.877735,0.18487746,223.21979270331985,73174.2944694091,0.397926251747595,0.893942601653406,51.40033884844737,68.5742338128304,1554.3518487298893,0.0003847522219761,31913.2970959831,0.4764873167306039,0.4283361570703947,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7128686884151879,34.28808786249552,16.81720965428623,36.28235539,1450000000000000.0,23.066411920087,887.051061343554,1858.19052915816,0.0384752221976,0.0307386065579845,0.446971300826703,34.2871169064152,14.5410397827744,14.535447237152487,0.03847522219761,0.979173357542085,681814586450514.2,13.79131052571073,913593107470407.8,0.024054661471470663,1.618355843355506e-05,3.16,35.8,2023-02-06 13:09:00,0.0003847522219761662,0.47648736986904755,0.0,8,319.1329709598311,0.0003847522219761662,11.877735,0.18487746,0.47648736986904755,0.32976678,1.0910966e-06,0.45567307168714494,1182.3075037865021,12767.491119874136,0.31756288982673087,-0.9482372124130625,2.4547858273208316,235.50546327551115,0.3577452843249325,inf,0.0,227.10092452082327,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0004258462,-1.5286867e-07,90814.63,0.50031024,-265.49838,0.0,0.0,0.9999999999999999,-5.261483202659931e-13,2.087549e-12,2.2272112e-16,0.0,0.0,0.0,7.48e-16,2.1268931827655577e-14,1.561400823016804e-12,1349.8035107524047,2.0145337059036717e-12,1.2677965492056737e-13,0.0,0.0004258462,-1.5286867e-07,90814.63,0.50031024,-265.49838,0.0,0.0,0.0,-5.261483202659931e-13,2.087549e-12,2.2272112e-16,0.0,0.0,0.0,7.48e-16,2.1268931827655577e-14,1.561400823016804e-12,1349.8035107524047,2.0145337059036717e-12,1.2677965492056737e-13,0.0
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,0.8455902143552583,34610D,240.40173,13.008342,2.179952,227.6442002223061,73122.89413056064,0.4040861072428008,0.831891080746648,50.570703288362814,63.5426373020712,1340.202022162731,0.000316043878796,29850.23293677357,0.5330508744136793,0.4214225274030234,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7323944130138422,31.770868116765747,16.67696205008317,36.28235539,1450000000000000.0,21.7457278392571,876.038236159283,1831.94674637664,0.0316043878796,0.0300977586667119,0.415945540373324,31.7713186510356,13.8198177804302,13.815451491553493,0.0316043878796,0.9408777060790642,691879537382111.2,13.012639630038754,868583324404144.1,0.022692574571298602,1.4835241388999822e-05,3.16,35.8,2023-02-06 13:10:00,0.0003160438787960478,0.5330514399010289,0.0,9,298.5023293677357,0.0003160438787960478,13.008342,2.179952,0.5330514399010289,0.31468114,1.0879654e-06,0.43256620325224404,1183.9314971226509,12949.242679689742,0.3186547838849259,-0.9478708396755601,2.319690837270654,234.88891435816404,0.38626648576948497,inf,0.0,226.67375854276358,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00030793928,-1.7352886e-07,95331.46,0.5208756,-265.08072,0.0,0.0,1.0,-4.992373317060757e-13,1.934873e-12,2.2431367e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9635578427909725e-14,1.4356357493868652e-12,1349.9076650781653,1.6260943992460339e-12,1.1797945858435423e-13,0.0,0.00030793928,-1.7352886e-07,95331.46,0.5208756,-265.08072,0.0,0.0,0.0,-4.992373317060757e-13,1.934873e-12,2.2431367e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9635578427909725e-14,1.4356357493868652e-12,1349.9076650781653,1.6260943992460339e-12,1.1797945858435423e-13,0.0
